step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75
1	-7931.775093795923567	-7930.313011711405125	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.266525935704426	6	11	6	8	7	10	12	8	20	16	23	24	20	23	32	25	30	26	27	26	31	33	33	34	33	34	32	33	33	38	35	40	37	39	45	40	50	40	46	45	45	42	51	48	47	47	47	48	52	48	52	53	51	53	52	59	58	54	55	59	61	66	64	72	70	73	78	80	84	87	99	95	94	104	98	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	3	3	3	3	5	3	4	4	4	4	4	5	5	5	5	5	5	5	5	6	5	6	5	6	7	6	8	6	7	7	7	6	8	7	7	7	7	7	8	7	8	8	8	8	8	9	9	8	8	9	9	10	10	11	11	11	12	13	13	14	16	15	15	17	16
500	-945.611424326124506	-943.468903781409267	-2.142520544715293	0.000010010493708	0.000027223275172	2.719473780920083	0.278764634047465	-3	8	4	3	1	10	8	8	9	17	21	18	19	24	34	24	29	27	27	26	22	34	17	33	24	25	32	27	32	37	30	40	37	32	42	38	43	30	40	45	47	30	52	46	48	43	38	48	53	47	52	46	52	53	54	54	50	46	57	60	61	65	61	72	64	70	80	81	81	85	97	95	95	102	94	0	1	1	0	1	0	1	1	4	8	9	5	9	11	13	1	9	13	25	0	13	21	0	16	11	13	13	0	19	26	28	17	27	17	27	25	28	23	38	28	28	23	42	29	47	42	23	42	37	31	36	17	42	47	23	23	37	38	46	58	37	42	39	53	47	37	47	37	66	62	47	0	47	47	0	1	2	2	1	1	1	2	2	2	2	1	2	1	1	2	4	3	2	2	1	1	2	1	2	1	1	2	1	1	3	1	2	1	1	1	3	5	2	1	4	6	2	7	2	1	2	8	2	2	4	4	3	5	3	9	5	2	5	5	3	4	7	5	3	6	4	11	6	2	4	15	1	14	15	1
1000	-844.857345991945408	-842.498652989717016	-2.358693002228413	0.000010012949878	0.000033356560988	3.331342051603250	0.374779410794707	-1	11	6	7	7	0	5	2	8	16	20	17	17	24	33	24	28	26	27	25	30	32	28	32	34	36	33	17	35	30	29	39	39	38	40	42	45	36	43	45	38	41	49	47	48	48	38	48	53	48	50	45	44	51	50	59	55	53	48	60	60	65	64	66	71	68	79	80	83	88	99	88	95	102	92	0	1	8	0	1	0	1	1	4	5	9	5	9	13	17	5	13	13	11	0	13	21	0	16	14	17	21	0	19	17	28	26	13	13	27	29	38	23	47	38	31	23	41	36	53	41	28	53	43	39	44	34	31	45	23	42	42	54	47	58	50	42	61	39	47	53	38	47	66	69	47	0	47	47	0	1	2	1	1	1	1	1	1	1	1	3	3	3	1	1	2	2	2	1	1	2	1	1	2	3	2	1	1	1	1	3	1	4	2	1	2	2	2	1	2	2	3	3	2	1	2	6	1	1	2	1	2	3	1	5	3	3	1	1	2	2	4	1	4	7	4	8	5	2	1	13	1	13	8	1
1500	-781.352224894964252	-779.130280153227886	-2.221944741736385	0.000010013877159	0.000029426382229	2.938560335906589	0.484993451611429	1	13	5	3	6	12	10	8	15	15	24	20	22	19	34	15	29	22	21	19	29	33	34	33	34	31	33	20	34	36	31	36	34	37	45	39	52	42	49	45	41	35	45	42	46	45	41	47	50	38	49	52	48	52	51	60	58	55	55	58	59	59	63	72	71	68	78	70	84	88	88	88	89	104	90	0	8	1	0	1	0	1	5	4	8	14	2	9	9	13	5	13	9	14	0	13	13	0	1	19	21	13	0	19	26	28	9	13	21	27	29	38	42	50	47	31	28	41	36	47	41	28	47	43	28	44	17	38	45	39	53	47	54	46	58	39	47	61	39	61	62	62	62	68	67	47	0	47	71	0	1	1	1	1	1	1	2	1	2	2	1	2	2	1	2	2	2	1	1	1	2	2	1	4	3	1	1	1	2	2	3	3	3	1	3	1	2	2	2	1	2	2	1	1	1	1	5	1	1	2	1	3	2	1	1	2	3	1	2	1	2	3	1	3	2	2	4	2	3	1	12	1	12	5	1
2000	-766.317435856849102	-764.108099185058450	-2.209336671790690	0.000010075685299	0.000029253272095	2.903353094874001	0.569008155341900	2	11	4	8	8	10	13	10	14	17	25	24	20	22	33	25	26	24	27	26	34	31	31	31	33	35	23	24	33	38	36	36	35	36	40	40	41	36	46	46	40	39	48	45	46	43	41	49	51	45	48	51	52	53	53	59	57	49	55	61	51	61	60	58	68	75	79	75	83	82	90	94	93	105	97	0	5	1	0	1	0	5	5	4	5	9	2	9	9	13	10	13	13	14	0	13	9	0	12	19	17	13	0	19	26	28	13	27	21	27	19	38	23	42	28	31	23	41	36	47	41	38	37	43	31	44	34	23	58	47	53	53	45	46	58	50	53	61	61	61	62	68	62	67	68	22	0	22	71	0	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	2	2	2	1	1	2	4	1	2	2	2	1	1	1	1	3	2	2	1	2	2	1	1	1	4	1	1	1	2	1	1	1	2	1	2	1	4	4	1	2	1	1	1	2	2	1	1	2	1	3	2	1	2	1	1	9	1	8	5	1
2500	-800.290176655778168	-797.911195352796085	-2.378981302982101	0.000010065962462	0.000034137493386	3.391378967923443	0.644807772901088	-1	2	8	7	4	12	7	4	17	17	23	25	22	20	32	24	30	23	22	23	31	30	29	33	28	30	34	27	27	32	36	41	37	36	46	39	50	42	46	42	41	41	44	48	44	47	45	44	50	49	52	48	53	50	52	50	59	54	53	56	60	63	63	66	69	72	77	76	84	85	98	94	94	106	99	0	1	1	0	1	0	2	1	4	5	9	2	9	9	26	10	13	9	14	0	9	13	0	12	19	13	13	0	19	26	23	22	27	17	27	29	39	28	42	31	31	31	41	25	42	41	38	23	43	39	44	34	47	45	47	31	38	54	46	58	37	53	56	61	63	62	62	66	67	67	42	0	21	73	0	1	1	1	1	1	1	1	1	1	3	1	3	1	1	1	1	1	1	1	1	3	2	1	1	2	1	3	1	1	1	2	2	1	1	2	2	1	3	1	2	1	2	1	3	1	1	1	2	1	1	1	2	3	2	1	2	1	1	2	1	1	1	2	1	1	2	2	2	2	1	8	1	10	4	1
3000	-772.377642056647346	-769.848149838923632	-2.529492217723749	0.000010061343866	0.000038754150969	3.851786748080267	0.606394803068315	3	11	7	1	6	6	12	6	15	13	24	16	21	23	32	25	19	21	28	25	29	28	33	30	35	32	32	32	32	38	34	40	36	41	43	37	52	41	46	45	44	40	50	47	45	47	45	43	52	50	52	48	47	50	51	49	57	55	55	59	59	64	64	71	71	74	73	77	81	84	95	94	88	105	97	0	5	1	0	1	0	8	1	4	5	13	8	17	9	17	8	9	9	14	0	13	17	0	1	19	9	22	0	14	21	28	21	27	21	27	29	31	23	38	42	38	31	41	36	28	41	42	23	43	47	44	34	42	45	38	47	39	54	46	58	50	53	61	63	63	62	62	62	66	67	9	0	53	71	0	1	1	1	1	1	1	1	1	3	1	1	2	1	2	3	3	1	2	1	1	2	1	1	4	2	3	1	1	1	1	1	2	1	3	2	1	3	2	2	1	1	1	2	1	4	1	1	1	1	1	1	1	2	1	3	1	2	1	2	1	2	2	2	1	2	2	2	3	1	2	10	1	4	2	1
3500	-757.525298782980940	-755.101054642454642	-2.424244140526343	0.000010330168583	0.000036434749786	3.527023735716525	0.612061380212403	0	11	6	10	4	6	11	9	17	15	20	25	21	23	31	20	14	27	27	27	24	24	31	35	33	31	30	32	32	34	37	34	38	35	41	39	44	40	46	45	37	41	48	49	45	43	44	49	51	49	53	52	43	50	49	58	51	53	50	59	59	65	66	70	71	76	72	77	83	89	100	89	92	104	95	0	5	1	0	1	0	8	5	17	2	9	5	17	11	21	10	4	22	14	0	17	17	0	12	19	22	22	0	19	26	23	17	27	21	27	29	23	31	53	38	23	28	41	36	31	41	28	47	43	39	44	34	28	45	37	37	42	54	46	58	50	57	61	63	38	62	62	67	67	69	32	0	32	71	0	1	2	1	1	1	1	1	2	1	1	1	3	1	1	2	1	1	1	1	1	2	3	1	2	2	2	2	1	1	1	2	5	2	3	2	1	2	1	1	1	1	1	2	2	1	1	2	1	1	1	1	2	2	1	1	2	2	1	2	2	2	1	2	1	4	2	1	1	2	2	13	1	8	1	1
4000	-798.526281151637590	-796.312645728491816	-2.213635423145797	0.000010301690052	0.000030032914545	2.915338589419627	0.607019071680527	0	4	3	3	3	9	10	7	21	17	21	21	21	24	27	26	17	29	27	27	25	26	33	35	34	34	30	27	33	37	36	42	35	33	42	38	38	37	43	45	36	37	49	48	48	41	43	46	51	45	53	45	49	44	46	52	57	50	57	60	54	61	66	68	59	73	77	81	85	87	99	94	92	101	97	0	1	1	0	1	0	5	5	4	5	17	10	17	9	11	12	4	17	14	0	13	13	0	12	19	17	22	0	19	26	28	22	27	17	17	25	28	28	37	38	28	23	41	36	54	41	37	42	43	39	44	34	42	38	42	47	37	54	46	58	50	56	61	61	61	62	66	67	67	68	26	0	56	71	0	1	1	1	1	1	1	1	1	3	3	1	1	1	1	1	2	4	2	1	1	1	1	1	2	2	3	1	1	2	1	2	2	1	2	3	1	2	2	1	1	1	1	2	2	1	1	1	2	1	1	1	3	2	2	2	2	2	1	3	2	2	2	3	2	1	2	1	1	2	1	9	1	10	1	1
4500	-757.277342304706622	-755.031282357023883	-2.246059947682773	0.000011384497086	0.000034225926405	3.006362612801245	0.722424631911985	-1	11	6	5	2	5	14	6	10	15	17	25	15	21	33	19	27	18	24	23	32	28	21	35	34	33	32	29	29	36	36	36	34	36	44	36	46	38	49	48	44	41	48	45	44	47	48	42	53	45	54	53	45	46	53	56	58	54	52	56	60	65	64	71	69	75	71	81	81	86	97	90	95	104	94	0	5	5	0	1	0	2	1	4	8	9	10	9	11	17	10	13	13	14	0	17	13	0	12	19	22	17	0	19	26	28	21	27	17	27	29	31	28	50	31	23	28	41	36	31	41	38	31	41	38	44	34	42	45	37	38	47	54	46	58	50	56	61	63	61	62	62	67	67	69	22	0	41	71	0	1	2	1	1	1	1	1	2	2	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	2	2	1	1	1	1	2	1	1	1	2	1	2	2	1	2	4	2	1	3	2	1	2	1	1	1	1	3	1	1	1	3	2	1	1	1	2	2	1	1	1	1	1	2	1	1	8	1	10	1	1
