step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78
1	-517.068933592660642	-526.119776973112039	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.686774674292945	4	1	1	5	1	2	3	7	4	5	5	6	5	4	5	6	5	5	5	5	5	9	7	8	7	10	8	10	6	7	10	8	11	9	7	7	12	8	9	9	9	10	9	9	10	9	9	8	9	12	9	10	11	9	9	10	9	11	11	15	12	12	12	14	11	13	14	12	13	15	15	13	17	20	18	19	20	23	2	0	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-247.406390150242373	-256.457233530693713	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997442771162305	3	-1	2	2	1	3	3	8	0	5	6	6	5	3	5	6	6	5	6	6	6	10	7	6	6	8	8	10	6	5	8	7	9	10	8	8	10	7	4	8	9	11	8	8	6	10	8	8	7	13	8	10	11	10	6	11	10	11	12	13	11	10	9	13	12	14	14	10	14	16	13	14	14	13	18	19	17	21	4	0	5	9	2	3	3	17	2	1	39	14	39	3	4	30	13	14	10	39	4	31	19	14	6	49	16	40	1	6	6	18	1	48	24	30	31	14	14	25	23	22	45	55	10	29	12	49	10	65	25	33	28	35	39	8	44	32	36	34	62	44	32	52	57	52	26	31	34	69	58	54	23	61	70	71	69	77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-234.105621502717582	-243.156464883168923	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993933942911483	5	-1	1	5	2	2	2	7	4	4	4	7	6	4	6	3	5	4	6	5	6	8	6	9	8	10	9	8	6	7	11	9	12	9	8	7	10	9	8	9	10	10	8	9	11	10	6	8	9	9	10	11	10	10	8	10	5	12	11	13	13	13	12	13	11	8	14	13	14	11	15	11	14	20	17	19	18	21	6	0	2	10	3	3	2	10	5	6	5	47	16	5	7	5	11	6	10	6	11	21	9	28	21	50	29	18	20	13	46	30	51	66	21	47	21	8	20	21	12	38	13	43	22	22	9	16	12	55	43	51	47	38	57	39	18	48	40	37	45	70	13	70	56	36	62	65	59	40	62	50	52	75	61	73	31	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-231.957892651749518	-241.008736032200858	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991412148871363	5	0	1	3	2	3	2	7	4	6	5	7	5	4	5	5	4	6	6	5	5	10	7	8	8	10	9	10	5	7	10	9	11	5	7	7	7	7	9	9	10	10	8	9	5	8	8	8	7	13	9	8	11	7	7	11	10	10	11	14	13	12	12	14	10	12	15	12	11	13	15	12	17	12	18	16	18	22	3	0	2	3	3	2	3	20	7	20	4	16	7	5	17	5	4	34	15	6	6	10	19	49	54	46	48	49	17	29	1	54	43	6	34	15	20	15	55	23	48	9	8	55	4	20	38	6	10	46	12	6	31	13	19	51	32	25	32	62	26	41	36	69	44	49	42	42	40	56	50	41	64	52	76	61	67	77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-228.266359020615027	-237.317202401066368	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998032124675794	3	0	2	5	2	1	3	8	2	4	6	7	5	4	5	3	4	5	4	6	6	5	7	6	6	11	7	9	6	8	10	8	9	9	8	7	12	7	5	8	9	9	9	8	6	9	9	7	9	13	8	11	12	7	9	10	9	10	11	11	10	11	11	14	11	13	10	13	7	16	15	14	16	16	18	18	19	23	3	0	2	7	6	2	9	54	2	1	10	15	3	3	1	2	7	17	9	10	18	7	21	4	22	40	15	18	10	18	44	69	38	35	15	18	62	18	3	24	36	29	29	45	17	8	39	22	36	63	25	31	67	13	36	42	51	41	8	33	55	41	54	55	34	42	49	60	39	64	26	66	64	60	70	73	76	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-232.795280304204482	-241.846123684655822	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989025868135146	5	0	2	4	2	2	4	8	5	5	6	7	5	3	6	7	4	5	5	5	6	5	8	9	7	9	9	8	7	6	10	8	11	6	6	8	13	8	7	9	8	10	10	9	10	9	10	7	9	13	8	11	11	10	9	11	8	10	7	14	12	10	13	12	11	12	14	6	14	16	12	12	17	19	18	19	16	16	6	0	2	2	2	2	2	35	14	7	13	30	7	2	18	68	6	6	4	3	1	14	48	8	34	29	41	18	19	18	26	39	32	20	20	39	8	39	13	18	48	29	36	12	40	25	28	22	51	52	4	44	41	26	15	58	30	35	11	63	58	51	65	31	41	44	65	10	72	60	46	58	77	63	78	54	50	50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-237.906275284618175	-246.957118665069515	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998056826091545	5	0	2	5	2	1	3	4	4	4	6	5	1	4	2	6	5	4	2	6	5	9	8	8	7	11	9	11	7	7	10	7	11	8	7	8	11	8	10	8	9	10	9	8	7	7	10	8	9	13	7	9	11	10	5	8	10	12	12	16	11	12	13	14	12	12	15	13	9	16	14	12	17	20	15	19	17	23	9	0	13	14	13	2	13	19	19	5	8	18	2	19	13	12	15	5	6	4	3	32	16	25	55	41	35	24	21	55	41	55	56	15	16	12	47	10	36	51	44	51	44	9	8	21	40	55	25	56	8	11	48	44	8	20	23	48	42	50	41	42	39	43	20	54	46	42	24	50	42	61	70	73	66	67	71	64	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-249.480233138268432	-258.531076518719772	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996486682217692	0	-1	2	3	2	3	4	7	2	5	6	6	6	3	5	6	4	4	1	5	5	8	5	9	5	10	7	11	6	8	9	6	8	9	6	6	10	9	10	6	10	11	9	10	10	10	9	8	7	11	9	10	12	10	7	9	7	12	9	15	4	13	11	13	10	13	15	7	12	15	13	8	14	19	18	18	17	21	2	0	19	1	2	2	6	4	1	9	7	25	2	5	4	10	14	14	2	18	5	16	6	12	6	29	7	43	18	16	33	61	27	36	17	25	56	22	21	1	57	68	11	13	72	48	27	29	18	45	22	24	42	29	35	57	36	46	27	62	5	26	47	45	34	52	66	15	44	46	69	55	58	76	62	70	70	74	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-240.601029496799669	-249.651872877251009	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.947187805130231	3	-2	2	4	1	3	3	7	4	6	0	4	5	4	6	6	5	5	4	5	5	8	7	9	8	9	6	11	6	6	9	9	11	9	8	7	13	8	6	8	8	10	7	7	10	9	9	7	9	10	10	9	7	8	9	9	10	10	10	15	12	13	12	15	11	12	13	7	9	15	16	12	17	21	18	18	19	24	5	0	2	5	2	5	11	39	3	12	2	1	14	7	12	17	19	1	7	7	12	53	9	36	36	25	18	55	13	19	18	44	42	16	44	18	34	48	14	15	14	36	30	7	47	40	16	10	68	55	35	22	13	44	41	44	69	8	41	28	39	63	21	32	68	48	51	18	48	43	64	59	72	76	73	73	73	74	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-231.481142104851699	-240.531985485303039	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.971805014878024	5	0	2	6	1	3	2	6	5	4	4	4	3	5	4	6	6	6	6	6	5	10	8	7	8	11	7	11	7	8	10	7	12	10	6	4	13	8	9	10	10	8	7	8	11	10	10	9	7	12	9	11	12	10	9	9	9	11	11	13	11	10	11	13	7	12	13	10	10	12	13	13	16	21	19	19	21	20	13	0	5	11	2	5	5	10	36	13	3	5	5	13	3	1	15	11	6	6	36	48	24	9	35	30	21	55	21	8	32	19	44	18	15	5	54	24	49	29	17	43	3	19	29	56	44	10	20	41	29	56	46	29	30	43	38	47	51	59	46	24	54	40	35	62	46	20	44	47	40	46	52	78	60	73	75	76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
