step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11
1	-730.320103074990470	-737.175591025949871	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.665031615753572	-1	1	3	6	8	12	13	15	14	16	16	0	1	1	1	1	1	1	1	1	1	1	1	1	2	4	5	7	7	8	8	9	9
500	-32.284140544295163	-39.139628495254534	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.521150807968583	-1	1	3	7	9	12	13	15	14	16	17	0	1	2	2	0	5	0	7	7	7	7	1	1	1	3	1	2	1	1	1	1	2
1000	-35.020852206307310	-41.876340157266682	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.966276637195579	-1	0	3	7	9	12	13	15	15	16	16	0	1	1	3	0	5	0	7	7	7	8	1	1	2	1	1	2	1	1	1	1	1
1500	-33.187055088453832	-40.042543039413204	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.909999924376029	-2	1	3	7	9	11	13	16	14	15	15	0	1	2	3	0	5	0	10	6	7	9	1	1	1	2	1	1	1	1	1	1	1
2000	-28.924985362503854	-35.780473313463226	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.882522508759697	-1	1	4	6	9	12	14	15	13	17	16	0	1	2	3	0	5	0	7	6	11	8	1	1	1	1	1	1	1	1	1	1	1
2500	-29.719854237990319	-36.575342188949691	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.710224019721670	-2	1	3	5	9	12	14	16	13	16	16	0	1	2	3	0	5	0	7	6	7	7	1	1	1	1	1	1	1	1	1	1	1
3000	-32.301779716692003	-39.157267667651375	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.881370480147026	-1	1	3	7	9	12	13	14	15	16	15	0	1	2	3	0	5	0	7	6	7	7	1	1	1	1	1	1	1	1	2	1	1
3500	-29.564666351824918	-36.420154302784290	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.814790007902957	0	1	2	5	8	12	13	15	15	15	17	0	1	1	3	0	5	0	7	7	7	9	1	1	1	1	1	2	1	1	1	1	1
4000	-28.460908004711946	-35.316395955671318	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.856916979707282	-1	1	3	4	9	11	13	15	13	16	16	0	1	2	3	0	5	0	7	6	7	7	1	1	1	1	1	1	1	1	1	1	1
4500	-29.131915392826954	-35.987403343786326	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.982170101027249	-1	1	2	6	8	11	13	15	15	16	17	0	1	1	3	0	5	0	7	7	7	10	1	1	1	1	1	1	1	1	1	1	1
5000	-33.312491830318073	-40.167979781277445	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.905140833613637	-1	1	4	7	8	12	13	15	14	16	15	0	1	2	3	0	5	0	7	7	9	6	1	1	1	1	1	1	1	1	1	2	1
5500	-31.701830401332600	-38.557318352291972	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.785543699755898	-1	1	3	6	7	12	14	16	14	16	16	0	1	2	2	0	5	0	7	6	7	7	1	1	1	2	1	2	1	1	1	1	2
6000	-30.727439881801367	-37.582927832760738	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.947990407709898	-1	1	3	6	9	10	14	15	12	15	17	0	1	2	3	0	5	0	7	6	7	8	1	1	1	1	1	1	1	1	1	1	1
6500	-34.986628378121324	-41.842116329080696	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.621841760444442	-1	2	3	6	7	12	14	16	14	17	17	0	1	1	3	0	5	0	7	6	7	8	1	1	2	1	1	3	1	1	1	1	1
7000	-36.238284143781179	-43.093772094740551	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.706632521765063	-2	0	3	7	8	12	13	15	15	16	15	0	1	2	1	0	5	0	7	7	7	7	1	1	2	4	1	2	1	1	1	2	1
7500	-36.566129262063932	-43.421617213023303	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.865042484377256	-2	1	3	6	9	11	14	16	13	16	15	0	1	2	3	0	5	0	7	6	7	5	1	1	1	1	1	2	1	1	1	1	2
8000	-30.763593358682527	-37.619081309641899	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.963592259972418	-1	1	4	5	8	12	14	15	15	16	16	0	1	2	3	0	5	0	7	7	7	7	1	1	2	1	1	1	1	1	1	1	1
8500	-39.195526252373391	-46.051014203332763	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.780160086744827	-3	0	3	7	8	12	13	15	14	16	16	0	1	2	1	0	5	0	7	6	7	8	1	1	2	3	1	2	1	1	1	1	1
9000	-91.725230160458693	-98.580718111418065	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.962559610629244	-1	1	2	5	8	12	12	15	14	16	16	0	1	2	3	0	5	0	7	6	9	7	1	1	1	1	1	2	1	1	1	1	1
9500	-34.686872570746672	-41.542360521706044	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.515760305931004	0	1	3	5	8	11	14	16	14	16	16	0	1	1	1	0	5	0	7	6	7	9	1	1	2	3	1	1	1	1	1	1	1
10000	-32.001709259577332	-38.857197210536704	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.987763265505957	0	2	4	6	8	13	13	15	15	14	16	0	1	2	3	0	5	0	7	7	7	7	1	1	1	1	1	2	1	1	1	1	1
10500	-28.710921287887594	-35.566409238846965	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.980699228624493	-1	1	3	5	9	12	14	15	13	16	15	0	1	2	3	0	5	0	7	6	8	6	1	1	1	1	1	1	1	1	1	1	1
11000	-28.751914771421347	-35.607402722380719	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.999073023708251	-1	2	3	6	9	12	14	15	14	16	15	0	1	2	2	0	5	0	7	6	7	7	1	1	1	1	1	1	1	1	1	1	1
11500	-31.189617251097538	-38.045105202056909	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.983588656415040	-2	2	3	5	8	11	13	15	14	15	15	0	1	2	3	0	5	0	9	7	7	7	1	1	1	1	1	1	1	1	1	1	1
12000	-30.889368306916595	-37.744856257875966	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.772862959764168	-1	0	3	6	8	12	13	16	15	15	16	0	1	2	3	0	5	0	7	7	7	10	1	1	1	1	1	2	1	1	1	1	1
12500	-30.963442423687056	-37.818930374646428	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.816871567581159	-1	1	3	6	9	13	14	16	14	16	16	0	1	1	3	0	5	0	7	5	7	7	1	1	2	1	1	2	1	1	2	1	1
13000	-30.214415779837424	-37.069903730796796	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.985032413574014	-2	2	4	6	9	12	13	15	14	15	14	0	1	2	3	0	5	0	7	7	7	6	1	1	1	1	1	1	1	1	1	1	1
13500	-31.871148154124697	-38.726636105084069	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.987204221397890	0	2	4	5	7	12	14	15	13	16	17	0	1	2	3	0	5	0	7	6	7	8	1	1	1	1	1	1	1	1	1	1	1
14000	-32.497980280344464	-39.353468231303836	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.929197238045285	-1	2	4	7	9	12	13	14	14	16	17	0	1	2	2	0	5	0	7	6	7	8	1	1	1	2	1	1	1	1	1	1	1
14500	-27.912702889755309	-34.768190840714681	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.970781333804197	-1	1	3	5	9	11	13	15	13	15	15	0	1	2	3	0	5	0	7	5	7	9	1	1	1	1	1	1	1	1	1	1	1
15000	-34.552495440280666	-41.407983391240037	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.728624467063782	-1	1	3	5	9	12	14	16	12	15	14	0	1	2	3	0	5	0	7	5	7	9	1	1	1	1	1	2	1	1	1	1	1
15500	-31.281647715340647	-38.137135666300018	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.747867685156560	-1	1	4	6	8	12	12	15	14	17	15	0	1	1	3	0	5	0	7	6	11	7	1	1	2	1	1	2	1	1	1	1	1
16000	-27.215311952525752	-34.070799903485124	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.971312477670640	0	1	3	5	8	11	14	16	13	16	15	0	1	2	3	0	5	0	7	6	7	9	1	1	1	1	1	1	1	1	1	1	1
16500	-26.988273449440491	-33.843761400399863	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.981566805502034	0	1	3	6	9	12	13	15	14	15	15	0	1	2	3	0	5	0	7	7	9	7	1	1	1	1	1	1	1	1	1	1	1
17000	-30.628186782745480	-37.483674733704852	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.731510279009249	0	1	3	6	9	12	12	16	14	16	16	0	1	2	3	0	5	0	7	6	7	9	1	1	1	1	1	1	1	2	1	2	1
17500	-38.655064780846118	-45.510552731805490	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.743065681497970	-2	1	3	7	9	11	12	15	14	15	17	0	1	2	3	0	5	0	7	7	7	8	1	2	2	1	1	1	1	2	1	1	1
