step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96
1	-3270.066025646990511	-3276.005222866075655	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.031381287381063	2	0	1	3	4	3	8	5	6	5	7	6	7	6	6	6	5	7	10	6	7	7	8	8	7	7	8	8	9	10	11	8	9	11	10	9	9	14	11	11	11	12	11	11	11	12	11	11	12	12	12	12	12	12	13	13	13	12	13	13	13	13	12	15	15	14	13	14	14	14	16	14	17	14	15	17	16	15	15	15	16	17	17	18	17	16	18	18	19	18	18	18	20	21	19	22	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	4	3	3	3	4	3	4	3	3	3	3	4	5	3	4	4	4	4	4	4	4	4	5	5	6	4	5	6	5	5	5	7	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	6	7	7	7	7	6	8	8	7	7	7	7	7	8	7	9	7	8	9	8	8	8	8	8	9	9	9	9	8	9	9	10	9	9	9	10	11	10	11
500	-987.313676660967872	-993.252873880053130	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.103461546710902	1	0	2	2	4	3	7	6	5	4	4	6	7	4	6	6	5	4	8	6	7	8	8	9	8	4	8	7	10	10	12	8	9	10	9	10	9	13	12	11	11	11	12	12	11	9	12	11	13	13	12	13	13	12	13	11	14	13	13	12	14	10	12	14	16	13	13	12	14	15	16	13	17	15	16	17	16	15	15	15	17	18	17	19	17	16	19	19	19	19	16	18	20	21	20	23	2	0	1	2	3	3	18	5	6	6	4	4	5	6	5	18	26	4	16	14	4	8	9	11	16	6	17	4	3	18	41	14	28	27	26	35	28	26	35	26	37	7	18	33	27	9	26	28	46	32	18	45	9	23	33	6	35	41	18	30	45	28	46	48	56	32	18	46	62	23	26	39	18	42	54	26	64	15	56	62	50	18	7	26	30	63	30	42	40	55	68	18	68	63	63	46	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	2	1	2	1	1	3	2	2	2	1	1	2	3	4	3	1	2	1	1	4	1	1	4	2	3	1	2	4	2	2	2	4	2	2	2	6	1	5	2	3	4	3	1	4	1	2	1	2	3	3	2	6	3	3	5	8	1	8	3	2	9	1	4	3	2	2	8	6	8	4	2	5	3	3	3	3	8	7	4	5	11
1000	-771.642113178720024	-777.581310397805282	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.419763291215801	1	-1	2	4	4	3	6	5	5	5	7	6	8	6	6	6	5	6	10	6	8	8	9	8	8	7	8	8	9	10	10	7	9	9	11	10	9	14	9	12	11	12	11	11	11	13	10	12	12	11	10	11	13	12	13	13	14	11	13	13	14	13	11	15	15	14	14	14	13	15	14	14	17	14	15	17	16	16	16	15	16	16	18	18	16	16	19	19	19	17	19	18	20	22	19	22	2	0	1	2	3	3	4	5	6	6	4	4	5	9	6	4	6	4	4	6	4	8	26	4	16	17	17	7	14	4	7	9	7	32	26	26	7	39	26	26	37	33	33	18	34	34	26	37	9	34	18	32	32	34	51	34	39	31	44	43	45	48	32	48	50	34	51	54	37	9	36	40	18	42	53	26	62	54	50	69	34	51	62	72	67	54	60	90	40	59	86	18	86	86	86	75	1	1	1	2	1	1	2	1	2	2	2	1	2	1	2	1	1	2	3	1	2	2	1	3	1	2	1	1	2	2	2	2	1	1	2	2	3	2	1	4	1	1	1	3	1	2	2	1	4	1	2	3	4	1	1	3	4	1	1	2	1	1	1	2	3	3	4	2	2	4	2	1	6	1	1	6	1	2	2	2	2	3	3	2	2	2	4	1	3	1	1	8	2	3	2	5
1500	-701.438171988012755	-707.377369207098013	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.601685073992830	1	-1	2	3	3	4	9	5	6	5	8	6	8	7	5	6	5	5	11	7	6	8	9	9	8	7	8	8	7	11	10	8	9	10	10	9	10	12	11	12	10	13	10	11	11	12	12	11	12	13	11	13	12	12	13	11	14	12	13	13	13	12	13	15	16	13	13	14	13	13	17	15	16	14	16	17	17	15	14	15	17	17	18	18	16	15	18	18	20	19	19	18	20	22	18	21	2	0	1	2	3	3	11	5	17	6	4	4	5	15	6	4	6	4	7	6	4	8	9	4	16	17	17	16	6	18	28	9	18	23	27	26	28	39	26	26	28	43	18	33	9	34	35	31	23	9	33	32	45	56	33	23	26	41	33	43	45	48	54	48	50	9	51	63	62	56	72	39	30	59	66	39	64	63	46	69	46	59	69	57	59	68	42	73	72	85	75	73	86	96	68	95	1	1	1	2	1	1	1	1	1	1	2	2	2	1	1	2	1	1	1	2	2	2	2	3	1	1	1	1	1	3	1	2	2	1	1	1	1	1	2	2	1	2	2	1	4	1	1	1	2	5	1	3	1	1	2	1	3	1	2	2	1	1	1	2	1	3	1	1	1	1	1	2	2	1	2	2	1	1	1	1	2	3	2	2	1	1	2	1	4	2	1	1	1	1	3	3
2000	-708.007860184583137	-713.947057403668396	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.580723271073510	1	0	2	3	4	4	7	5	6	6	7	7	8	5	7	6	5	7	11	6	8	7	9	9	7	7	8	8	9	10	9	9	10	11	9	8	9	14	11	12	10	11	9	10	11	11	11	11	12	11	12	12	13	12	13	13	10	12	12	13	14	13	11	15	16	14	13	14	14	14	17	15	17	14	15	17	15	14	15	16	15	17	17	18	17	16	19	18	19	17	18	19	20	21	19	21	2	0	1	2	3	3	16	5	6	6	4	4	5	6	6	4	6	4	4	14	16	8	9	11	16	17	17	16	20	18	28	9	16	23	26	15	28	40	57	26	28	18	18	18	32	9	35	37	23	23	33	45	45	23	42	46	26	41	33	42	50	48	23	48	49	32	42	54	62	34	72	57	55	19	68	72	62	63	46	69	70	67	80	71	59	75	59	59	76	59	86	85	75	75	86	95	1	1	1	1	2	1	1	1	1	1	2	2	3	1	1	1	1	2	5	1	1	2	1	2	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	3	2	2	1	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	1	1	2	2	3	1	1	1	2	2	1	2	2	1	1	1	2	2	2	1	2	1	1	2	1	7	3	1	2	1	1	3	3	3	2
2500	-663.537829563509149	-669.477026782594407	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.704312653280767	1	0	2	4	3	3	7	5	4	5	7	6	7	6	5	6	6	7	9	7	7	7	8	8	8	7	9	8	9	10	10	8	9	10	9	9	9	13	12	11	11	13	10	9	11	12	12	10	13	12	12	13	12	11	13	13	12	12	13	14	13	12	12	15	16	15	14	12	14	14	17	15	17	15	14	17	17	15	15	16	17	18	16	16	16	16	18	17	19	18	17	17	20	21	19	23	2	0	1	2	3	3	16	5	6	6	4	4	5	6	6	4	9	4	18	14	4	8	9	11	4	17	17	16	20	33	28	9	7	9	26	26	4	40	26	26	37	33	18	18	32	34	35	37	34	23	30	45	45	27	33	34	26	37	33	18	45	48	23	48	78	46	33	23	62	50	72	39	74	51	54	72	62	68	49	69	34	51	69	72	51	75	73	85	76	42	86	67	86	78	86	95	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	2	1	2	1	2	1	1	1	1	2	2	2	1	1	3	1	2	2	1	2	2	1	2	1	2	1	1	2	2	1	1	2	2	2	3	1	1	3	1	1	2	1	1	1	2	2	1	1	1	1	1	2	2	1	3	3	1	1	3	4	1	1	1	2	1	1	1	2	1	2	2	3	2	3
3000	-639.277920012092522	-645.217117231177781	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.751681158059421	1	-1	2	3	4	4	8	5	6	6	8	5	8	7	6	7	5	8	10	6	6	7	6	8	8	7	9	9	9	10	11	9	10	10	9	8	8	13	10	10	12	12	11	11	10	12	11	12	12	12	13	12	12	10	13	13	14	12	13	13	14	12	12	15	16	15	14	14	14	12	16	14	17	14	14	17	16	16	14	15	17	17	17	18	16	17	18	18	19	18	19	18	19	20	19	23	2	0	1	2	3	3	4	5	6	6	4	4	5	9	6	4	6	16	28	6	4	8	6	4	16	17	17	16	14	18	37	23	18	23	26	26	16	27	26	26	31	33	33	33	23	54	35	37	32	23	42	45	45	9	18	34	39	31	42	43	45	37	34	48	50	46	51	54	62	34	72	39	42	42	63	72	37	34	32	69	34	67	80	57	59	75	73	85	76	33	75	73	86	78	86	93	1	1	1	2	1	1	3	1	2	1	3	2	2	1	1	2	1	1	1	1	2	1	1	2	1	2	2	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	2	1	1	2	2	2	1	1	1	1	2	2	2	1	1	1	2	2	1	2	2	2	1	2	1	1	1	2	2	1	1	1	4	4	2	1	2	2	1	2	2	2	1	1	1	2	1	1	1	2	1	2
3500	-655.346860888286983	-661.286058107372241	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.647719542822468	1	0	2	4	4	3	8	6	5	5	8	6	7	5	5	6	6	8	10	6	7	7	7	9	8	7	8	8	10	11	10	9	10	11	10	9	8	13	11	11	12	12	11	11	8	12	12	10	13	13	13	12	10	11	13	11	14	12	14	12	13	13	13	13	15	13	14	15	14	15	17	15	17	15	15	17	15	13	16	16	16	17	17	18	17	16	19	19	19	19	18	18	21	20	19	22	2	0	1	2	3	3	21	5	6	6	4	4	5	6	6	4	9	4	7	14	4	8	9	4	16	17	17	4	20	18	37	9	7	15	26	26	4	39	26	26	31	33	33	33	10	54	35	37	32	32	60	45	45	23	30	23	40	31	42	18	52	48	54	48	50	6	42	63	62	66	57	57	30	59	54	72	48	34	65	69	56	51	69	72	67	75	85	73	84	73	75	73	95	91	91	86	1	1	1	2	1	1	1	1	1	2	2	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	2	2	1	1	1	2	3	2	2	1	2	2	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	2	1	1	1	2	1	2	1	2	1	5	1	1	1	1	2	1	2	1	1	1	3	1	1	2	2	2	1	2	2	1	1	1	1	1	2	1	2	1	1	3
4000	-659.592442631333029	-665.531639850418287	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.612875691141753	1	0	2	4	4	3	9	6	7	6	7	6	7	5	6	6	5	7	10	6	7	7	8	8	7	7	8	8	9	9	10	9	9	11	10	9	9	15	11	11	11	12	12	10	10	12	11	11	12	12	12	12	13	13	13	14	13	13	13	13	12	13	13	14	15	14	14	15	14	14	16	14	18	14	15	17	16	14	16	16	15	16	17	16	16	16	18	19	19	18	19	18	21	21	19	22	2	0	1	2	3	3	21	5	17	6	4	4	5	6	6	4	6	4	4	14	4	8	9	4	16	17	17	4	14	18	37	9	18	27	26	26	18	26	26	26	31	33	19	18	23	23	35	37	32	9	33	45	45	46	30	34	27	41	19	18	45	48	46	48	49	49	51	54	37	9	72	39	59	42	70	72	62	46	66	69	50	67	69	39	59	75	51	73	76	85	75	85	95	91	54	95	1	1	1	2	1	1	2	1	1	2	2	1	1	1	1	2	1	1	2	1	2	1	1	3	1	1	2	2	2	2	1	1	1	1	2	1	1	4	2	2	1	2	1	2	1	2	1	1	1	3	2	1	2	1	2	1	3	1	1	2	1	1	1	1	2	1	1	1	2	4	2	2	3	1	1	2	1	1	1	1	2	1	2	3	1	1	3	1	1	1	2	1	2	1	4	1
4500	-656.733028677823199	-662.672225896908458	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.670421288644044	1	0	2	3	4	3	8	6	5	4	7	5	8	6	6	5	5	7	10	5	7	8	8	8	8	8	9	7	8	11	10	8	9	11	10	9	8	15	11	11	11	12	11	12	11	9	11	10	12	11	11	13	13	11	13	13	13	12	13	11	14	13	13	16	15	14	14	14	14	14	15	14	16	15	15	17	16	15	16	15	16	18	17	18	16	17	19	17	19	19	19	17	20	21	19	23	2	0	1	2	3	3	28	5	6	6	4	4	5	20	6	4	6	16	28	6	16	8	15	11	16	17	17	16	15	33	37	9	18	32	26	26	28	39	26	26	31	18	18	30	9	17	35	37	50	32	18	32	45	46	51	34	26	41	51	18	27	48	54	48	23	50	42	54	62	34	72	39	74	59	68	39	62	63	66	62	70	51	80	72	51	75	73	73	76	92	75	73	68	91	86	95	1	1	1	2	1	1	1	2	1	1	2	1	2	1	1	2	2	1	2	1	1	1	1	1	2	1	2	1	1	2	1	1	2	1	1	1	1	2	1	2	1	2	2	1	4	2	1	2	1	1	2	2	1	1	1	1	3	1	2	2	2	1	1	3	2	1	1	2	1	2	1	2	1	1	1	2	2	1	1	2	1	2	1	2	3	2	2	1	1	1	2	1	4	1	1	2
