step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21
1	-1546.237784787974306	-1544.775702703455408	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.641763726138457	2	7	8	14	14	14	15	14	17	16	17	17	19	20	22	21	23	25	26	30	33	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	6	6	6	7	6	8	7	8	8	9	9	10	10	11	12	12	14	16
500	-281.346036713423814	-278.577546589242729	-2.768490124181079	0.000010014023319	0.000046471973001	4.640689512968138	0.286141858522821	1	8	6	14	15	14	13	14	17	16	17	16	17	20	22	20	23	25	27	31	33	0	1	1	1	2	7	3	2	2	6	1	0	7	12	13	12	14	15	7	13	7	1	3	3	5	3	1	3	2	4	1	7	1	3	2	4	2	2	2	5	9	14
1000	-268.573378293718065	-265.702583063910083	-2.870795229808004	0.000010031219866	0.000050171347980	5.001520119270642	0.343024083764559	3	5	9	14	12	14	16	14	16	16	18	18	19	20	22	22	22	23	25	30	33	0	1	1	1	2	3	6	2	4	6	1	0	7	12	7	14	14	15	18	18	15	1	2	3	4	3	1	1	4	1	1	10	1	2	1	4	1	1	1	1	5	8
1500	-258.116275741244635	-255.680698939569254	-2.435576801675393	0.000009992546127	0.000035587041732	3.561358764933562	0.526977337542532	2	7	8	14	15	14	15	13	16	17	18	18	20	21	21	22	23	23	26	29	34	0	1	1	1	8	3	3	2	8	6	1	0	7	12	13	14	14	15	18	19	19	1	3	3	6	1	2	4	2	2	1	9	1	3	1	1	1	2	1	2	1	7
2000	-224.000027728501749	-221.415674485347495	-2.584353243154259	0.000009900245433	0.000039862565493	4.026421947254069	0.426398317372993	3	7	9	14	14	13	15	13	18	15	17	17	18	19	21	22	22	25	27	29	33	0	1	1	1	2	3	6	2	5	6	1	0	7	12	7	14	14	15	18	19	20	1	2	3	4	4	2	1	2	2	1	7	1	2	1	3	2	2	2	1	1	2
2500	-211.469339218285938	-209.314195720650559	-2.155143497635386	0.000009755405013	0.000026865119283	2.753870213331609	0.414711030105658	3	6	9	14	14	13	16	15	16	16	17	17	18	20	22	21	24	25	27	30	33	0	1	1	1	2	3	6	5	5	6	4	0	7	12	13	14	14	15	18	19	20	1	1	4	4	4	2	2	1	1	1	1	1	1	1	2	1	3	2	1	2	1
3000	-227.088437892635284	-224.755042634816931	-2.333395257818344	0.000009569953323	0.000031170609856	3.257132903690964	0.399094363824632	2	4	8	12	14	14	16	15	17	16	17	18	18	19	23	21	24	25	27	30	33	0	1	1	1	2	4	6	5	5	6	4	0	7	12	13	14	14	15	15	19	20	1	1	2	4	4	1	1	1	2	1	3	1	1	1	3	1	4	2	2	2	1
3500	-223.222728614683831	-220.736560119741739	-2.486168494942083	0.000009479899965	0.000035231976202	3.716492403041296	0.600153049364112	2	8	9	13	12	14	15	14	15	16	17	18	19	20	22	20	24	24	27	30	32	0	1	1	1	2	3	6	5	2	6	4	0	7	12	13	12	14	15	15	19	20	1	3	3	5	1	2	1	1	4	1	2	1	2	1	1	1	3	1	2	2	1
4000	-219.878755095842308	-217.821372748023776	-2.057382347818530	0.000009514953126	0.000023706175157	2.491465259351608	0.419113489207621	3	6	8	13	14	14	15	14	17	17	18	17	19	21	22	22	23	24	26	30	34	0	1	1	1	2	1	6	2	2	6	4	0	7	12	13	12	14	15	18	19	20	1	2	4	5	4	6	1	3	6	2	2	1	2	2	1	3	1	1	1	2	2
4500	-223.092317276673299	-220.634821993282856	-2.457495283390454	0.000010049218462	0.000036460528477	3.628195427906240	0.422655685856147	2	8	7	13	13	13	14	12	16	16	16	17	20	20	22	22	22	25	26	30	34	0	1	1	1	2	3	6	2	8	6	4	0	7	12	13	14	14	15	18	19	20	1	3	2	5	3	3	1	2	2	2	2	1	3	1	1	1	1	1	1	2	2
