step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98
1	-15578.432240476728111	-15585.287728427687398	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.697362732265736	0	7	15	13	18	27	25	32	26	31	31	35	33	37	36	38	33	37	34	38	39	39	35	36	37	40	36	42	41	43	38	41	43	43	45	43	44	48	50	44	45	48	41	45	44	45	45	47	48	54	49	45	53	52	48	50	65	51	60	62	55	53	57	62	55	59	56	60	61	58	57	64	66	61	63	66	60	65	67	63	66	67	69	70	77	71	74	72	79	79	79	80	81	80	94	97	96	103	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	3	5	4	6	5	5	5	6	6	6	6	7	6	6	6	7	7	7	6	6	6	7	6	7	7	7	7	7	7	7	8	7	8	8	9	8	8	8	7	8	8	8	8	8	8	9	8	8	9	9	8	9	11	9	10	11	9	9	10	11	9	10	10	10	10	10	10	11	11	10	11	11	10	11	11	11	11	11	12	12	13	12	13	12	13	13	13	14	14	14	16	16	16	17
500	-1049.509863715903975	-1056.365351666863262	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.315266669472058	-4	4	15	13	19	22	22	32	24	32	30	19	24	33	34	38	30	36	27	24	41	29	36	35	39	35	31	35	31	40	36	43	43	45	43	36	41	40	51	42	40	45	40	46	30	45	46	48	42	54	43	43	53	53	48	52	61	51	61	61	56	55	54	59	44	58	57	61	63	60	55	56	65	61	64	65	61	66	65	62	66	68	71	64	77	70	71	72	80	73	80	79	79	79	92	98	87	106	0	1	4	0	3	5	4	3	3	19	5	0	4	5	19	8	9	19	5	12	24	6	10	7	10	10	19	22	20	9	11	31	31	40	15	45	15	27	51	11	15	41	23	28	20	10	0	31	17	42	10	0	15	25	29	23	44	26	5	36	45	34	10	58	0	58	29	45	36	63	45	34	37	45	29	36	65	61	41	51	23	40	49	51	86	42	57	20	11	81	59	0	9	87	59	51	0	71	1	1	1	1	2	1	1	2	2	1	2	1	2	2	1	2	2	1	2	1	2	2	1	3	1	1	1	1	2	1	2	1	1	1	1	2	1	1	2	2	1	1	1	2	1	2	1	1	2	2	4	1	3	2	5	3	3	3	8	7	5	2	5	1	1	2	6	6	3	1	8	2	5	6	8	5	4	3	6	3	5	5	5	3	1	2	2	14	5	1	4	1	9	2	4	12	1	18
1000	-956.155553856080360	-963.011041807039760	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.423652399594931	1	8	15	13	18	29	23	24	22	27	30	23	34	35	36	39	34	38	34	25	39	41	33	36	35	38	34	41	37	42	32	36	40	40	46	42	45	48	48	43	45	49	42	41	34	45	45	48	48	49	49	39	47	44	50	51	61	52	57	57	55	51	44	60	52	58	58	61	61	58	58	64	59	59	61	64	56	64	66	61	63	63	68	63	78	58	73	64	81	78	80	82	82	77	92	97	92	105	0	1	4	0	4	7	5	5	3	9	10	0	5	4	31	8	9	11	11	12	23	10	9	7	11	15	11	18	20	26	6	6	10	23	15	45	11	17	30	34	17	31	32	25	20	34	0	23	23	14	8	0	8	14	45	44	41	25	51	36	55	39	28	48	0	17	36	45	61	50	55	62	49	61	29	60	65	69	50	50	48	15	51	58	79	49	81	20	42	57	57	0	58	51	89	91	0	88	1	1	1	1	1	2	2	1	1	1	1	1	3	3	1	1	3	1	1	1	1	2	3	2	1	1	1	1	3	1	1	1	2	1	2	2	3	2	2	1	1	2	1	1	2	1	1	4	2	3	3	1	3	2	4	2	3	3	2	2	1	1	1	2	1	3	4	4	2	2	2	2	2	1	3	2	1	1	4	3	2	4	4	1	2	2	2	11	4	1	4	1	7	3	1	3	1	17
1500	-918.781385012529313	-925.636872963488713	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.543906040054397	-1	4	12	9	18	24	21	30	24	31	26	28	33	35	38	35	32	32	33	31	40	40	34	38	39	39	35	41	40	44	37	41	44	40	45	45	43	49	45	44	44	50	40	44	33	45	42	45	44	51	42	43	53	51	46	48	59	51	59	60	56	54	53	61	53	59	54	58	61	50	49	61	58	62	63	66	55	67	62	58	64	63	66	68	71	61	70	61	78	80	77	76	80	77	96	100	91	105	0	1	4	0	4	4	5	5	3	9	5	0	7	7	23	10	9	11	11	12	13	11	10	13	11	10	11	17	12	25	11	19	34	23	23	45	27	28	22	34	28	31	11	23	20	34	0	25	17	44	17	0	19	17	45	44	18	28	9	67	36	25	48	15	0	39	36	67	61	48	45	40	41	61	67	68	65	69	25	17	86	58	42	79	73	73	57	45	84	94	10	0	86	73	89	89	0	88	1	1	1	1	2	2	1	2	1	1	2	1	2	2	1	1	1	1	2	1	3	3	1	1	2	2	1	1	3	1	2	2	1	1	1	2	2	1	1	1	1	2	3	1	1	1	1	1	2	1	1	1	3	4	4	1	2	2	4	2	1	2	1	3	1	2	2	1	1	1	4	2	2	2	1	2	1	2	4	2	1	2	2	1	2	1	2	8	2	1	8	1	2	3	2	5	1	15
2000	-805.770826534159028	-812.626314485118428	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.627095485060795	-2	8	14	4	19	23	25	28	25	29	32	31	29	36	37	40	35	38	35	37	33	40	33	35	38	38	37	43	40	42	38	41	44	44	42	40	41	50	49	42	46	45	38	44	45	46	41	47	42	53	41	43	51	51	50	49	61	53	48	63	56	50	55	60	51	55	54	60	61	57	59	60	53	53	64	65	60	59	65	64	55	64	61	68	65	65	70	69	76	79	78	79	74	80	91	98	82	104	0	1	4	0	4	5	5	6	4	5	10	0	9	10	19	8	10	19	11	12	7	15	10	13	11	23	23	17	12	23	11	9	19	22	14	20	27	10	30	23	28	31	9	22	36	40	0	49	17	22	25	0	31	25	45	41	41	49	25	67	74	40	25	56	0	39	55	45	78	63	55	40	28	36	45	71	65	74	73	64	73	72	38	83	58	57	86	61	84	57	83	0	87	87	91	95	0	97	1	2	1	1	2	1	1	1	3	2	1	1	1	2	1	3	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	3	2	1	1	1	1	3	2	2	1	1	1	1	1	1	1	1	1	3	1	1	2	2	1	1	2	2	1	2	2	2	2	3	1	1	1	3	1	1	1	3	2	2	3	1	2	1	2	1	1	1	2	1	3	1	1	2	2	3	3	1	1	2	2	1	1	11
2500	-802.817940959763177	-809.673428910722578	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.598475999677223	0	7	14	8	18	22	26	31	23	30	32	29	30	33	34	38	34	37	28	36	38	39	36	35	39	36	34	38	40	42	36	36	44	41	44	38	43	46	44	38	45	45	40	45	45	45	43	42	48	55	50	37	45	50	45	49	57	49	59	62	56	49	55	64	48	60	49	55	58	60	58	66	66	51	61	65	56	62	59	61	55	65	65	66	78	70	75	72	80	80	73	81	82	76	90	94	81	105	0	1	4	0	4	5	5	6	6	3	9	0	7	3	11	6	9	5	9	12	14	15	19	8	15	17	10	27	20	26	11	17	23	40	18	20	31	17	26	19	6	31	32	18	36	34	0	25	30	54	17	0	23	31	36	44	49	25	37	68	74	34	22	44	0	39	45	67	74	57	67	62	66	55	71	68	65	69	81	49	58	62	22	41	83	79	79	69	80	79	84	0	94	79	90	95	0	97	1	1	1	1	2	1	2	2	1	3	1	1	1	4	1	3	2	3	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	4	2	1	2	2	1	1	1	1	1	2	1	1	2	1	1	2	2	3	2	1	1	2	2	1	3	1	1	1	1	2	2	2	2	1	2	1	1	2	2	1	3	3	3	2	2	3	3	3	3	2	1	1	3	3	1	1	7
3000	-818.952414781348807	-825.807902732308207	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.548443415729234	1	5	13	5	8	14	18	34	27	32	28	29	23	34	32	37	31	34	23	35	40	38	35	37	36	38	32	44	40	36	39	40	42	44	46	37	42	44	42	39	45	47	37	43	46	45	38	45	49	54	48	37	54	53	44	48	65	51	60	58	55	49	53	55	56	48	56	48	59	54	56	62	67	52	61	59	60	63	59	61	68	67	61	69	71	74	64	68	78	77	79	79	82	80	81	97	85	104	0	1	4	0	4	5	4	17	19	19	19	0	7	15	19	10	9	19	6	12	24	11	19	3	19	9	11	9	12	15	18	23	18	40	23	20	15	18	30	10	27	17	19	19	36	23	0	18	28	31	17	0	26	28	36	18	51	49	41	68	74	26	41	44	0	39	68	55	61	48	68	62	58	55	60	29	65	69	58	42	87	42	49	37	22	87	79	78	86	57	84	0	87	86	91	91	0	97	1	1	1	1	1	2	2	1	1	2	1	1	1	1	2	1	1	2	2	2	1	2	2	4	2	3	1	2	2	1	1	1	2	1	2	1	2	1	1	2	2	3	2	2	2	1	1	2	1	2	2	1	3	2	1	2	2	1	2	2	1	2	2	2	1	1	2	1	1	2	2	2	3	1	1	3	1	1	2	2	1	3	2	5	5	2	1	1	1	3	1	1	1	1	1	2	1	6
3500	-803.888159141888877	-810.743647092848278	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.670318294064455	-3	7	15	11	15	21	25	29	25	29	26	26	29	36	28	38	35	37	35	36	32	38	33	34	35	31	35	40	38	42	39	40	41	41	44	40	40	49	48	41	46	43	42	48	43	46	47	43	46	51	48	44	53	49	45	45	59	50	53	59	54	53	53	55	55	58	56	49	60	52	59	60	62	50	62	60	59	66	58	56	64	66	67	68	70	71	73	71	81	73	79	75	72	79	93	98	84	104	0	1	4	0	4	5	4	6	6	11	9	0	7	7	11	8	9	10	10	12	13	17	15	13	15	11	8	17	12	11	25	25	17	23	18	29	27	42	42	25	30	31	32	22	36	40	0	15	28	42	25	0	50	15	36	22	48	39	41	68	74	54	48	56	0	39	68	29	61	48	68	46	50	55	68	68	65	69	58	42	79	40	73	73	83	79	73	78	84	25	38	0	41	73	89	91	0	97	1	1	1	1	1	1	3	2	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	2	1	1	3	2	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	3	1	1	2	1	1	4	1	2	2	1	2	2	1	1	2	2	1	2	2	2	1	1	2	3	3	1	2	2	1	1	1	3	1	2	1	1	1	2	2	1	3	6	5	1	3	2	2	2	1	6
4000	-806.174903322991554	-813.030391273950954	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.588359275360407	1	3	15	8	16	27	20	30	23	33	28	30	33	37	35	36	30	37	31	34	37	39	33	36	32	40	35	43	39	36	40	40	45	45	42	43	44	44	50	38	44	50	42	40	46	45	39	49	50	43	51	45	51	44	49	49	63	49	58	58	52	54	57	56	54	56	57	52	58	57	58	64	63	50	62	66	61	63	57	60	63	62	56	72	66	67	68	72	73	77	78	79	80	71	95	86	84	106	0	1	4	0	4	3	3	5	5	19	9	0	7	8	10	9	11	25	11	12	13	10	11	7	11	11	11	17	20	23	15	15	27	40	11	29	25	17	50	15	23	50	32	23	36	40	0	37	18	26	22	0	31	31	45	44	66	23	58	68	74	34	48	49	0	35	68	55	61	48	68	80	10	55	67	67	65	69	28	44	49	46	56	79	79	83	57	78	80	58	73	0	87	86	96	91	0	97	1	1	1	1	1	2	1	2	2	1	1	1	2	1	1	2	1	1	1	1	1	1	2	2	1	2	2	2	1	1	1	1	2	2	2	1	3	2	1	1	1	1	1	1	1	2	1	2	2	1	2	1	2	1	1	1	1	4	2	2	1	2	2	1	1	4	1	1	1	1	2	1	4	1	1	2	2	1	3	2	3	2	2	3	1	2	1	2	2	3	4	1	3	1	2	1	1	6
4500	-781.104052268340070	-787.959540219299470	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.623165903090300	-1	8	15	9	17	27	23	32	24	28	33	30	32	37	31	39	31	32	33	33	41	41	37	37	37	35	37	37	39	44	38	36	39	42	45	36	44	46	45	40	47	48	41	43	41	45	42	48	40	50	47	42	49	52	46	53	64	50	60	61	56	54	55	62	55	57	53	58	59	57	56	64	56	53	60	67	62	66	68	62	62	65	63	69	70	70	69	73	82	79	80	78	78	77	95	84	84	105	0	1	4	0	4	7	4	6	3	9	10	0	7	8	10	8	10	10	15	12	24	19	10	13	15	10	15	17	20	49	19	9	25	49	49	20	27	22	10	10	25	31	32	26	36	40	0	26	17	31	49	0	11	31	36	35	58	41	58	71	74	46	48	56	0	39	29	67	74	48	67	64	58	55	71	71	65	69	83	50	58	40	73	73	50	79	57	78	90	83	84	0	85	58	96	91	0	97	1	2	1	1	2	1	3	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	2	2	2	2	1	2	2	1	1	1	4	3	2	2	2	1	2	2	1	3	1	2	1	3	2	2	1	1	1	1	1	2	1	2	1	2	1	1	2	6	2	3	4	1	1	1	1	3	3	1	1	4	2	1	1	6
