step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96
1	-3902.454465903959772	-3909.309953854919058	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.305938673831294	-1	1	4	3	5	6	7	8	7	9	9	8	10	10	13	10	12	12	11	12	12	13	11	12	12	12	12	13	12	13	12	12	13	14	12	12	14	13	13	14	14	14	15	15	16	15	15	16	16	16	17	17	16	15	16	16	18	20	17	18	18	18	17	21	19	18	19	19	19	20	20	20	21	21	21	21	21	21	22	23	24	26	22	23	23	23	25	25	24	24	25	26	27	28	28	30	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	3	4	4	5	4	5	5	5	6	6	7	6	7	7	6	7	7	7	6	7	7	7	7	7	7	7	7	7	7	8	7	7	8	7	7	8	8	8	8	8	9	8	8	9	9	9	9	9	9	8	9	9	10	11	9	10	10	10	9	11	10	10	10	10	10	11	11	11	11	11	11	11	11	11	12	12	13	14	12	12	12	12	13	13	13	13	13	14	14	15	15	16
500	-818.542021998563087	-825.397509949522487	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.243106587186966	-1	1	1	3	6	4	5	7	6	10	8	8	11	10	13	9	10	12	10	12	13	11	11	12	12	11	13	14	13	13	12	12	14	15	13	11	14	10	13	15	15	15	14	15	16	15	16	16	17	16	15	17	15	14	15	16	19	19	17	17	19	19	17	20	20	19	19	19	20	21	20	18	21	21	19	21	22	20	21	23	24	26	23	22	23	23	26	26	22	23	25	26	28	28	29	31	0	1	1	2	6	0	6	1	6	9	9	9	11	7	17	7	7	12	11	22	19	11	17	17	36	38	6	24	31	16	14	0	3	16	17	6	21	8	17	20	25	6	32	22	13	25	38	7	43	41	12	12	26	20	27	30	53	0	31	55	47	30	41	54	7	37	35	18	31	0	48	43	22	34	37	22	45	34	16	2	79	31	36	43	43	21	38	77	42	34	6	42	7	50	78	65	1	1	1	1	1	1	1	4	1	2	1	1	2	2	2	4	3	2	1	1	3	3	1	1	1	1	5	1	1	2	1	1	7	4	2	3	1	2	2	2	2	5	1	1	2	2	2	10	2	1	5	7	2	1	1	1	2	1	3	1	1	3	1	3	10	2	3	5	5	1	3	1	2	2	4	7	3	2	8	14	1	8	6	3	6	3	15	1	5	3	10	8	14	6	3	5
1000	-753.152240924421790	-760.007728875381190	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.385119298127142	-1	1	3	3	6	4	7	9	7	9	10	9	10	11	14	11	12	13	10	13	13	13	11	13	10	12	13	14	11	11	11	11	14	15	13	12	15	13	13	12	11	14	15	14	16	15	13	17	16	16	16	16	16	15	17	15	18	20	17	19	18	18	18	21	20	16	19	20	19	20	20	20	22	20	20	21	22	20	21	22	23	27	23	23	23	24	26	25	25	24	26	27	28	29	28	30	0	1	2	2	4	0	6	4	6	9	10	3	9	8	22	11	23	5	10	23	14	10	25	7	7	10	31	11	12	19	10	0	21	35	23	25	20	32	25	13	25	39	32	25	16	30	32	6	32	27	32	16	43	16	8	22	49	0	21	36	53	56	26	57	63	23	62	21	38	0	18	21	70	45	26	25	65	57	16	21	28	61	31	68	78	63	43	73	45	79	77	38	17	63	78	91	1	1	2	1	1	1	2	3	1	1	1	2	1	1	1	1	1	2	1	2	1	2	1	2	3	2	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	3	2	4	3	1	8	3	1	2	2	1	2	4	1	1	1	1	4	1	2	2	2	2	2	1	5	2	1	4	3	1	2	5	6	1	1	8	4	4	3	7	1	1	4	10	1	5	1	2	8	10	8	4	4
1500	-674.931444177329354	-681.786932128288754	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.562065594614820	-1	1	4	3	6	4	8	9	7	9	9	9	11	10	14	11	10	12	9	12	12	13	11	12	13	11	12	13	12	13	12	11	13	14	12	13	15	10	13	13	13	14	14	15	16	16	13	16	17	17	17	17	15	15	14	16	17	21	16	17	18	16	17	21	19	17	19	19	18	19	19	20	20	21	22	22	21	21	23	23	24	27	21	23	23	24	25	25	21	25	25	26	28	28	29	29	0	1	1	2	3	0	5	6	6	5	9	2	8	10	22	11	7	38	7	23	8	26	10	23	23	11	17	13	23	26	17	0	23	23	23	27	31	11	29	21	27	31	13	33	42	19	32	34	43	62	38	37	38	29	11	26	54	0	15	36	34	39	25	68	46	26	52	50	38	0	36	61	70	65	37	63	68	72	37	78	57	81	63	64	63	76	38	75	29	65	85	69	78	76	82	90	1	1	2	1	1	1	1	2	2	1	1	5	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	3	1	1	1	1	3	1	2	1	2	2	1	1	1	2	2	1	2	1	1	3	1	1	3	1	2	1	1	2	3	2	1	1	3	1	4	3	2	1	3	1	10	2	3	4	1	4	6	4	1	2
2000	-591.276664893147881	-598.132152844107281	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.568848504826469	0	1	5	3	5	3	8	8	7	8	10	8	10	10	14	11	11	12	12	13	13	13	10	13	12	12	13	13	12	12	12	11	14	14	12	11	14	14	13	15	15	13	16	16	16	16	16	16	16	16	17	18	16	15	17	17	18	20	17	16	18	18	18	22	19	17	17	19	20	20	19	19	22	21	22	20	20	21	23	24	24	26	21	23	22	23	25	25	25	24	26	26	28	27	28	29	0	1	1	2	6	0	5	4	5	5	10	9	8	12	19	8	7	8	14	36	12	31	7	23	17	12	23	8	12	7	14	0	28	35	23	7	16	32	30	22	23	32	32	38	31	17	38	23	32	22	21	37	38	27	34	30	32	0	41	30	60	48	59	55	41	49	30	40	38	0	36	32	70	17	37	59	72	60	63	85	74	90	63	77	76	61	43	75	73	41	84	32	86	81	86	80	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	2	1	3	2	2	1	1	1	1	1	2	1	3	1	1	3	1	3	1	2	3	1	3	3	1	2	2	1	1	2	3	3	1	1	4	1	2	1	2	1	1	2	4	5	1	3	3	1	5	4	2	1	2	1	2	1	1	1	2	2	3	3	1	2	4	2	6	3	1	3	3
2500	-547.221134040879519	-554.076621991838920	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.677152341569783	-1	1	4	3	6	6	8	8	8	9	10	8	10	9	13	10	12	12	11	12	12	14	10	12	12	11	11	14	11	13	12	12	14	14	12	12	14	13	14	14	14	15	14	14	17	15	14	16	16	15	17	18	16	14	16	16	15	20	16	17	18	18	17	20	19	19	18	18	18	19	20	21	22	22	21	21	20	21	22	24	25	26	22	24	23	23	25	25	24	23	25	26	27	27	28	29	0	1	4	2	4	0	6	5	6	8	10	6	12	8	26	7	13	29	8	11	9	17	7	23	23	7	10	24	7	7	23	0	9	35	23	23	16	32	27	17	17	38	32	32	37	20	32	24	32	8	48	37	38	17	28	43	38	0	28	20	63	46	25	63	17	37	40	34	49	0	36	64	58	51	37	65	70	64	52	72	83	80	50	65	61	68	57	79	73	64	71	69	83	66	84	82	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	3	1	1	3	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	5	1	2	1	1	1	1	1	1	1	2	1	2	2	1	4	3	1	2	1	1	3	1	1	3	5	1	1	1	2	2	1	1	3	2	2	2	6	3	1	1	2	3	2	3	2	1
3000	-594.597880559856208	-601.453368510815608	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.641429644655406	0	2	4	3	6	6	7	8	8	9	10	7	9	11	14	10	13	13	12	13	11	13	11	12	10	13	12	12	12	13	11	12	12	14	12	13	14	13	12	14	14	14	15	15	17	15	16	16	16	16	16	18	16	15	16	17	19	18	17	17	18	18	17	21	19	19	20	17	19	20	19	20	21	18	21	21	22	19	22	23	23	26	23	21	23	24	24	25	25	25	25	26	28	26	29	30	0	1	1	2	2	0	6	5	6	6	4	3	12	9	9	7	16	10	10	14	13	33	12	23	7	39	11	21	10	23	10	0	16	23	23	9	19	32	13	19	20	38	32	35	16	25	32	34	43	31	30	56	38	29	40	19	38	0	36	36	29	55	44	65	74	63	52	44	29	0	60	57	70	56	37	65	78	68	75	65	19	81	77	21	73	66	69	79	58	68	59	69	76	64	92	94	1	1	2	1	1	1	1	1	1	1	2	2	1	2	4	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	2	1	1	3	2	1	1	1	1	3	2	1	2	2	3	1	1	1	1	1	1	1	3	1	2	1	1	1	2	1	1	1	1	1	4	1	1	4	1	1	2	2	5	3	4	3	3	1	1	2
3500	-576.635321615233920	-583.490809566193320	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.585409249126570	-1	1	3	4	6	5	8	9	7	8	10	8	11	10	14	10	13	12	11	12	10	14	12	12	12	12	12	12	11	13	12	11	14	14	13	12	14	14	13	11	15	14	16	15	16	15	15	17	15	16	17	18	16	15	16	15	18	21	18	16	18	16	17	21	20	18	19	18	19	20	17	19	22	20	21	21	21	21	22	22	22	25	22	24	22	22	26	25	24	23	25	24	27	28	27	30	0	1	1	1	6	0	5	6	6	6	9	2	3	12	10	8	36	14	12	11	9	8	10	8	40	29	11	32	9	25	11	0	16	35	23	7	14	32	32	14	25	17	28	30	16	30	32	35	19	33	38	16	38	39	33	42	38	0	43	36	45	42	56	49	63	15	52	49	57	0	33	15	70	33	55	52	59	52	52	31	23	76	63	79	67	72	64	79	73	65	64	39	90	82	80	94	1	1	2	3	1	1	1	2	1	1	1	3	3	1	3	1	1	2	2	1	1	2	2	2	1	1	1	1	2	1	1	1	2	1	1	3	2	1	1	1	1	1	3	1	2	1	3	2	2	1	1	4	1	1	1	1	2	1	1	2	1	1	1	4	1	1	1	2	1	1	1	2	1	2	2	2	1	1	2	5	4	2	2	2	2	1	3	2	1	1	1	3	2	3	3	2
4000	-636.573273846947131	-643.428761797906532	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.596961350948644	-1	2	4	3	5	5	7	9	7	9	10	8	10	11	13	10	10	10	12	11	12	13	11	12	9	11	12	13	12	12	13	11	13	15	13	13	14	14	14	15	15	15	15	13	16	15	15	15	16	14	17	17	16	13	16	16	18	19	17	19	18	18	16	20	19	19	20	20	19	19	21	19	21	21	21	22	20	20	21	24	23	26	22	23	23	23	25	25	23	24	25	26	27	27	28	30	0	1	2	2	3	0	6	4	6	5	12	4	7	9	7	8	25	3	14	8	6	7	13	20	7	9	10	12	16	18	24	0	13	24	23	24	16	32	54	54	18	33	32	23	44	54	32	35	32	19	45	37	38	19	39	21	43	0	15	36	53	39	50	65	41	32	72	56	57	0	36	62	58	63	37	65	34	61	17	58	65	68	65	58	57	77	69	79	73	83	83	47	76	65	52	94	1	1	1	1	1	1	2	3	1	2	1	3	2	1	2	1	1	2	1	1	3	2	1	1	1	2	2	3	1	1	1	1	2	2	1	1	2	2	1	1	3	1	2	1	2	1	2	1	1	1	1	1	1	1	1	2	2	1	2	3	1	2	1	1	2	4	1	2	1	1	4	1	1	2	5	2	1	2	4	2	2	2	1	2	2	1	4	2	2	1	2	6	1	3	5	2
4500	-745.566336764110474	-752.421824715069874	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.506121553694858	0	2	4	4	5	6	7	8	7	10	9	8	8	11	14	11	11	12	12	13	11	13	10	13	12	13	12	13	12	14	12	11	13	13	12	11	14	13	13	14	14	14	15	15	16	14	15	16	16	15	17	18	16	16	17	15	17	20	17	18	19	19	18	21	19	18	20	19	19	20	20	21	22	22	21	20	21	21	22	23	24	26	23	21	24	23	25	25	24	23	25	27	28	28	29	30	0	1	1	2	2	0	6	5	6	13	9	5	9	3	22	13	8	36	11	25	9	25	13	7	23	11	23	9	8	8	23	0	6	23	23	6	39	32	29	8	17	38	32	35	30	25	26	35	38	20	35	21	33	31	48	19	38	0	43	41	38	54	41	33	41	55	30	55	53	0	36	46	70	25	37	63	67	69	63	65	62	90	36	62	74	27	43	52	70	6	80	61	90	90	87	94	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	2	2	1	1	1	2	1	1	3	2	2	1	2	1	4	1	1	4	2	1	3	1	2	1	3	2	1	3	1	1	1	1	2	1	1	2	3	2	2	1	3	3	1	1	2	4	1	2	4	2	1	2	1	1	1	6	4	1	5	2	1	1	1	2	3	3	1	10	1	1	4	7	4	2	6	1	6	2	3	2	1
