step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79
1	-100000000000000000000.000000000000000	-100000000000000000000.000000000000000	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.574644502663747	-4	3	9	11	21	16	14	13	13	20	14	13	19	19	22	22	21	30	28	33	33	27	31	39	35	40	48	41	51	47	45	51	59	53	62	56	59	58	62	65	61	59	57	59	61	63	64	63	63	68	66	68	69	64	62	75	68	64	71	82	73	77	74	86	71	84	81	82	79	81	98	81	85	87	85	88	95	101	99	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-408.462529030944665	-417.513372411396006	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996904550150302	-3	0	5	14	23	14	16	8	10	17	13	3	17	19	22	24	19	30	26	34	24	29	22	34	31	39	49	37	50	47	46	48	57	54	60	55	62	56	61	65	43	60	55	53	56	66	65	59	60	60	60	71	71	64	55	76	67	57	70	83	68	78	73	91	69	77	83	82	80	82	96	85	78	87	70	90	95	99	98	0	1	2	3	11	8	8	12	3	9	8	2	4	6	4	13	8	5	6	18	7	16	10	19	10	25	26	21	30	26	25	41	36	30	32	32	34	32	34	38	25	43	30	31	41	37	35	29	55	55	55	57	54	33	44	65	50	43	47	65	51	65	40	73	46	75	62	62	75	75	72	69	40	70	61	72	72	74	64	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-412.930233922167417	-421.981077302618758	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995371438332487	-5	5	5	2	16	19	9	11	9	23	9	15	14	19	20	25	24	29	22	35	32	21	27	33	34	33	46	42	53	50	42	53	58	47	63	54	62	56	63	64	58	58	54	57	61	62	65	58	54	68	68	67	68	66	56	74	69	60	70	73	71	74	72	86	73	82	83	79	78	77	97	78	80	90	84	90	85	105	98	0	1	1	1	9	2	2	9	3	13	3	13	8	13	7	14	14	17	5	19	22	7	5	19	15	23	20	24	31	27	10	34	30	21	33	34	48	30	36	45	29	29	34	32	38	49	32	49	34	39	44	45	38	39	34	50	45	32	45	46	39	54	52	69	40	65	72	60	50	40	72	37	40	72	61	68	70	71	77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-433.320243948942561	-442.371087329393902	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998609012776391	-8	1	11	10	21	14	15	12	5	14	7	14	14	17	20	19	19	27	22	33	37	25	31	41	35	41	47	39	53	41	42	49	58	44	63	51	59	58	58	56	62	62	49	58	49	63	66	54	62	70	67	71	61	66	63	76	65	55	60	80	72	68	76	73	72	85	78	78	74	81	86	76	82	81	81	72	89	90	91	0	1	11	9	8	4	11	9	2	2	2	3	3	7	7	7	13	16	6	15	20	4	19	21	17	18	26	20	26	20	30	25	43	25	48	27	48	27	48	45	45	29	30	32	34	38	58	28	48	58	35	59	48	53	36	52	33	36	58	64	47	35	47	52	47	70	65	59	37	54	68	48	72	69	56	57	63	56	66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-429.643482055883453	-438.694325436334793	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.985096985622394	-1	5	13	12	16	16	3	8	15	22	9	13	16	21	21	23	13	32	22	36	34	20	31	38	29	28	44	35	45	45	44	52	52	57	52	54	60	60	58	67	59	61	53	57	64	55	65	56	67	69	68	66	68	67	59	64	67	65	70	80	71	78	73	76	71	80	83	80	80	82	99	73	80	76	84	79	89	93	91	0	1	1	2	7	1	1	1	11	2	2	1	4	13	11	13	11	22	6	23	15	8	5	26	22	10	25	13	24	20	21	31	29	36	29	29	33	32	48	36	46	44	31	31	44	32	44	32	38	37	56	32	56	44	36	39	47	39	58	61	45	65	49	49	50	58	65	74	59	76	78	56	74	72	73	49	74	67	75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-414.455555393618340	-423.506398774069680	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994625760250001	-2	4	10	11	25	12	11	13	16	17	2	8	15	13	16	23	17	31	21	36	34	27	29	42	32	32	50	44	47	49	46	45	58	49	62	53	61	55	59	69	60	58	56	56	63	57	68	64	54	69	64	69	71	62	56	76	70	63	74	80	76	74	73	82	74	77	84	77	66	80	99	80	88	90	81	87	92	93	91	0	11	12	1	13	11	1	2	6	7	1	11	2	11	12	12	6	22	15	23	19	6	19	26	16	23	31	20	24	31	26	25	36	25	44	27	44	32	34	42	49	34	30	32	38	49	54	33	34	45	43	37	41	43	29	53	41	34	69	69	57	57	40	47	51	50	60	62	39	53	74	69	70	60	68	70	76	74	67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-424.556496322981786	-433.607339703433126	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.984653721344219	-4	3	8	13	19	7	8	11	12	17	14	6	22	21	16	17	18	31	27	29	31	24	33	42	34	40	47	40	45	50	45	50	53	52	49	43	57	53	60	65	64	60	57	63	57	62	64	59	55	62	69	60	57	64	61	74	68	60	69	78	69	70	70	88	72	72	76	81	79	85	84	79	87	88	82	89	95	99	92	0	1	1	7	15	1	2	2	6	9	6	1	17	15	7	6	9	22	22	4	14	4	15	25	22	18	36	22	23	26	25	29	24	27	29	23	29	27	37	38	50	53	32	32	34	37	37	34	24	45	40	34	38	37	33	59	49	38	42	62	39	54	42	67	63	54	57	52	41	67	60	40	51	72	56	69	64	70	70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-428.194593498600341	-437.245436879051681	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995761931608884	-2	7	9	11	22	11	11	7	13	18	16	7	21	22	11	23	24	33	25	28	30	15	30	16	33	37	45	42	49	49	42	49	61	51	63	50	52	52	64	66	60	57	54	61	57	63	65	64	61	60	67	68	69	65	57	60	69	62	74	77	70	77	72	86	67	84	83	74	80	82	86	75	74	90	80	81	90	91	90	0	1	12	8	10	8	8	1	8	9	9	1	7	10	12	7	11	20	13	5	13	15	19	12	23	23	17	19	28	31	18	27	42	27	33	27	27	28	43	49	29	43	32	43	27	37	41	58	30	37	56	58	54	32	29	34	58	55	58	39	65	63	47	72	50	73	49	52	68	60	72	53	41	72	63	59	75	62	72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-415.737707258661999	-424.788550639113339	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997966854856350	-4	4	9	3	20	20	15	17	13	15	15	10	22	15	21	24	19	29	30	33	30	22	31	40	37	40	37	37	54	45	41	47	58	54	62	53	59	55	61	66	57	52	48	60	61	57	61	63	57	67	68	68	60	64	51	72	69	63	70	80	77	69	76	87	61	84	78	80	71	80	94	84	82	86	77	92	88	98	98	0	1	2	1	14	12	3	12	3	3	2	2	14	2	11	7	10	6	17	22	17	10	6	22	21	25	13	21	32	24	21	24	29	20	38	24	42	32	49	65	31	31	28	38	49	29	29	46	36	33	39	35	36	45	32	65	48	49	41	63	49	40	50	67	42	68	56	53	57	56	76	58	63	67	59	64	68	76	76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-413.606970906053107	-422.657814286504447	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.987717793764698	-1	2	5	11	17	14	11	6	16	19	17	8	18	18	24	20	22	31	28	34	33	25	32	37	34	42	50	27	52	44	41	47	60	49	61	54	48	54	61	64	58	58	56	60	59	63	58	67	62	66	65	65	67	61	62	77	64	65	74	81	69	76	67	85	72	81	80	81	71	80	87	78	87	89	77	86	90	96	98	0	1	1	3	3	12	2	1	4	2	4	2	9	12	10	4	11	16	13	19	17	4	16	21	17	23	32	14	31	20	20	23	36	31	38	27	26	29	36	24	37	29	38	36	34	33	37	35	34	45	33	44	54	36	33	53	54	43	55	50	46	69	47	72	61	65	44	56	50	59	72	59	56	62	65	68	59	64	76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
