step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32
1	-1457.632337966978866	-1456.170255882459969	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.045277304806087	-1	3	6	3	7	9	9	10	9	11	12	12	13	15	16	16	18	20	24	25	25	27	30	30	29	30	29	31	31	32	36	37	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	2	4	5	5	6	5	6	7	7	7	8	9	9	10	11	13	13	13	14	16	16	15	16	15	16	16	17	19	19
500	-479.077328821931133	-476.376629589422862	-2.700699232508293	0.000009958217927	0.000043909683766	4.409391729388734	0.084298076747934	-1	1	6	3	7	9	8	11	9	12	11	12	13	16	16	16	18	20	21	23	25	25	30	31	29	30	30	31	31	33	37	37	0	1	2	2	3	3	5	6	5	3	6	6	10	10	13	13	16	17	18	19	0	18	2	19	22	20	1	20	20	22	20	30	1	1	3	1	1	2	1	1	1	4	2	1	1	3	3	2	1	2	1	1	1	2	13	8	3	5	18	3	4	7	11	4
1000	-359.803796112758562	-357.610240029633644	-2.193556083124901	0.000009938099143	0.000028418170203	2.859517679898885	0.218133243442315	-1	3	5	4	7	9	10	9	9	11	13	12	14	15	16	16	18	21	23	25	25	27	30	30	30	29	29	30	32	32	36	36	0	1	2	2	3	3	3	5	5	3	7	6	10	10	13	13	16	17	18	19	0	20	2	22	22	20	2	20	26	26	30	30	1	2	1	1	1	2	3	2	1	3	2	1	2	2	1	1	1	2	1	1	1	1	14	2	2	2	9	2	2	2	4	3
1500	-373.854596383790351	-371.482144502625545	-2.372451881164811	0.000009882634701	0.000033324304054	3.372006055306370	0.520901090610125	0	3	6	4	8	10	10	7	9	11	12	12	13	14	15	15	19	20	23	25	25	27	31	30	30	29	29	31	31	33	37	36	0	1	2	2	3	8	5	3	3	9	3	6	10	10	13	13	16	17	18	19	0	20	3	20	22	20	1	26	26	28	32	30	1	2	2	1	2	2	1	1	2	1	2	1	1	1	1	1	2	1	2	1	1	1	13	3	2	1	16	1	1	1	1	2
2000	-379.205673292328925	-376.820742206278510	-2.384931086050389	0.000009933358964	0.000033863560992	3.409074525076403	0.552835678893118	-1	2	6	4	7	9	9	11	9	11	11	11	14	16	16	16	17	20	23	25	25	26	30	31	29	30	28	32	31	31	37	35	0	1	2	2	3	5	5	6	3	5	7	6	3	10	13	13	16	17	18	19	0	20	1	22	22	20	13	30	26	26	32	26	1	1	2	1	1	1	1	1	3	2	1	1	3	2	1	1	1	2	2	2	1	1	14	3	2	3	9	1	1	1	2	2
2500	-294.285355188391691	-292.387894093349701	-1.897461095041972	0.000009780568323	0.000020345803631	2.080227136067236	0.517046609332079	-1	2	6	4	8	8	9	10	9	12	11	12	14	16	16	16	18	20	23	25	25	27	29	30	29	28	29	31	31	33	37	36	0	1	2	2	3	3	5	6	5	5	5	6	10	10	10	10	16	17	18	19	0	20	21	22	22	20	2	26	26	28	32	30	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	2	1	1	1	2	2	1	2	15	2	1	1	1	1
3000	-292.756716959996879	-290.988004171564796	-1.768712788432062	0.000009929758962	0.000017497011454	1.762078165368395	0.582700948287658	-1	3	6	4	7	9	9	10	10	12	12	12	13	14	16	16	18	21	23	25	24	27	30	31	30	30	27	28	32	32	37	35	0	1	2	2	3	5	5	6	5	7	7	8	10	3	14	10	16	17	18	19	0	20	21	22	22	28	14	20	26	28	32	30	1	1	2	1	1	1	2	1	2	2	2	1	1	4	1	2	1	1	1	1	1	1	2	2	1	1	7	2	2	3	1	2
3500	-288.409226031064406	-286.204020613839873	-2.205205417224518	0.000010199340426	0.000029494988795	2.891852567393555	0.521858587226935	0	2	6	4	7	9	9	10	9	11	11	12	13	15	16	16	17	20	24	26	25	27	31	30	30	31	29	29	31	33	36	35	0	1	2	2	3	5	5	6	5	5	3	6	10	10	13	13	16	17	18	19	0	20	21	22	22	28	11	20	28	26	32	30	1	1	2	1	1	1	1	1	1	1	3	2	2	2	1	1	1	2	2	1	1	1	2	2	2	2	10	1	2	1	1	1
4000	-273.721381778152534	-271.756072112982167	-1.965309665170391	0.000010762317352	0.000024238859560	2.252197065738550	0.640620926314798	0	2	6	3	7	8	9	10	8	12	13	13	14	15	16	17	18	20	24	26	26	28	30	31	29	30	29	28	32	32	36	35	0	1	2	2	3	5	5	6	3	3	5	8	10	10	13	13	16	17	18	19	0	20	21	22	22	28	10	20	26	28	32	30	1	1	2	1	1	1	1	1	1	3	3	1	1	2	1	2	1	1	2	1	1	1	2	2	1	1	9	1	1	2	1	2
4500	-198.477644466293896	-197.054066584729583	-1.423577881564304	0.000011149301002	0.000009891607940	0.887195344197504	0.784260369211465	-1	1	6	3	8	8	9	11	10	11	11	12	13	14	16	16	18	20	24	25	25	27	29	30	29	31	29	29	31	32	37	36	0	1	2	2	3	3	5	6	3	5	3	8	10	10	13	13	16	17	18	19	0	20	21	22	22	28	21	20	28	28	32	30	1	1	2	1	1	1	1	1	2	1	2	1	1	2	2	1	2	2	2	1	1	1	2	2	1	1	2	2	2	1	1	2
