step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75
1	-548.966063900876861	-558.016907281328258	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.735615877438999	1	3	3	3	7	4	4	6	5	5	6	5	9	7	5	5	6	6	10	8	11	8	8	8	9	7	8	8	13	8	8	14	10	10	9	10	10	10	12	10	11	11	16	12	11	11	12	10	13	12	11	11	14	12	14	12	12	14	12	14	12	12	13	15	14	14	19	17	15	16	18	18	20	21	22	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-222.594655612677002	-231.645498993128342	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.955484055197027	1	3	4	4	7	5	5	7	3	5	6	5	7	6	5	6	6	5	7	8	11	8	9	9	9	8	8	7	14	9	9	14	11	8	10	11	11	9	12	11	11	8	17	12	9	10	12	10	12	11	10	11	13	13	9	11	12	15	11	15	10	10	13	14	14	14	19	15	14	17	18	13	19	19	15	0	1	2	1	11	4	9	18	1	9	10	9	11	12	3	4	15	3	10	5	26	19	12	18	8	16	16	10	72	6	28	52	20	15	19	45	26	16	59	34	55	13	75	62	8	28	59	42	35	13	45	27	36	27	26	45	45	56	28	64	13	55	40	44	49	36	70	41	72	60	43	39	43	53	64	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-206.106924473683080	-215.157767854134420	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999845666817277	1	3	3	3	5	4	5	6	5	5	6	6	9	8	6	5	7	6	10	7	8	8	8	9	10	7	8	7	13	9	7	12	8	10	9	10	8	9	13	7	12	9	15	11	10	12	12	9	11	12	11	10	14	10	13	11	13	11	11	14	11	12	11	15	15	13	18	17	16	16	17	19	19	21	19	0	1	1	1	6	3	2	9	2	1	4	9	31	11	4	6	7	6	22	15	28	28	11	40	13	15	15	15	36	28	16	36	26	30	37	28	12	22	34	4	35	23	46	33	33	33	61	18	42	19	34	33	62	21	36	31	56	25	25	59	38	17	31	50	46	47	69	43	55	60	43	71	68	72	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-226.186574803440948	-235.237418183892288	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.983908475354484	1	4	3	4	7	5	4	7	5	5	6	5	10	8	5	6	7	3	10	8	11	7	8	9	9	8	8	9	14	9	8	15	11	11	10	10	11	11	12	10	11	10	16	12	10	10	13	8	12	13	12	10	15	10	14	6	10	15	12	11	12	10	9	12	14	9	18	18	15	17	12	19	20	20	22	0	3	1	18	7	18	1	56	18	3	15	7	63	12	18	10	11	1	6	7	46	9	11	17	17	56	11	22	49	48	17	16	26	30	31	20	46	63	46	20	24	66	32	54	6	23	34	12	62	60	38	28	51	24	36	15	66	44	26	28	41	20	27	35	45	17	69	51	64	41	41	55	67	61	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-236.323613545410467	-245.374456925861807	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.986853154007707	1	3	4	4	5	4	3	5	4	6	6	5	7	6	4	6	6	5	11	8	7	8	9	8	10	7	8	8	14	7	8	14	10	10	9	11	8	6	12	11	10	12	16	9	12	7	9	11	13	9	9	12	12	12	14	13	10	15	10	11	13	13	13	16	13	15	18	16	10	16	11	11	19	15	21	0	1	2	1	3	1	1	9	7	15	3	7	5	9	1	3	18	15	41	18	12	17	11	4	20	8	11	30	69	16	26	61	47	30	6	51	14	18	40	31	31	57	58	16	37	16	27	50	52	38	14	35	33	47	49	71	26	29	20	28	24	52	40	61	36	49	65	63	21	29	57	21	67	60	67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-216.319323290772047	-225.370166671223387	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.983730911580610	2	4	3	4	7	5	5	5	5	6	7	5	8	8	5	5	7	6	11	9	10	9	8	9	10	7	9	8	13	5	9	11	9	10	9	10	10	10	12	11	10	12	6	11	11	11	12	10	13	13	12	12	12	13	13	10	11	14	12	13	11	13	12	16	14	8	19	14	13	16	18	16	20	21	19	0	1	1	1	16	1	3	3	4	7	12	3	4	7	3	3	30	15	36	28	11	18	17	16	24	7	66	7	21	3	18	41	26	43	9	35	35	23	32	36	23	21	16	31	20	22	34	28	35	39	57	34	45	61	40	14	48	27	19	61	33	19	5	55	53	11	29	59	52	68	29	45	71	67	71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-225.878028582461724	-234.928871962913064	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990279587924028	1	4	3	2	8	5	4	7	3	4	6	6	6	5	5	6	6	5	10	8	10	8	7	7	10	7	6	3	13	8	9	13	10	11	9	11	9	8	11	11	11	8	14	12	11	12	13	9	12	13	9	11	15	12	15	12	12	14	10	13	11	9	13	15	15	15	16	18	16	16	18	18	17	21	16	0	4	1	1	7	3	9	6	4	4	15	9	3	10	4	28	7	28	16	12	16	7	18	6	37	14	15	4	19	17	16	61	26	48	13	37	20	15	59	21	35	6	32	39	22	41	45	8	42	59	26	22	34	61	41	5	33	57	20	31	51	23	19	29	32	29	32	61	29	60	47	69	55	53	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-226.216559184598339	-235.267402565049679	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.980999877005519	1	4	2	4	7	5	4	7	6	5	6	6	9	6	3	5	6	7	9	9	10	9	6	8	10	6	8	7	13	7	8	15	11	5	9	11	10	10	12	9	12	12	16	13	12	12	13	10	13	12	10	12	10	12	14	12	10	14	12	14	10	13	11	16	9	14	16	17	13	15	18	19	21	21	17	0	1	1	15	26	7	15	4	4	4	3	3	6	6	3	3	15	16	30	18	28	26	6	34	28	4	26	10	33	17	18	47	20	2	5	21	27	20	40	18	61	57	70	2	57	21	33	23	48	37	30	48	26	19	57	61	28	35	38	42	31	59	9	54	6	45	55	70	56	61	66	43	75	68	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-226.732749710171873	-235.783593090623214	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989827238844342	1	2	3	3	8	5	3	7	5	5	6	4	9	8	5	5	7	4	9	8	12	8	9	6	10	7	6	9	14	9	8	13	11	10	7	10	10	10	12	9	11	11	13	13	12	11	12	8	12	10	10	10	12	8	15	12	13	14	13	10	13	11	9	14	14	15	18	16	15	12	19	17	19	22	22	0	1	1	1	24	3	2	16	2	7	12	2	35	6	4	12	15	7	8	8	52	16	26	10	54	4	15	24	62	11	15	60	30	22	12	35	16	40	62	31	13	60	6	70	41	48	35	12	38	48	20	48	63	9	32	13	34	44	33	48	21	19	27	57	21	47	55	36	64	38	72	64	66	37	67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-222.869881916254741	-231.920725296706081	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999015881233518	1	4	3	2	7	5	4	6	3	5	4	4	9	7	4	5	7	6	11	7	10	9	9	9	9	7	8	8	14	8	8	13	10	10	9	10	10	10	10	6	11	12	12	12	6	11	10	10	13	13	12	11	15	11	14	11	13	14	12	14	12	12	12	15	14	13	19	15	9	14	14	16	18	17	20	0	9	1	1	2	15	9	3	4	7	9	9	27	40	1	15	40	11	35	12	14	45	27	27	6	16	40	17	34	16	14	63	30	8	31	35	27	14	22	12	30	21	38	38	2	48	28	31	33	33	34	34	57	22	56	5	19	22	27	61	56	19	37	71	59	69	60	71	17	66	49	29	14	58	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
