step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14
1	-105.455149679588004	-112.310637630547376	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.442373109318842	0	1	3	3	4	4	4	5	4	5	6	6	6	7	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	2	3	3	3	3	4
500	-65.380993658598186	-72.236481609557558	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.743888819517067	0	1	3	2	4	3	5	4	2	6	6	7	7	7	0	1	9	2	4	9	2	6	1	6	5	9	10	11	1	1	1	1	1	1	2	1	1	2	1	2	1	1
1000	-54.881860278547151	-61.737348229506523	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.781439505401428	0	2	4	4	4	3	4	5	2	5	6	6	7	7	0	1	6	2	2	9	2	6	1	6	7	9	10	11	1	1	1	1	1	1	1	1	1	1	2	2	1	1
1500	-46.448275621645585	-53.303763572604957	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.997605331447013	-1	1	1	3	4	3	4	4	5	5	6	7	6	8	0	1	1	2	4	3	2	6	6	6	7	9	10	11	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-50.667818517234167	-57.523306468193539	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.955251908440361	0	1	3	3	4	2	4	6	4	5	6	6	7	8	0	1	6	2	2	1	4	3	6	6	7	9	10	11	1	1	1	1	1	1	1	1	1	2	1	1	1	1
2500	-52.766258467085379	-59.621746418044751	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.878079316968811	0	2	3	3	5	2	4	4	4	5	5	6	6	7	0	1	6	2	4	1	4	6	6	3	7	9	10	11	1	1	1	1	1	1	1	1	1	2	1	1	1	1
3000	-44.214013311451943	-51.069501262411315	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.977982396235339	1	2	3	3	4	4	4	6	5	6	6	7	7	8	0	1	1	2	2	3	2	6	6	6	7	9	10	11	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-50.542190377467847	-57.397678328427219	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.847349259515043	0	2	3	3	4	4	3	5	5	5	6	6	6	8	0	1	1	2	2	3	2	3	6	3	7	9	10	11	1	1	2	1	1	1	1	1	1	1	2	1	1	1
4000	-42.887847512253899	-49.743335463213270	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.963589961422368	0	2	2	3	4	4	4	5	5	5	6	7	6	8	0	1	1	2	2	3	2	6	6	6	7	9	10	11	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-53.554475046790571	-60.409962997749943	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.735586360818972	1	2	4	4	4	3	4	4	4	5	6	5	6	8	0	1	6	2	2	1	1	6	6	6	7	9	10	11	1	1	1	1	1	1	1	1	1	1	1	1	1	1
