step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97
1	-2791.578025048423115	-2790.115942963904217	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.292570204080692	1	1	2	2	3	3	3	3	3	4	4	5	4	5	5	5	5	5	5	6	5	5	7	6	6	6	6	7	6	6	7	7	7	7	7	7	8	8	9	8	8	8	9	8	10	9	9	10	13	10	11	11	13	12	12	12	13	13	14	14	14	14	14	14	16	15	15	15	16	15	15	16	15	16	18	19	16	16	16	16	16	17	17	18	17	17	17	17	17	18	19	18	19	19	19	21	23	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	4	3	3	5	4	4	4	4	5	4	4	5	5	5	5	5	5	6	6	6	6	6	6	6	6	7	6	6	7	9	7	8	8	9	8	8	8	9	9	10	10	10	10	10	10	11	11	11	11	11	11	11	11	11	11	13	13	11	11	11	11	11	12	12	13	12	12	12	12	12	13	13	13	13	13	13	15	16
500	-1072.107486632971359	-1069.554474105354302	-2.553012527616971	0.000010016013485	0.000039324870028	3.926199788753131	0.232811986989491	0	1	1	2	2	1	2	3	3	3	4	4	4	5	5	4	5	5	5	6	5	5	6	4	5	6	5	7	6	6	5	7	7	7	7	5	8	8	8	7	7	8	9	8	10	7	8	7	10	7	9	9	13	12	11	11	13	12	14	14	14	14	14	14	15	15	15	15	16	15	15	16	15	16	17	19	15	16	16	16	16	17	17	18	17	17	17	16	17	18	19	18	19	19	17	21	23	0	1	1	1	3	1	1	3	5	6	6	7	9	3	24	6	6	10	11	12	12	13	3	3	16	25	6	18	21	22	12	25	25	18	21	7	26	29	21	31	31	41	32	16	52	20	31	7	50	31	7	48	48	46	7	0	48	46	51	12	7	56	46	49	46	12	51	48	24	50	49	46	46	39	12	48	48	46	63	49	12	46	49	48	49	50	40	49	39	41	47	46	50	39	39	58	50	1	1	1	1	1	1	2	2	1	2	2	1	1	2	1	2	2	2	1	2	1	1	3	3	1	1	4	2	1	1	1	2	2	2	2	3	1	2	3	2	2	1	2	3	1	1	3	4	3	2	6	2	5	4	8	1	5	4	2	8	8	3	4	3	6	6	6	8	8	8	5	6	8	8	11	9	5	7	2	6	12	7	7	10	6	10	10	6	7	10	10	10	9	10	7	9	13
1000	-824.577281822898840	-822.373806332313279	-2.203475490585539	0.000010061723579	0.000029048618963	2.887042039483737	0.327506714422969	0	1	1	2	3	2	3	3	3	4	4	5	4	5	5	5	4	5	5	4	5	5	7	6	6	6	6	6	5	6	6	6	7	7	7	7	7	7	9	8	8	8	9	8	10	6	7	7	10	10	10	11	13	12	12	12	12	11	13	14	11	14	13	12	16	15	15	15	16	14	12	16	15	16	16	18	16	16	16	16	16	17	17	18	17	16	17	17	17	18	19	18	18	18	18	21	21	0	1	1	1	3	2	2	3	3	6	6	7	9	3	9	6	6	17	11	7	20	13	8	5	10	16	17	18	20	22	7	16	16	28	29	29	26	21	47	47	31	47	16	25	48	12	31	21	46	46	7	48	45	49	7	0	52	46	51	48	49	56	61	50	61	53	51	52	33	46	49	54	58	61	46	48	60	71	70	58	39	58	75	48	63	71	46	81	70	41	61	73	80	58	88	58	81	1	1	1	2	2	1	2	2	2	2	2	2	1	4	2	2	2	1	1	1	1	1	2	2	2	1	1	1	1	1	2	1	2	1	2	1	1	2	2	1	2	1	3	2	2	1	1	2	2	4	5	3	3	2	6	1	1	4	2	6	1	2	2	2	5	2	4	4	9	7	2	2	2	4	10	10	2	4	2	4	6	4	1	9	2	3	10	1	2	8	8	3	1	5	1	7	4
1500	-714.090424970999379	-711.713156915907234	-2.377268055092121	0.000010129536648	0.000034301558988	3.386291019979618	0.440494583938842	0	1	1	2	2	3	3	3	3	4	4	5	4	5	5	5	5	5	5	6	4	5	4	6	6	6	6	6	6	6	6	7	7	7	7	7	8	8	9	8	8	7	9	8	9	7	9	7	11	10	11	11	11	12	12	12	13	10	13	14	14	14	13	14	16	15	14	15	14	15	12	16	15	13	18	19	16	16	16	16	16	14	17	18	17	17	17	17	17	18	18	18	18	18	19	21	23	0	1	1	2	3	1	2	5	5	6	6	21	9	8	5	6	10	6	11	21	7	13	5	23	16	16	10	18	7	13	21	16	26	28	29	29	25	29	31	31	31	31	33	16	48	31	31	12	39	46	48	48	48	49	48	0	53	46	51	53	49	56	49	63	74	52	59	53	32	46	58	70	58	54	46	48	68	71	70	58	58	58	74	48	78	78	46	73	73	71	58	88	73	85	88	70	96	1	1	1	1	1	3	2	1	1	1	1	1	1	2	2	2	1	2	1	2	1	1	1	2	1	1	2	1	2	2	2	2	1	1	1	1	2	2	2	2	2	1	1	2	1	1	3	2	2	2	2	3	4	1	4	1	1	3	2	3	2	1	2	1	3	4	1	4	6	6	1	1	4	1	11	10	1	4	1	3	6	4	2	7	1	1	10	2	2	4	8	1	3	1	2	5	2
2000	-645.531456502029187	-642.936954803690128	-2.594501698339096	0.000010124711374	0.000041097607015	4.059138625921690	0.621720670935361	0	1	1	2	3	3	3	3	2	4	4	5	3	5	5	5	5	5	5	4	5	5	4	6	6	6	6	6	6	6	6	6	7	7	6	7	8	8	9	8	7	8	9	7	10	8	9	9	13	10	11	11	12	11	12	12	13	10	14	14	14	13	14	14	15	15	13	15	16	15	14	15	15	13	18	19	16	16	16	16	16	17	16	18	17	17	17	16	17	18	19	18	18	18	17	21	22	0	1	1	1	3	4	4	3	3	6	4	20	9	5	5	10	6	10	11	7	7	13	5	14	16	16	4	18	12	22	21	16	16	28	12	12	26	29	31	31	21	41	25	26	48	41	21	12	58	46	48	48	45	58	51	0	53	46	67	53	58	56	54	49	74	48	55	60	16	74	49	49	61	54	46	52	60	71	70	49	73	65	65	68	78	78	71	73	81	78	86	88	81	78	88	95	96	1	1	1	2	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1	1	1	1	3	1	1	1	1	1	1	1	1	2	1	2	3	2	2	1	1	1	1	1	2	2	3	2	2	1	2	1	1	1	1	2	1	1	2	1	2	1	2	5	1	1	10	2	1	2	1	1	10	6	1	1	1	3	1	2	1	2	1	1	3	1	1	2	2	2	1	1	1	4	1
2500	-618.199363242907566	-616.189560474804239	-2.009802768103282	0.000010219176848	0.000024187994373	2.366921987259100	0.535892835082228	0	1	1	2	3	3	3	3	3	4	4	5	4	5	5	5	5	5	5	6	4	5	7	6	6	6	6	7	6	6	7	7	7	7	6	7	8	8	9	8	8	8	9	8	10	8	9	9	13	10	11	10	11	12	12	12	13	10	14	13	11	14	14	14	15	15	14	15	16	14	15	15	15	14	18	17	15	16	16	16	16	16	15	18	17	17	17	17	17	18	18	18	19	19	18	20	22	0	1	1	1	3	2	2	3	3	6	6	7	8	5	9	10	10	10	11	12	7	13	14	3	10	6	10	18	21	13	12	26	16	18	12	29	33	12	46	7	31	31	26	26	48	31	41	21	61	46	48	48	45	58	51	0	53	46	55	53	58	56	61	49	54	52	55	60	10	54	49	70	74	49	46	48	60	71	63	49	73	74	49	77	78	78	78	81	81	85	78	88	73	86	88	95	96	1	1	1	2	2	1	1	2	2	1	1	2	1	2	2	1	1	1	1	1	1	1	2	4	1	2	1	2	2	1	2	1	2	2	1	1	1	3	1	3	1	1	2	2	1	1	1	5	2	2	2	1	1	2	1	1	1	2	2	2	1	2	3	1	2	5	2	1	5	2	2	1	1	1	10	5	1	1	1	3	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	2	2
3000	-577.011611321688406	-574.883836574164775	-2.127774747523598	0.000010145802958	0.000027185579589	2.679490199297049	0.581460194342050	0	1	1	2	3	3	3	2	3	4	4	5	3	3	5	5	5	5	5	6	5	5	7	6	6	6	6	7	6	6	7	7	7	7	7	7	8	8	9	8	6	8	9	8	10	9	9	9	13	10	11	10	12	12	12	12	13	10	14	13	13	13	14	14	16	13	15	15	14	13	15	15	15	14	18	19	16	16	16	15	16	17	17	18	17	17	17	17	17	18	19	18	18	19	19	20	23	0	1	1	2	8	2	2	3	3	6	6	7	8	8	9	10	4	10	11	21	7	13	14	14	16	16	17	18	21	22	41	25	16	17	29	29	26	29	41	31	7	31	33	25	48	41	31	12	58	46	48	48	48	58	51	0	53	46	55	53	58	56	54	54	74	48	55	60	17	58	70	64	74	49	58	48	68	71	64	70	73	49	73	77	78	78	78	74	81	85	86	88	73	86	88	95	96	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	3	1	1	1	1	2	2	2	1	1	1	2	1	1	1	1	2	1	1	1	2	2	2	1	2	1	2	2	1	2	2	2	2	1	2	1	2	2	1	1	1	1	2	1	2	1	2	2	2	3	2	2	4	2	2	1	1	1	8	7	1	1	2	2	1	3	2	2	1	1	1	3	1	1	2	1	2	1	2	1	3
3500	-488.004371496745080	-485.889469513773463	-2.114901982971644	0.000010356042015	0.000027389217415	2.644757270678856	0.646623635997505	0	1	1	2	3	3	3	2	3	4	4	4	4	3	5	5	5	4	5	5	5	5	6	6	6	6	6	7	5	6	6	7	7	6	7	7	8	7	8	8	8	8	9	8	10	9	9	9	13	10	11	11	12	12	12	12	13	13	14	13	14	13	14	14	16	15	14	15	16	15	15	16	15	16	18	19	16	16	15	16	16	17	16	18	17	17	17	17	17	18	19	18	19	19	19	20	23	0	1	1	1	3	4	1	3	8	6	6	7	5	8	9	10	10	6	11	7	7	13	14	14	16	16	6	34	7	22	12	16	16	18	21	29	17	29	31	31	31	31	33	25	48	39	31	21	54	46	48	48	52	46	51	0	53	46	55	53	49	56	49	49	54	52	55	60	62	49	63	54	61	49	83	66	68	71	54	73	73	65	70	77	78	78	78	81	81	85	87	88	74	86	88	95	96	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	3	2	1	1	2	1	2	1	2	2	2	2	2	1	2	2	1	2	2	2	1	2	1	1	3	3	1	1	2	1	1	3	1	1	1	3	2	1	1	1	1	1	3	4	2	2	2	2	1	4	1	2	2	4	1	1	3	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	3
4000	-477.580267570163130	-475.743321746213553	-1.836945823949602	0.000011425709274	0.000022046256477	1.929530670620924	0.717173913042651	0	1	1	1	2	2	3	3	3	3	3	5	4	5	5	5	5	5	5	6	5	5	7	3	6	6	6	7	6	6	6	7	7	7	7	7	8	8	8	5	8	8	9	8	10	9	8	9	13	10	11	11	12	12	12	11	13	13	14	13	14	14	14	14	16	13	15	15	16	15	15	15	15	14	18	19	16	16	16	16	16	17	16	17	17	17	17	17	17	18	19	18	17	19	19	20	23	0	1	1	1	3	4	2	5	3	6	6	7	9	24	9	10	10	10	11	12	7	13	14	5	16	16	17	18	12	13	40	16	25	18	21	21	25	29	31	7	31	31	33	26	48	39	31	20	54	46	48	45	48	46	51	0	53	46	55	53	49	56	49	58	74	48	55	60	62	49	61	54	54	49	83	66	68	71	72	73	73	70	63	77	78	78	78	81	65	85	87	88	73	86	92	95	96	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	2	2	2	2	1	2	1	2	1	1	1	1	2	1	2	1	2	1	1	1	2	2	2	2	2	1	2	1	2	1	1	2	2	1	1	1	1	2	3	1	1	1	3	2	1	1	1	1	1	2	1	2	2	2	1	1	2	2	1	2	4	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	3
4500	-459.894704742319391	-457.701011109456260	-2.193693632863142	0.000011883869428	0.000033986662313	2.859898665029207	0.721303395096030	0	1	2	2	3	2	3	3	3	4	3	4	4	5	5	5	4	5	5	6	5	5	7	3	6	6	6	6	6	6	6	6	7	7	6	7	8	7	9	8	8	8	8	8	10	9	8	9	13	10	11	11	12	11	12	12	13	13	14	13	14	14	14	14	16	15	15	15	16	15	15	16	15	14	18	16	16	16	16	16	16	17	16	18	17	17	17	17	17	18	19	18	19	19	19	20	22	0	1	2	2	3	1	1	3	3	6	6	7	9	24	9	17	6	17	11	12	12	13	14	3	16	16	10	18	21	22	12	16	26	28	21	7	33	29	41	31	31	31	26	25	48	47	31	20	54	46	48	48	48	46	51	0	53	54	55	53	49	56	49	58	70	48	55	60	62	63	58	54	74	54	83	66	68	71	58	73	73	74	61	77	78	78	78	81	81	85	87	88	73	86	92	95	95	1	1	1	1	1	2	3	1	1	2	1	1	1	1	2	1	2	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	3	1	1	1	2	2	1	2	1	1	1	2	3	1	1	2	2	2	2	1	1	1	2	2	1	1	2	1	1	1	2	2	1	2	1	2	2	1	2	2	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	2	1	3	2	1	1	1
