step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55
1	-3049.331175896758850	-3047.869093812239953	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.768946598494027	0	2	1	2	2	5	3	3	5	7	5	5	5	9	6	6	7	8	8	7	8	7	8	8	8	8	10	9	10	10	10	11	12	12	13	12	13	14	14	15	16	17	16	16	17	17	17	18	20	20	23	21	21	23	25	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	4	3	3	4	6	4	4	4	7	5	5	6	6	6	6	6	6	6	6	6	6	8	7	8	8	8	8	9	9	10	9	10	11	11	11	12	13	12	12	13	13	13	13	15	15	17	16	16	17	18
500	-586.708371437602636	-584.269756611775506	-2.438614825827170	0.000010028746372	0.000035808529806	3.570588832890383	0.356631311095879	-1	2	0	2	2	3	3	3	4	7	5	3	4	9	5	5	4	7	8	7	8	7	8	7	8	8	10	9	10	8	9	11	12	12	13	9	11	14	14	15	16	17	15	16	17	17	17	18	20	20	23	21	21	22	25	0	1	1	3	3	4	4	4	6	15	4	4	12	9	12	13	4	11	16	9	10	13	10	9	16	16	23	23	23	17	23	28	30	30	17	30	17	36	24	37	36	37	36	36	38	30	30	17	37	17	36	36	36	0	0	1	3	1	2	2	1	1	1	1	2	3	1	1	5	2	1	1	1	3	2	1	2	1	2	1	2	2	1	2	2	1	1	4	3	8	1	7	3	7	4	6	5	5	7	3	7	8	11	7	15	13	9	12	1	1
1000	-439.640333613705423	-437.618953782465951	-2.021379831239455	0.000010003594679	0.000023979060606	2.397044400030886	0.293831100650619	0	2	1	2	2	5	3	3	5	7	4	3	4	8	6	6	6	8	7	7	7	5	8	8	8	8	10	9	10	9	10	10	12	12	13	9	11	14	14	15	16	15	16	16	17	16	16	18	20	20	23	21	21	22	24	0	1	1	3	3	4	4	4	4	15	7	4	12	8	12	22	6	11	16	9	15	13	15	17	19	22	23	23	23	24	23	28	30	30	30	14	36	37	37	37	37	37	40	36	42	40	36	36	42	17	42	40	36	0	0	1	2	1	1	1	3	1	1	3	1	1	1	1	2	2	1	1	3	1	1	1	1	2	2	1	3	2	1	1	1	2	1	2	3	4	1	2	2	2	4	5	3	1	7	2	1	6	9	5	13	8	6	11	1	1
1500	-351.083729830132313	-349.306624550416529	-1.777105279715778	0.000009909118658	0.000017663584741	1.782558605830722	0.448316370486931	0	1	1	2	2	5	3	3	5	7	4	3	4	9	6	5	6	8	8	7	7	7	8	8	8	8	10	9	10	10	10	10	11	12	13	9	12	12	14	15	16	17	16	16	17	17	17	18	19	19	22	20	21	21	25	0	1	1	3	3	4	4	4	4	15	7	4	12	9	13	13	6	11	22	6	15	16	21	17	16	22	23	23	23	17	23	28	30	30	34	24	36	36	36	37	37	39	40	39	39	40	37	36	42	43	45	50	50	0	0	1	1	1	1	1	2	1	1	3	1	1	1	1	4	1	1	1	2	1	2	1	2	1	2	1	1	2	1	2	4	2	1	1	2	1	1	2	2	5	3	3	1	1	2	3	2	5	8	2	3	2	1	2	1	1
2000	-331.845352359588560	-330.117407072811034	-1.727945286777520	0.000010014118342	0.000016652886802	1.662940883437946	0.523714777049620	0	1	1	2	2	3	3	3	5	7	5	4	5	7	6	6	7	8	7	7	8	7	8	8	8	8	9	9	10	10	10	11	12	12	13	9	12	14	14	15	15	17	16	16	17	17	17	18	20	19	22	21	21	23	24	0	1	1	3	3	4	4	4	8	13	7	7	12	4	13	13	4	7	13	9	15	13	15	17	19	22	23	23	23	17	27	28	30	30	34	17	36	37	37	38	39	41	40	37	39	40	36	39	42	43	45	50	50	0	0	1	1	1	1	1	1	1	1	2	2	2	1	1	5	1	1	3	5	1	2	2	2	2	1	1	1	1	1	2	2	1	2	2	1	1	2	2	2	2	1	1	2	1	3	2	2	8	4	3	2	2	2	2	1	1
2500	-309.934823748053702	-308.088222639362414	-1.846601108691297	0.000010086660159	0.000019703507100	1.953422321193502	0.551997530550036	-1	2	1	2	2	5	3	3	5	7	5	4	5	9	6	6	7	8	7	7	8	7	8	8	8	8	10	9	9	10	10	10	12	12	13	11	13	14	13	15	16	17	15	14	17	17	17	17	20	19	23	21	21	22	25	0	1	1	3	3	4	4	4	4	15	7	7	12	9	12	13	6	11	16	9	15	13	15	17	19	13	23	23	23	24	23	28	30	30	34	30	36	36	36	37	37	37	38	37	41	41	36	43	42	48	45	50	50	0	0	1	3	2	1	1	2	1	1	3	1	2	1	1	3	2	1	2	3	1	2	2	2	2	1	1	2	2	1	1	2	2	1	2	1	1	1	2	3	2	1	3	3	1	1	1	1	6	1	3	2	4	1	2	1	1
3000	-309.555191227000364	-307.821725893093799	-1.733465333906540	0.000009806670718	0.000016439271515	1.676335627934066	0.808149829936980	0	1	1	2	2	5	3	3	4	7	5	4	5	9	6	6	6	8	7	7	8	7	8	8	8	7	10	9	10	9	10	10	10	11	13	12	13	14	14	15	14	16	16	16	17	17	17	18	17	19	23	19	20	23	25	0	1	1	3	3	9	4	4	4	15	7	7	12	6	13	13	9	7	13	6	15	16	15	17	19	16	23	23	23	24	23	28	30	30	34	30	36	37	37	41	37	38	40	37	41	40	43	40	42	48	45	48	48	0	0	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	2	2	2	2	2	1	2	2	1	1	1	1	1	1	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	2	1	3	1	1	2	1	2	1	1
3500	-302.053532643618780	-300.343781260971923	-1.709751382646874	0.000010039354189	0.000016252097316	1.618838922266994	0.852662696232380	0	2	1	2	2	5	3	3	5	7	5	4	5	6	6	6	7	7	7	6	8	6	8	8	8	7	9	9	10	10	10	11	11	12	13	12	13	14	14	15	13	17	16	14	16	17	17	18	20	20	21	19	21	23	25	0	1	1	3	3	4	4	4	4	16	4	7	12	11	13	13	6	11	16	9	10	13	15	17	19	13	23	23	23	17	27	28	30	30	34	30	36	37	37	37	36	45	40	37	38	40	43	43	42	48	45	48	52	0	0	1	1	1	1	1	3	1	1	2	1	3	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	2	2	2	3	1	1	1	1
4000	-323.794164298091289	-322.010768437338697	-1.783395860752584	0.000010321177763	0.000018556740982	1.797928628639804	0.674123045188875	-1	2	0	2	1	5	3	3	5	5	4	4	5	8	6	6	7	8	8	6	8	7	8	8	8	7	10	9	9	9	10	10	10	10	12	12	13	14	14	15	16	16	16	15	17	17	17	18	17	20	21	20	21	23	25	0	1	1	3	3	4	4	4	4	12	4	7	12	9	10	13	6	9	26	4	15	13	15	17	16	16	23	23	23	24	23	23	17	30	34	34	36	37	36	39	37	37	40	39	38	41	43	47	39	48	45	48	48	0	0	1	1	1	2	1	2	1	1	2	1	2	1	1	2	1	1	1	3	1	2	2	1	2	1	2	1	2	1	1	1	1	2	1	1	2	1	1	1	2	1	3	2	1	1	2	1	1	1	2	2	3	2	2	1	1
4500	-293.343900565897968	-291.562451280873290	-1.781449285024678	0.000010917627273	0.000019577169285	1.793170695075494	0.760438823451318	0	2	1	2	2	4	3	3	5	5	5	4	5	9	6	6	7	8	8	7	8	7	8	8	8	8	10	9	9	9	9	10	11	11	13	12	13	14	14	15	16	16	16	15	17	17	17	18	19	20	23	21	21	22	25	0	1	1	3	3	4	4	4	7	12	7	7	12	9	10	13	9	7	16	9	15	13	15	17	16	13	23	23	23	17	23	28	30	30	34	34	36	36	36	37	36	39	40	39	41	41	43	43	41	48	45	50	48	0	0	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	3	2	2	2	2	2	1	2	2	1	1	1	2	1	1	2	2	1	1	1	2	2	1	3	1	1	1	1	1	1	1	2	2	3	1	2	1	1
