step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47
1	-260.438175374104446	-258.976093289585549	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.345116899987359	1	3	5	7	8	10	9	8	10	9	9	10	10	11	10	11	11	13	10	11	11	12	12	13	13	12	13	15	13	13	15	15	18	16	17	16	16	16	18	18	16	18	18	19	20	21	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	5	4	4	5	4	4	5	5	5	5	5	5	6	5	5	5	6	6	6	6	6	6	7	6	6	7	7	9	8	8	8	8	8	9	9	8	9	9	9	10	10	10
500	-190.950615065694478	-189.488532981175609	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.355061723065477	1	3	5	7	7	10	9	9	10	9	9	11	9	11	11	12	10	12	9	12	10	12	13	13	13	12	13	15	13	13	14	16	19	16	18	15	16	15	17	18	17	18	19	19	20	21	21	0	1	2	3	3	3	4	4	19	4	3	3	5	2	7	9	11	21	5	5	3	17	3	20	7	8	4	17	10	3	29	9	8	7	31	24	21	15	25	24	10	9	36	28	44	44	41	1	2	1	2	2	3	1	1	1	1	1	3	1	4	1	1	1	2	1	3	3	1	4	1	2	2	4	2	2	3	1	3	5	3	2	2	3	2	2	3	4	4	2	1	1	1	1
1000	-131.930596611903979	-130.468514527385111	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.743368580150077	1	3	5	7	8	11	9	8	11	8	8	10	10	10	11	11	12	13	9	12	11	13	11	13	13	12	13	16	13	13	14	15	17	15	17	17	16	16	18	18	16	18	19	19	20	20	21	0	1	2	3	2	19	11	1	7	2	3	5	10	5	7	7	13	21	11	19	7	6	10	15	26	13	23	21	9	17	25	24	32	29	18	34	23	30	37	37	29	32	33	39	37	43	33	1	1	1	1	2	1	1	3	1	3	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	1	3	1	1	1	2	1	1	1	2	1	2
1500	-122.377387726481544	-120.915305641962661	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.986514103011031	1	3	5	8	7	11	10	8	8	9	9	11	11	12	11	12	10	12	10	11	11	10	12	13	14	13	12	15	13	14	15	15	17	16	17	15	16	16	18	18	17	19	17	19	20	21	21	0	1	1	5	2	19	5	5	2	8	5	22	19	21	10	20	8	22	8	11	11	8	7	21	23	6	20	24	23	12	29	20	32	32	31	29	25	25	32	28	36	43	36	37	43	45	35	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-123.077031946481426	-121.614949861962543	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.952044609847952	1	3	5	7	9	11	10	8	10	8	9	8	10	11	10	12	12	13	11	11	11	12	12	12	12	12	13	15	12	14	13	15	17	16	14	17	17	16	18	19	16	17	18	20	20	21	19	0	1	2	3	12	8	12	4	10	3	4	4	10	15	8	21	15	6	9	9	13	14	5	9	13	8	20	24	14	16	6	18	28	18	18	41	32	30	28	36	23	34	34	39	43	47	35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
2500	-126.055138851527445	-124.593056767008562	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.961541790068309	1	3	5	7	9	11	9	8	10	9	7	11	10	12	10	11	11	10	10	12	11	12	12	14	12	13	14	16	14	13	16	14	18	16	15	16	15	17	18	18	16	17	19	18	18	20	22	0	1	2	3	11	18	4	11	10	4	3	5	8	4	7	9	7	10	10	9	19	13	10	25	15	17	19	32	30	7	29	22	35	14	26	32	26	27	28	36	37	41	28	34	28	39	46	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
3000	-120.679368402826171	-119.217286318307288	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.775388635575803	2	3	6	7	8	10	10	9	11	9	9	10	10	11	10	11	11	14	11	12	11	12	11	14	13	12	13	15	14	13	16	15	17	16	18	16	16	17	18	18	16	17	19	20	19	22	22	0	1	2	3	3	4	4	3	12	1	4	8	4	11	10	10	6	17	8	6	8	15	7	26	22	6	22	29	20	19	20	27	24	28	37	24	18	27	42	31	29	28	42	42	42	44	42	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2
3500	-126.354452244215764	-124.892370159696881	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.979931479813172	1	3	6	8	7	11	10	8	10	7	9	9	10	11	11	11	12	14	10	11	12	11	11	13	14	13	13	15	13	14	16	16	16	17	17	15	15	16	16	17	16	18	18	18	21	21	20	0	1	1	5	3	13	12	10	10	3	5	5	4	7	13	7	19	17	8	19	9	11	8	16	27	19	9	18	19	26	37	30	26	39	33	18	18	28	28	33	18	38	40	25	43	42	35	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-115.739356419397282	-114.277274334878399	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.973517843856495	1	3	5	7	7	10	9	8	10	9	9	11	9	11	10	11	11	13	9	12	10	12	11	14	14	12	13	14	12	14	16	15	19	17	18	15	16	16	18	18	15	17	15	19	20	22	18	0	1	2	3	3	13	5	4	13	5	4	6	5	5	8	19	11	22	5	14	8	16	19	22	22	17	12	26	11	20	24	27	42	31	31	28	17	28	31	34	28	37	26	39	34	45	24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
4500	-115.181648817497063	-113.719566732978180	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.963182749459775	1	3	5	7	9	10	10	8	10	8	10	10	10	12	11	12	11	13	10	12	11	12	11	14	13	12	13	16	13	14	15	15	18	16	17	16	16	15	17	18	16	18	18	18	21	20	21	0	1	2	3	4	8	10	4	8	3	10	8	8	12	7	10	5	21	10	9	12	9	5	18	13	9	26	22	22	16	13	21	36	30	31	38	24	18	7	36	18	37	37	41	43	35	43	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	1	1	1	2	1
5000	-115.141722599747865	-113.679640515228982	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.960234334987350	2	4	6	7	8	11	8	8	9	9	10	10	10	11	10	9	11	14	10	9	11	12	12	14	13	12	13	15	12	14	15	15	18	14	18	16	16	15	19	19	17	17	17	18	20	20	21	0	1	2	3	3	10	3	3	4	7	8	5	9	16	5	5	15	10	5	5	11	16	15	29	17	14	29	27	19	25	23	26	30	27	32	18	30	34	36	41	37	38	38	38	39	35	39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
