step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109
1	-1841.166655782337102	-1839.704573697818205	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.813421793762164	0	1	4	4	6	5	7	6	7	7	11	9	9	10	10	10	11	12	9	10	9	11	11	13	12	10	11	12	12	12	12	11	12	13	12	15	14	15	14	13	15	14	15	15	16	19	16	15	18	18	18	19	19	19	19	19	20	20	20	21	21	21	21	21	21	21	23	22	22	22	21	22	23	24	22	26	24	23	22	24	24	24	25	24	24	26	25	24	27	26	27	27	26	27	28	27	28	28	29	28	29	29	29	30	31	31	35	35	37	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	4	3	4	4	6	5	5	5	5	5	6	6	5	5	5	6	6	7	6	5	6	6	6	6	6	6	6	7	6	8	7	8	7	7	8	7	8	8	8	10	8	8	9	9	9	10	10	10	10	10	10	10	10	11	11	11	11	11	11	11	12	11	11	11	11	11	12	12	11	13	12	12	11	12	12	12	13	12	12	13	13	12	14	13	14	14	13	14	14	14	14	14	15	14	15	15	15	15	16	16	18	18	19
500	-848.900087454911954	-846.973467222652289	-1.926620232259634	0.000009996755738	0.000021530172030	2.153715924792035	0.217209384226711	1	2	3	3	6	6	8	5	7	7	12	8	10	11	8	10	10	12	9	11	9	11	10	13	12	10	12	11	11	13	12	11	13	12	12	13	14	15	14	13	12	14	15	14	16	19	16	12	18	17	18	19	19	19	19	20	21	21	20	20	21	21	21	21	19	21	23	22	22	23	21	22	23	25	22	26	24	22	23	25	24	24	26	24	24	26	25	24	27	24	26	27	27	27	29	28	29	28	28	28	27	30	28	31	32	30	35	35	38	0	1	1	1	3	3	6	1	5	8	26	1	1	15	1	12	8	1	7	5	1	26	1	35	8	1	16	7	19	17	9	12	23	14	16	1	14	21	20	21	1	19	33	18	14	1	34	1	35	14	37	15	41	18	42	14	8	41	43	1	24	42	1	1	1	53	1	1	64	63	1	31	47	90	20	56	31	1	63	1	62	52	66	57	5	46	75	65	27	52	1	48	41	1	67	41	48	48	67	56	60	17	58	53	12	96	29	1	16	1	1	1	1	2	1	1	2	1	1	1	3	4	2	4	1	3	7	1	2	3	1	4	1	4	4	1	1	1	2	3	2	2	1	1	5	2	3	1	2	3	3	1	1	3	11	2	5	3	2	2	7	3	4	2	4	9	3	2	9	4	4	10	11	10	1	12	11	1	1	10	4	3	1	5	2	8	12	2	13	2	3	2	1	10	4	2	2	7	3	10	11	13	14	3	13	13	7	3	5	2	13	4	8	13	1	17	17	19
1000	-834.951443982005458	-833.040875876197561	-1.910568105807857	0.000009986192020	0.000021102673656	2.113185247512625	0.240412584393482	1	2	4	4	7	5	8	6	7	6	11	8	9	9	10	11	11	11	10	10	10	12	10	12	12	9	11	12	11	12	12	12	11	10	12	16	14	16	13	13	15	15	14	15	16	19	16	15	18	18	18	19	19	17	20	19	20	20	21	20	20	21	18	19	21	22	24	22	22	23	20	22	23	23	23	27	24	23	21	25	24	24	25	25	25	26	26	25	26	26	25	26	26	27	28	27	28	27	30	27	29	28	29	30	31	31	36	34	37	0	1	1	1	4	3	4	1	3	1	8	8	1	5	9	23	1	8	5	7	7	33	1	1	1	1	34	11	34	7	12	26	1	10	12	33	25	5	4	26	12	40	19	13	16	5	43	33	41	32	33	20	27	11	33	10	33	1	43	53	5	64	41	17	39	30	34	1	64	45	1	60	24	56	50	67	59	1	46	1	50	21	71	52	42	36	44	31	61	54	68	11	48	69	36	88	1	52	61	75	87	1	102	22	101	92	89	5	79	1	1	2	1	1	1	2	3	2	2	3	1	5	1	1	1	6	2	2	1	1	1	4	6	4	4	1	1	1	1	2	1	5	3	2	3	1	6	6	2	5	1	1	2	2	5	1	1	2	3	2	6	5	4	7	8	3	8	3	1	6	1	2	5	6	5	9	11	2	4	7	1	5	4	3	1	2	13	1	14	3	7	2	3	8	5	5	8	4	5	3	8	6	5	6	1	10	3	4	3	2	15	1	9	1	3	7	16	7
1500	-778.920038760304919	-776.888347084120142	-2.031691676184804	0.000010044353157	0.000024347231200	2.423972038683614	0.343266109320427	1	2	3	5	7	5	7	7	7	8	11	7	8	11	10	10	11	12	10	11	9	11	12	13	13	9	12	13	12	13	12	12	12	14	12	16	14	15	12	14	15	15	16	16	17	17	16	14	17	18	18	17	18	19	17	20	20	20	20	20	21	19	21	21	18	20	24	22	22	22	21	22	23	23	22	26	23	24	22	25	24	24	26	25	24	26	25	25	28	25	27	27	26	26	28	28	29	29	30	28	28	29	29	30	31	32	35	35	38	0	1	1	1	3	1	4	1	3	5	10	6	6	2	10	10	10	21	3	6	1	2	6	1	15	1	16	1	14	6	2	16	14	22	16	37	23	28	8	27	39	22	27	16	25	33	24	39	40	28	28	23	41	25	1	1	52	1	34	42	42	52	59	6	1	36	65	1	49	19	19	53	56	55	33	55	57	1	58	1	65	77	53	19	68	75	65	57	86	44	78	58	71	51	88	58	52	90	34	93	70	1	84	89	78	104	22	1	64	1	1	1	1	2	2	1	4	1	1	3	1	2	4	2	1	1	2	3	3	4	3	4	6	1	3	1	7	1	4	5	1	1	2	1	2	1	1	3	1	2	2	2	4	2	2	1	1	1	2	3	3	2	3	6	7	2	6	3	2	3	1	1	9	5	2	3	11	2	5	6	2	1	4	7	4	1	13	1	14	3	1	7	7	2	2	3	2	1	5	1	6	3	4	2	4	5	3	8	1	3	14	2	1	4	1	11	15	10
2000	-748.039575380621045	-746.367154025778973	-1.672421354842077	0.000009991341948	0.000015271519771	1.528475338941622	0.337003677198982	1	2	3	4	5	4	8	7	7	6	11	9	9	10	10	8	11	13	9	10	10	11	11	13	12	10	10	11	12	10	13	12	11	12	12	15	14	14	13	13	13	14	15	15	16	17	15	14	18	18	19	19	18	19	18	20	20	21	20	21	21	21	22	22	19	20	23	22	22	21	21	22	23	25	23	26	25	24	21	25	23	23	26	25	22	26	25	23	27	27	27	25	26	28	28	28	27	26	29	28	28	30	29	31	32	30	35	34	38	0	1	1	1	3	1	10	1	6	4	8	1	7	8	1	10	27	1	10	1	16	12	12	1	21	1	19	1	23	7	9	15	26	3	12	12	32	26	17	19	22	34	48	14	13	31	15	12	9	15	9	48	12	15	9	1	52	41	11	48	37	51	22	54	22	29	49	1	70	51	53	6	52	75	57	63	22	1	53	1	34	70	52	71	59	53	64	53	62	73	68	58	73	64	92	92	98	52	64	62	64	96	70	95	76	94	15	34	107	1	1	1	2	1	1	1	2	1	1	2	4	1	2	5	1	1	5	2	5	2	1	1	6	1	5	1	4	1	1	3	1	1	5	1	3	1	2	2	2	1	2	1	2	4	2	2	3	5	4	5	3	3	4	6	10	1	7	6	2	3	1	6	2	3	4	1	11	1	1	2	8	3	1	1	2	7	11	2	12	6	1	3	2	2	5	1	3	2	3	2	1	1	4	2	2	1	3	4	4	3	1	4	1	4	1	15	16	3
2500	-761.652213180221679	-759.662423144401032	-1.989790035820647	0.000010017481787	0.000023191651663	2.315117926338222	0.350516009856394	1	2	5	3	7	5	8	6	6	8	11	9	8	11	11	10	10	12	9	10	8	12	12	13	11	10	11	11	13	12	13	11	11	11	12	15	12	14	15	13	16	13	13	15	14	18	17	15	16	19	19	19	18	19	19	19	18	21	21	22	20	20	20	21	20	21	23	20	22	21	21	22	23	23	22	26	25	23	22	24	24	22	25	24	24	26	25	24	26	27	24	25	27	27	28	26	28	29	28	28	30	29	27	30	32	31	34	35	37	0	1	4	1	3	4	8	1	4	8	17	1	5	6	10	21	1	33	21	1	1	4	34	1	21	9	5	10	37	5	20	8	19	1	12	5	10	40	20	16	29	11	11	45	37	3	26	35	45	24	14	41	1	45	45	1	41	33	52	65	51	47	52	46	20	53	50	21	58	65	20	16	63	54	63	91	70	34	61	1	72	54	70	59	78	56	75	72	52	58	51	58	77	45	89	92	58	96	61	89	100	96	76	55	84	99	56	10	107	1	1	1	1	1	1	1	2	2	1	1	3	1	4	2	2	3	1	1	3	4	3	1	7	2	2	1	2	1	2	2	2	1	6	2	5	2	1	3	2	1	1	1	1	1	7	5	2	1	3	3	1	8	2	2	10	1	7	1	1	1	2	1	1	4	2	2	5	1	1	6	5	1	2	1	1	2	7	1	12	1	1	4	1	1	3	2	1	4	2	2	2	1	7	1	1	3	1	4	1	1	2	1	6	4	2	10	15	2
3000	-695.584237122269428	-693.774643698361956	-1.809593423907430	0.000010136163180	0.000018874852135	1.862129861143871	0.421162655098622	1	2	4	3	6	6	8	5	8	7	10	9	9	10	10	10	11	10	9	11	9	10	11	14	13	8	12	13	12	13	12	10	12	14	11	16	14	14	14	13	15	15	14	14	16	19	16	15	17	19	16	20	18	19	16	19	20	19	19	20	21	22	21	21	22	21	23	23	22	22	20	23	23	23	22	26	24	24	23	24	23	24	24	25	25	26	24	23	26	26	27	26	25	27	28	27	29	28	29	28	29	29	29	29	31	30	34	36	36	0	1	1	1	4	8	5	1	2	5	8	1	1	10	4	7	8	1	10	26	1	8	1	30	18	1	1	11	19	1	18	5	12	8	7	11	27	20	15	21	20	29	14	9	30	51	27	20	28	49	1	41	41	28	1	1	41	1	38	53	16	38	1	46	53	39	63	16	34	35	1	47	64	61	61	73	63	42	28	1	57	11	59	68	56	70	30	61	53	58	68	58	77	64	69	92	58	96	96	83	77	98	59	61	91	55	49	95	107	1	1	3	1	1	1	1	2	3	1	1	4	5	2	4	1	3	3	1	1	5	3	4	1	2	3	4	2	2	5	1	2	2	4	2	3	1	2	2	2	3	2	2	2	1	1	2	2	2	1	5	4	2	4	4	9	4	9	3	1	5	3	8	1	2	4	1	4	4	6	5	3	1	1	1	2	2	3	4	11	2	6	4	1	2	2	4	1	3	3	2	3	1	3	3	1	4	1	1	2	3	1	5	4	2	7	11	4	1
3500	-675.404873941734422	-673.615905466115692	-1.788968475618748	0.000010346761042	0.000018743764475	1.811558650999871	0.339970417691481	1	2	4	4	6	4	7	6	8	8	10	10	9	11	10	9	11	10	8	9	8	11	12	14	12	10	12	12	13	12	12	12	13	14	12	16	14	15	13	14	15	14	15	15	16	19	16	14	17	18	18	18	17	18	19	19	19	21	19	22	21	21	21	21	21	21	23	21	22	22	21	22	23	24	23	25	24	23	22	24	24	24	25	24	23	26	25	24	28	23	27	25	27	27	29	27	28	29	30	29	29	28	28	30	30	31	36	36	38	0	1	1	1	6	1	5	1	8	5	8	1	6	9	3	7	6	1	5	8	1	8	11	12	21	9	7	1	22	19	15	11	11	23	15	28	32	16	22	17	10	4	33	6	39	1	25	10	34	37	45	41	43	32	19	6	36	1	53	53	22	51	54	56	31	30	63	54	59	37	53	57	68	64	42	75	27	6	16	19	60	69	88	65	68	69	47	60	54	58	78	58	77	56	87	58	58	72	63	96	83	92	74	45	48	92	54	94	107	1	1	1	2	1	1	1	4	1	2	2	4	4	1	4	1	3	4	1	1	4	3	2	2	3	1	3	6	1	3	1	1	2	1	1	2	1	3	1	1	3	4	2	7	1	7	2	2	1	2	2	2	2	4	7	8	2	8	1	4	5	2	3	1	4	4	1	2	1	4	3	2	1	1	5	1	8	5	7	9	1	1	1	2	1	2	5	1	4	1	1	3	2	2	2	4	4	3	4	1	2	1	2	5	7	3	12	6	1
4000	-798.014773858475451	-796.436991276364438	-1.577782582111026	0.000010447165017	0.000013561300343	1.298084247788487	0.446325579688499	1	2	3	4	7	6	8	6	8	8	11	9	8	11	11	10	10	11	10	10	10	11	12	14	12	11	12	13	13	12	12	12	12	13	12	15	14	16	15	14	13	15	15	16	16	19	15	15	18	19	17	19	17	19	19	18	20	20	20	22	21	22	21	22	20	22	22	23	22	22	21	20	23	25	22	26	24	20	23	25	24	23	24	23	24	26	24	24	27	26	27	27	26	28	27	27	27	28	30	29	29	28	29	31	32	32	34	33	37	0	1	1	1	3	2	8	1	6	4	17	8	1	7	10	9	8	1	13	1	7	21	20	7	7	8	14	17	18	17	22	11	21	19	17	31	34	40	6	21	1	7	41	34	28	31	28	41	40	19	15	45	29	34	1	11	43	32	49	53	72	71	20	46	20	55	57	78	51	55	53	19	58	63	42	81	57	39	61	30	31	58	57	10	68	82	64	71	77	58	68	58	77	64	79	75	82	58	101	86	25	96	92	100	82	98	1	63	56	1	1	1	1	1	2	1	3	1	2	1	1	4	1	2	1	2	4	1	5	1	1	1	4	2	2	1	1	2	2	1	1	1	1	1	2	1	1	6	2	4	5	1	1	1	6	1	1	2	5	3	2	1	3	6	3	3	4	1	3	1	1	6	2	4	1	1	2	2	1	2	4	2	2	3	1	2	2	1	8	5	2	2	6	1	1	1	1	1	3	1	4	1	3	3	2	1	4	1	2	8	1	1	1	5	3	9	6	13
4500	-843.208340161412139	-841.532425832717081	-1.675914328695061	0.000011701939575	0.000017985050038	1.536928978473217	0.347785961130830	1	2	4	3	6	5	8	7	7	7	12	10	10	10	10	11	12	12	9	9	9	10	11	13	12	9	11	13	11	10	13	9	12	13	12	13	14	15	13	12	16	13	15	13	16	19	14	15	17	17	18	18	17	19	17	19	20	21	21	21	20	22	22	21	21	21	23	23	21	23	21	22	24	24	22	25	23	22	22	24	24	23	24	24	24	26	26	25	26	26	25	27	26	24	28	28	28	26	30	28	29	29	29	30	32	30	35	36	37	0	1	1	1	4	1	5	1	6	5	1	1	19	19	1	21	1	22	6	8	1	21	8	11	22	1	4	22	19	1	7	9	10	32	12	16	18	25	5	15	16	21	11	18	23	9	29	17	31	5	1	17	40	45	34	1	41	42	31	53	36	65	41	19	27	54	66	78	46	53	27	57	64	75	50	50	41	56	61	20	70	59	41	28	72	72	30	69	81	82	1	90	70	33	84	17	41	41	86	66	77	71	68	72	106	100	14	94	46	1	1	2	1	1	1	1	2	1	1	5	4	1	1	4	1	5	1	2	1	3	1	3	1	1	4	5	2	1	4	2	1	3	1	2	1	1	2	4	1	3	1	2	1	2	6	2	1	2	5	7	5	3	1	1	7	2	6	4	3	2	1	3	8	6	1	1	1	1	2	4	1	3	1	3	3	3	2	1	7	1	1	4	6	1	3	9	2	1	1	8	1	2	3	3	8	4	5	2	4	3	3	3	4	1	1	12	6	11
