step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85
1	-751.785606110737490	-758.641094061696890	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.442726404382801	-1	1	1	2	3	4	5	5	7	7	10	10	9	10	10	10	13	11	12	12	15	14	14	14	15	14	14	15	16	17	17	18	17	17	17	18	19	19	20	20	20	20	21	20	21	22	22	23	22	22	22	23	23	24	26	25	24	27	27	26	25	27	26	26	27	27	27	30	29	29	27	30	29	28	29	30	32	30	33	33	32	34	33	33	34	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	4	4	6	6	5	6	6	6	7	6	7	7	8	8	8	8	8	8	8	8	9	9	9	10	9	9	9	10	10	10	11	11	11	11	11	11	11	12	12	12	12	12	12	12	12	13	14	13	13	14	14	14	13	14	14	14	14	14	14	16	15	15	14	16	15	15	15	16	17	16	17	17	17	18	17	17	18
500	-658.022044618327982	-664.877532569287382	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.132606673004520	0	2	2	2	2	4	4	5	7	6	11	10	10	10	11	10	14	11	13	12	15	13	13	13	14	14	11	14	16	17	17	17	18	17	17	17	19	17	20	20	19	20	21	19	21	23	23	23	23	21	22	24	24	23	27	24	25	27	27	25	25	27	27	26	28	27	27	30	28	28	26	30	30	28	30	30	30	30	33	34	31	33	33	34	33	0	1	1	1	1	1	4	4	7	4	5	1	10	1	9	4	16	16	4	9	24	1	16	12	4	16	1	1	23	12	1	8	0	1	11	15	36	1	38	4	2	1	36	4	35	12	31	1	41	22	32	13	4	4	24	4	43	1	23	4	50	28	0	27	1	4	1	38	1	46	1	25	1	1	4	22	1	1	34	74	7	1	1	25	1	1	1	1	1	1	2	1	2	1	3	3	4	3	5	2	4	4	1	6	3	1	6	2	2	7	2	5	9	1	2	7	5	1	8	3	3	1	7	2	8	9	9	2	8	4	7	3	9	3	4	3	5	11	8	8	12	2	14	6	15	2	5	1	8	12	13	13	10	15	3	14	9	16	15	12	9	13	16	8	4	16	16	19	14	17
1000	-817.655214639385690	-824.510702590345090	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.182056846207934	0	1	2	2	2	4	5	5	8	7	10	10	9	8	9	11	14	11	11	12	16	14	15	14	16	14	14	15	16	17	17	18	17	18	16	18	18	18	17	21	20	21	19	21	21	20	22	23	23	20	20	23	23	24	26	25	22	27	28	26	26	26	26	25	26	25	28	30	30	30	26	30	28	28	29	30	33	31	31	33	32	34	33	33	34	0	1	1	1	1	4	1	6	4	4	1	14	1	7	4	1	14	9	1	16	20	1	9	9	1	10	16	13	22	16	11	22	0	28	11	35	16	18	10	1	31	1	39	1	46	24	46	42	27	25	1	18	11	57	48	1	31	1	24	57	50	25	0	49	1	30	16	50	9	44	41	54	6	27	44	44	1	1	60	50	23	1	1	25	14	1	1	1	1	1	1	3	1	3	3	8	1	4	2	2	4	3	1	5	1	2	6	5	4	7	4	2	4	1	4	4	2	1	1	2	1	4	5	8	10	1	11	2	11	1	3	1	1	4	3	5	6	7	1	2	13	3	13	6	1	3	5	1	1	13	4	12	5	9	4	4	3	12	9	6	5	15	19	2	4	9	12	15	8	17
1500	-708.884391460320671	-715.739879411280072	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.218458403067913	-1	1	1	2	4	4	5	6	8	6	10	11	9	10	9	10	14	11	13	13	15	12	13	13	15	15	14	14	15	17	17	17	18	17	17	18	19	20	20	21	21	20	21	20	20	22	23	24	21	22	19	23	24	23	23	24	24	28	28	27	26	27	26	25	27	27	27	31	29	29	27	29	30	27	30	30	33	30	33	33	32	34	31	33	34	0	1	1	1	1	4	1	1	8	3	15	1	1	1	4	10	18	14	4	12	24	1	14	4	13	13	3	13	23	16	4	15	0	25	10	13	28	30	12	22	27	1	38	4	15	36	41	39	31	35	4	19	30	37	25	1	42	4	57	40	28	24	0	4	27	40	1	78	1	58	44	64	22	13	57	42	12	1	60	59	48	51	1	24	1	1	1	1	2	2	2	3	4	1	2	1	6	5	5	2	2	2	1	6	1	1	6	1	6	4	4	5	2	1	5	5	3	1	1	6	4	3	1	5	4	5	9	1	10	6	2	1	3	2	2	7	6	3	2	4	11	2	13	1	3	5	7	1	8	7	2	14	1	15	1	3	3	11	10	4	6	12	17	2	3	3	12	16	9	18
2000	-672.082090647683572	-678.937578598642972	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.227667200578055	0	2	2	3	2	5	5	5	7	6	10	10	8	10	11	10	13	11	12	12	15	14	13	15	15	14	14	15	17	16	16	16	17	16	16	18	20	19	20	20	18	20	21	18	22	22	23	21	22	23	19	23	23	25	27	25	24	25	27	24	25	27	27	26	27	25	28	30	28	29	27	29	29	28	30	30	33	28	33	33	32	33	33	32	35	0	1	1	1	1	1	5	1	6	5	4	4	4	1	13	4	18	10	12	16	7	1	11	15	11	1	1	15	23	15	27	24	0	24	15	16	12	21	30	1	30	44	36	1	40	43	22	14	40	38	1	39	12	37	37	34	51	1	24	46	31	30	0	56	44	41	22	78	4	32	27	40	51	44	34	53	15	1	71	62	74	1	1	4	1	1	2	1	2	1	2	2	3	1	2	5	4	3	5	2	3	1	3	1	1	4	7	2	3	2	6	5	2	3	3	1	1	1	1	3	5	5	2	2	11	1	1	2	9	1	1	5	7	1	2	9	2	6	2	3	3	2	10	6	1	4	7	1	1	6	3	12	1	17	8	7	5	7	7	7	3	10	15	3	6	2	9	17	12	19
2500	-628.075242471789920	-634.930730422749320	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.290862616901066	-1	1	2	1	4	4	6	5	6	6	9	11	10	10	11	10	14	10	11	12	14	13	14	15	15	15	15	15	15	17	16	19	17	18	17	18	19	20	20	18	19	20	21	19	21	22	22	20	23	22	21	23	24	24	26	24	25	28	28	25	24	25	25	27	28	27	27	29	29	29	26	29	29	28	28	30	33	29	34	34	33	33	33	33	33	0	1	4	1	4	4	5	1	3	1	10	7	1	7	7	5	22	9	11	13	12	16	1	21	4	4	16	9	19	20	27	17	0	27	21	28	21	28	30	12	33	25	44	1	35	37	40	30	34	42	1	40	38	38	23	49	52	42	52	61	20	20	0	60	54	38	1	58	1	43	52	44	51	32	34	62	50	40	39	68	52	51	1	1	1	1	1	1	1	2	1	1	3	3	3	1	3	3	2	3	5	1	2	1	1	1	2	9	1	7	7	1	4	2	3	1	4	1	1	2	2	2	4	2	4	1	2	1	8	2	2	2	1	3	1	10	3	3	2	5	1	1	4	2	1	6	5	1	1	3	5	13	1	15	3	2	4	5	6	4	3	5	9	6	2	6	8	18	16	19
3000	-578.668850415486304	-585.524338366445704	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.223991326507059	-1	1	0	2	3	5	5	5	7	7	11	10	8	11	10	11	13	11	12	13	14	14	14	14	15	15	15	15	17	18	17	18	17	17	17	19	18	19	20	20	20	21	22	20	20	22	23	22	22	22	20	23	23	24	26	25	24	25	27	24	25	27	26	25	28	28	27	31	28	28	26	30	29	27	29	29	32	31	33	34	33	35	34	32	34	0	1	1	2	1	1	4	1	7	1	1	1	4	1	1	10	1	13	15	16	20	13	12	20	16	22	1	17	11	14	15	22	0	15	9	37	15	11	30	25	29	37	38	37	11	27	42	39	34	35	1	38	39	38	40	49	47	42	29	48	30	60	0	49	38	53	1	57	1	12	27	11	51	27	64	62	59	25	77	50	57	51	1	1	17	1	1	1	1	2	2	1	2	1	3	7	6	3	4	5	3	8	1	1	1	1	4	2	1	2	1	8	1	4	3	5	1	1	3	6	1	4	4	2	2	2	1	2	1	4	4	1	1	2	3	13	2	1	3	3	2	1	2	5	2	3	1	1	1	4	2	11	4	16	8	5	10	5	7	2	1	2	9	1	6	5	8	17	17	12
3500	-617.177968365784295	-624.033456316743695	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.257321644419663	0	2	2	3	3	4	5	5	7	7	8	11	9	10	10	9	13	10	11	13	15	13	12	14	15	14	15	15	17	17	16	18	17	17	16	18	20	19	21	20	20	21	22	21	22	23	21	22	22	23	20	23	23	24	26	25	24	27	26	25	25	28	27	26	28	27	27	30	28	29	28	30	29	27	28	31	31	30	33	33	33	35	34	33	35	0	1	1	3	1	1	1	1	5	1	7	13	7	11	11	10	11	1	1	15	19	1	9	1	16	10	24	10	19	19	27	30	0	27	16	15	35	16	35	25	29	38	32	21	9	44	18	39	28	36	1	21	21	45	28	47	41	42	24	50	34	24	0	49	45	36	1	60	1	74	56	38	51	1	44	69	58	52	50	44	42	51	20	9	30	1	1	1	1	2	2	1	3	3	3	2	1	3	1	1	2	2	4	5	2	2	7	2	6	4	4	1	4	3	3	1	1	1	1	3	4	2	5	2	2	1	2	2	4	7	1	7	1	3	2	9	4	4	1	5	1	2	4	6	1	3	8	1	2	4	6	16	4	13	1	2	7	5	11	4	1	2	3	5	7	6	8	14	17	10
4000	-677.485234730155184	-684.340722681114585	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.286328297521563	0	1	2	2	4	4	5	5	6	7	11	8	8	10	11	10	13	12	12	12	15	13	14	14	16	13	14	14	15	17	17	19	17	17	17	18	20	20	19	20	19	21	22	20	20	22	22	21	22	23	22	23	23	24	26	25	24	28	28	26	25	27	27	26	26	27	27	29	29	30	27	30	30	28	30	30	33	30	33	33	32	33	33	33	35	0	1	1	1	4	4	2	1	6	7	1	1	5	13	1	4	1	16	16	15	22	1	15	1	1	10	13	20	1	17	24	5	0	27	24	28	16	41	15	15	35	44	44	28	24	35	41	30	22	41	17	30	39	41	54	27	30	47	62	19	47	32	0	49	54	30	22	24	1	67	49	37	51	1	64	62	42	15	65	39	72	51	38	1	25	1	1	1	2	1	1	2	2	1	2	6	4	2	1	5	4	8	1	2	1	1	8	2	8	8	4	2	1	6	2	1	7	1	2	2	2	5	1	5	4	1	1	2	3	3	3	1	2	4	2	4	2	2	2	2	6	3	3	1	8	1	4	1	2	1	4	12	7	14	2	2	4	4	10	2	2	6	7	3	7	1	6	9	16	8
4500	-735.509875606633159	-742.365363557592559	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.297282469013134	0	2	1	3	3	5	5	6	7	7	11	10	9	7	10	10	13	12	11	12	16	14	15	14	14	14	14	15	15	17	17	19	18	18	16	19	20	19	21	20	20	20	22	20	21	21	22	23	23	22	20	23	23	25	26	25	24	28	25	26	25	26	26	27	28	28	28	31	29	29	24	29	29	29	28	29	33	31	34	34	30	33	33	31	34	0	1	1	2	1	1	2	3	5	1	10	1	14	7	1	13	1	13	1	12	9	18	19	15	5	19	19	11	17	15	27	13	0	20	25	20	28	28	13	15	35	30	9	28	30	40	24	11	34	21	1	44	21	38	32	34	27	42	40	51	30	32	0	34	54	40	17	50	1	50	49	54	51	60	71	62	59	40	38	57	42	51	50	1	48	1	1	1	1	1	3	2	4	2	3	3	4	2	1	4	1	6	1	5	1	4	1	3	1	5	1	1	1	1	5	1	6	1	2	1	3	3	2	5	5	2	1	8	3	2	1	2	8	2	4	8	2	2	4	3	4	4	4	3	3	3	3	1	3	1	5	13	5	15	4	1	1	5	2	2	1	6	5	6	3	3	7	4	12	6
