step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	Tinf_115	Tinf_116	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	alpha_115	alpha_116	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114	kappa_115	kappa_116
1	-11758.587778083137891	-11757.125695998618539	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.110589169359454	1	2	2	1	5	4	4	5	6	6	5	6	7	8	9	9	9	10	9	9	9	11	11	12	11	11	13	13	14	14	14	15	15	16	16	17	17	16	16	17	18	19	22	20	19	20	20	19	21	20	21	21	22	20	21	20	23	21	21	21	23	21	22	21	24	23	23	24	23	23	24	23	24	23	25	25	24	27	27	24	25	27	26	27	26	26	26	27	28	26	28	28	26	29	27	28	28	27	28	29	28	30	29	31	30	29	32	32	33	33	33	34	35	37	39	40	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	3	2	3	3	4	4	4	4	5	4	4	4	5	5	6	5	5	6	6	7	7	7	7	7	8	8	8	8	8	8	8	9	9	11	10	9	10	10	9	10	10	10	10	11	10	10	10	11	10	10	10	11	10	11	10	12	11	11	12	11	11	12	11	12	11	12	12	12	13	13	12	12	13	13	13	13	13	13	13	14	13	14	14	13	14	13	14	14	13	14	14	14	15	14	15	15	14	16	16	16	16	16	17	17	18	19	20
500	-4996.012576430998706	-4992.448039780028921	-3.564536650969436	0.000010043065235	0.000078933929356	7.859545617679387	0.124293171697408	1	3	2	-1	4	3	3	6	6	7	5	7	7	8	8	8	9	10	9	10	9	12	12	9	8	12	11	13	14	15	11	15	15	13	16	14	14	16	14	16	16	19	23	20	19	20	21	19	21	20	18	22	22	20	21	20	23	21	22	21	24	22	23	21	25	20	23	24	24	24	25	23	25	24	25	25	24	27	28	23	25	27	27	27	25	27	27	28	28	27	28	29	23	30	27	29	29	28	29	29	29	31	30	31	31	30	33	32	34	34	33	34	36	38	40	41	4	1	1	0	3	4	4	6	7	7	6	8	6	9	9	10	12	25	13	7	16	13	18	15	8	21	25	25	24	25	25	27	37	25	32	24	25	25	31	0	34	25	38	39	31	34	38	0	34	36	34	64	39	34	34	34	34	25	8	41	36	36	41	37	34	34	24	15	34	34	37	34	36	6	27	34	66	34	36	20	24	37	34	10	6	36	6	34	34	36	36	36	8	34	36	36	15	31	36	12	34	36	36	34	34	36	36	34	36	66	36	34	66	66	66	66	1	1	1	1	1	2	2	2	1	2	2	1	2	1	2	1	2	1	1	3	1	3	1	1	1	2	1	3	3	4	2	2	1	3	1	4	5	5	1	1	2	7	5	3	5	4	5	1	5	3	2	1	5	5	6	4	7	9	5	3	9	6	3	6	9	3	10	11	8	7	7	4	10	12	11	8	4	11	13	5	12	8	11	7	13	13	11	10	12	11	11	12	5	14	8	13	12	16	14	11	13	11	11	14	15	13	18	14	13	13	12	17	16	16	14	17
1000	-4545.596025064412970	-4541.374378803152467	-4.221646261260471	0.000010123991380	0.000114709021863	11.330414809677622	0.172182458304946	1	3	2	-1	5	4	4	5	6	6	6	5	6	8	10	10	9	10	9	9	8	12	12	12	8	11	14	13	14	12	11	15	16	13	16	14	14	16	13	16	16	20	23	19	16	21	20	20	22	18	21	22	22	21	21	17	23	21	21	21	24	22	23	20	24	20	24	25	23	24	25	24	25	23	25	25	23	28	28	24	26	27	27	27	25	27	27	28	29	26	28	29	27	29	27	29	29	28	29	29	29	31	29	32	31	29	33	33	34	34	34	35	36	38	39	41	4	1	1	0	3	4	4	6	7	7	8	6	6	9	9	7	12	25	13	14	10	13	18	15	6	21	31	30	24	25	25	27	37	31	32	24	25	30	31	0	34	37	38	39	39	31	33	0	41	36	41	64	39	39	39	45	45	37	16	41	36	50	51	37	39	56	36	36	45	45	37	41	36	6	39	39	66	66	36	16	36	37	34	6	6	50	7	66	56	36	36	36	59	39	50	36	36	25	36	17	56	36	50	45	25	36	36	77	50	66	50	66	66	66	66	66	1	1	1	1	2	3	2	1	1	1	1	1	1	1	2	4	2	1	2	1	2	3	1	1	2	2	1	1	1	2	1	1	1	2	1	1	3	2	1	1	2	4	5	3	2	5	2	1	4	4	2	2	5	6	6	1	5	6	5	3	7	2	1	3	8	1	7	10	4	6	6	4	10	10	8	7	1	6	12	10	9	8	8	12	10	9	11	6	9	11	10	11	6	11	5	13	12	13	13	10	9	10	10	14	18	12	15	7	11	12	10	13	14	15	13	18
1500	-3709.442935090182800	-3705.801740902336405	-3.641194187846351	0.000010216934301	0.000084017750068	8.223381651674851	0.222119658524715	1	3	3	0	5	3	3	5	6	5	6	7	6	8	10	10	9	9	9	10	9	11	12	12	8	12	12	13	14	14	11	15	16	15	16	14	15	16	13	16	18	19	22	18	16	19	21	19	20	17	21	22	23	18	22	19	23	22	19	22	24	22	22	20	25	20	20	25	24	24	25	24	24	23	25	26	22	26	28	24	26	28	26	27	27	26	27	27	28	27	28	29	27	29	28	29	29	28	29	29	28	31	29	31	31	30	33	33	33	34	34	35	35	37	40	41	4	1	1	0	3	4	4	6	7	7	6	6	6	9	9	10	6	25	13	14	10	13	18	15	6	21	31	25	24	25	25	27	37	31	32	24	30	37	31	0	34	37	38	39	39	34	37	0	34	36	41	64	44	39	44	45	45	33	16	49	50	50	51	42	54	56	50	50	45	45	58	63	36	7	54	54	66	66	50	16	50	37	72	7	21	67	16	66	66	50	50	50	59	54	68	50	50	34	36	74	66	67	67	66	39	50	73	101	73	66	73	66	66	89	101	66	1	1	2	1	2	2	2	1	2	1	1	1	2	1	2	3	3	1	1	2	3	2	2	1	2	2	1	2	1	3	1	2	1	3	1	1	1	1	1	1	2	4	4	2	2	2	4	1	2	2	1	2	2	4	2	2	3	3	5	1	3	2	1	1	6	1	2	6	4	6	2	1	8	9	5	4	1	3	10	14	8	7	2	9	11	5	9	4	6	9	11	9	6	8	2	10	10	11	13	4	6	9	7	8	16	11	7	3	8	10	9	11	11	9	10	16
2000	-3104.451592381577029	-3101.406849225130372	-3.044743156446863	0.000010166640497	0.000057429907186	5.648857870193788	0.292403689967380	1	3	2	-1	3	4	4	6	6	6	5	6	6	8	9	7	8	10	9	10	9	11	11	12	9	11	14	14	14	14	12	15	16	14	17	14	15	17	15	17	18	18	23	19	16	19	20	18	20	17	20	22	23	19	21	19	24	21	22	21	22	21	21	20	24	20	20	24	23	24	24	23	21	20	25	25	24	25	28	24	26	28	27	24	26	26	26	27	29	25	29	27	25	30	27	29	29	28	29	29	25	31	29	31	31	29	32	31	33	34	34	34	35	37	39	41	4	1	1	0	3	4	4	6	7	7	6	6	6	9	9	10	12	25	13	14	16	13	18	15	12	21	31	25	24	25	25	27	37	31	32	24	25	37	31	0	34	37	38	39	39	34	37	0	41	36	41	64	44	39	44	45	45	47	48	49	50	50	51	42	54	56	50	50	45	45	58	63	36	7	54	54	66	66	67	14	50	71	72	7	6	73	6	66	77	50	50	50	74	54	81	50	67	45	50	85	66	73	73	66	45	50	90	101	90	101	90	88	78	101	101	101	1	1	1	1	1	2	3	1	1	1	1	1	1	1	2	1	1	1	3	1	1	2	1	2	2	1	1	2	1	2	1	1	1	2	1	1	2	1	2	1	3	2	3	2	1	3	3	1	1	2	2	1	3	3	1	2	5	1	4	1	3	2	1	1	3	1	1	5	3	6	2	1	5	8	3	3	2	4	5	8	7	4	3	7	11	2	9	5	4	8	8	6	5	6	1	7	6	12	10	2	4	7	5	8	14	8	4	3	5	9	6	6	8	7	9	14
2500	-2933.932906584167995	-2931.175402698348989	-2.757503885818955	0.000010632784148	0.000048940458927	4.602788718797973	0.311866789610031	1	2	2	0	5	4	3	4	5	6	6	6	7	7	9	8	9	10	10	8	9	12	11	12	9	12	13	13	15	15	11	15	15	16	17	16	14	15	14	18	18	19	23	18	16	21	20	19	20	18	20	22	23	21	22	18	22	21	21	22	22	21	22	21	24	20	23	23	22	24	24	23	21	23	25	26	24	27	28	24	24	28	26	27	26	23	26	26	28	27	29	28	27	30	26	26	28	28	29	30	25	31	29	31	31	30	33	31	32	34	34	35	35	37	40	40	4	1	1	0	3	4	4	4	7	7	8	6	6	9	14	10	12	25	13	14	16	13	18	15	6	21	31	25	24	25	25	27	37	31	32	24	25	37	31	0	31	37	38	39	39	34	37	0	41	36	41	64	44	39	44	45	45	47	48	49	36	50	51	42	54	56	61	36	45	45	58	63	36	6	54	65	66	66	86	4	36	71	72	6	7	73	1	66	66	73	73	61	74	75	81	36	86	25	36	85	66	86	73	98	66	73	102	101	90	101	90	105	101	101	101	101	1	1	1	1	2	1	2	2	1	2	1	1	2	2	1	1	1	1	2	1	1	2	1	2	3	2	1	2	1	3	1	2	1	3	2	2	2	1	1	1	4	2	3	3	1	3	3	1	2	1	1	1	3	3	2	1	3	1	1	1	2	2	1	1	2	2	1	4	2	5	1	1	4	7	2	1	2	4	3	10	4	2	2	7	9	2	12	4	4	6	7	3	3	3	1	6	3	12	11	2	4	5	4	2	11	8	1	3	1	9	6	4	5	7	6	13
3000	-2361.464996616369262	-2359.069067478484158	-2.395929137885142	0.000011202863851	0.000038559040525	3.441891380513610	0.386006942336188	2	3	3	0	5	4	4	5	5	7	6	7	6	7	10	9	9	10	10	9	10	11	12	12	9	12	13	10	14	14	12	15	15	15	17	15	14	16	16	15	19	19	22	20	18	21	19	20	22	19	21	22	23	19	21	19	21	20	21	22	24	21	23	20	24	20	23	23	23	23	24	24	21	20	26	25	23	27	28	24	25	28	26	26	27	23	26	27	29	27	29	28	27	30	28	29	28	28	28	29	25	30	29	31	31	29	32	33	33	34	34	34	34	36	40	41	4	1	1	0	3	4	4	6	7	7	6	6	6	9	9	10	6	25	13	14	16	13	18	15	6	21	31	25	24	25	25	27	37	31	32	24	25	37	31	0	34	37	38	39	39	31	37	0	41	36	41	64	44	39	44	45	45	37	48	41	36	50	51	42	54	56	73	36	57	45	58	63	50	6	65	65	66	77	86	15	50	71	72	6	74	73	15	101	88	73	73	81	80	75	81	68	86	66	36	85	66	86	79	98	66	86	102	101	102	101	106	105	105	105	113	101	1	1	1	1	1	2	2	1	1	2	1	2	1	2	3	2	3	1	2	1	1	3	1	1	3	1	1	1	1	2	1	1	1	2	1	2	3	1	3	1	2	3	5	2	1	4	3	1	1	3	1	1	1	2	1	1	1	2	1	2	3	1	1	1	3	1	1	3	1	4	2	1	2	4	1	1	2	3	3	7	3	2	1	7	5	1	8	1	2	5	5	2	2	2	1	5	3	7	11	1	4	5	1	2	10	6	1	3	2	8	4	2	2	3	5	12
3500	-2110.739512004329299	-2108.401176910710092	-2.338335093619321	0.000012855633546	0.000042058068446	3.271567153344216	0.429010322574903	1	3	2	-1	5	3	5	5	6	6	6	6	7	8	10	10	8	11	10	10	8	12	12	12	10	10	14	13	14	14	13	16	16	17	17	17	15	17	15	17	18	19	23	19	17	19	19	19	20	21	20	22	22	21	21	19	23	21	21	22	23	20	22	21	23	20	23	23	24	24	23	24	21	20	24	25	23	27	28	23	26	25	27	25	27	23	26	27	29	25	28	28	26	28	28	29	28	28	29	30	26	30	30	30	30	29	30	32	34	34	34	34	35	37	40	41	4	1	1	0	3	4	4	6	7	7	8	8	6	9	9	10	12	25	13	14	10	13	18	15	12	21	31	25	24	25	25	27	37	31	32	24	30	37	31	0	31	33	38	39	39	31	37	0	41	36	41	64	44	44	44	45	45	47	48	49	50	36	51	42	54	56	73	50	57	45	58	63	36	7	65	65	66	66	86	6	68	71	72	7	74	73	74	101	78	86	73	81	80	75	81	68	86	66	36	85	66	90	99	98	66	90	106	101	102	101	107	105	105	112	113	105	1	1	1	1	2	2	4	2	1	1	1	1	2	1	2	3	1	1	2	1	2	2	1	2	2	1	1	2	2	3	1	1	1	2	1	3	1	2	1	1	2	1	4	2	1	3	2	1	1	1	1	1	2	1	1	1	3	2	1	1	2	1	1	2	1	1	1	1	1	4	1	2	2	7	1	2	1	4	3	6	2	2	1	5	4	1	6	1	1	2	5	1	1	2	1	4	2	7	10	1	3	4	1	2	9	3	1	3	2	7	2	2	3	2	3	9
4000	-1873.772587607742707	-1871.629613420650685	-2.142974187092070	0.000016148128489	0.000043934329514	2.720707204172703	0.546581482453066	1	3	2	0	6	3	3	5	6	6	6	5	8	8	8	9	9	11	9	9	10	12	12	11	10	11	14	14	14	12	12	15	16	16	17	16	14	17	17	16	18	19	20	19	19	18	19	19	20	20	21	22	22	20	21	20	22	21	21	21	21	21	22	20	24	21	23	24	23	23	24	24	24	23	26	26	24	26	27	24	26	27	27	28	26	25	27	27	29	26	28	28	25	29	28	29	28	28	28	29	26	30	29	31	31	30	32	33	33	34	34	35	36	37	39	40	4	1	1	0	3	4	4	6	7	7	8	6	6	9	9	10	12	25	13	14	16	13	18	15	12	21	31	30	24	25	25	27	37	31	32	24	25	33	34	0	34	33	38	39	39	27	33	0	41	36	41	64	44	44	44	45	45	47	48	49	36	50	51	42	54	56	61	50	57	45	58	51	50	13	65	65	66	66	86	17	68	71	72	7	74	73	93	78	88	86	79	81	80	75	81	81	86	66	61	85	77	90	99	98	78	90	102	101	102	101	107	108	105	112	113	105	1	2	1	1	2	2	2	1	2	2	1	1	3	1	1	1	2	1	1	1	1	3	1	2	3	1	2	2	1	1	1	1	1	2	1	3	2	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	2	1	2	1	1	1	2	1	1	2	1	3	1	1	3	10	1	1	2	4	1	5	2	2	1	10	1	1	1	1	1	1	1	1	1	2	1	2	1	6	5	2	1	3	1	2	5	3	2	3	2	7	2	2	2	2	1	7
4500	-1654.157616033188333	-1652.244538333613718	-1.913077699574613	0.000022476191070	0.000047638501798	2.119509557942594	0.584187398117281	1	3	3	-1	6	4	4	5	6	5	6	6	7	8	9	7	8	9	9	10	10	10	11	12	10	12	14	13	15	14	13	15	16	15	17	16	15	17	16	17	18	18	22	20	18	20	20	19	20	19	21	22	22	21	21	19	22	22	21	22	23	21	22	21	23	22	22	25	23	22	24	24	24	24	25	25	24	24	27	24	26	26	26	27	25	26	27	28	28	27	28	28	26	30	28	27	28	28	29	29	25	31	30	31	30	29	32	32	33	34	33	34	35	37	40	39	4	1	1	0	3	4	4	6	7	7	6	6	6	9	9	10	12	6	13	14	16	13	18	15	18	21	31	25	24	25	18	27	37	31	32	24	25	33	31	0	31	33	38	39	39	31	37	0	41	36	41	64	44	44	44	45	45	47	48	49	50	50	51	42	54	56	50	61	57	45	58	63	67	6	65	65	66	66	86	6	68	71	72	5	74	73	93	78	78	73	79	81	80	75	96	81	86	66	79	85	78	90	99	98	101	90	102	105	106	101	107	105	112	112	113	105	1	2	1	1	1	2	3	1	1	1	1	1	2	1	1	1	1	3	1	1	1	1	1	2	1	1	1	2	2	2	2	1	1	1	1	2	2	1	2	1	2	1	3	2	1	4	2	1	1	2	1	1	2	1	1	1	2	1	1	1	2	1	1	2	1	2	2	1	1	2	1	2	1	8	1	1	1	1	1	9	1	2	1	6	1	1	1	2	3	1	1	2	1	4	1	1	1	5	1	2	1	3	1	1	4	1	1	2	2	7	1	2	1	2	3	6
