step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104
1	-750.413409376250797	-748.951327291731900	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.009894265041847	0	1	2	2	6	8	6	8	7	8	8	8	8	10	9	8	9	9	10	9	10	8	9	12	11	10	10	11	11	12	10	12	10	11	11	11	11	11	13	12	14	12	11	13	13	15	15	15	13	15	16	14	15	14	15	14	15	14	17	15	16	17	15	15	17	16	15	16	16	16	16	17	20	18	21	17	18	19	18	17	17	18	19	19	20	19	20	21	20	22	21	25	23	23	23	24	23	24	25	25	26	27	30	28	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4	3	4	4	4	4	4	4	5	5	4	5	5	5	5	5	4	5	6	6	5	5	6	6	6	5	6	5	6	6	6	6	6	7	6	7	6	6	7	7	8	8	8	7	8	8	7	8	7	8	7	8	7	9	8	8	9	8	8	9	8	8	8	8	8	8	9	10	9	11	9	9	10	9	9	9	9	10	10	10	10	10	11	10	11	11	13	12	12	12	12	12	12	13	13	13	14	15	14
500	-707.759179323564808	-704.778209864660539	-2.980969458904295	0.000010023645351	0.000000601909270	0.060048939142035	0.029104756961452	-2	0	2	0	6	8	6	9	7	8	8	9	7	11	9	8	10	8	11	8	11	8	8	13	12	11	9	10	11	12	9	12	11	11	11	10	12	10	13	12	15	12	12	14	13	14	14	16	13	13	16	14	15	13	16	15	16	13	18	16	17	18	14	15	17	17	15	17	17	16	17	16	20	18	21	16	17	19	19	17	17	18	19	18	20	18	20	22	20	22	22	25	23	23	23	24	23	24	26	24	24	27	30	28	0	1	2	1	2	5	1	22	5	9	2	10	2	1	4	4	12	3	36	4	22	9	1	8	28	3	3	7	22	2	9	2	4	4	31	9	2	2	18	17	20	31	4	25	31	30	4	26	2	31	4	19	19	27	9	19	38	32	31	4	1	20	25	31	53	52	22	6	46	33	45	42	4	11	1	64	27	1	28	40	67	52	1	81	9	4	49	30	2	4	84	35	2	4	84	69	44	97	4	26	54	3	27	74	1	1	1	2	3	2	7	1	1	1	4	1	4	6	5	4	1	4	1	4	2	1	5	2	1	5	4	2	2	8	1	6	5	5	2	2	7	5	2	1	4	1	9	1	3	1	7	2	8	2	9	1	2	3	4	2	2	1	5	11	11	5	1	4	1	2	5	5	2	3	2	2	14	5	13	1	4	12	4	3	1	2	11	1	7	10	4	6	10	10	2	6	12	13	3	4	6	1	12	8	5	12	10	4
1000	-495.517613135812894	-492.631053378436775	-2.886559757376117	0.000010067986985	0.000000646170981	0.064180752547752	0.233760095573329	-2	1	1	2	6	9	6	8	7	7	8	6	8	10	9	9	9	8	10	10	10	8	9	11	11	10	8	11	12	12	11	12	10	11	11	11	11	11	12	12	13	12	10	13	14	16	16	15	12	15	15	15	16	12	15	15	14	13	16	16	16	17	16	15	17	16	15	17	16	16	16	17	19	19	20	16	19	19	19	16	17	18	19	19	20	20	20	22	20	23	22	25	23	22	22	25	23	24	25	25	25	26	29	28	0	1	1	1	3	27	1	2	5	3	3	1	3	11	27	4	1	9	18	27	8	2	18	43	6	27	9	21	20	9	16	1	18	18	20	3	6	20	9	22	26	33	23	18	22	40	40	35	18	41	13	16	19	43	6	43	20	38	35	64	2	18	49	33	48	15	43	40	16	20	34	23	18	80	61	38	59	1	24	45	28	43	1	38	19	1	84	39	53	88	77	81	85	38	89	80	84	57	79	90	9	31	89	46	1	2	2	2	2	1	4	3	1	3	3	3	4	1	1	4	6	1	1	1	1	5	1	1	1	1	1	1	1	3	1	8	1	2	1	3	1	1	2	2	1	1	1	3	3	2	2	2	3	1	4	3	4	1	3	3	2	1	3	1	10	5	2	3	1	3	2	2	4	4	3	4	5	2	2	3	2	9	4	1	3	6	12	4	5	12	1	3	2	1	1	4	1	5	1	5	2	4	3	1	9	7	4	6
1500	-377.738844837007832	-375.039794929632876	-2.699049907374940	0.000010114316828	0.000000745630571	0.073720309876719	0.707087981036025	-1	1	3	2	7	9	7	5	8	9	8	6	9	10	10	8	9	9	10	9	10	9	9	12	10	11	9	11	12	10	10	12	11	10	12	11	12	11	12	12	15	12	12	14	13	16	14	14	14	16	15	14	16	15	15	14	15	14	16	15	16	18	14	16	16	16	15	16	16	16	16	16	20	19	22	17	16	19	18	16	18	18	19	19	18	20	21	21	20	22	20	23	23	23	24	24	22	23	25	26	27	27	29	28	0	1	4	1	8	12	3	3	8	16	5	2	5	5	13	3	3	16	6	9	7	12	11	17	23	23	7	13	15	17	12	5	7	23	19	21	15	27	38	10	17	15	33	29	40	39	32	37	14	52	33	37	58	37	24	25	26	30	44	63	47	77	42	44	29	60	39	52	56	56	52	48	79	12	82	45	48	76	77	45	60	58	40	46	33	71	79	57	79	62	79	86	87	91	73	48	91	90	93	95	98	52	87	89	1	1	1	1	1	2	2	1	1	1	1	2	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	5	1	1	1	1	1	1	2	2	3	1	3	2	1	4	1	2	2	1	1	1	2	5	1	1	1	1	2	5	3	3
2000	-290.895100367685700	-289.260619244728218	-1.634481122957474	0.000010172883868	0.000002299015008	0.225994421825296	0.878567335915109	0	2	3	2	7	8	6	8	6	9	9	9	8	10	9	8	9	8	10	10	11	8	10	12	12	10	10	10	12	10	10	12	10	11	12	12	11	12	13	13	14	12	11	14	13	13	13	15	13	15	15	14	15	14	14	14	15	14	17	15	17	18	15	16	18	15	16	15	17	17	16	17	20	17	22	17	18	19	18	17	18	18	19	18	20	20	20	22	18	20	21	25	23	24	24	24	23	23	26	24	27	26	30	27	0	1	2	1	9	9	4	7	3	18	5	7	9	11	5	9	22	9	18	8	26	5	17	23	21	12	10	16	37	10	22	10	15	20	26	20	23	21	30	29	42	20	16	32	25	21	28	56	21	49	52	38	46	43	47	35	44	36	60	43	71	50	44	53	44	40	57	36	49	63	55	48	89	71	73	43	59	62	74	51	71	55	79	68	81	79	62	85	60	89	84	94	91	86	98	88	91	83	75	62	94	92	101	98	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	3	1	1	1	1
2500	-258.168896088080032	-256.662650495402659	-1.506245592677373	0.000010253116514	0.000002977181240	0.290368419775306	0.976223022421623	0	2	2	2	6	6	5	9	7	9	8	9	9	10	9	9	9	8	11	9	9	8	8	12	10	10	10	11	11	12	11	12	8	12	12	11	12	11	14	12	14	13	10	14	13	16	15	15	13	15	16	14	15	14	16	13	15	13	17	15	16	16	15	16	17	17	16	16	17	16	16	17	20	18	22	17	16	19	18	17	17	16	19	19	20	19	21	22	21	21	21	25	23	23	24	24	23	24	25	26	26	27	29	28	0	1	1	1	4	7	2	33	7	6	5	9	9	33	11	18	6	5	26	6	22	6	5	12	6	12	8	12	26	17	15	27	5	20	14	13	43	17	30	36	42	30	9	21	31	48	35	45	19	36	58	37	49	32	41	38	24	32	53	52	39	53	56	54	70	46	44	60	47	52	48	67	74	68	73	57	52	51	71	61	50	35	66	80	79	77	85	76	84	85	78	95	90	87	88	94	90	94	98	95	95	93	92	92	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-272.504189472186454	-269.604888889155973	-2.899300583030457	0.000010669834247	0.000000678595894	0.063599478518730	0.973743469107768	-1	1	3	3	5	9	5	9	7	8	9	9	7	10	10	6	9	9	8	9	11	8	10	12	12	10	11	11	12	12	11	13	10	11	11	11	12	11	14	12	13	12	12	11	12	14	16	15	14	15	17	14	15	14	13	14	14	13	18	15	16	16	14	15	17	16	16	15	16	17	16	17	20	17	22	17	18	19	17	17	18	18	19	18	19	18	20	21	20	22	21	25	23	23	23	23	21	25	26	26	26	27	28	28	0	1	2	2	4	9	3	10	7	16	13	22	7	19	22	7	16	22	16	10	20	16	16	35	23	12	11	20	23	33	16	30	22	10	20	26	31	9	24	33	42	28	23	18	10	58	52	56	58	41	48	24	58	14	25	43	29	23	61	27	48	52	45	52	64	41	46	32	63	53	55	68	61	63	81	57	61	79	64	53	51	47	47	61	86	69	81	78	86	91	82	75	91	90	87	88	84	95	98	95	96	101	101	102	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
3500	-282.161418654385727	-279.862964480238759	-2.298454174146994	0.000011002236783	0.000001131850785	0.102874606950079	0.986909259385757	0	2	2	2	7	8	6	8	8	9	7	7	8	10	9	8	9	10	10	10	10	8	9	12	12	9	11	11	11	11	10	13	11	10	11	9	12	11	13	12	14	11	10	12	13	15	14	14	13	15	16	13	16	15	15	15	14	13	16	13	16	18	16	15	17	16	14	16	14	15	16	17	20	17	21	17	15	19	18	17	18	18	17	18	20	19	18	18	18	22	22	26	23	21	21	24	24	24	25	25	26	27	29	29	0	1	1	1	7	7	2	12	5	6	7	7	12	13	22	11	13	23	15	22	17	11	6	33	19	5	36	13	13	15	6	30	6	9	10	8	35	26	20	23	25	6	10	18	27	58	26	52	35	48	57	14	69	47	39	24	32	42	47	14	57	72	69	32	63	41	32	57	44	41	56	64	78	70	85	46	41	74	74	54	76	65	77	53	89	82	56	64	71	89	78	93	75	68	86	85	90	90	95	96	96	92	102	92	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-294.795403138602410	-293.275820216029558	-1.519582922572873	0.000010418525473	0.000002935108524	0.281720146670986	0.890267006635331	-2	0	1	3	7	9	6	8	5	9	8	8	8	10	9	9	9	10	10	10	11	7	7	13	11	11	11	11	11	12	10	13	9	11	12	12	12	10	12	12	15	12	11	14	13	15	16	15	13	13	17	14	15	14	14	15	15	14	17	15	15	17	14	14	17	16	14	16	16	17	16	17	20	19	20	18	19	19	18	17	18	18	20	20	21	19	20	19	19	21	22	25	22	20	23	23	23	25	26	26	27	26	30	28	0	1	1	3	9	8	9	9	4	8	22	5	22	33	5	23	5	16	10	15	33	9	9	27	6	38	19	17	17	33	11	43	5	12	18	38	38	13	27	29	52	19	33	45	29	55	44	36	40	34	47	27	24	42	30	42	27	21	41	49	39	29	35	31	61	55	14	32	56	54	64	48	81	82	81	65	62	69	66	61	56	47	74	64	78	79	88	82	80	74	89	90	94	89	83	89	73	95	97	93	99	95	104	100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	2	1	1
4500	-273.179162227288089	-269.797247499048353	-3.381914728239724	0.000009881595697	0.000000456134251	0.046159979110954	0.960237793431333	0	2	2	3	5	8	6	8	7	8	9	8	8	10	9	8	6	10	10	8	11	8	10	12	11	10	11	8	11	13	11	13	10	8	9	11	11	12	13	12	14	12	11	12	13	13	14	15	13	15	16	14	15	15	14	14	14	13	17	15	16	17	16	15	17	17	15	16	16	17	17	17	19	19	21	18	19	20	19	17	18	18	19	19	20	18	19	21	20	23	20	26	23	23	23	24	21	22	26	25	23	26	29	28	0	1	1	1	4	17	5	9	17	7	7	5	7	16	28	17	5	15	16	17	35	7	11	12	15	20	35	17	23	43	26	40	8	9	10	28	20	14	24	33	39	36	33	43	44	14	40	58	38	32	52	24	49	30	38	24	40	24	61	24	57	48	56	52	60	53	58	67	24	69	60	47	80	66	83	48	68	76	62	47	45	68	61	59	73	61	72	85	81	75	63	90	97	97	97	98	79	83	98	75	75	90	99	102	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
