step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110
1	-605.400615645426910	-603.938533560908013	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.299147334349908	0	2	4	4	3	4	4	6	7	6	5	5	6	7	8	7	7	6	7	8	8	8	7	7	9	8	10	9	10	9	9	10	11	9	11	10	9	12	12	11	11	12	11	11	12	12	11	12	12	13	11	12	12	12	12	13	14	13	14	15	13	13	13	14	13	13	14	14	14	15	16	15	16	14	14	15	14	14	15	15	16	18	17	16	16	18	17	17	16	18	17	17	17	16	16	17	17	18	19	19	19	20	20	20	22	24	25	26	28	32	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	4	3	3	3	3	4	4	4	4	3	4	4	4	4	4	4	5	4	5	5	5	5	5	5	6	5	6	5	5	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	7	7	7	7	8	7	7	7	7	7	7	7	7	7	8	8	8	8	7	7	8	7	7	8	8	8	9	9	8	8	9	9	9	8	9	9	9	9	8	8	9	9	9	10	10	10	10	10	10	11	12	13	13	14	16
500	-910.684369687454705	-908.547282141168921	-2.137087546285735	0.000009947901379	0.000026906262492	2.704717454022381	0.297371819871536	0	3	3	4	2	4	5	5	7	6	5	4	7	8	7	8	8	7	6	9	7	7	7	7	9	8	9	9	11	8	9	11	10	9	11	11	9	11	13	10	11	12	11	12	12	13	11	11	10	13	11	12	10	12	12	13	14	13	15	16	13	14	14	14	12	13	14	15	14	15	15	15	17	15	12	16	14	14	15	14	16	18	18	17	17	18	17	18	16	19	16	17	17	14	16	18	16	18	19	19	19	20	20	19	22	21	25	27	28	32	0	1	1	5	1	2	6	2	5	3	2	2	8	13	19	19	10	2	6	2	11	4	2	5	16	2	8	10	37	21	1	2	1	11	20	1	2	1	18	1	20	47	23	2	16	48	28	27	1	7	28	30	17	37	13	47	52	34	44	27	37	53	61	36	31	7	38	2	35	16	44	54	68	44	15	58	2	9	7	65	2	68	35	47	2	2	1	59	53	89	54	13	41	5	62	26	2	22	1	1	68	79	1	93	69	56	16	87	61	0	1	2	1	1	2	1	1	1	2	2	2	1	1	1	1	1	1	2	1	3	1	2	2	2	1	2	2	2	1	1	3	5	5	3	1	3	3	5	4	2	1	1	3	4	2	1	1	1	4	5	1	1	2	1	2	1	1	3	2	5	3	1	1	3	1	2	2	6	1	5	2	2	1	2	3	2	5	3	6	1	7	2	4	4	6	9	10	1	3	1	2	4	2	6	1	4	5	5	7	9	1	2	9	1	4	8	6	5	12	1
1000	-861.802397185580730	-859.209287641405012	-2.593109544175707	0.000009982302996	0.000040474674078	4.054642911092940	0.426463093997648	0	2	3	5	3	5	4	6	7	7	6	5	7	7	8	7	5	6	6	8	8	8	7	7	7	8	10	9	11	9	10	10	11	8	12	10	9	11	12	9	12	11	10	11	11	12	11	11	11	12	11	12	12	12	11	14	14	13	15	15	13	12	14	14	13	13	15	12	13	14	15	15	17	13	14	16	12	13	14	16	17	17	17	17	16	17	16	17	16	19	17	15	17	16	16	16	17	18	19	19	18	20	20	20	22	25	24	26	29	32	0	1	2	5	1	1	5	1	7	3	2	5	8	7	2	12	2	1	6	14	11	2	7	1	3	2	18	4	43	7	15	2	14	2	15	1	24	15	25	25	32	22	13	1	25	21	26	36	15	25	7	25	20	29	20	45	51	36	7	25	34	43	40	9	9	9	54	15	6	31	65	26	68	62	52	71	15	2	25	69	59	60	52	60	48	2	2	9	42	60	67	69	23	20	69	56	17	75	1	57	76	56	7	90	88	15	87	25	28	0	1	1	1	1	1	2	1	2	1	2	2	1	1	2	2	1	1	2	1	1	1	2	2	4	2	3	2	3	1	3	2	6	2	2	1	5	1	1	2	2	1	1	1	6	2	2	2	1	1	2	4	1	3	1	2	2	1	2	5	5	3	1	2	4	2	2	1	2	4	1	1	5	3	1	1	1	2	3	2	1	2	1	2	1	4	6	5	5	3	2	2	1	5	2	1	1	6	2	7	2	1	4	8	1	3	8	6	8	13	1
1500	-757.027171364414357	-754.671038234989510	-2.356133129424852	0.000009941876623	0.000033044810408	3.323800089467846	0.426603130517914	1	3	5	3	4	3	5	5	8	6	5	5	6	6	6	8	5	4	5	8	8	7	8	7	8	9	11	9	10	9	10	11	10	10	11	10	9	11	10	12	11	12	12	12	12	12	12	12	11	14	11	13	12	12	12	14	14	13	15	15	13	14	12	14	12	13	14	14	14	15	15	15	16	12	13	14	14	13	13	15	17	19	17	16	15	18	18	18	17	18	18	16	17	16	15	16	18	16	19	19	19	19	21	21	22	23	26	24	28	33	0	1	2	1	4	1	6	1	13	1	2	4	8	8	11	7	6	1	2	2	19	5	24	1	13	22	30	5	10	19	24	1	2	24	30	19	19	16	25	2	16	4	15	2	1	15	22	11	19	48	18	30	41	27	20	65	18	38	37	56	18	55	33	43	1	49	44	21	16	9	26	47	61	21	1	48	10	2	25	78	59	90	85	75	2	48	1	44	80	70	70	50	37	53	79	50	9	68	65	46	98	30	2	13	67	49	19	19	2	0	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	2	1	2	1	2	2	2	1	4	1	1	1	3	2	2	1	4	3	1	1	3	3	2	1	4	2	3	4	6	7	3	3	3	3	2	5	3	1	1	2	1	4	2	3	1	3	1	1	1	5	1	1	2	2	2	4	3	2	2	4	1	2	2	2	2	1	1	1	1	5	5	10	4	1	1	1	1	4	1	1	1	6	1	3	4	1	4	9	7	4	4	8	7	13	1
2000	-631.723278646438530	-629.433875844081740	-2.289402802356734	0.000009963863415	0.000031184684635	3.129778413863340	0.386172808960367	1	3	4	4	3	5	3	6	8	6	5	5	7	7	8	8	7	6	6	8	8	7	5	7	9	8	10	8	10	10	10	10	11	10	11	10	9	11	12	11	8	12	11	9	12	12	12	11	12	14	11	13	12	12	12	14	13	13	13	16	12	13	13	13	13	11	14	14	14	15	17	15	17	14	14	15	15	14	16	16	15	18	15	16	15	19	15	17	15	18	17	17	17	15	16	16	17	17	17	19	18	20	20	20	22	24	25	27	28	32	0	1	1	2	1	7	1	2	6	2	1	2	8	23	7	2	23	2	3	2	7	12	2	2	8	7	13	18	6	2	2	1	2	21	34	2	2	4	1	2	18	37	7	1	2	12	34	24	1	40	7	7	36	30	51	49	29	19	44	9	17	43	44	1	31	1	24	43	53	44	67	65	54	31	15	67	35	37	40	85	16	99	44	94	2	54	7	59	34	70	53	58	96	66	68	55	66	50	81	55	98	68	88	88	104	2	66	66	40	0	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	2	2	1	1	3	2	3	2	1	3	2	4	4	3	2	1	3	3	4	6	2	1	2	6	2	4	3	1	2	7	1	3	4	1	1	1	1	2	4	2	6	3	1	2	5	2	6	3	2	1	4	2	1	3	2	4	1	3	2	3	1	2	1	3	1	5	4	6	2	3	2	2	2	1	2	1	3	4	2	2	6	1	3	1	2	1	9	8	10	6	1
2500	-712.056969693951828	-710.214396185756641	-1.842573508195163	0.000010212944523	0.000019848342709	1.943449576677226	0.431397696453190	1	3	4	4	4	4	5	5	8	6	5	5	7	7	8	8	7	7	8	8	7	7	7	7	9	8	11	9	10	9	10	9	12	9	11	10	9	13	12	11	12	13	12	10	11	13	10	12	12	11	12	12	12	11	13	14	14	13	15	14	12	13	13	14	13	10	14	14	14	15	14	15	16	13	15	13	15	15	15	15	17	17	16	16	15	17	18	18	16	18	18	17	17	17	16	17	17	18	19	19	19	21	20	20	22	24	25	26	29	32	0	1	1	1	1	2	4	2	2	7	1	2	12	4	12	12	8	2	12	1	11	12	2	2	21	2	30	18	5	3	5	1	9	7	22	7	9	9	26	7	7	54	2	7	9	29	18	21	66	66	2	2	54	18	19	44	48	36	31	35	11	23	49	29	1	1	35	30	63	65	52	51	57	7	74	37	9	9	53	42	31	47	34	65	28	1	66	65	31	18	46	27	70	67	85	89	15	80	1	72	70	61	88	89	89	1	87	97	49	0	1	1	1	1	2	1	1	1	3	1	3	1	1	1	1	2	1	3	1	3	2	1	2	3	1	2	1	1	4	3	4	3	3	2	1	4	1	2	2	4	3	1	4	2	2	2	1	2	1	1	5	3	1	2	3	2	1	2	4	1	4	3	1	2	7	3	1	2	1	1	1	1	1	3	1	2	3	3	1	1	3	3	4	2	3	8	6	3	3	5	3	2	1	1	1	1	6	2	5	2	1	4	1	2	3	10	7	4	9	1
3000	-658.521445654247827	-656.078808452685735	-2.442637201562067	0.000010290442052	0.000036868866095	3.582826268136144	0.469750530317091	1	3	4	4	3	4	3	7	7	6	5	6	6	7	9	7	7	6	8	9	7	6	8	8	9	7	10	10	10	9	9	11	12	7	9	10	10	12	10	10	10	12	11	11	12	12	10	13	13	12	11	13	12	12	13	13	12	14	13	16	14	13	14	13	12	11	15	14	13	16	17	14	15	14	14	15	14	15	15	14	16	18	17	17	16	18	16	16	13	19	18	17	17	16	17	18	17	15	17	18	18	20	20	20	22	23	22	25	29	33	0	1	2	7	1	7	1	7	12	1	2	5	4	4	21	18	10	7	2	2	2	4	7	1	4	2	9	23	13	2	19	1	41	2	8	2	7	24	1	2	2	27	2	31	29	8	24	40	41	19	7	7	23	37	20	65	40	41	29	25	49	33	50	43	29	7	65	7	25	69	66	52	29	33	7	44	29	42	29	64	44	27	73	62	1	1	41	53	24	83	26	56	47	73	67	48	61	57	25	2	67	91	2	70	54	1	7	2	7	0	1	1	1	1	1	1	1	2	1	2	1	2	2	1	1	1	1	2	3	2	2	1	3	4	2	3	2	1	2	3	1	5	1	2	1	3	2	1	4	2	5	1	3	1	1	3	1	1	2	2	5	5	2	1	2	1	1	2	2	3	1	1	1	1	1	5	2	4	2	1	3	1	4	1	5	2	3	2	1	1	3	4	1	1	4	7	2	2	2	1	6	2	2	1	2	3	1	1	2	7	1	1	6	2	6	6	6	6	14	1
3500	-1049.171906302769685	-1046.414156418280072	-2.757749884489681	0.000010833026899	0.000049871308288	4.603635599938614	0.416143371589193	1	3	4	4	3	2	5	7	7	7	6	5	7	8	8	6	7	6	7	8	7	7	7	7	9	9	9	9	11	8	10	10	10	10	10	9	9	10	13	11	11	11	10	11	12	12	11	12	12	12	11	13	12	12	10	13	14	14	14	15	12	13	12	14	13	13	15	15	14	15	16	14	17	14	14	15	13	14	15	15	16	19	18	16	16	18	17	16	16	18	17	18	17	16	16	16	18	18	19	18	20	21	20	21	22	24	24	26	29	33	0	6	1	2	1	1	3	18	16	3	3	2	12	5	9	3	2	2	6	1	7	1	2	12	4	21	9	22	55	9	25	6	2	7	36	7	2	1	18	25	12	23	21	24	2	34	23	34	2	2	1	30	32	40	20	49	34	17	2	9	14	47	29	63	1	1	17	63	7	13	59	44	75	8	55	34	2	37	2	63	63	84	93	64	78	58	49	65	22	60	63	62	66	67	32	31	66	68	59	61	83	101	15	82	102	1	38	56	2	0	1	1	1	1	1	1	1	1	1	2	1	1	2	3	1	1	2	1	2	4	2	2	1	1	3	2	1	1	1	1	1	5	3	1	1	3	2	5	5	2	3	2	1	2	3	1	2	1	5	5	3	3	1	1	1	1	3	4	5	3	2	1	1	1	6	6	3	1	3	4	1	2	2	3	2	3	4	2	5	1	3	1	1	2	1	1	3	1	3	2	3	2	2	1	3	3	3	2	4	5	1	1	6	1	1	8	8	7	9	1
4000	-709.567715061081458	-707.739942154494997	-1.827772906586473	0.000011363196005	0.000021668272876	1.906881907720764	0.501405682644074	1	3	5	3	4	3	4	6	7	7	5	5	5	7	9	7	7	6	7	8	8	7	5	8	9	8	11	9	11	10	8	8	10	10	10	8	10	12	10	11	11	13	12	11	13	12	11	13	13	13	12	13	13	12	13	13	13	12	13	15	13	13	14	14	13	14	14	12	15	15	16	14	15	12	13	15	12	15	16	14	17	18	18	16	15	18	17	17	15	19	16	17	18	16	17	17	17	19	20	19	18	20	19	20	22	23	25	26	28	32	0	1	2	1	2	1	2	1	12	3	2	4	6	13	19	8	18	1	5	2	11	5	1	19	17	2	16	19	15	9	2	2	2	17	36	11	28	1	31	2	22	30	21	24	8	13	37	29	15	2	2	21	41	25	15	17	33	29	7	2	51	41	47	20	2	2	46	28	80	59	44	68	65	41	2	75	35	57	2	29	44	19	16	42	24	25	49	2	25	66	66	38	27	54	42	71	12	43	92	35	75	86	88	38	101	93	66	97	106	0	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	2	3	2	1	1	1	1	3	2	1	2	2	2	2	3	1	1	1	1	4	1	4	2	2	2	2	3	3	1	1	4	2	4	2	1	2	2	3	2	1	3	6	1	1	1	4	7	6	1	2	1	1	2	1	1	1	4	1	1	1	6	2	3	5	4	1	4	4	1	3	3	4	1	2	4	2	2	1	5	4	3	5	3	1	1	3	2	2	6	5	2	1
4500	-657.177975594609620	-655.119664835683921	-2.058310758925658	0.000011620222335	0.000028979850891	2.493915353425767	0.381105488773269	1	3	4	5	3	4	5	6	6	6	5	5	6	7	9	8	8	7	8	9	8	8	8	8	9	7	11	9	10	9	9	11	12	10	12	10	10	12	13	8	12	12	11	10	12	12	11	13	13	13	11	12	11	12	13	13	13	14	12	15	11	12	13	14	13	13	15	14	13	15	16	16	16	13	15	15	13	15	16	16	16	17	17	16	15	19	16	16	16	17	16	16	17	16	15	18	17	18	18	18	16	19	20	19	21	24	24	27	28	33	0	1	1	5	1	2	5	2	6	2	2	1	3	11	6	4	2	4	13	2	2	5	2	2	4	1	31	21	30	2	2	1	24	21	22	2	2	17	61	1	28	61	28	1	2	8	28	59	62	2	1	11	30	17	40	24	35	21	2	2	2	16	61	53	24	1	63	10	52	1	64	76	31	25	61	52	20	24	22	20	61	20	89	16	2	5	63	1	59	16	68	30	63	39	38	83	66	20	2	67	12	93	2	34	76	1	49	87	106	0	1	1	1	1	1	1	2	1	1	2	2	2	1	1	2	1	3	1	1	3	2	3	3	2	2	3	1	1	1	4	3	6	4	1	2	3	2	3	2	2	2	1	1	4	3	3	1	1	1	7	5	4	1	2	2	3	1	4	4	4	4	2	1	1	3	3	1	5	1	7	1	1	3	2	1	2	1	4	3	4	2	3	1	4	4	6	1	6	1	6	2	4	2	1	2	1	1	5	8	1	5	1	9	5	2	9	8	8	2	1
