step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94
1	-11215.196892291587574	-11213.734810207068222	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.386772489181368	0	1	2	3	3	8	10	10	12	12	13	14	14	14	16	15	16	17	16	18	17	18	20	20	21	21	21	24	23	25	25	26	29	26	27	28	28	27	28	28	30	29	29	30	31	30	32	31	32	32	31	31	31	32	34	33	32	32	32	34	34	34	33	34	34	35	35	35	35	36	36	35	36	35	37	36	37	38	36	36	37	39	38	39	38	38	37	39	39	39	39	39	40	39	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	4	5	5	6	6	7	7	7	7	8	8	8	9	8	9	9	9	10	10	11	11	11	12	12	13	13	13	15	13	14	14	14	14	14	14	15	15	15	15	16	15	16	16	16	16	16	16	16	16	17	17	16	16	16	17	17	17	17	17	17	18	18	18	18	18	18	18	18	18	19	18	19	19	18	18	19	20	19	20	19	19	19	20	20	20	20	20	20	20
500	-4439.714012299858950	-4436.815056808915870	-2.898955490943047	0.000010025234653	0.000051162633881	5.103385172620188	0.115311650267083	-1	2	2	0	3	6	9	8	12	11	13	13	12	15	14	14	16	14	16	18	18	19	17	20	18	22	22	21	22	26	22	23	30	26	28	27	29	28	29	29	31	30	30	30	31	31	33	32	33	33	31	32	32	33	35	34	33	33	32	34	35	35	34	35	34	36	36	35	35	36	37	36	36	36	38	37	38	39	36	37	38	40	39	40	39	39	38	40	40	40	40	40	41	40	0	4	1	1	4	5	8	6	10	7	7	9	8	15	11	7	14	13	14	16	17	17	18	20	18	23	25	25	25	23	25	23	23	31	23	25	32	18	23	23	23	32	23	23	31	8	23	31	31	23	23	23	23	23	25	11	23	31	23	23	32	32	23	23	23	23	23	23	23	23	23	32	32	23	44	31	23	23	25	23	23	31	23	23	23	37	23	31	25	23	23	23	34	23	1	1	2	1	2	1	1	1	1	1	3	1	2	1	1	3	1	1	1	2	2	2	3	2	2	4	2	2	2	8	2	3	11	3	9	6	6	12	12	10	13	6	11	12	6	16	14	8	10	13	13	11	11	11	11	21	13	7	12	14	10	10	14	16	14	17	14	14	15	16	16	10	13	19	8	12	15	17	17	14	17	18	19	20	17	10	16	16	19	20	17	19	13	15
1000	-2523.351647763592609	-2520.807004220470390	-2.544643543122432	0.000010024640170	0.000039092527110	3.899643922082969	0.145503447324491	-3	1	2	0	2	8	10	8	12	12	12	13	14	14	13	15	16	16	17	18	18	19	20	20	18	21	21	21	24	26	22	23	28	27	24	29	26	24	28	25	31	30	30	27	32	31	32	32	33	33	32	32	31	32	35	34	33	32	33	35	35	35	33	35	35	36	36	35	35	37	37	35	37	35	38	37	38	39	36	37	38	40	39	40	39	37	38	40	40	39	40	40	41	39	0	4	1	1	4	5	8	5	7	7	8	9	8	15	11	15	15	13	15	16	17	21	18	20	18	18	25	25	25	26	28	31	31	38	32	32	32	25	28	8	32	32	38	32	53	25	35	39	40	44	40	40	42	44	37	35	40	44	44	40	44	44	44	28	35	44	44	40	40	44	44	40	44	8	51	40	44	35	25	44	44	35	38	38	40	40	38	44	44	25	32	44	40	40	1	1	2	2	1	3	1	3	1	2	2	1	3	1	1	2	1	1	2	1	1	1	2	1	1	1	1	2	3	4	1	1	3	2	1	3	2	4	7	9	4	5	6	4	1	8	5	3	6	6	5	5	1	3	8	8	7	3	4	8	8	8	5	14	11	9	9	6	9	9	10	7	9	16	6	12	11	15	14	10	10	15	13	15	13	7	14	12	13	15	16	13	12	9
1500	-2028.916464128952612	-2026.273982831077319	-2.642481297875263	0.000010046674427	0.000042352595669	4.215583572258941	0.232482624971899	-1	2	1	1	3	8	10	9	11	12	13	14	14	14	13	16	16	16	16	18	18	18	19	20	20	21	22	24	23	26	22	23	27	26	28	28	28	25	28	25	31	28	29	27	29	30	32	31	33	32	29	29	31	33	34	34	33	32	32	35	35	35	33	33	35	36	35	36	34	37	37	36	37	36	37	37	37	39	37	37	38	40	39	40	39	38	38	40	40	40	40	40	41	39	0	4	1	1	4	4	8	6	8	7	10	9	10	15	8	15	14	13	14	16	17	17	18	20	23	23	25	25	25	26	25	31	31	38	32	32	32	31	31	32	36	32	40	40	42	37	44	39	40	44	44	40	45	44	45	40	44	52	52	47	44	44	52	13	40	40	47	52	42	52	40	44	51	18	51	44	52	44	52	52	44	40	52	40	40	52	32	40	52	52	44	52	64	52	1	1	1	1	1	3	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	2	2	2	1	1	2	2	2	3	2	1	2	1	3	2	4	2	4	1	2	3	3	1	1	1	2	2	4	3	1	4	2	4	3	8	6	2	2	1	7	7	2	13	8	10	3	5	2	6	10	4	5	16	4	9	7	11	8	7	7	14	9	12	11	7	13	13	11	10	12	11	8	8
2000	-1440.401107098309240	-1437.831310505065176	-2.569796593244111	0.000010104305607	0.000040212305357	3.979719826322042	0.348115861951076	-1	0	2	2	4	8	10	9	12	11	12	14	15	15	14	16	16	16	17	18	17	19	19	20	20	21	22	24	23	25	22	24	29	26	27	29	27	26	29	25	31	28	29	27	30	30	31	31	32	29	31	28	32	32	35	34	30	29	32	33	34	35	32	31	34	35	36	35	35	37	35	35	37	36	37	37	38	39	37	36	34	40	38	39	39	39	37	40	40	38	38	40	40	39	0	1	1	2	4	5	8	6	7	7	8	9	10	15	11	15	15	13	15	16	17	21	18	20	23	23	25	25	25	26	25	31	31	31	40	32	32	31	31	32	36	32	40	40	42	42	44	33	40	44	44	44	45	47	45	40	50	52	52	47	58	50	57	31	40	40	66	59	42	58	52	63	64	58	64	64	52	58	52	52	52	58	52	57	64	61	52	58	52	52	58	44	64	74	1	1	2	1	1	2	1	1	1	1	2	1	3	1	2	1	2	1	2	1	1	2	2	2	1	1	1	2	1	2	2	1	3	2	2	2	2	2	3	1	1	3	2	1	1	1	2	1	5	2	1	1	1	1	2	6	1	1	2	1	4	4	1	7	7	9	1	2	3	4	6	3	6	4	4	5	7	8	7	5	2	10	8	7	7	4	9	11	9	8	5	12	4	2
2500	-1125.811865720753985	-1123.526686759843869	-2.285178960910223	0.000010065438593	0.000031380638964	3.117662352702278	0.430732028651039	0	1	2	4	2	7	11	10	11	12	12	15	14	14	13	15	15	17	16	18	18	18	19	20	20	21	21	24	23	25	23	24	29	25	28	27	27	27	27	25	30	28	29	27	31	30	31	32	32	29	32	28	32	33	34	34	30	31	33	33	34	33	31	31	35	35	35	36	36	36	37	34	37	34	37	35	37	39	36	37	36	39	38	39	39	38	38	40	40	38	39	40	39	39	0	1	1	5	2	4	8	6	8	7	8	9	8	15	11	14	14	13	14	16	17	17	18	20	23	23	25	25	25	26	25	31	31	31	32	32	32	34	34	32	36	37	40	40	42	42	44	39	40	44	64	44	45	47	45	40	50	52	58	47	52	57	57	40	40	52	59	61	55	58	52	57	64	58	64	64	52	58	52	58	52	52	52	72	64	74	74	52	58	52	87	57	64	86	1	1	1	2	1	3	1	1	1	1	1	2	2	1	1	1	1	2	1	2	2	2	1	1	1	1	1	2	2	2	2	1	3	2	2	1	2	1	2	1	2	1	2	1	2	1	2	2	4	1	1	1	1	1	2	5	1	2	1	1	3	2	1	5	6	5	2	1	1	2	4	3	6	2	3	2	6	5	4	2	5	6	7	4	7	2	2	11	8	5	1	9	6	1
3000	-1007.999582987961162	-1005.208623207395476	-2.790959780565661	0.000010083045860	0.000047579004619	4.718713499939790	0.465901735272335	1	2	2	4	3	7	10	9	12	13	11	15	15	14	13	16	16	17	15	18	18	17	20	20	21	21	22	23	24	25	24	25	30	25	27	27	27	27	28	27	31	29	29	28	31	31	31	31	31	30	32	29	32	33	33	33	32	30	33	34	33	35	33	31	35	36	35	36	36	36	34	34	36	35	38	36	36	37	37	36	37	40	37	40	39	37	38	39	40	40	40	40	41	40	0	1	1	5	2	5	8	6	7	8	7	9	10	15	11	15	15	13	14	16	17	17	18	20	23	23	25	25	25	26	28	31	31	31	32	32	32	34	31	32	36	37	40	40	42	42	44	39	40	44	64	44	45	47	45	49	50	52	58	47	52	57	57	44	49	52	59	61	55	58	58	57	64	52	64	64	52	52	58	71	52	71	52	72	64	74	74	52	58	78	87	72	64	86	1	1	1	1	1	2	1	1	1	2	1	2	2	1	1	1	2	1	1	1	2	1	1	2	1	1	1	2	2	2	1	1	2	1	1	1	1	2	2	1	3	1	2	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	2	3	2	1	1	4	3	1	1	2	3	3	1	3	3	4	3	5	4	4	1	5	5	5	2	3	1	2	5	6	1	1	6	4	2
3500	-881.853097086337471	-879.179137819528592	-2.673959266808861	0.000010544075715	0.000045548580093	4.319826727609964	0.668626112920139	-1	1	0	3	4	7	10	9	12	11	13	14	15	15	14	16	16	17	16	19	18	19	19	20	20	22	21	23	23	25	25	26	27	27	28	28	28	28	28	27	30	29	30	28	30	30	32	31	31	30	32	30	32	33	34	34	32	31	32	34	34	34	33	31	35	32	36	36	36	33	35	35	36	36	34	36	38	37	36	36	37	40	38	39	38	37	37	40	40	39	39	39	41	39	0	1	1	2	4	5	8	6	10	8	7	9	7	15	11	14	14	13	14	16	17	17	18	20	18	23	25	25	25	26	28	31	31	31	32	32	32	34	33	32	36	37	40	40	42	42	44	39	40	44	64	44	45	47	45	49	50	52	58	47	58	57	57	44	49	52	59	61	55	58	58	57	64	66	64	64	66	70	71	71	70	80	71	72	73	74	74	66	70	78	87	72	85	86	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	1	1	1	2	1	2	2	1	1	2	1	1	2	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	4	1	2	2	1	1	2	2	3	1	2	4	4	2	1	1	2	4	2	2	1	1	1	6	3	1	1	2	1	2
4000	-812.469901563416670	-810.098480742398806	-2.371420821017896	0.000011557355045	0.000038936166614	3.368951326823023	0.772748910418989	0	1	3	3	4	7	10	9	12	11	12	13	14	14	13	16	16	18	16	19	18	18	20	20	20	22	22	24	24	25	24	26	29	25	27	28	28	28	29	28	29	29	30	30	31	30	31	31	32	31	32	31	32	33	33	33	32	32	32	34	34	34	33	31	34	33	35	35	35	36	35	36	35	34	38	36	37	37	37	37	38	37	39	40	37	38	37	39	39	39	39	40	39	40	0	1	1	2	4	5	8	6	7	8	8	9	10	15	11	14	14	13	14	16	17	17	18	20	18	23	25	25	25	26	25	31	31	31	32	32	32	34	31	35	36	37	40	40	42	42	44	39	40	44	64	44	45	47	45	49	50	52	52	47	52	57	57	44	56	52	59	61	55	52	52	62	64	66	64	73	66	70	71	71	70	71	71	72	73	74	74	71	78	70	87	72	85	86	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	2	2	1	2	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	2	1	2	1	3	1	3	1	1	1	2	1	2	2	1	2	2	2	1	1	1	1	1	1
4500	-775.475625243396053	-772.800906831891325	-2.674718411504674	0.000014388093242	0.000062190469640	4.322356589964775	0.753882995710277	1	2	3	3	4	7	11	10	13	12	12	14	15	14	13	15	15	17	16	19	18	18	19	21	21	21	22	23	23	25	25	26	28	26	27	27	28	27	27	28	31	29	30	30	31	30	31	31	32	31	32	31	32	32	33	34	32	33	32	34	34	34	33	31	35	34	35	35	36	35	35	36	35	35	35	35	36	37	37	37	37	39	38	39	37	38	37	39	40	38	39	38	40	39	0	1	1	2	4	4	8	6	10	8	7	9	10	15	11	14	14	13	14	16	17	17	18	20	23	23	25	25	25	26	28	31	31	31	32	32	32	34	31	35	36	37	40	40	42	42	44	39	40	44	64	44	45	47	45	49	50	52	52	47	52	57	57	44	56	52	59	61	55	58	52	62	64	66	64	64	66	70	71	71	70	71	71	72	73	74	74	77	78	78	87	72	85	86	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	1	2	2	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	2	1	2	1	2	2	1	1	1	1	1	2	1	2	1	3	1	2	2	1	1	1	2	1
