step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96
1	-2534.563328436218399	-2533.101246351699501	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.696466861597908	0	2	4	4	6	6	7	7	8	8	8	10	8	9	9	9	11	9	11	13	10	11	11	13	13	13	12	13	12	13	14	15	14	12	12	14	13	14	14	15	15	15	16	14	15	15	14	16	15	17	17	16	16	15	16	16	16	17	18	17	18	17	18	18	19	19	18	18	18	19	19	19	19	20	20	21	21	21	22	21	23	22	23	24	23	23	24	24	24	23	24	26	29	30	31	32	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	4	4	4	4	4	5	4	5	5	5	6	5	6	7	5	6	6	7	7	7	6	7	6	7	7	8	7	6	6	7	7	7	7	8	8	8	8	7	8	8	7	8	8	9	9	8	8	8	8	8	8	9	9	9	9	9	9	9	10	10	9	9	9	10	10	10	10	10	10	11	11	11	11	11	12	11	12	12	12	12	12	12	12	12	12	13	15	15	16	16
500	-741.863430400770312	-739.682707292713644	-2.180723108056712	0.000010050465424	0.000028383092396	2.824057513583769	0.371563347815967	-1	2	4	5	6	7	5	7	9	7	8	10	8	8	9	10	11	9	11	11	10	11	12	13	13	12	13	12	10	13	14	15	15	10	9	15	10	15	12	14	15	14	16	13	15	15	14	15	15	16	18	16	17	15	17	16	17	18	18	18	18	17	18	18	18	19	18	19	19	19	19	19	18	19	21	21	21	21	22	22	23	22	24	25	23	24	25	25	24	24	25	26	29	29	31	33	0	1	2	3	4	7	2	7	6	7	5	13	6	3	14	7	10	5	8	18	8	6	12	14	20	20	12	29	6	19	27	29	39	5	6	9	35	27	7	28	39	26	21	35	25	47	37	16	30	26	38	27	35	3	27	35	48	57	53	10	54	27	27	52	56	48	26	45	63	45	35	31	37	37	44	27	35	35	37	73	73	53	34	81	11	37	56	82	80	21	89	36	56	92	51	91	1	2	1	1	1	1	2	1	1	1	1	1	1	2	1	2	3	1	2	1	2	2	1	2	1	1	2	1	1	1	1	3	2	3	1	2	1	1	3	2	2	1	2	2	1	1	2	2	1	2	2	3	4	4	2	3	1	1	1	6	1	2	4	1	1	2	3	2	1	2	5	3	6	7	5	4	9	7	8	3	3	3	10	1	10	11	4	2	1	6	1	3	6	1	6	3
1000	-634.108383670158105	-631.433436889315658	-2.674946780842405	0.000010067257845	0.000043521941398	4.323117781362739	0.540497615915087	0	2	5	4	5	7	7	6	8	6	9	10	7	10	9	8	11	9	11	13	9	11	11	13	14	12	12	12	12	13	12	15	15	13	12	12	14	14	14	14	15	14	17	14	14	16	15	16	14	17	17	17	16	15	16	16	16	17	18	18	19	17	18	19	19	18	18	18	18	19	18	19	18	20	20	22	20	22	22	20	24	23	24	25	24	23	24	25	24	23	23	24	28	29	31	32	0	1	2	2	1	4	8	4	3	1	8	8	3	16	8	8	7	1	7	36	3	6	9	36	29	4	9	6	7	6	14	30	25	4	12	17	8	27	30	28	9	16	45	35	28	35	49	40	21	45	38	49	35	28	28	44	24	46	38	47	46	38	51	52	66	53	33	48	55	63	32	63	54	73	35	52	58	37	73	73	73	75	82	19	58	73	78	82	90	48	33	76	74	83	86	93	1	1	2	1	3	1	1	1	1	3	1	2	1	2	1	1	2	5	2	1	2	2	1	1	1	3	2	3	2	3	1	1	1	4	1	1	5	1	1	2	4	3	3	1	1	3	1	1	3	2	2	2	2	2	2	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	3	2	4	3	2	4	2	1	3	1	1	6	3	4	1	1	1	4	4	1	5	3	6	2
1500	-573.629070083560009	-571.395145216546894	-2.233924867013059	0.000010034631581	0.000029824604385	2.972167353016298	0.734190227534939	1	2	4	5	5	6	6	7	8	9	9	9	9	9	8	8	11	10	10	14	11	11	10	13	13	12	13	13	11	12	13	13	14	11	11	14	13	15	14	13	15	16	17	14	16	15	11	17	15	17	17	16	16	15	16	16	16	18	18	17	17	17	19	19	20	19	18	18	19	19	20	19	19	20	21	21	22	21	22	21	21	22	24	23	20	23	23	24	24	22	24	26	28	28	30	32	0	1	2	1	1	3	3	7	7	15	8	8	6	8	6	7	18	9	7	37	6	12	13	17	19	16	23	21	19	19	26	34	6	19	10	25	17	31	30	35	10	38	32	35	20	40	19	32	30	53	38	13	44	25	27	44	29	56	55	49	37	38	59	52	42	48	36	27	52	62	50	68	37	73	44	69	71	71	73	73	73	75	75	43	55	81	82	75	86	66	82	33	88	92	94	87	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	2	2	2	1	1	1	1	1	4	1	1	1	1	2	1	1	4	1	2	1	1	1	1	3	1	1	1	3	1	1	2	1	3	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	2	1	3	1	1	1	2	2	1	1	2	3	2	1	1	1	1	1	1	3	1	1	1	4
2000	-560.075643545021421	-557.663716235396464	-2.411927309624959	0.000010015434133	0.000034952635896	3.489877266681081	0.663660642154504	0	2	4	4	6	6	6	8	8	8	8	10	9	10	9	8	11	9	12	12	10	11	10	13	13	13	11	12	12	13	14	15	14	11	12	15	14	15	14	15	15	14	17	14	14	16	14	15	15	17	17	16	17	16	16	17	16	17	18	17	18	17	17	18	20	17	19	18	18	20	17	18	19	21	20	21	22	21	22	20	22	22	24	25	22	24	24	24	25	23	23	25	28	28	30	32	0	1	2	1	4	3	3	7	5	5	7	11	6	18	10	7	14	7	16	13	7	12	10	27	9	14	18	27	23	7	19	26	22	15	17	26	35	24	12	29	29	21	32	35	19	35	29	17	26	44	38	28	35	47	24	44	7	52	63	42	50	38	38	52	68	33	48	39	57	69	44	52	58	73	71	52	75	71	73	73	73	75	75	67	70	81	51	82	60	58	69	76	83	87	93	95	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	1	3	2	1	1	1	3	1	2	1	1	1	1	2	1	2	1	1	1	1	2	1	2	1	1	1	1	1	2	3	1	2	2	4	1	1	2	1	2	1	1	1	1	2	2	1	1	2	1	1	1	3	2	1	3	1	1	1	1	2	2	1	1	3	1	4	2	3	2	3	2	2	1
2500	-569.693189172437997	-567.593087023121370	-2.100102149316577	0.000010146257440	0.000026431205961	2.605020237091068	0.601427428823177	1	2	4	3	5	6	6	7	7	8	8	8	9	9	9	8	10	10	11	10	10	11	11	12	14	13	13	13	12	12	15	14	14	13	12	14	14	15	14	16	16	16	17	14	15	16	13	17	14	17	17	15	16	14	17	15	16	18	18	17	19	18	18	19	17	20	19	19	18	20	20	18	17	20	20	21	21	21	21	22	23	22	23	23	22	24	24	25	25	24	25	25	28	29	31	32	0	1	2	2	2	1	3	3	5	7	7	6	8	8	8	7	15	13	7	10	16	20	13	21	28	19	23	29	17	20	47	21	23	19	16	21	35	26	30	44	54	54	34	35	20	35	22	17	24	25	38	32	44	28	27	35	26	52	51	38	73	51	38	52	41	59	57	32	56	62	28	32	37	61	40	64	75	35	73	73	61	75	75	77	27	81	74	82	63	75	90	20	74	92	94	93	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	2	1	2	1	1	1	2	3	1	3	1	1	3	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	3	1	1	2	3	2	1	3	2	1	1	3	1	1	7	2	2	2	1	2	1	5	1	2	1	2	2	1	5	3	2	1	2
3000	-608.347376550013564	-605.587958206336111	-2.759418343677429	0.000010660124347	0.000049136581269	4.609381623303909	0.686948086239554	0	2	5	4	6	7	8	8	8	8	8	9	9	9	9	10	10	9	11	13	10	10	10	13	13	12	13	11	11	12	15	16	14	12	11	14	14	15	14	15	14	15	17	13	15	16	15	16	16	17	18	16	16	15	17	17	17	18	18	18	18	17	17	18	18	18	18	18	17	20	18	18	18	18	20	21	22	20	22	21	22	22	22	24	23	23	24	25	24	24	25	27	29	30	30	33	0	1	2	1	4	5	5	4	5	4	6	5	11	10	10	9	3	6	15	26	6	7	13	22	19	22	29	10	12	17	27	34	34	9	18	30	34	27	30	27	18	35	25	35	22	35	25	12	25	40	63	27	35	25	33	44	20	49	10	24	49	38	38	52	52	53	33	69	49	74	44	13	37	44	42	64	75	71	73	74	73	75	75	50	78	81	81	82	75	78	83	64	79	85	88	95	1	1	1	1	1	1	1	2	2	3	1	2	1	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	2	1	1	3	3	1	2	1	1	1	1	2	1	1	2	3	1	5	2	1	2	1	2	1	1	2	1	1	1	3	3	2	3	2	1	1	1	1	1	2	1	1	2	1	1	1	1	2	2	1	5	4	3	2	1
3500	-580.361483840276719	-578.528443644459003	-1.833040195817704	0.000011006537397	0.000021131248144	1.919881556086169	0.672054553016834	1	2	4	4	6	6	7	6	8	7	8	10	8	10	9	9	12	9	11	14	9	12	11	12	13	12	13	14	12	14	14	13	13	12	13	14	13	15	14	16	15	15	16	13	15	14	14	16	15	18	17	16	16	16	15	16	16	15	18	17	18	16	17	18	20	18	19	18	19	20	20	19	20	21	21	21	22	21	22	22	22	23	23	24	24	24	24	24	24	23	24	26	29	29	32	32	0	1	2	2	3	2	8	3	5	3	7	5	8	7	9	5	12	8	9	9	5	6	13	11	19	11	13	32	21	14	12	23	24	19	12	26	18	27	16	31	29	47	25	16	20	35	44	42	24	41	38	28	35	34	27	35	9	28	31	22	22	36	38	52	57	56	48	20	38	59	35	52	37	73	71	42	75	33	73	73	73	75	75	75	77	81	90	82	81	59	70	76	89	92	93	93	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	2	1	2	2	2	1	1	3	1	1	2	2	1	1	1	1	1	2	1	3	1	1	1	3	2	1	1	1	1	1	1	1	1	2	2	1	2	3	1	2	2	3	1	1	1	1	1	2	2	2	1	3	2	4	1	1	3	1	3	1	1	1	2	2	1	1	1	1	1	1	4	2	2	3	1	2	1
4000	-555.800272991750830	-553.613117413553141	-2.187155578197678	0.000011465643164	0.000032583189374	2.841810869996483	0.640199546395113	0	3	4	4	7	7	6	7	8	8	9	10	9	9	8	9	12	10	11	13	10	12	12	13	12	14	13	13	12	12	14	15	15	13	12	14	13	15	14	16	15	16	16	14	15	15	15	17	15	18	17	17	15	15	16	16	15	17	18	17	17	16	19	18	19	19	18	18	19	19	19	20	20	21	20	22	22	22	22	22	22	23	24	23	23	24	22	25	25	24	21	25	28	30	31	31	0	1	2	2	4	7	3	3	5	8	5	10	5	6	7	6	13	8	16	19	9	12	8	19	18	17	23	17	14	9	35	28	20	35	9	12	35	34	12	26	44	35	36	35	27	31	28	33	18	55	38	23	35	34	27	35	17	26	20	33	44	27	51	52	31	44	48	48	61	26	56	30	58	73	35	52	75	35	73	73	73	77	75	51	75	81	50	82	51	80	47	76	88	92	92	83	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	1	1	2	2	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	2	3	1	1	2	2	1	2	2	2	2	3	1	2	2	2	1	2	3	1	1	1	3	2	4	2	1	4	3	1	7	1	1	1	1	2	3	2	1	2	1	3	1	2	2	1	3	3	2
4500	-586.793253194957629	-584.768509374226937	-2.024743820730739	0.000012945923173	0.000031145544821	2.405818758826511	0.729839100609250	0	1	5	4	6	4	7	8	7	8	9	10	9	10	10	9	12	9	12	14	11	11	11	13	13	13	12	11	13	11	14	16	15	12	12	14	13	14	13	15	14	13	17	15	16	16	14	15	16	17	15	16	16	15	15	17	15	18	19	17	19	17	17	18	20	19	18	19	18	19	19	19	19	20	21	21	22	21	21	21	22	22	24	24	24	22	23	24	24	24	24	26	27	30	32	32	0	1	4	2	4	1	3	3	3	5	7	7	7	5	8	7	21	9	16	24	3	16	13	18	12	22	23	11	22	8	42	41	37	21	8	23	35	13	22	36	25	19	20	12	31	35	15	42	20	38	38	41	35	18	27	53	26	57	40	49	67	38	38	52	31	49	33	50	63	63	32	46	40	73	71	64	20	44	73	73	73	71	75	67	76	73	76	82	77	54	68	76	92	77	94	94	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	4	1	1	1	1	2	1	1	2	2	1	3	1	1	1	1	1	3	2	4	1	1	2	3	3	1	1	1	2	1	2	1	1	1	1	1	5	2	3	1	4	1	1
