step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	Tinf_115	Tinf_116	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	alpha_115	alpha_116	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114	kappa_115	kappa_116
1	-2837.653355057053432	-2844.508843008012718	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.243790899143236	5	15	16	15	20	29	22	24	19	22	20	33	22	28	37	27	30	29	28	26	29	27	26	31	30	29	31	32	31	34	34	33	36	36	32	35	37	34	34	33	35	34	39	38	34	38	38	36	39	43	38	41	38	42	50	44	49	42	42	43	43	47	46	45	46	46	50	50	46	47	48	47	50	48	48	48	49	48	53	50	54	50	57	53	56	52	61	56	56	54	59	58	59	58	58	57	58	60	69	64	74	64	65	65	70	68	68	76	72	79	71	77	75	83	99	98	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	4	3	3	3	3	3	5	3	4	6	4	4	4	4	4	4	4	4	5	4	4	5	5	5	5	5	5	5	5	5	5	6	5	5	5	5	5	6	6	5	6	6	5	6	7	6	6	6	6	8	7	8	6	6	7	7	7	7	7	7	7	8	8	7	7	7	7	8	7	7	7	8	7	8	8	8	8	9	8	9	8	10	9	9	8	9	9	9	9	9	9	9	9	11	10	12	10	10	10	11	11	11	12	11	13	11	12	12	13	16	16
500	-1075.828934503337678	-1082.684422454296964	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.391917901620661	2	15	13	10	20	21	18	25	18	18	18	31	24	28	37	25	26	32	25	24	28	26	23	29	27	29	28	27	33	23	34	30	35	36	27	30	34	31	32	34	36	32	34	36	28	35	36	32	40	42	39	42	36	37	52	41	48	42	43	43	43	45	36	45	37	46	40	51	43	40	48	45	43	40	42	46	34	48	50	50	55	47	59	46	55	53	62	49	53	53	61	53	59	52	56	59	50	61	67	66	76	60	67	65	72	68	67	71	70	80	70	79	71	78	92	101	0	4	4	1	3	3	2	3	4	4	4	5	9	10	2	30	7	22	2	6	10	2	10	2	8	16	13	3	4	9	39	11	5	29	20	22	45	16	10	26	22	35	13	32	16	6	16	10	5	30	30	39	8	31	63	15	77	31	31	38	33	22	16	5	77	69	77	58	30	77	44	15	22	47	0	43	12	0	37	56	52	22	70	51	88	67	58	30	58	88	65	58	85	0	4	77	84	84	62	80	0	70	70	68	65	90	29	97	91	65	65	84	82	29	0	0	1	1	1	1	2	2	1	2	1	2	1	3	1	2	3	1	2	1	2	1	2	2	1	2	1	1	1	2	5	1	1	3	2	1	1	1	1	1	3	2	2	1	3	2	1	3	1	1	3	3	3	3	1	1	4	1	2	1	2	2	3	3	1	3	1	1	1	2	2	2	1	2	3	1	1	2	1	1	3	2	2	4	5	1	1	2	3	3	2	1	4	2	2	1	9	6	1	2	4	2	1	4	6	3	8	3	6	5	1	9	6	8	5	8	1	1
1000	-971.471581135459701	-978.327069086419101	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.615366442226465	3	10	14	14	18	21	20	26	16	24	18	33	19	24	36	26	28	30	25	26	23	27	24	23	32	27	28	25	30	33	35	25	30	33	33	31	37	33	33	31	31	31	38	38	35	36	38	35	41	40	41	42	39	44	49	42	48	44	43	43	44	47	38	47	47	45	52	46	40	45	50	48	52	45	44	43	36	45	51	48	55	50	55	49	54	51	62	54	54	50	56	59	54	48	51	55	56	51	70	64	72	62	66	65	68	64	64	76	73	71	71	78	74	81	100	94	0	1	2	2	3	5	4	5	1	11	4	20	4	2	21	9	24	21	7	6	7	11	4	2	8	9	4	5	14	16	10	4	28	20	33	13	30	16	13	26	14	8	13	15	30	8	16	21	12	16	30	39	20	39	63	44	77	41	41	38	49	51	30	49	77	51	57	44	63	77	44	41	80	51	0	23	42	0	51	59	52	80	65	66	69	77	82	55	68	51	65	41	51	0	39	65	84	66	106	80	0	65	70	100	102	93	31	97	102	83	83	84	87	97	0	0	1	1	1	2	1	1	1	2	3	1	1	1	1	2	2	2	1	1	1	1	1	2	3	3	1	1	2	1	1	2	2	2	1	2	1	2	1	1	2	1	2	1	5	1	1	1	2	2	2	2	2	1	2	2	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	4	1	1	2	2	2	1	2	1	3	2	3	1	2	1	2	3	2	1	3	2	2	1	1	3	1	2	7	1	1	1	5	3	1	4	3	5	2	4	1	1
1500	-965.773277831125824	-972.628765782085225	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.624111102221328	3	10	12	13	19	26	19	24	19	20	17	33	16	28	35	23	30	30	28	20	31	23	25	30	31	28	31	30	32	35	29	25	30	35	25	35	33	28	32	31	37	33	34	34	30	36	37	30	38	37	40	38	36	41	47	42	43	42	44	42	42	46	47	42	46	41	49	48	45	47	51	50	50	47	49	45	41	47	41	49	51	46	54	52	49	53	58	55	51	52	57	57	57	57	54	57	58	56	65	59	72	64	63	59	71	68	69	66	71	77	72	77	71	85	97	94	0	1	2	2	3	3	2	3	4	11	4	35	4	13	21	9	22	32	22	3	22	4	13	7	6	16	22	20	31	16	23	4	20	6	5	24	16	16	14	26	44	35	22	14	9	6	16	7	6	30	30	32	20	39	47	44	77	41	41	38	33	51	66	46	77	22	77	31	51	77	82	59	44	47	0	54	42	0	40	82	52	29	70	69	47	67	68	55	29	47	83	68	55	0	76	70	84	63	90	44	0	83	77	73	96	93	68	98	102	83	102	98	100	108	0	0	1	1	1	1	1	2	2	3	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	2	1	3	1	3	2	1	1	1	2	2	1	1	1	1	2	1	3	2	2	2	2	1	1	3	2	2	2	1	1	1	2	3	2	1	2	1	1	2	2	3	1	2	1	1	2	1	1	2	1	1	2	1	2	3	2	1	2	1	2	1	3	1	1	2	1	1	2	3	2	1	2	5	1	1	4	1	1	1	3	2	1	2	2	4	2	3	1	1
2000	-944.110263227436803	-950.965751178396204	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.584851010451274	6	9	17	12	22	30	16	24	18	17	21	30	21	22	34	27	27	26	25	27	26	22	24	30	32	22	31	30	27	31	34	30	35	34	33	36	38	36	33	30	36	30	39	33	35	35	35	31	40	44	39	41	38	41	49	44	48	44	41	44	44	48	46	44	46	40	49	48	42	48	48	48	45	49	44	48	40	46	46	50	52	50	56	48	56	52	58	50	52	56	58	55	60	50	58	56	60	62	67	65	73	60	64	63	69	70	69	75	72	74	66	78	69	83	100	99	0	1	2	2	3	5	2	3	4	4	10	20	10	2	7	26	14	14	7	3	7	2	13	7	8	9	21	5	2	16	32	29	29	20	12	13	45	30	22	26	44	20	23	19	16	25	16	7	6	37	47	39	33	13	16	59	77	44	41	22	53	60	40	49	77	30	77	41	16	65	41	41	14	51	0	54	42	0	37	59	54	41	70	66	47	65	72	47	82	47	57	58	73	0	76	65	84	84	85	92	0	83	70	92	111	90	100	97	91	111	102	97	104	112	0	0	1	1	2	1	2	2	1	1	1	1	1	1	1	2	4	1	2	1	1	2	2	4	1	3	2	1	1	1	4	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	2	1	1	3	1	1	1	2	1	3	2	1	2	2	1	3	1	1	2	1	3	1	2	2	3	1	2	2	4	2	1	1	2	1	1	1	2	2	1	2	2	1	1	2	1	3	1	1	2	1	2	2	2	2	3	2	1	1	2	2	1	2	1	2	2	1	2	3	2	1	1	1
2500	-955.066535201597276	-961.922023152556676	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.636528511515546	4	13	17	15	20	30	23	24	19	21	19	24	22	25	31	23	32	25	28	28	19	24	27	20	31	29	27	28	29	33	28	29	34	34	32	34	35	30	28	31	34	36	38	39	32	36	36	26	35	44	36	40	39	35	47	40	49	41	42	42	43	42	40	45	45	42	47	49	47	46	46	44	45	44	46	45	40	49	45	50	52	43	53	54	53	52	57	54	53	51	58	54	60	55	50	55	58	54	71	62	69	60	62	63	71	67	69	74	74	73	73	76	77	85	101	89	0	1	2	2	3	5	2	5	2	11	4	3	4	24	21	9	21	21	21	12	2	11	4	11	8	16	7	5	24	16	10	10	28	28	12	10	45	16	13	16	29	20	54	41	16	6	16	2	20	37	30	54	33	39	63	41	77	41	44	38	33	51	45	35	77	63	70	59	63	49	58	41	82	51	0	29	12	0	40	73	52	58	65	66	69	65	44	69	59	63	67	68	85	0	13	65	84	55	106	68	0	70	57	92	102	90	100	98	102	103	83	97	107	108	0	0	1	3	1	1	1	2	3	1	1	1	1	1	1	2	2	1	1	1	3	1	1	1	1	1	1	2	1	1	2	2	1	2	1	1	2	2	1	1	1	2	1	2	1	1	2	1	2	2	2	1	1	2	1	2	1	1	2	1	1	2	2	1	1	2	1	1	1	2	1	2	1	2	1	1	1	2	3	1	2	2	2	1	2	2	1	1	4	1	2	2	1	1	1	1	4	2	1	1	1	2	1	2	2	2	1	3	2	2	4	2	2	1	1	3	1	1
3000	-965.728490231376213	-972.583978182335613	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.661943219595003	6	10	16	14	20	29	18	19	17	20	20	32	23	26	38	23	31	30	27	27	27	26	20	33	24	29	31	26	32	31	33	28	32	35	25	34	32	33	34	26	35	35	33	39	32	36	39	32	28	45	39	39	33	35	49	42	46	44	43	44	40	49	36	41	47	44	51	48	47	48	48	45	48	50	45	48	43	48	55	44	46	46	57	54	47	54	63	55	55	51	53	59	59	58	59	57	56	60	68	63	72	63	61	56	68	69	61	75	70	75	71	76	76	83	95	96	0	1	2	2	3	3	4	2	2	2	2	35	23	10	39	9	7	21	11	3	2	10	4	14	8	22	11	3	32	10	22	10	5	35	5	2	16	30	23	16	24	20	13	41	32	28	9	19	5	47	10	54	28	19	63	24	77	41	41	38	28	85	26	49	77	30	77	29	31	77	82	41	80	47	0	39	42	0	69	44	52	41	65	66	47	70	68	69	68	85	65	56	85	0	76	67	84	84	90	104	0	83	70	24	102	90	104	98	102	96	65	47	107	112	0	0	1	1	1	2	1	3	1	2	2	1	1	2	1	1	1	1	2	1	1	2	3	1	1	1	1	1	2	2	1	1	2	2	1	1	1	4	1	1	2	1	1	1	2	1	1	2	3	1	1	2	2	1	1	2	2	2	1	2	1	3	2	1	1	2	1	2	2	3	2	1	1	2	1	2	1	2	1	1	2	1	1	2	2	1	2	1	3	1	1	1	1	2	2	1	3	1	1	1	2	1	1	1	2	4	1	3	1	2	2	3	3	5	2	1	1	1
3500	-927.231381498171572	-934.086869449130972	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.756895328050963	2	12	15	15	21	30	18	22	21	24	19	34	19	25	39	27	28	29	26	28	30	25	25	31	28	29	21	33	30	35	29	32	37	36	30	31	32	36	32	35	35	34	38	38	34	32	39	36	41	44	41	41	30	35	44	44	47	42	43	45	42	46	38	45	46	48	41	44	43	48	49	46	50	45	46	43	38	49	53	46	55	50	57	52	49	53	62	48	52	55	55	58	59	56	55	53	57	59	69	61	75	61	55	66	55	64	65	72	68	74	70	72	74	75	97	97	0	1	2	2	3	5	2	3	4	11	4	35	4	2	7	9	14	27	7	3	7	4	13	16	8	16	7	5	14	26	10	22	53	12	5	31	16	30	23	16	24	35	11	41	37	20	16	14	35	47	16	54	5	39	63	41	77	44	44	38	6	30	30	49	77	55	77	31	30	77	80	58	59	47	0	39	20	0	55	44	52	56	96	47	69	57	72	51	58	9	65	41	88	0	76	65	84	97	106	92	0	105	70	100	57	93	92	98	96	70	102	98	107	112	0	0	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	2	1	3	2	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	3	1	1	2	1	1	1	1	2	2	1	1	2	2	2	1	1	2	1	1	3	2	3	1	1	2	1	1	1	1	1	2	2	2	2	1	2	1	1	2	1	1	6	2	3	2	1	2	2	1	1	1	1	1	1	1	1	2	1	2	2	2	4	2	1	2	1	1	1
4000	-945.900449933103914	-952.755937884063314	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.622474047092351	2	11	16	14	21	26	20	24	21	21	16	30	21	26	35	26	32	31	26	22	25	23	24	31	28	30	25	33	22	32	36	33	37	34	28	35	28	33	31	31	34	34	33	39	31	33	32	29	35	42	39	42	30	41	49	42	46	42	33	44	40	43	46	46	44	46	46	47	48	45	48	39	49	50	45	47	39	43	53	42	49	46	55	53	53	51	54	48	55	46	58	57	56	55	53	54	56	61	66	64	75	64	64	66	60	61	62	73	68	78	72	78	72	82	98	96	0	1	2	2	3	5	2	5	4	11	4	20	4	7	7	9	21	27	7	3	7	11	13	11	8	16	7	6	2	16	21	22	35	5	6	39	16	16	22	16	59	20	23	41	37	35	16	22	53	45	30	39	5	39	62	72	77	59	29	58	53	16	50	49	77	15	77	59	30	77	58	59	68	62	0	54	12	0	40	15	52	59	65	66	88	70	68	47	82	30	96	58	85	0	69	65	84	97	90	68	0	83	57	92	83	55	58	98	102	83	102	108	107	112	0	0	1	2	2	1	2	1	1	1	1	1	1	2	1	1	3	1	1	1	1	1	1	2	1	3	1	1	2	1	1	1	1	1	2	3	1	1	1	1	1	1	1	3	2	1	1	1	2	1	1	2	1	2	2	1	2	1	1	2	1	1	1	2	2	2	1	1	1	2	2	1	1	1	1	1	1	2	2	1	4	1	1	2	2	1	1	1	1	2	1	2	1	2	1	1	1	2	2	1	3	3	1	2	3	2	1	1	2	2	1	2	2	1	2	2	1	1
4500	-940.248337107040697	-947.103825058000098	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.661352946776027	6	10	16	15	19	29	25	21	19	25	19	33	24	21	37	24	30	29	27	22	26	24	26	27	30	27	31	29	27	31	19	24	34	31	30	31	36	36	32	34	35	26	36	38	31	37	36	38	41	41	29	42	37	38	48	40	49	38	31	42	37	43	39	44	48	42	47	50	45	43	44	42	51	47	46	42	40	49	52	41	52	47	55	54	55	52	56	55	54	49	57	61	59	53	54	50	51	59	61	62	72	63	53	65	68	70	69	72	69	77	69	76	77	85	91	91	0	1	2	2	3	3	14	3	4	31	4	20	4	2	21	9	21	7	7	3	31	14	31	14	8	16	7	3	2	16	4	31	28	20	3	14	45	45	13	26	59	20	39	59	16	35	51	21	20	45	16	13	28	23	63	41	70	41	24	38	35	51	47	28	77	37	70	71	16	77	58	14	80	30	0	39	35	0	69	59	52	41	70	97	69	65	73	74	80	69	57	82	55	0	39	77	69	97	90	82	0	103	77	92	57	99	100	98	102	102	102	108	107	112	0	0	1	1	1	1	1	2	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	2	3	1	2	1	2	2	1	2	1	2	1	2	1	2	4	1	2	3	1	1	2	1	2	1	1	1	1	3	1	4	2	1	1	1	2	1	1	2	2	3	1	1	2	1	1	1	1	2	1	2	3	1	1	1	3	1	1	3	2	1	3	2	1	2	2	3	1	2	2	1	3	2	2	2	1	2	1	1	1	2	1	1
