step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37
1	-1201.847203359354125	-1200.385121274835228	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.816946737735006	-1	2	4	6	6	7	7	9	9	10	10	11	13	12	11	14	14	15	16	17	16	18	19	19	21	19	21	19	20	21	21	22	23	24	23	23	27	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	4	4	4	5	5	6	6	6	7	7	6	8	8	8	9	9	9	10	10	10	11	10	11	10	11	11	11	12	12	13	12	12	14
500	-228.968347764621655	-226.836880667911913	-2.131467096709749	0.000010025611577	0.000026963704522	2.689482264027454	0.646294990946454	0	2	4	7	6	5	7	9	9	10	11	9	14	12	10	12	13	15	16	17	16	18	20	16	19	19	21	18	21	21	22	22	24	24	23	24	27	0	1	2	2	3	3	6	4	7	6	6	7	16	8	8	11	16	17	18	19	18	21	20	14	20	22	12	20	22	19	23	20	28	26	27	28	36	1	1	1	3	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	5	1	1	3	1	3	3	3	1	4	2
1000	-211.582788290321588	-209.635912590733938	-1.946875699587637	0.000010044124856	0.000022148617763	2.205131664688548	0.605927558744246	-1	1	4	6	7	7	5	9	9	11	11	11	13	13	12	15	13	15	16	17	16	17	19	18	21	19	22	18	19	20	21	22	24	24	23	23	28	0	1	1	2	7	7	2	6	6	5	6	6	12	15	8	13	10	17	18	18	18	21	24	19	30	22	24	20	22	24	23	26	28	26	28	28	36	1	1	2	2	1	1	2	1	1	3	2	2	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	3	3	2	3	3
1500	-221.372051955970818	-219.798700035466169	-1.573351920504644	0.000010068879916	0.000012960260672	1.287160119085593	0.678356693234779	-1	2	3	6	7	7	4	10	9	8	11	9	13	11	12	12	13	15	16	17	17	19	19	19	21	19	22	20	21	20	21	20	23	24	22	24	26	0	1	2	2	7	7	3	10	4	7	9	10	16	4	9	14	9	17	18	18	18	20	20	19	28	21	32	18	26	19	23	26	28	26	22	28	36	1	2	1	1	1	1	1	1	2	1	2	1	1	2	1	1	2	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	2	2	1	3	1
2000	-183.464282115874283	-181.579632460608451	-1.884649655265826	0.000010159177436	0.000020807283518	2.048126794560211	0.940456854009473	0	3	4	6	7	6	7	9	8	10	10	11	13	13	11	13	14	15	16	18	17	18	19	19	20	19	21	20	21	20	21	20	23	23	24	23	27	0	1	1	2	6	3	6	9	7	5	9	7	12	12	11	11	16	17	18	19	18	21	20	21	20	22	25	20	26	22	23	21	28	29	33	28	36	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1
2500	-193.553302838895689	-191.482015842728742	-2.071286996166935	0.000010137518000	0.000025630094342	2.528241561935995	0.854766234046187	0	2	4	7	6	5	7	9	8	11	10	9	12	12	11	12	14	15	16	17	16	18	20	19	22	19	21	18	20	20	21	22	21	24	23	23	25	0	1	2	6	6	2	6	6	5	12	4	7	7	11	11	15	16	17	18	19	18	21	19	20	30	22	26	20	22	24	23	22	28	24	27	28	36	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	3	1	2	1
3000	-182.355859406433467	-180.493843936290915	-1.862015470142562	0.000009877134778	0.000019672088925	1.991679709463990	0.918937231760938	-1	1	4	7	6	5	7	9	7	11	11	11	14	12	11	15	14	15	16	17	16	18	19	18	19	20	22	20	19	21	22	22	23	24	22	23	26	0	1	1	3	6	3	6	9	6	8	7	9	14	12	8	17	11	17	18	18	18	21	20	20	20	29	28	24	22	26	23	22	28	30	28	27	36	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
3500	-191.980839617842491	-190.492088603363641	-1.488751014478856	0.000010027827485	0.000010752294688	1.072245678815894	0.806810218458419	0	2	5	6	7	7	8	9	10	10	10	11	12	12	11	14	13	14	16	17	16	18	20	19	21	20	22	19	21	21	21	22	23	22	24	23	28	0	1	2	3	4	3	6	4	7	8	4	11	8	15	5	9	9	17	18	19	18	21	20	20	24	22	23	20	26	20	23	26	28	29	34	28	36	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	3
4000	-198.554735648388828	-196.759735430531066	-1.795000217857754	0.000010002053927	0.000018267024497	1.826327335513270	0.664917845889604	0	2	4	7	5	8	6	8	9	11	10	11	13	11	10	15	13	15	17	17	16	18	19	19	21	20	22	19	20	21	21	22	21	24	24	23	27	0	1	2	5	3	7	3	7	7	8	6	11	12	8	4	15	9	17	18	18	18	21	20	16	19	22	33	18	22	22	23	22	28	22	32	28	36	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	3	2	1	1	1	1	1	1	2	2	1	1	2	1	1	1	2	1	2	1	2	2
4500	-190.951298161922949	-189.012191763087458	-1.939106398835493	0.000009861604081	0.000021551291113	2.185373792801668	0.739686656364061	0	2	4	6	7	6	8	10	9	11	10	11	13	13	11	15	14	15	17	17	17	18	19	19	21	19	20	19	21	21	21	22	23	25	24	24	26	0	1	2	3	6	3	6	9	4	9	7	7	11	15	7	13	14	17	18	18	18	21	18	17	27	22	24	19	26	24	23	29	28	26	30	33	36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	4	1	1	1
