step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95
1	-5360.239018806118111	-5367.094506757077397	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.116624740957576	1	8	16	18	30	25	26	35	29	33	35	37	43	38	44	45	39	42	39	41	42	46	43	46	48	46	48	51	52	49	52	55	60	51	54	51	55	54	58	53	57	59	55	61	60	58	57	56	56	63	65	59	61	66	64	60	62	63	65	65	66	64	61	64	66	65	68	67	71	71	68	69	70	74	74	72	73	78	73	79	73	75	87	81	78	81	80	81	86	84	89	89	95	108	105	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	5	4	4	6	5	6	6	6	7	6	7	8	7	7	7	7	7	8	7	8	8	8	8	9	9	8	9	9	10	9	9	9	9	9	10	9	10	10	9	10	10	10	10	9	9	11	11	10	10	11	11	10	10	11	11	11	11	11	10	11	11	11	11	11	12	12	11	12	12	12	12	12	12	13	12	13	12	13	15	14	13	14	13	14	14	14	15	15	16	18	18
500	-1017.559649392216556	-1024.415137343175957	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.212049151004726	-6	8	13	7	28	22	10	36	23	28	21	31	27	34	45	30	37	29	37	39	43	43	40	46	46	45	46	50	46	42	52	53	57	50	54	51	56	49	55	48	57	48	55	60	58	55	53	54	58	65	65	54	60	63	62	62	58	61	67	68	67	62	63	64	64	61	68	69	71	71	67	67	62	73	69	74	71	78	70	78	71	71	85	81	76	79	77	77	84	84	90	87	93	109	105	0	1	1	0	6	4	4	12	11	11	7	6	7	12	10	7	18	4	14	13	13	10	20	14	11	17	14	23	23	18	38	34	16	17	13	24	23	16	16	16	22	30	18	11	31	47	7	9	42	48	37	42	16	6	7	10	20	11	16	0	7	7	6	11	40	6	11	11	43	58	11	11	28	13	31	20	48	40	57	7	4	29	65	58	23	16	74	6	30	35	85	0	66	67	62	1	2	4	1	1	4	1	1	1	2	3	2	3	1	3	3	1	3	1	2	3	3	1	1	4	2	2	2	1	1	1	1	5	2	6	1	3	4	5	2	2	2	4	6	1	1	7	5	2	2	2	1	5	7	9	7	4	10	7	1	14	10	7	5	2	7	9	9	3	2	8	9	2	8	4	6	4	4	2	15	9	5	3	3	6	12	1	8	10	8	2	1	6	9	10
1000	-885.934084130649353	-892.789572081608753	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.380006267797882	1	5	16	12	31	19	24	30	28	30	28	33	37	36	42	47	35	39	40	43	42	44	41	46	41	43	45	48	45	47	51	56	59	51	53	52	55	54	54	49	47	59	53	58	59	56	47	53	57	58	64	50	62	62	66	60	58	59	62	62	68	62	60	63	66	64	67	62	61	70	62	64	66	73	71	65	74	76	72	76	72	71	87	82	77	78	76	81	83	82	81	78	86	109	105	0	1	2	0	4	4	4	7	7	7	7	8	11	4	10	11	7	10	17	14	8	13	11	21	5	18	21	23	25	11	25	34	39	26	22	14	40	16	30	23	22	37	23	37	39	35	9	29	35	34	30	11	40	58	25	49	48	22	42	0	55	48	52	39	40	29	5	35	48	60	40	44	63	5	14	29	16	73	76	13	14	29	74	80	55	82	73	87	87	14	81	0	91	66	91	1	1	2	1	4	2	3	1	1	1	1	1	1	6	2	2	3	1	1	1	2	2	2	1	1	1	1	2	1	3	3	2	1	2	2	2	2	2	1	2	1	1	2	1	1	1	3	2	1	2	2	3	2	2	5	1	2	3	1	1	1	2	1	1	3	2	6	2	2	2	3	2	2	8	3	4	4	2	1	9	5	5	2	2	2	1	2	2	1	10	3	1	1	7	4
1500	-769.910144551861890	-776.765632502821290	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.672913528402795	-8	7	15	20	26	25	27	36	28	33	33	36	39	38	43	42	41	39	41	41	42	44	40	46	50	45	49	50	53	49	51	54	61	48	55	50	54	53	57	55	54	52	55	59	57	51	55	55	58	63	61	59	60	69	63	58	62	64	57	66	67	65	59	61	61	62	69	67	69	73	61	71	72	66	73	72	72	77	73	78	72	70	83	81	75	82	83	79	82	81	81	80	90	99	105	0	1	2	0	4	4	4	6	6	7	7	4	12	8	10	18	18	11	14	4	14	13	11	21	16	17	19	18	30	7	11	26	39	26	25	24	42	25	47	42	22	30	25	42	30	22	42	29	47	26	42	39	47	58	59	37	32	41	30	0	47	71	37	25	47	48	50	39	57	60	29	65	63	41	39	48	30	73	69	75	33	62	72	78	76	79	75	25	76	69	81	0	86	86	86	1	3	1	1	2	1	1	2	1	1	1	3	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	3	1	3	2	3	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	4	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	2	1	2	2	1	2	2	2	1	3	2	2	1	1	1	3	1	2	1	1	2	1	7	2	1	2	1	2	3	3
2000	-768.264612425700420	-775.120100376659821	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.611451509680602	1	8	18	16	29	25	23	29	27	33	32	38	45	39	42	44	37	43	35	38	37	45	38	45	42	45	47	48	49	48	53	54	57	49	50	50	55	51	59	54	54	57	55	62	60	58	51	57	58	58	59	50	56	60	64	54	60	58	60	61	65	62	62	65	67	66	70	67	67	69	66	70	67	75	76	70	69	74	66	77	72	71	86	78	77	80	78	79	82	85	88	85	95	108	106	0	1	2	0	7	4	4	6	6	7	5	8	23	19	10	7	11	20	8	7	19	11	7	21	23	17	14	20	23	23	25	26	25	26	22	24	47	28	25	30	22	40	25	30	25	35	23	29	37	17	47	25	52	41	59	30	33	22	40	0	42	33	43	39	55	29	69	43	29	60	62	65	63	58	68	29	29	33	57	68	48	66	64	64	82	69	73	16	80	86	79	0	91	91	93	1	1	3	1	1	2	1	1	1	2	1	1	1	1	1	3	1	1	1	2	1	2	2	1	1	2	2	1	2	1	2	1	2	1	1	2	1	1	2	1	2	1	2	1	2	1	2	2	1	3	2	2	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	2	3	1	1	1	1	3	2	2	2	4	2	2	3	1	2	3	1	2	2	4	1	2	2	1	1	3	3
2500	-804.720490389107795	-811.575978340067195	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.530469353941431	2	7	18	19	29	21	26	30	26	28	33	37	40	40	43	35	40	43	36	37	39	43	44	43	49	46	48	53	51	46	53	53	61	54	55	51	55	52	60	50	56	61	52	55	57	59	53	56	57	58	59	59	57	65	60	61	53	62	65	59	65	59	62	65	68	62	69	69	68	73	63	69	73	73	73	70	70	77	70	77	74	73	88	79	72	78	80	84	83	83	85	88	96	107	104	0	1	2	0	4	4	4	9	6	7	7	11	20	8	10	11	11	16	8	6	19	13	16	8	18	17	19	23	23	11	16	17	25	26	22	24	47	16	23	13	25	40	23	40	57	35	30	29	40	17	44	18	30	38	47	49	13	13	37	0	37	48	48	58	40	29	38	59	57	60	62	42	63	38	47	66	52	63	66	68	48	52	81	52	29	79	73	73	80	86	86	0	91	85	93	1	1	3	1	2	1	1	1	1	1	2	1	1	1	2	1	1	2	2	2	1	1	1	2	1	1	2	2	1	2	3	2	2	2	1	2	1	2	3	1	2	1	1	1	1	1	2	2	1	3	1	3	2	3	2	1	3	6	2	1	2	1	1	1	4	2	2	1	2	3	1	1	2	3	4	1	1	2	1	2	4	2	3	5	3	2	1	2	1	1	1	1	2	5	1
3000	-793.211510867753304	-800.066998818712705	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.532086810081534	0	7	16	13	27	22	27	26	31	33	34	33	34	38	45	41	41	42	37	39	41	46	38	45	48	44	39	49	53	51	50	52	60	49	56	50	54	52	54	54	49	55	45	60	61	54	57	55	55	61	63	56	59	68	61	58	64	63	66	65	62	57	61	62	62	65	63	64	68	68	67	69	70	69	71	67	72	80	71	81	73	73	80	70	73	82	76	73	80	82	86	88	97	106	104	0	1	2	0	6	4	6	6	4	6	7	8	9	12	10	5	23	11	8	7	14	13	11	21	16	17	9	43	11	43	43	26	25	26	43	24	18	23	25	30	18	30	6	40	18	41	30	31	41	34	45	25	42	58	40	49	64	35	42	0	16	17	39	25	47	48	18	64	62	60	62	44	63	29	68	48	68	59	66	68	48	33	63	45	62	79	59	33	75	81	86	0	91	95	90	1	1	2	1	2	1	1	1	3	2	1	1	1	1	2	2	1	2	2	2	1	2	1	1	1	1	1	1	3	1	1	2	2	2	1	1	2	3	1	1	2	1	3	2	5	1	2	1	1	2	1	2	1	1	1	1	1	2	3	1	2	3	1	2	2	2	2	1	2	1	2	1	2	2	2	2	1	2	1	4	3	2	3	2	3	2	2	3	1	3	1	1	2	1	3
3500	-785.199031353144619	-792.054519304104019	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.666725781089359	-3	9	17	21	24	24	27	31	30	30	35	35	40	36	39	43	41	39	40	43	42	44	33	46	47	45	45	49	49	48	53	53	57	47	55	47	55	54	53	48	53	59	53	57	53	59	58	57	57	59	65	58	62	66	65	62	60	51	62	63	62	62	58	63	63	61	64	59	68	70	69	70	68	75	71	69	69	63	73	74	64	75	87	81	78	83	79	80	81	80	89	89	95	108	98	0	1	2	0	4	4	4	6	6	7	23	8	11	8	10	11	23	23	8	13	9	13	7	19	18	17	19	16	17	23	17	34	7	26	22	21	30	29	16	23	13	45	11	30	16	41	30	39	16	34	33	39	44	35	59	49	29	22	47	0	16	45	7	25	44	29	41	16	81	60	62	65	25	73	38	66	31	52	73	44	29	48	87	75	66	90	75	33	80	79	73	0	86	90	91	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	2	2	1	1	1	1	2	2	1	3	1	2	1	2	1	2	3	3	1	3	2	3	1	1	1	2	2	1	1	1	2	1	1	2	1	1	1	2	3	4	2	2	2	2	3	1	1	2	1	4	1	3	2	2	1	2	2	2	3	2	1	2	1	2	3	1	2	3	1	1	3	1
4000	-826.305769807944216	-833.161257758903616	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.554357881676354	1	5	18	14	24	25	24	35	28	30	34	39	44	36	43	40	41	37	31	42	40	47	44	46	49	46	46	51	46	47	53	57	55	52	50	51	55	53	57	49	53	56	55	63	61	56	54	55	52	64	56	51	59	64	64	57	64	61	65	61	63	60	57	56	66	61	69	65	69	73	63	71	63	73	73	71	66	75	74	76	71	66	88	78	80	82	79	80	86	74	89	79	94	109	108	0	1	2	0	4	4	4	5	4	7	7	8	9	5	10	6	9	11	5	16	9	20	11	9	18	18	21	16	17	13	25	34	52	26	22	24	23	11	52	30	22	30	25	30	23	41	40	29	30	26	17	25	51	38	37	49	20	35	16	0	23	16	40	13	30	64	59	48	66	60	62	37	52	35	38	66	63	73	69	55	77	39	64	59	76	79	73	75	80	76	86	0	91	91	93	1	1	2	1	2	2	1	2	3	1	2	1	3	2	2	2	3	1	2	1	3	1	2	1	2	1	1	2	1	1	1	1	1	2	1	1	2	3	2	1	1	2	1	2	4	1	2	2	1	3	3	1	1	3	2	1	3	2	3	1	1	3	3	2	3	1	1	2	1	2	1	2	2	3	3	2	1	1	1	2	1	1	3	3	2	2	2	1	1	1	1	1	2	3	2
4500	-765.845117924858982	-772.700605875818383	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.629046712544658	1	8	15	17	27	19	26	34	26	32	33	37	44	29	39	42	38	44	41	30	44	48	41	45	47	46	40	52	49	46	51	55	55	49	52	48	57	55	59	53	58	53	54	56	60	56	50	57	57	63	63	56	63	67	60	61	61	62	65	64	66	52	64	62	63	63	66	66	68	68	63	68	61	70	72	64	73	72	68	74	72	75	84	76	73	81	83	81	74	83	87	90	92	108	103	0	1	2	0	4	4	4	7	6	7	7	8	15	9	10	17	8	11	14	7	19	16	11	19	16	11	14	11	13	17	16	34	25	17	22	24	44	28	52	47	22	30	25	40	18	22	30	29	42	26	42	16	44	22	44	49	29	41	42	0	49	29	52	52	49	29	25	45	57	60	62	65	13	58	38	48	67	73	66	68	76	57	84	89	48	69	73	84	43	86	86	0	91	90	93	1	1	1	1	1	1	2	2	1	1	2	1	1	1	2	1	1	2	2	1	1	2	2	1	2	3	2	3	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	1	2	1	1	1	1	3	2	1	1	3	1	1	2	1	2	1	2	1	2	1	1	2	3	1	2	1	2	2	2	1	3	1	1	2	1	2	1	2	1	1	3	2	3	1	3	1	2	1	2	4	2
