step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75
1	-830.021352472678245	-839.072195853129642	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.987216819205461	-4	6	10	10	12	7	9	15	15	14	10	20	9	12	17	13	14	15	17	22	16	16	20	22	28	22	23	22	21	24	28	29	23	26	21	25	34	29	26	27	28	30	33	29	34	43	31	31	33	37	34	35	37	36	41	41	44	42	38	40	40	41	45	46	49	48	56	56	53	53	57	54	61	60	68	0	1	7	1	3	1	1	13	1	1	7	18	1	3	8	1	1	4	13	13	3	1	15	7	34	13	14	13	22	16	15	19	23	15	15	27	11	15	26	19	33	35	28	40	26	41	21	26	36	41	41	41	37	45	21	49	40	62	28	49	41	61	58	59	58	63	63	52	58	58	58	66	68	49	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-755.342604165891316	-763.424862922578654	8.082258756687388	0.000009979050296	0.000035453725583	3.552815601646384	0.997380749908595	-2	5	11	12	13	5	5	13	15	14	13	18	11	15	16	12	12	15	16	15	19	13	21	17	31	14	24	21	20	21	23	21	24	22	21	27	29	28	24	30	28	26	29	27	31	44	27	30	36	33	32	33	37	40	37	38	47	45	39	44	33	37	41	43	45	50	52	53	54	53	56	56	59	50	66	0	1	7	2	3	1	1	13	6	2	7	18	6	5	8	6	6	4	13	13	3	6	15	7	34	13	14	20	22	16	15	19	23	15	15	27	11	15	26	32	33	35	28	32	39	41	21	26	36	41	41	41	37	45	21	49	40	62	43	56	41	61	62	59	62	63	63	52	58	58	58	66	68	49	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-763.146364916809375	-771.209470369899464	8.063105453090040	0.000009958431538	0.000036023911808	3.617428273546571	0.991846937872729	-4	1	9	10	10	3	6	10	2	8	11	20	4	15	16	15	10	12	11	8	17	11	18	18	28	16	23	24	21	23	23	21	21	20	20	26	29	28	23	28	27	26	30	31	23	31	30	28	31	36	38	37	36	30	40	41	39	42	35	35	34	39	47	41	45	50	55	51	49	49	51	54	59	47	65	0	1	7	2	3	1	2	13	1	6	7	18	1	5	8	2	6	4	13	13	3	1	15	7	34	13	14	20	22	16	15	19	23	15	15	27	11	15	26	32	33	35	28	32	26	41	21	26	36	41	46	41	37	45	47	49	40	62	43	49	41	61	58	59	62	63	63	52	58	58	58	66	68	56	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-767.343000680455361	-775.122029293914693	7.779028613459309	0.000009820452015	0.000045010593795	4.583352550933620	0.997020127242735	-1	2	7	10	10	5	5	9	9	13	11	18	8	15	15	13	7	15	17	18	19	11	20	15	28	19	20	24	23	17	25	25	22	24	18	28	21	24	23	30	25	26	32	33	33	34	30	24	36	37	37	32	38	36	40	43	44	46	36	40	32	38	45	45	48	48	54	54	54	52	47	54	61	43	66	0	1	7	1	3	2	2	13	6	6	7	18	6	5	8	2	6	4	13	13	3	2	15	7	34	13	14	20	22	16	15	19	23	15	15	27	11	15	26	32	33	35	28	32	39	41	21	26	36	41	46	41	37	45	47	49	40	62	28	49	41	61	62	59	62	63	63	52	58	62	62	66	68	49	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-751.213695543481890	-759.278097048956397	8.064401505474500	0.000009870657024	0.000035932553687	3.640340617440529	0.995252625813157	-3	8	8	9	11	5	4	13	13	14	10	19	5	15	17	14	14	15	14	13	14	9	20	21	31	20	20	22	14	25	25	25	24	25	23	27	35	20	25	31	29	27	30	31	30	34	34	29	34	39	38	33	37	39	40	42	40	42	39	40	36	41	46	47	49	52	54	50	54	49	49	57	59	53	68	0	1	7	6	3	1	1	13	2	2	7	18	1	5	8	2	2	4	13	13	3	6	15	7	34	13	14	20	22	16	15	19	23	15	15	27	11	15	26	32	33	35	28	32	39	41	21	26	36	41	46	41	37	45	47	49	40	62	43	49	41	61	58	59	62	63	63	52	58	58	58	66	68	56	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-755.339146366183286	-763.508276091273729	8.169129725090425	0.000009797256999	0.000032793458638	3.347208166775282	0.993842300109217	-7	0	6	6	11	3	4	10	7	11	7	20	6	15	15	11	12	17	12	20	18	10	19	14	30	22	20	23	17	26	21	20	24	25	20	24	28	21	25	27	29	30	34	25	30	34	30	31	33	33	37	37	37	35	39	45	42	44	39	38	34	38	43	44	50	49	54	51	51	52	54	52	57	62	66	0	1	7	2	3	1	1	13	2	2	7	18	6	5	8	2	6	4	13	13	3	6	15	7	34	13	14	20	22	16	15	19	23	15	15	27	11	15	26	32	33	35	28	32	26	41	21	26	36	41	46	41	37	45	47	49	40	62	43	49	41	61	62	59	58	63	63	52	58	58	58	66	68	56	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-750.864666441760505	-759.106740222689950	8.242073780929392	0.000009986913433	0.000030764088046	3.080440043217008	0.972694619568855	-3	3	9	9	12	7	6	13	9	15	14	21	8	14	17	11	11	14	17	16	17	10	20	13	30	22	17	22	21	18	26	22	24	23	21	25	24	23	27	31	27	31	33	32	31	33	28	32	33	34	35	36	35	35	36	40	40	43	39	40	33	37	46	44	50	51	55	46	49	51	52	53	61	44	69	0	1	7	6	3	2	1	13	2	6	7	18	2	5	8	6	6	4	13	13	3	2	15	7	34	13	14	20	22	16	15	19	23	15	15	27	11	15	26	32	33	35	28	32	39	41	21	39	36	41	46	41	37	45	47	49	40	62	43	49	41	61	58	59	62	63	63	52	58	58	62	66	68	49	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-750.273965009808762	-758.205104918375923	7.931139908567175	0.000010394706368	0.000040459006888	3.892270301383042	0.954795982016062	0	6	9	13	12	7	5	14	11	15	13	20	7	17	16	14	14	16	14	18	13	13	20	14	28	17	21	23	20	23	26	22	23	24	23	29	28	30	22	28	28	31	29	28	26	32	24	26	31	34	35	35	36	31	37	39	44	45	38	38	32	40	46	48	48	50	55	47	48	49	53	55	55	47	62	0	1	7	2	3	1	1	13	6	2	7	18	1	5	8	2	2	4	13	13	3	2	15	7	34	13	14	20	22	16	15	19	23	15	15	27	11	15	26	32	33	35	28	32	26	41	21	39	36	41	46	41	37	45	47	49	40	62	43	49	41	61	62	59	62	63	63	52	58	62	58	66	68	49	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-752.927572699478219	-761.061102602948608	8.133529903470428	0.000010511991969	0.000034079574024	3.241971086361601	0.994849505258711	-7	3	9	11	12	9	7	14	15	10	9	23	8	15	16	13	16	14	14	19	17	11	20	9	30	23	22	23	19	22	28	23	27	22	22	27	27	25	28	25	31	30	28	31	32	33	26	28	31	35	38	33	35	36	32	40	38	44	30	40	36	42	44	42	48	48	50	53	52	49	58	52	63	48	69	0	1	7	6	3	2	2	13	6	2	7	18	2	5	8	6	6	4	13	13	3	2	15	7	34	13	14	20	22	16	15	19	23	15	15	27	11	15	26	32	33	35	28	32	39	41	21	26	36	41	46	41	37	45	47	49	40	62	28	49	41	61	62	59	62	63	63	52	58	62	62	66	68	56	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-742.270082021089024	-750.640216622573121	8.370134601484088	0.000011768798781	0.000026523775397	2.253736841873759	0.985979603833190	-2	7	8	4	12	7	0	14	10	14	12	19	11	15	17	14	14	17	19	17	16	19	20	14	32	22	21	23	21	23	23	23	25	25	24	25	21	26	28	29	30	31	28	28	26	34	28	30	34	38	37	34	29	29	39	36	38	43	36	42	35	41	46	41	47	51	56	56	50	50	51	55	59	41	64	0	1	7	1	3	1	1	13	2	6	7	18	6	5	8	2	2	4	13	13	3	2	15	7	34	13	14	20	22	16	15	19	23	15	15	27	11	15	26	32	33	35	28	32	26	41	21	26	36	41	46	41	37	45	47	49	40	62	28	49	41	61	58	59	62	63	63	52	58	58	58	66	68	49	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
