step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11
1	-110.267710886708613	-108.805628802189730	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.363398291873388	1	3	4	6	6	8	7	7	10	12	14	0	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	4	3	3	5	6	7
500	-59.554118831225033	-57.577800902282782	-1.976317928942253	0.000009979909327	0.000022758496518	2.280431191469023	0.409818054929945	2	4	4	6	6	7	7	8	11	10	14	0	1	1	1	3	5	5	7	8	8	10	1	1	1	2	1	1	1	1	2	1	3
1000	-58.970305272677727	-56.987496177096773	-1.982809095580953	0.000009961454070	0.000022882710757	2.297125559960186	0.410322988286251	1	2	4	6	6	9	7	8	10	12	15	0	1	2	3	3	5	5	4	8	8	10	1	1	1	2	1	1	1	1	1	2	2
1500	-62.924493398586584	-61.134094525710594	-1.790398872875987	0.000010031517430	0.000018207800739	1.815059472920872	0.503373826166102	1	2	5	7	4	8	5	8	10	11	15	0	1	1	1	2	5	5	7	8	8	10	1	1	2	3	1	2	1	1	1	1	2
2000	-49.517335803184707	-48.072934716310201	-1.444401086874504	0.000009890483545	0.000009394312720	0.949833511972937	0.718433291256862	2	4	4	6	6	9	7	8	10	12	15	0	1	1	2	3	5	5	7	8	8	10	1	1	1	1	1	2	1	1	1	2	2
2500	-58.454230103244214	-56.279487200292181	-2.174742902952034	0.000010128259120	0.000028435997746	2.807589874118292	0.590396223248770	1	3	5	7	6	9	7	8	11	13	15	0	1	2	1	2	5	5	7	8	8	10	1	1	1	3	2	2	1	1	2	3	1
3000	-56.417880097667236	-54.614444090397143	-1.803436007270091	0.000009874324415	0.000018237984052	1.847010821813889	0.623123856604408	1	3	5	5	6	7	8	7	11	12	14	0	1	2	1	2	4	5	4	8	8	10	1	1	1	2	2	1	1	1	2	2	1
3500	-52.846093826849064	-50.960686885453896	-1.885406941395166	0.000009358883537	0.000001482123540	0.158365421950136	0.839173834401237	1	3	4	5	5	8	7	8	10	10	14	0	1	2	3	2	5	5	7	8	8	10	1	1	1	1	1	2	1	1	1	1	1
4000	-46.374632446504776	-44.926240701338024	-1.448391745166753	0.000009298321445	0.000008939008264	0.961357199435921	0.906175940616151	2	4	4	7	6	8	7	8	10	11	14	0	1	1	2	2	5	5	7	8	8	10	1	1	1	1	1	1	1	1	1	1	1
4500	-54.545489727969958	-52.879955343425522	-1.665534384544437	0.000008959167038	0.000013544518059	1.511805506127297	0.791391804548211	1	3	3	6	5	6	7	8	11	11	14	0	1	1	2	2	5	5	7	8	8	10	1	1	1	2	1	1	1	1	1	2	1
5000	-59.162998392859500	-57.595772573983410	-1.567225818876092	0.000009759088320	0.000012413762252	1.272020689427874	0.756170611816003	2	4	3	6	4	7	6	7	11	11	13	0	3	1	2	1	5	5	7	8	8	10	1	1	1	1	2	1	1	1	2	2	1
5500	-55.156515030070516	-53.765617362142038	-1.390897667928475	0.000010422299663	0.000008068506710	0.774158004590518	0.470403632090593	2	3	4	7	4	8	7	8	10	12	15	0	1	1	3	1	5	5	7	8	8	10	1	1	1	1	1	2	2	1	1	2	2
6000	-55.311373582333516	-53.813091861274231	-1.498281721059285	0.000008470981844	0.000009295513757	1.097336050090690	0.735331321026058	1	3	4	6	5	9	7	8	10	12	14	0	1	2	3	1	5	5	5	8	8	10	1	1	1	1	3	2	1	1	1	2	2
6500	-57.087853873488555	-55.390316908611524	-1.697536964877030	0.000014682331267	0.000023334061551	1.589261345902090	0.832943869974937	1	3	4	5	5	9	7	6	8	12	14	0	1	2	2	2	7	5	5	7	6	10	1	1	1	1	1	1	1	1	1	1	1
7000	-50.437244293796553	-48.934764027356977	-1.502480266439574	0.000029911003324	0.000008761845160	0.292930500027419	0.721829868468566	2	3	4	7	5	8	7	8	10	12	13	0	1	1	3	3	3	5	7	8	8	10	1	1	1	1	1	2	2	1	1	2	1
7500	-52.006919621912445	-50.495354798654276	-1.511564823258172	0.000037830271959	0.000010851314538	0.286842096971694	0.707163120394058	1	3	3	4	6	9	5	7	10	13	15	0	1	1	3	2	5	4	7	8	8	10	1	1	1	1	1	1	1	1	1	2	1
8000	-54.772219774881421	-53.405737602900942	-1.366482171980479	0.000043204985867	0.000028115857846	0.650754936754337	0.938489712558116	1	2	4	4	6	8	7	8	8	12	14	0	1	2	2	2	5	5	5	5	8	10	1	1	1	1	2	1	1	1	1	2	2
8500	-53.696718455436681	-52.226137018290729	-1.470581437145956	0.000053684798931	0.000017030336879	0.317228288423449	0.839524546712987	2	4	5	7	5	9	5	6	10	13	14	0	1	2	3	1	5	1	7	8	9	10	1	1	1	1	1	2	1	1	2	2	1
9000	-48.634910407622137	-47.271174505698298	-1.363735901923842	0.000015591040343	0.000008076322339	0.518010483015365	0.811590274726789	2	4	3	6	6	9	7	8	10	13	15	0	3	1	3	2	5	5	7	8	8	10	1	1	1	1	1	1	1	1	1	2	1
9500	-47.100676583566447	-45.710712765739977	-1.389963817826467	0.000021201378361	0.000016334656679	0.770452581002871	0.772738730400751	1	3	4	6	6	8	7	8	10	13	15	0	1	1	3	3	5	5	7	8	8	10	1	1	1	1	1	1	1	1	2	3	1
10000	-57.391558032276620	-56.029753142232785	-1.361804890043837	0.000030989206729	0.000018658005912	0.602080784942063	0.647980408705030	1	3	5	5	6	9	7	8	9	13	15	0	1	2	2	4	5	5	7	5	6	10	1	1	1	1	1	2	1	1	3	2	1
10500	-54.027435133881006	-52.586917993243858	-1.440517140637150	0.000062978242781	0.000059104327428	0.938488036796065	0.720926345774578	1	3	4	6	6	8	7	8	9	10	15	0	1	1	3	3	5	2	5	7	8	10	1	1	2	1	1	1	2	1	1	1	1
11000	-54.609804193171534	-53.130742713385708	-1.479061479785826	0.000085541218628	0.000026540198075	0.310262099382893	0.759954448724726	1	3	3	7	6	8	6	8	11	12	14	0	1	1	1	2	5	3	7	8	5	10	1	1	1	2	1	1	2	1	2	2	1
11500	-60.973206726393109	-59.438623205957256	-1.534583520435850	0.000118427425568	0.000032295669596	0.272704311872467	0.717841581602344	1	3	5	3	6	9	7	8	10	12	14	0	1	4	1	1	7	3	5	8	5	10	1	1	2	1	3	1	1	1	1	2	2
12000	-45.947801723230086	-43.427937294926849	-2.519864428303239	0.000047442572721	0.000004030421638	0.084953690466648	0.836626271863468	1	3	4	6	6	7	7	8	9	11	13	0	1	2	3	2	5	5	7	8	8	10	1	1	1	1	1	1	1	1	1	2	1
12500	-61.091447926547112	-59.566191927676925	-1.525255998870187	0.000077961810367	0.000021691129688	0.278227629482850	0.325613161275271	2	3	5	6	6	6	7	7	10	11	15	0	1	2	1	2	1	5	3	8	9	10	1	1	2	1	1	2	1	1	2	1	2
13000	-55.575575752090728	-54.077877903291856	-1.497697848798869	0.000062749456182	0.000018590634435	0.296267658175506	0.564671140721814	2	3	5	5	6	8	8	8	9	13	15	0	1	2	1	4	5	5	5	8	8	8	1	1	1	1	1	1	1	1	1	3	3
13500	-46.349742770713505	-44.692247660150208	-1.657495110563295	0.000036886750174	0.000008024558511	0.217545825346588	0.840865469067298	1	3	4	7	6	9	6	8	9	12	14	0	1	2	3	2	5	2	7	8	8	10	1	1	1	1	1	1	1	1	1	2	1
14000	-59.949082119296222	-58.418900367410892	-1.530181751885331	0.000027952367259	0.000032965956380	1.179361879245530	0.797414893253751	1	3	3	5	5	8	5	8	11	10	13	0	1	1	3	1	3	3	7	8	6	10	1	1	1	1	2	3	1	1	1	1	2
14500	-49.611148022434321	-48.229247534001416	-1.381900488432903	0.000060529794293	0.000026683491021	0.440832342702145	0.784494737982111	1	3	4	6	5	8	7	6	10	11	13	0	1	2	2	2	4	8	5	8	6	10	1	1	1	1	1	1	1	1	2	2	1
15000	-52.157208899982606	-50.218432700844950	-1.938776199137656	0.000071863671486	0.000010679946680	0.148613986170625	0.745194382911436	1	3	5	7	6	8	7	7	10	13	15	0	1	2	2	1	5	3	3	8	9	10	1	1	1	2	2	2	1	1	2	1	1
15500	-47.784632688678592	-45.741581800000681	-2.043050888677908	0.000097787547098	0.000012938184020	0.132309117099054	0.902183992097405	2	4	5	7	6	8	7	8	9	12	15	0	1	2	2	2	5	5	5	8	8	10	1	1	1	1	1	1	1	1	1	2	1
16000	-52.746038257911167	-51.348513555254399	-1.397524702656770	0.000083451430295	0.000033890794211	0.406114000574128	0.867606018699114	1	4	4	6	5	8	8	7	9	12	14	0	1	1	2	2	4	5	2	8	8	10	1	2	1	1	1	1	2	1	1	1	1
16500	-44.119049058487143	-42.710119409440175	-1.408929649046966	0.000062738957855	0.000024259076768	0.386666874901447	0.903079698348503	2	4	5	4	6	8	7	8	10	11	14	0	1	2	1	4	5	5	7	8	9	10	1	1	1	1	1	1	1	1	1	1	1
17000	-48.037032904098325	-46.419357496474383	-1.617675407623939	0.000063034503774	0.000014662350984	0.232608335219889	0.802015845284087	2	4	4	6	5	8	7	8	11	12	13	0	1	1	2	1	5	5	7	8	8	10	1	1	1	1	2	1	1	1	2	2	1
17500	-48.958750838254680	-47.053726201470432	-1.905024636784250	0.000059117167273	0.000009142648820	0.154653026205950	0.598516435408257	1	3	5	6	6	7	7	8	10	13	14	0	1	2	2	2	5	4	7	8	7	10	1	1	1	2	1	1	1	1	1	3	1
18000	-67.949995987369348	-66.107963751241002	-1.842032236128344	0.000123280330644	0.000020608133605	0.167164814508178	0.722338739111984	0	4	4	3	6	7	5	8	10	11	13	0	1	1	1	2	5	4	2	4	8	10	1	2	3	2	1	1	1	2	3	1	1
18500	-53.799156268648218	-52.101129031357544	-1.698027237290673	0.000038728053941	0.000007905418142	0.204126397738146	0.704505410826391	2	3	5	6	5	6	7	8	9	11	14	0	1	1	2	2	5	6	7	7	8	10	1	1	1	2	1	1	1	1	1	2	2
19000	-45.292653427876473	-43.829377635787644	-1.463275792088826	0.000057319069337	0.000018547355686	0.323580893757973	0.938319338117282	2	3	4	5	6	9	7	8	10	13	15	0	1	1	1	2	5	5	7	8	8	10	1	1	1	1	1	1	1	1	1	2	1
19500	-53.368022580382700	-51.997534215048908	-1.370488365333792	0.000042754120297	0.000020476001020	0.478924624756008	0.671471784110469	1	3	3	5	7	7	8	6	10	12	14	0	1	1	2	3	4	8	4	8	8	10	1	1	1	1	3	1	1	1	2	2	1
20000	-45.207459764392084	-43.821660443300821	-1.385799321091265	0.000053708075714	0.000023144058421	0.430923247831972	0.880898407265947	1	3	4	7	6	6	7	8	10	12	14	0	1	2	5	3	2	3	7	8	8	10	1	1	1	1	1	1	1	1	1	2	1
20500	-43.301058350068750	-41.865457638438592	-1.435600711630158	0.000063185326670	0.000022202313887	0.351384016779345	0.950760074708347	0	3	4	6	5	7	7	8	10	12	15	0	1	2	3	3	5	5	7	8	8	10	1	1	1	1	1	1	1	1	1	1	1
