step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21
12500	-142.378687519625743	-140.944459892838552	-1.434227626787188	0.000186651277621	0.000065879379873	0.352954347338763	0.519117491927329	1	5	6	7	8	8	10	11	9	11	14	13	12	12	14	13	12	11	15	16	20	0	1	0	2	2	3	5	4	2	3	7	7	4	3	7	14	4	7	13	15	14	1	2	1	1	2	1	1	2	2	2	2	1	2	4	2	1	3	1	1	1	4
13000	-136.641982827816321	-135.243356485030205	-1.398626342786128	0.000148777673156	0.000060116598942	0.404070030577234	0.488930231195216	1	7	5	8	8	8	10	10	11	12	12	14	13	13	13	12	12	13	15	16	20	0	1	0	2	2	3	5	4	1	3	5	9	9	16	7	6	8	7	13	15	10	1	4	1	1	1	2	1	1	4	3	2	1	1	1	1	2	1	1	1	1	4
13500	-151.434842502242617	-149.918233179367462	-1.516609322875154	0.000205312529284	0.000058225303969	0.283593525307443	0.388206411520392	0	6	5	7	8	6	10	11	10	11	13	13	10	12	13	12	12	12	16	16	21	0	1	0	2	2	3	5	13	2	6	2	7	2	3	13	10	13	5	4	15	10	1	3	1	1	1	1	1	1	2	3	3	2	2	3	2	1	1	3	4	2	4
14000	-149.424151146894559	-148.015340048116173	-1.408811098778399	0.000255329367126	0.000098774619700	0.386851778200538	0.629555135307082	1	6	5	7	8	7	9	10	11	11	13	12	12	11	13	14	11	12	13	16	20	0	1	0	2	1	3	5	5	7	6	13	2	2	6	5	6	8	5	5	7	10	1	2	1	1	2	1	1	1	1	2	1	3	3	2	2	2	1	2	2	3	4
14500	-148.920763448344701	-147.294157282800683	-1.626606165544006	0.000269043674039	0.000061622795191	0.229043836140069	0.415425198450989	0	5	5	8	6	8	8	10	11	10	13	13	11	12	12	12	12	12	15	17	20	0	1	0	5	1	3	5	2	2	6	13	9	4	6	7	3	13	7	4	15	14	1	2	1	1	2	2	1	3	4	1	1	1	2	3	2	3	1	2	3	3	4
15000	-152.597095218249848	-150.940333764601235	-1.656761453648602	0.000184441215064	0.000040172245493	0.217805144469272	0.585112804355194	0	4	4	7	8	7	9	11	11	11	11	14	12	13	13	14	12	12	15	16	21	0	1	0	1	2	3	4	5	4	6	2	7	11	10	7	6	4	5	9	18	10	1	2	1	4	3	1	1	1	2	2	4	2	1	1	2	3	2	2	2	2	4
15500	-152.947883462567063	-151.502106463738869	-1.445776998828197	0.000237203947549	0.000080737175823	0.340370287500694	0.567256756240124	1	6	6	5	7	8	9	10	11	12	11	13	12	12	13	14	10	12	15	17	18	0	1	0	1	2	3	5	4	2	6	2	7	8	3	7	10	4	7	13	7	14	1	3	1	1	1	1	1	2	2	2	1	2	1	2	3	1	2	1	2	4	4
16000	-142.060268516737779	-140.558585260340209	-1.501683256397560	0.000192768603742	0.000056573746782	0.293480087961498	0.689137154017444	1	6	6	7	7	8	8	11	11	11	13	13	13	12	14	13	13	12	15	16	20	0	1	0	2	1	3	2	5	5	3	2	7	8	3	18	14	8	7	11	15	14	1	2	1	1	4	1	1	1	2	2	3	2	1	2	2	1	1	3	1	1	4
16500	-140.542558774026958	-139.174686927777202	-1.367871846249766	0.000204109175033	0.000100266692667	0.491240497397941	0.606809474130464	1	6	5	8	7	7	9	10	10	11	14	12	11	12	14	13	13	12	15	16	20	0	1	0	2	2	3	2	4	2	6	2	5	4	6	7	6	8	7	11	15	10	1	2	1	1	1	1	2	1	2	2	3	3	2	3	2	2	1	2	1	1	4
17000	-139.775433746565568	-138.371631108461031	-1.403802638104538	0.000319552139679	0.000126213388033	0.394969622670260	0.793049676816995	0	5	5	7	4	7	9	10	12	10	13	13	12	12	14	14	13	12	15	16	20	0	5	0	5	1	3	2	4	7	6	13	13	4	10	12	14	13	7	11	15	16	1	1	1	1	2	1	2	2	1	1	1	1	2	1	1	1	1	2	1	1	2
17500	-150.980785904008087	-149.278642465355745	-1.702143438652340	0.000232507826985	0.000047165447614	0.202855311262439	0.392120559659343	1	7	6	8	7	8	9	11	12	12	10	13	9	10	12	11	12	13	15	17	19	0	1	0	5	1	3	5	4	5	14	5	2	5	3	5	6	4	7	13	15	14	1	4	1	1	2	1	1	2	2	1	1	3	1	2	2	2	2	2	3	2	5
18000	-144.810584930529728	-143.401337309977151	-1.409247620552575	0.000177604831138	0.000068586099947	0.386172490395066	0.461076797357129	1	6	5	7	8	7	9	9	11	10	14	14	12	12	13	12	12	11	13	16	20	0	1	0	2	2	3	1	4	7	6	13	15	2	10	5	6	8	2	2	18	14	1	2	1	1	1	1	4	2	1	1	1	1	3	1	3	2	2	2	3	2	3
18500	-147.280514333376914	-145.796047977665182	-1.484466355711741	0.000186649052347	0.000057119971985	0.306028727533416	0.497587546767519	1	7	5	6	7	6	9	11	10	10	13	13	12	12	14	14	12	12	16	15	21	0	1	0	1	4	3	5	2	4	3	2	5	8	10	7	6	4	2	13	12	16	1	2	1	2	1	1	1	2	2	2	2	3	1	1	2	4	3	2	3	1	4
