step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31
1	-2992.539276208824504	-2991.077194124305606	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.347925888288017	-1	11	15	13	15	16	18	18	17	18	20	19	20	22	22	24	25	25	24	26	30	35	44	51	52	55	56	56	58	60	63	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	8	7	8	9	10	10	9	10	11	10	11	12	12	13	13	13	13	14	16	18	23	26	27	28	29	29	30	31	32
500	-829.791978170627203	-827.820679583691913	-1.971298586935238	0.000009996870298	0.000022668358181	2.267545492281811	0.151068064764205	-3	10	12	12	14	16	16	18	16	18	19	17	20	22	22	24	25	25	21	27	31	36	44	52	52	56	56	56	58	61	64	0	1	1	1	3	2	2	3	4	7	6	9	4	2	13	13	2	3	3	4	3	19	19	19	19	19	3	19	19	3	3	1	7	7	8	1	3	3	3	2	2	2	1	4	8	1	4	7	5	5	12	13	10	15	18	23	24	24	24	18	29	35
1000	-851.986784798467738	-849.915855854419533	-2.070928944048164	0.000010015538091	0.000025312192765	2.527292346573608	0.126867046859183	0	11	13	13	15	15	17	18	16	18	20	19	20	23	22	25	25	25	21	26	29	32	45	52	53	54	56	55	57	61	64	0	1	1	2	3	2	2	3	4	7	6	9	9	6	9	13	2	3	8	9	3	19	19	22	22	19	19	22	22	22	3	1	6	6	1	2	2	3	2	3	1	3	1	3	5	3	2	7	4	1	7	11	5	15	12	16	22	24	14	16	22	33
1500	-756.457494124207528	-754.708825286399019	-1.748668837808498	0.000010011580503	0.000017152545373	1.713270483860336	0.172192803688567	-2	12	12	13	15	16	18	19	17	19	21	19	20	23	22	24	25	24	25	27	29	33	43	52	52	54	56	56	56	60	64	0	1	1	2	3	2	2	3	4	7	2	9	9	2	9	13	2	3	18	9	3	18	22	22	22	22	18	23	22	22	3	1	7	6	1	2	2	3	4	3	1	6	1	2	5	2	2	6	7	1	9	9	4	5	10	11	9	16	9	14	18	32
2000	-716.989519369290292	-715.284976479614784	-1.704542889675554	0.000009939909943	0.000015965723090	1.606224119008531	0.164219484552330	-1	10	12	14	15	16	17	15	17	19	20	18	20	22	22	24	26	23	25	26	31	33	43	50	52	55	57	57	59	61	63	0	1	1	2	3	2	2	2	4	7	6	9	4	11	12	13	3	8	18	4	18	19	22	22	22	22	22	24	23	22	3	1	4	8	3	1	3	3	3	2	1	2	1	3	1	2	3	7	4	1	6	4	4	4	10	9	10	12	4	12	14	31
2500	-653.973007084223809	-652.146976689290909	-1.826030394932896	0.000010142989063	0.000019297896489	1.902584767528684	0.238459161908397	-1	12	14	14	15	16	17	18	18	18	21	20	20	23	22	24	25	23	24	27	31	36	45	51	50	55	56	56	57	61	60	0	1	1	2	3	2	2	3	4	7	6	9	4	11	12	13	2	3	18	9	18	18	22	22	23	25	23	26	22	25	3	1	7	7	1	1	2	2	2	2	1	2	1	3	1	1	4	6	5	1	5	3	6	4	8	3	5	8	1	11	6	26
3000	-650.443882303510463	-648.860906133045660	-1.582976170464785	0.000010426040848	0.000013667126436	1.310864462917397	0.267079657538211	-1	11	14	14	16	17	17	18	18	19	20	20	20	23	23	25	26	24	25	26	30	35	43	52	51	55	56	57	58	60	64	0	1	1	2	3	2	2	3	4	7	6	9	9	11	9	13	3	8	18	3	18	19	22	23	23	25	23	26	23	27	3	1	5	7	2	2	4	3	3	2	1	2	1	1	2	3	2	5	4	1	10	3	5	4	6	4	2	10	1	10	2	27
3500	-586.563035146111474	-584.978783700429403	-1.584251445682095	0.000011196977518	0.000014712814244	1.313998730502550	0.282581073832221	0	12	14	14	16	16	18	18	17	19	20	18	21	21	22	24	24	23	24	25	31	34	42	51	52	55	55	57	59	61	63	0	1	1	2	3	2	2	3	4	7	6	9	9	11	12	13	2	3	18	2	18	19	22	23	23	24	25	26	24	27	22	1	6	6	1	1	2	3	1	2	1	2	1	2	1	2	1	6	3	1	4	4	5	4	5	6	2	2	1	8	3	19
4000	-497.554585306662432	-495.877081840127914	-1.677503466534513	0.000011898084372	0.000018332269151	1.540774848975375	0.360866545158829	0	12	15	14	15	16	18	18	16	19	20	20	21	21	21	25	25	23	24	26	30	35	44	51	52	53	56	56	57	59	64	0	1	2	2	2	2	2	3	4	7	2	9	9	11	9	13	2	8	18	16	18	19	22	23	24	24	25	26	28	27	24	1	7	1	2	2	2	2	1	1	1	3	2	2	1	3	3	6	3	1	1	4	6	4	4	1	2	2	2	1	2	11
4500	-479.912457344040206	-478.247794363476885	-1.664662980563321	0.000013682059180	0.000020655750050	1.509696002502079	0.436749219259465	-1	11	14	13	16	16	17	18	16	18	20	19	21	23	23	24	25	24	25	24	30	36	44	50	51	54	56	56	58	60	63	0	1	2	2	3	2	2	3	4	7	6	9	12	11	12	13	2	8	18	13	18	19	22	23	24	24	26	26	27	27	29	1	5	1	1	1	3	3	2	1	1	2	1	2	1	2	1	5	4	1	2	3	5	4	3	1	2	1	1	2	2	3
