step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70
1	-8375.369118376602273	-8373.907036292082921	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.795452484755794	-1	1	4	3	5	4	5	5	6	6	7	9	8	7	9	8	8	9	8	9	8	9	9	9	9	9	10	9	10	13	10	12	11	12	10	11	10	11	12	13	14	12	12	15	13	12	14	13	16	14	15	14	14	16	16	16	17	18	18	18	19	19	19	19	18	20	23	21	23	23	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	3	3	3	3	4	4	4	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	6	5	6	7	6	7	6	7	6	6	6	6	7	7	8	7	7	8	7	7	8	7	9	8	8	8	8	9	9	9	9	10	10	10	10	10	10	10	10	11	12	11	12	12
500	-872.021677985360270	-869.435145555001100	-2.586532430359195	0.000010033227014	0.000040468382086	4.033436304207977	0.279678252779056	-2	1	5	3	5	2	6	4	6	6	6	9	6	8	9	8	9	8	6	9	9	7	8	8	9	10	10	9	10	13	10	11	11	13	10	11	7	11	13	12	14	12	13	16	13	9	15	14	15	15	15	15	14	16	16	16	16	18	19	18	20	19	19	20	19	21	24	22	24	23	0	1	1	2	2	1	5	2	2	5	6	6	1	8	8	8	9	6	6	11	0	13	13	8	11	24	15	11	20	22	23	18	22	23	13	13	0	12	20	22	28	11	33	13	13	37	39	38	30	33	34	37	46	19	46	50	46	37	19	46	37	46	13	46	53	46	37	46	37	46	1	1	3	1	2	2	1	1	2	1	4	3	4	2	1	2	1	4	2	1	1	1	1	2	1	1	1	2	1	4	2	2	2	2	2	3	1	1	2	3	3	3	1	5	4	1	1	2	1	2	2	8	3	8	3	1	2	7	8	5	10	7	8	6	4	10	13	7	11	10
1000	-702.904105197039939	-700.762282789482015	-2.141822407557919	0.000010030442876	0.000027258490691	2.717575986286253	0.431195916802301	-1	2	1	3	4	4	5	5	5	7	6	7	7	6	8	8	7	8	8	8	8	9	9	10	10	9	10	9	10	13	11	12	11	13	10	11	10	11	13	14	14	12	13	15	14	11	14	14	16	14	16	14	12	16	15	16	17	18	18	17	19	19	20	20	18	20	24	22	23	24	0	1	1	2	2	3	5	4	2	5	6	11	3	8	8	8	9	11	11	12	0	13	13	14	12	8	15	20	20	22	23	18	22	23	13	23	0	19	28	22	28	20	33	35	23	37	39	38	40	43	44	46	46	38	46	50	53	46	38	52	46	46	56	53	53	53	53	46	53	46	1	1	1	1	1	2	1	2	1	1	1	1	4	1	2	2	1	1	1	1	1	2	1	2	2	2	1	1	1	2	2	2	1	2	2	1	1	2	2	4	2	2	1	3	2	1	1	2	2	1	1	2	1	2	2	1	3	4	4	1	6	5	3	4	5	5	11	4	9	6
1500	-629.982003517270300	-627.975142036693683	-2.006861480576601	0.000010008464349	0.000023612842094	2.359287226269934	0.515889301369634	-1	1	3	3	4	4	3	5	7	6	7	8	8	6	9	8	9	10	9	9	9	9	10	10	8	9	10	8	10	12	11	13	10	13	10	12	10	11	12	13	13	11	12	14	14	11	14	14	16	14	16	14	12	17	17	16	17	19	18	17	19	19	19	19	19	20	24	21	24	23	0	1	1	2	7	3	2	4	4	5	6	11	2	8	14	8	9	11	11	28	0	13	13	8	6	14	15	6	28	22	13	18	22	31	13	31	0	19	28	30	39	25	33	35	35	37	39	38	40	43	44	46	46	48	52	50	53	55	48	52	46	52	56	53	53	53	53	61	57	68	1	2	2	1	1	1	1	1	2	1	2	1	4	1	2	2	1	2	1	1	1	1	2	2	2	2	1	2	2	2	1	2	1	1	2	1	1	1	3	1	1	1	1	2	2	1	1	2	2	2	1	1	1	1	2	1	3	1	2	1	4	2	2	4	5	5	10	1	6	2
2000	-605.050162800983571	-602.897737767001672	-2.152425033981918	0.000010034883326	0.000027560299057	2.746449376685406	0.624976105116646	0	1	4	3	5	5	6	5	7	6	7	10	7	7	9	8	8	9	9	9	9	9	8	8	9	9	11	8	11	13	10	13	11	12	10	10	10	10	12	14	14	10	12	15	13	11	13	14	16	14	15	13	13	14	16	17	17	18	17	17	19	18	19	19	19	21	24	21	23	24	0	1	1	2	4	3	5	4	4	5	6	25	3	8	14	8	9	6	6	28	0	13	13	14	6	16	15	11	20	22	23	18	22	23	13	23	0	19	20	30	29	25	33	45	31	37	12	38	40	43	35	46	46	38	52	50	53	55	48	52	52	55	56	53	53	57	53	61	64	61	1	1	2	1	1	1	1	1	1	1	1	1	3	2	1	2	1	2	2	1	1	1	1	1	2	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	2	2	2	2	1	2	1	4	1	2	4	2	2	9	1	3	2
2500	-436.379448635244216	-434.665000628805956	-1.714448006438247	0.000010057426203	0.000016395792640	1.630217543738841	0.698649208431994	-1	1	3	3	4	5	6	5	6	6	6	10	8	7	9	9	8	10	8	9	6	9	10	7	8	9	11	10	11	13	10	12	11	12	11	12	11	10	11	14	14	11	12	15	14	13	14	13	16	14	16	15	14	16	16	16	16	17	17	19	18	19	19	19	18	20	22	21	23	22	0	1	1	2	2	3	5	4	4	5	6	25	21	8	8	8	9	11	11	25	0	13	13	8	6	24	15	20	20	22	13	18	22	23	13	23	0	19	28	30	20	12	33	35	23	37	39	38	30	43	31	46	46	48	46	50	53	55	48	55	55	52	56	53	53	53	57	61	57	61	1	1	2	1	2	2	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	2	1	1	2	2	1	2	2	2	1	3	1	1	2	1	1	2	1	2	2	1	2	1	2	2	3	3	1	2	2
3000	-423.144405539999411	-421.418438350255087	-1.725967189744322	0.000010494553105	0.000017401466451	1.658142683747577	0.681676392705943	0	1	3	3	5	4	6	5	6	7	7	10	8	7	9	6	9	9	7	9	7	9	9	9	9	9	10	10	11	11	10	13	11	12	10	12	11	12	12	12	14	12	12	14	13	13	14	13	16	15	14	15	14	16	16	17	18	18	17	18	20	19	19	19	19	20	24	22	23	23	0	1	1	2	2	3	5	4	4	5	6	6	21	16	8	8	9	11	6	11	0	13	13	14	6	16	15	20	20	22	13	18	22	13	13	23	0	19	20	30	29	12	33	35	23	37	39	38	30	43	35	46	46	38	52	50	53	55	48	55	55	52	56	53	57	57	69	61	57	61	1	1	1	1	2	1	1	2	1	1	1	2	1	1	2	1	3	1	2	1	1	1	1	1	2	2	1	1	2	1	1	2	1	2	1	1	1	3	2	1	1	1	1	2	2	1	1	1	2	2	2	1	1	1	1	1	2	1	2	1	2	2	1	2	1	1	1	1	4	2
3500	-399.438477048852974	-397.364613314907160	-2.073863733945804	0.000010383939391	0.000026324076488	2.535076091790845	0.689255445664005	-1	1	3	3	4	5	5	6	6	6	7	8	8	7	9	9	8	9	8	9	7	9	10	8	10	10	10	10	10	12	10	11	11	13	11	11	10	12	12	14	14	12	12	15	12	12	13	14	16	14	15	14	14	16	17	16	18	19	18	17	19	19	18	20	19	20	23	21	23	23	0	1	1	2	2	3	5	4	4	5	6	11	21	8	24	8	9	11	6	12	0	13	13	8	12	24	15	20	20	22	13	18	22	21	13	13	0	19	20	30	28	12	33	35	13	37	39	38	30	43	34	46	46	48	52	50	53	55	48	52	55	55	56	53	57	57	64	61	64	68	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	3	1	2	1	2	1	1	2	2	1	2	2	1	1	1	2	1	1	1	1	1	2	1	2	1	2	2	1	1	1	3	1	1	2	1	2	1
4000	-443.338503378192343	-441.381073743151433	-1.957429635040935	0.000011014059336	0.000024583880294	2.232045383484137	0.723236599370408	-1	1	3	3	3	4	5	5	7	5	7	9	8	8	7	8	9	9	9	9	7	10	9	10	7	9	9	10	11	14	10	12	11	12	10	12	9	11	12	14	12	12	13	15	12	12	14	14	16	14	15	13	14	15	15	16	16	17	17	18	19	20	18	19	18	21	23	21	23	23	0	1	1	2	2	3	5	4	8	5	6	25	21	8	8	8	9	6	11	25	0	13	13	8	6	14	15	20	28	22	13	18	22	23	23	31	0	19	28	22	20	11	33	35	23	37	42	38	40	43	36	46	46	48	52	50	53	55	38	58	55	61	56	53	57	64	64	61	64	68	1	2	2	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2	1	1	1	2	1	2	1	1	1	1	1	2	2	2	1	1	1	2	1	1	1	2	2	3	1	2	2	2	1	2	2	1	1	1	1	1	2	1	2	1	2	1	2	1	1	2	1	2	2	2	2	1
4500	-422.681151192647178	-420.659247423377735	-2.021903769269458	0.000011514497639	0.000027616490376	2.398410355455236	0.706292896778050	-1	1	3	3	4	5	6	5	7	6	7	10	8	6	10	9	8	9	8	9	7	9	9	9	9	8	11	8	10	13	10	12	10	11	10	11	10	11	12	11	15	11	11	15	13	13	14	14	17	14	16	15	14	16	17	16	17	17	17	19	19	19	19	19	18	20	24	22	23	24	0	1	1	2	2	3	5	4	4	5	6	25	21	8	24	14	9	6	6	6	0	13	13	8	11	14	15	11	28	40	13	18	22	13	13	13	0	19	20	22	20	25	33	35	23	37	39	38	30	43	44	46	46	48	52	50	53	46	48	58	55	55	56	53	57	64	57	61	64	61	1	2	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	2	2	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	2	2	1	3	1	1	2	2	2	1	2	2	2	1	1	1	2	1	1	2	2	2	1	1	2	2	2	1	1	4	1	3	2
