step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15
1	-146.114486606918263	-152.969974557877634	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.824838840743186	0	2	2	2	4	3	4	3	4	5	6	9	7	9	9	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	3	5	4	5	5
500	-63.205863026181362	-70.061350977140734	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.823178743576595	-1	1	2	2	5	3	3	3	4	5	7	7	8	9	8	0	1	2	2	8	2	4	2	8	6	6	5	9	12	12	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1
1000	-60.404305546280682	-67.259793497240054	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.744369478330789	-1	1	2	2	5	3	4	3	5	5	6	8	7	8	9	0	1	2	2	8	3	4	3	8	6	6	5	9	8	8	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3
1500	-65.073865082842218	-71.929353033801590	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.811123418052973	0	1	2	2	5	3	4	3	5	6	6	7	7	9	10	0	1	2	2	8	2	4	2	8	6	6	10	9	13	12	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2
2000	-67.629393888679274	-74.484881839638646	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.849949952456704	0	2	3	1	4	3	4	3	5	5	4	8	7	9	9	0	4	2	1	8	2	4	2	8	6	6	5	3	12	5	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2
2500	-58.067820744953679	-64.923308695913050	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.832710263975598	-1	2	3	1	5	4	4	3	5	5	6	8	7	10	8	0	4	2	1	8	2	4	2	8	6	6	5	9	12	5	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
3000	-61.094669455614209	-67.950157406573581	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.873363917191302	-1	1	3	2	5	3	5	3	4	5	7	9	6	9	10	0	1	2	2	8	2	4	2	8	6	6	5	9	13	5	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2
3500	-60.897462679426695	-67.752950630386067	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.859737401156899	0	1	2	2	5	3	4	3	4	4	5	8	8	9	10	0	1	2	2	8	3	4	2	8	6	6	9	9	8	12	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
4000	-49.977957205675303	-56.833445156634674	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.950920551308403	0	1	2	2	5	4	4	3	4	6	6	8	6	10	9	0	1	2	2	8	3	4	2	8	6	6	5	9	12	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-67.162093004298001	-74.017580955257372	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.628875688059949	0	1	2	3	4	3	4	3	4	6	7	9	7	9	10	0	1	2	2	8	3	4	2	8	6	6	5	5	8	13	1	1	1	1	1	1	1	1	1	2	2	2	1	3	2
5000	-68.421539491827488	-75.277027442786860	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.571062145194647	-1	0	2	2	3	4	4	4	5	6	6	9	7	8	7	0	1	2	2	3	3	4	5	5	6	6	8	9	8	8	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1
5500	-65.212127292457026	-72.067615243416398	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.850400629641287	0	2	1	3	2	3	5	3	4	5	6	8	6	10	9	0	3	1	3	3	2	4	5	5	6	6	8	9	12	8	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2
6000	-69.455388268115712	-76.310876219075084	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.745232599173301	-1	1	2	3	3	3	4	4	5	6	5	8	7	10	8	0	1	2	3	2	3	4	5	5	6	2	8	9	9	8	1	1	1	1	1	1	1	1	1	2	1	2	1	2	2
6500	-73.149235514528243	-80.004723465487615	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.626325399519433	-1	2	0	2	5	1	3	3	4	6	5	10	6	10	9	0	3	1	3	9	3	4	3	8	6	6	5	9	5	5	1	1	1	1	1	1	1	2	1	2	2	2	1	2	1
7000	-56.519593331027465	-63.375081281986837	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.901203736496282	0	3	1	2	5	4	4	3	5	6	6	7	8	9	8	0	3	1	3	8	3	4	3	8	6	6	5	9	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
7500	-60.481913730376775	-67.337401681336146	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.776465368082720	-1	2	1	3	4	3	5	3	4	6	5	7	7	9	10	0	3	1	2	2	2	4	2	8	11	6	8	9	12	12	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2
8000	-65.240981792781213	-72.096469743740585	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.832577529318505	0	3	1	2	4	3	4	2	4	5	7	9	6	10	10	0	3	1	3	8	3	4	3	8	6	6	13	9	8	12	1	1	1	1	1	1	1	1	1	2	2	2	1	4	1
8500	-72.281610686892947	-79.137098637852318	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.716366617661369	-1	2	1	3	4	2	5	3	5	5	6	9	7	9	8	0	3	1	2	8	3	2	3	8	6	6	9	9	13	8	1	1	1	1	1	1	1	1	1	2	2	3	2	2	2
9000	-54.250067930193879	-61.105555881153251	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.891314794547084	0	2	1	2	4	4	3	3	5	5	5	7	7	9	9	0	3	1	3	8	2	4	3	8	6	6	8	9	12	12	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
9500	-66.162968609947555	-73.018456560906927	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.878967050312480	0	2	1	3	4	3	4	3	4	6	5	6	6	9	10	0	3	1	3	8	2	4	3	8	11	6	5	9	8	12	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1
10000	-57.883519552232514	-64.739007503191885	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.846982108808790	-1	2	1	2	4	3	4	3	5	5	7	8	7	7	9	0	3	1	3	8	3	4	3	8	6	6	13	9	8	12	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
10500	-64.186787877154899	-71.042275828114271	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.971117474784688	-1	3	1	2	5	3	4	4	5	5	4	9	7	6	9	0	3	1	3	8	3	4	2	8	11	6	8	9	8	8	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2
11000	-63.441121395488508	-70.296609346447880	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.771357831939053	0	2	1	2	4	3	4	3	4	5	7	7	7	8	9	0	3	1	3	4	2	4	3	8	6	6	9	9	12	5	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
11500	-59.436322552393733	-66.291810503353105	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.990411394002869	-1	2	0	2	4	3	4	2	3	5	6	8	7	9	7	0	3	1	3	8	3	4	3	8	6	6	5	9	12	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12000	-60.374396403388928	-67.229884354348300	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.855481593031685	0	3	1	3	4	2	4	3	5	5	7	7	7	8	9	0	3	1	3	8	3	4	3	8	6	6	5	9	8	12	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1
12500	-59.458639085892727	-66.314127036852099	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.909712648643318	-1	2	1	2	5	3	4	3	5	5	6	9	6	10	9	0	3	1	3	8	3	4	3	8	6	6	5	9	5	5	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2
13000	-63.285746057989513	-70.141234008948885	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.891005877879459	0	1	3	2	5	4	4	3	4	6	6	8	7	9	10	0	1	2	2	8	2	4	2	8	6	6	3	9	12	8	1	1	1	1	1	2	1	1	1	1	1	2	1	1	3
13500	-66.162403642240804	-73.017891593200176	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.821735267085194	0	3	1	3	4	4	5	3	5	5	6	9	7	9	10	0	3	1	3	8	3	2	3	8	6	6	5	9	13	8	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3
14000	-59.285106492584006	-66.140594443543378	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.886075710449145	0	2	1	3	5	4	5	3	5	6	5	7	7	9	8	0	3	1	2	8	2	4	3	8	6	6	5	9	12	12	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
14500	-71.699009924686521	-78.554497875645893	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.758713350041002	0	2	1	2	5	3	3	3	4	5	7	10	7	9	9	0	3	1	3	8	3	4	3	8	6	6	15	9	9	5	1	1	1	1	2	2	1	1	1	2	2	1	2	2	2
15000	-57.140127546314396	-63.995615497273768	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.901613516010339	-1	2	1	3	5	3	5	3	5	5	6	10	7	8	9	0	3	1	3	8	3	4	3	8	6	6	15	9	5	14	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1
15500	-61.436518390063853	-68.292006341023225	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.871078444331298	0	2	1	3	4	3	4	3	4	4	6	7	8	9	9	0	3	1	2	8	2	4	3	8	6	6	5	9	13	13	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1
