step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71
5000	-223.118717942311633	-232.169561322762974	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.972974252358779	1	4	6	7	4	8	17	16	14	15	16	18	20	16	19	23	20	22	18	20	22	18	21	19	18	18	22	21	20	20	24	21	22	20	22	25	22	28	23	26	23	23	25	22	22	23	25	24	23	20	26	24	26	26	23	26	27	28	25	29	27	29	30	31	24	32	34	35	35	37	37	0	1	5	5	1	3	14	9	4	9	10	14	14	9	22	50	24	23	14	22	17	7	25	14	10	11	7	24	22	12	35	29	29	19	30	17	32	52	18	48	7	37	49	17	12	27	49	28	34	19	15	46	48	65	18	48	17	61	55	54	31	56	41	63	23	63	64	38	67	68	67	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5500	-223.868752349889007	-232.919595730340347	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995585592895746	1	4	6	5	6	9	17	17	15	17	16	18	20	15	19	23	19	22	17	21	22	18	18	21	22	20	21	23	20	21	22	22	23	19	21	21	20	29	22	27	23	23	25	22	24	24	22	23	25	21	25	24	24	26	26	27	26	27	24	24	25	28	28	30	30	29	31	37	35	33	35	0	1	2	2	4	3	14	9	4	11	9	7	8	6	19	20	19	29	9	17	26	10	9	37	30	23	14	50	22	22	8	20	24	12	37	14	15	51	13	24	39	31	21	23	36	17	17	34	50	29	35	35	18	46	49	43	46	54	25	21	32	41	57	58	66	57	63	71	70	64	70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6000	-215.639803643759677	-224.690647024211017	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.984820152557331	1	3	7	4	5	8	15	16	16	17	17	19	21	17	21	22	18	22	19	21	21	20	21	22	22	20	19	23	21	20	22	21	24	22	21	24	21	29	23	26	24	24	18	22	23	24	24	24	24	22	19	24	27	26	23	26	28	27	27	26	30	29	29	29	29	29	31	37	30	35	38	0	1	5	1	4	3	3	7	7	9	7	10	22	8	43	27	9	13	17	19	12	19	22	19	30	12	14	44	30	11	32	27	15	22	22	35	8	58	32	42	32	13	14	13	15	50	16	25	13	15	9	35	47	47	23	47	40	60	56	47	59	58	59	48	56	52	25	70	46	69	70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6500	-218.967439740536037	-228.018283120987377	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.985599686782471	1	4	6	6	7	12	15	13	17	16	17	18	21	17	16	22	18	19	18	19	23	19	21	21	22	19	21	19	20	22	23	16	22	20	21	20	21	29	23	25	19	23	24	22	20	24	24	19	21	17	25	24	27	24	24	28	27	26	28	26	29	28	30	31	31	32	34	35	34	36	36	0	1	2	2	3	5	8	6	7	8	7	32	41	7	6	28	15	15	11	14	37	14	48	18	41	14	18	11	17	35	45	8	27	12	41	48	34	60	29	25	10	27	39	22	50	49	39	11	19	32	47	30	43	16	13	57	60	42	60	11	53	25	53	61	56	64	63	66	66	67	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7000	-224.321381712561987	-233.372225093013327	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993043098937375	0	4	6	7	6	11	17	14	15	16	16	18	20	16	19	21	19	22	18	20	22	18	20	21	19	20	20	23	22	22	22	19	23	21	21	25	21	24	22	26	24	23	23	24	23	21	23	24	24	17	25	24	21	26	25	26	27	29	28	21	27	30	27	27	29	32	33	35	34	36	33	0	1	2	3	2	4	8	6	8	8	9	10	22	8	14	19	22	25	8	32	23	8	12	20	8	11	22	30	34	20	53	11	31	27	15	33	32	18	37	41	35	17	18	42	18	11	15	30	42	9	43	42	20	38	46	41	35	60	51	20	40	54	55	36	63	65	65	67	62	69	59	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7500	-216.654757460343745	-225.705600840795086	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998279448516879	1	4	6	7	6	11	16	17	13	17	16	17	18	18	21	16	19	19	17	20	22	20	22	21	23	20	21	23	21	21	23	21	23	18	21	21	22	27	20	27	23	24	24	20	23	23	25	23	24	24	25	25	28	27	26	24	26	29	26	28	26	29	23	28	31	29	31	37	33	36	38	0	1	2	2	2	4	9	11	6	16	9	16	19	11	13	9	10	8	11	19	39	8	30	20	37	16	17	39	26	17	32	18	27	16	14	26	13	59	14	15	35	21	37	14	22	35	45	22	63	28	63	33	55	28	26	14	56	64	41	38	43	59	44	56	58	53	58	53	65	69	70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8000	-225.407057022377444	-234.457900402828784	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996562679799954	1	2	6	7	4	12	17	16	14	16	17	15	18	17	21	23	19	22	18	20	21	19	20	19	22	20	19	21	21	19	23	22	24	20	21	24	20	29	22	26	23	22	23	23	24	21	22	23	25	24	25	23	28	25	24	26	25	26	29	28	30	29	30	28	29	31	34	36	34	37	37	0	1	2	1	2	4	12	12	6	9	9	6	9	12	17	18	8	24	8	30	17	10	22	10	7	10	8	34	37	8	15	21	46	24	17	32	14	29	21	54	29	20	42	17	37	27	13	39	43	23	31	10	58	55	41	55	48	55	51	57	65	48	51	49	16	58	65	66	38	67	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8500	-228.690149195667118	-237.740992576118458	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999975861214909	-2	4	7	5	6	12	16	17	17	17	15	14	20	16	21	22	19	20	18	19	22	20	22	22	22	20	19	21	22	19	22	21	23	21	21	24	21	19	23	24	22	23	25	22	24	23	25	24	18	22	23	24	26	26	23	26	24	28	28	29	30	27	27	29	31	32	33	30	36	37	34	0	1	2	2	4	3	12	14	14	14	6	6	30	11	30	13	11	17	14	14	38	38	28	15	28	10	11	49	18	10	27	20	13	27	19	29	17	14	15	23	49	50	45	8	42	28	55	35	8	18	41	42	24	50	23	36	42	56	63	56	47	57	47	24	57	61	66	62	66	66	65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9000	-219.681338957051423	-228.732182337502763	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.988090978139757	1	3	5	7	7	12	15	16	17	16	17	18	19	18	20	22	19	21	18	21	22	20	18	21	23	21	22	23	19	19	22	21	24	19	22	24	21	27	23	26	24	24	24	24	25	21	23	22	22	24	26	21	28	24	24	26	26	28	29	27	30	27	29	31	28	25	33	35	33	33	37	0	1	2	1	3	5	6	7	7	7	8	8	9	9	8	17	8	30	10	30	22	11	10	30	35	14	18	21	9	9	46	14	24	14	19	35	34	56	31	66	49	28	15	32	47	34	27	29	22	25	50	30	41	18	16	15	66	51	53	66	51	41	65	38	41	43	58	59	66	63	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9500	-222.048269479451790	-231.099112859903130	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999124264362682	1	3	5	7	6	12	15	15	17	17	16	17	20	14	19	23	20	22	19	21	18	18	21	19	21	21	20	22	19	19	23	20	24	21	22	24	22	29	23	26	23	23	23	23	24	21	24	22	23	22	25	23	28	24	26	22	25	27	26	21	28	28	27	31	30	31	32	34	27	36	37	0	1	2	3	3	5	14	6	11	7	7	14	30	6	10	30	29	25	10	8	11	11	14	11	19	10	24	17	10	22	26	15	41	7	17	42	17	63	46	51	37	60	48	32	25	15	18	23	25	46	25	34	59	37	47	30	45	47	33	22	49	47	44	58	53	69	65	67	51	68	70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10000	-216.118952728136634	-225.169796108587974	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990836048242669	0	2	7	6	7	11	17	14	16	15	17	18	19	18	18	22	20	21	18	21	19	19	22	20	23	21	22	21	20	21	21	21	23	20	22	24	21	30	20	25	23	23	24	20	24	24	25	23	25	24	25	24	27	24	25	25	27	29	27	28	29	30	28	28	28	31	32	37	33	32	31	0	1	4	2	2	3	8	6	10	6	9	9	19	9	9	24	19	21	9	39	11	15	37	9	16	39	17	15	14	14	14	39	35	12	22	16	24	65	13	48	16	27	32	12	26	42	41	24	29	44	54	22	45	18	54	48	36	65	50	49	47	63	45	46	51	61	63	63	67	66	65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10500	-212.190474479675828	-221.241317860127168	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999296118993825	1	2	4	6	6	11	17	17	17	17	16	19	18	17	19	22	15	21	19	20	23	19	22	18	23	19	21	22	21	22	20	21	22	22	22	22	20	29	21	27	20	21	24	23	23	23	24	21	22	23	25	23	26	26	22	27	27	28	28	27	30	30	30	29	30	31	33	36	35	36	38	0	1	2	2	3	4	11	11	17	17	6	11	11	11	9	39	6	31	8	19	36	14	41	9	55	10	31	12	24	14	22	26	20	37	12	29	24	40	41	31	15	12	18	49	32	22	52	37	31	31	47	41	31	48	32	21	47	40	51	44	53	59	40	54	57	63	63	66	67	67	70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11000	-229.919010872052155	-238.969854252503495	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999265092868039	0	3	4	6	2	11	12	16	14	16	16	18	21	17	19	23	20	20	19	15	19	19	22	21	22	20	20	22	20	21	24	19	24	20	21	25	22	28	21	27	23	22	25	23	22	23	25	24	18	23	22	24	21	24	24	26	27	28	28	28	30	27	23	30	30	28	34	38	35	38	36	0	1	1	2	1	4	6	7	7	9	7	14	21	7	12	13	12	21	12	9	12	10	39	27	53	11	14	27	49	29	29	7	63	32	20	44	18	54	22	54	29	35	28	39	24	37	45	37	10	51	17	27	49	53	30	16	55	57	57	48	38	48	25	56	58	54	38	67	67	71	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
