step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98
1	-570.406894523810365	-577.262382474769765	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.034143427144687	2	1	1	3	2	4	5	6	6	5	4	6	6	7	7	8	7	7	8	9	7	9	10	9	9	9	9	9	9	10	9	9	10	10	12	9	12	11	11	12	10	12	13	13	11	13	15	13	13	15	15	15	14	17	16	17	17	18	17	21	18	20	20	19	20	22	21	21	21	23	24	21	22	21	23	22	23	23	23	23	24	24	24	25	25	26	26	26	29	28	26	27	31	30	31	33	31	33	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	3	3	2	2	3	3	3	3	4	3	3	4	4	3	4	5	4	4	4	4	4	4	5	4	4	5	5	6	4	6	5	5	6	5	6	6	6	5	6	7	6	6	7	7	7	7	8	8	8	8	9	8	10	9	10	10	9	10	11	10	10	10	11	12	10	11	10	11	11	11	11	11	11	12	12	12	12	12	13	13	13	14	14	13	13	15	15	15	16	15	16
500	-593.054571290300487	-599.910059241259887	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.111430254295195	2	2	0	3	1	4	4	5	7	4	3	7	5	7	7	9	8	7	8	9	7	9	11	10	8	9	10	10	9	10	9	9	10	10	12	10	12	11	11	12	9	13	13	14	12	14	14	13	13	15	15	15	14	18	17	16	17	19	18	20	16	20	19	18	19	22	20	21	20	23	24	20	21	22	24	21	24	23	23	23	24	23	25	25	26	27	25	25	26	28	27	26	31	31	31	34	32	34	3	3	0	5	3	2	4	3	2	1	2	3	3	11	13	21	5	8	7	1	2	4	21	3	5	8	4	32	10	10	8	13	21	19	20	19	13	22	7	8	2	29	25	24	25	25	5	2	8	24	34	33	32	39	8	46	12	3	16	13	12	0	0	30	0	0	0	5	23	38	44	5	29	72	0	33	57	3	21	51	0	36	23	71	0	3	62	60	3	24	0	33	65	67	12	90	44	5	1	1	1	1	1	1	1	3	4	1	1	4	5	2	2	1	4	1	2	3	2	3	3	5	3	3	3	1	3	3	2	2	1	2	2	2	4	1	4	5	4	1	3	3	3	3	6	7	3	3	3	2	2	3	6	1	5	9	4	4	5	1	1	5	1	1	1	8	6	8	5	9	6	1	1	6	4	12	8	6	1	8	5	1	1	14	3	2	6	9	1	8	5	8	10	3	10	18
1000	-684.316594547394288	-691.172082498353689	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.277341826929754	2	1	0	3	2	5	5	7	6	5	3	6	6	7	5	8	8	8	8	9	7	9	11	8	9	8	7	9	9	10	9	9	10	10	12	9	13	11	10	10	10	13	13	14	11	12	15	13	12	15	16	15	15	15	17	18	17	19	17	21	17	18	20	18	20	22	21	20	22	24	24	21	22	22	21	23	23	24	24	24	25	25	25	26	26	25	27	26	28	27	27	27	31	31	31	33	30	34	2	3	0	2	3	5	4	7	5	11	3	2	7	6	3	15	9	12	1	9	13	16	17	11	11	3	2	10	12	5	8	8	29	29	22	6	39	32	8	12	5	14	10	18	12	26	3	7	19	38	44	11	48	24	2	35	45	8	47	5	45	0	0	49	0	0	0	41	75	33	74	44	41	65	0	30	68	22	8	45	0	79	59	17	0	3	60	78	25	21	0	84	83	56	62	81	60	56	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	2	3	2	1	1	1	3	3	2	4	3	2	5	1	1	1	1	2	3	2	1	1	2	5	5	5	2	2	1	7	3	2	1	1	6	1	3	8	5	3	6	1	9	3	1	1	2	1	1	1	6	1	7	1	3	7	1	1	6	2	9	7	6	1	1	3	9	1	12	5	1	13	10	1	1	4	11	7	3	5	13
1500	-529.683147468205107	-536.538635419164507	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.468920565527149	2	2	1	3	3	5	6	6	5	4	5	5	6	6	6	9	7	7	8	8	6	8	11	9	9	9	7	9	10	10	7	9	11	11	12	8	12	11	11	11	10	12	13	12	12	13	15	13	14	16	16	16	14	18	15	16	17	19	16	19	18	20	20	20	20	22	21	20	22	23	24	21	22	21	22	22	22	23	23	21	24	25	25	26	25	26	26	24	29	28	26	27	32	30	32	33	30	33	3	3	0	3	3	2	5	6	3	2	3	10	9	10	2	6	8	5	21	8	1	8	19	13	11	13	6	5	21	7	10	7	7	41	34	7	27	41	26	20	7	41	33	30	16	31	3	3	5	43	42	49	37	43	33	47	56	46	46	17	37	0	0	7	0	0	0	13	62	47	69	26	58	25	0	58	67	3	68	23	0	76	62	64	0	2	85	62	65	57	0	62	90	60	72	92	90	94	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	3	1	2	1	1	2	1	1	2	2	1	1	4	2	1	1	1	2	1	1	2	3	1	1	2	1	1	1	1	2	3	6	4	3	2	4	1	1	4	2	1	1	3	2	6	3	1	1	7	1	1	1	7	1	4	1	6	2	5	1	2	1	9	1	5	1	1	2	3	1	10	1	3	4	5	1	4	2	7	5	2	1	2
2000	-603.798594151484622	-610.654082102444022	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.509875422506834	2	2	1	3	3	5	5	7	5	6	4	6	6	6	7	8	7	8	8	8	7	9	11	9	8	9	8	9	9	10	10	9	10	11	13	10	13	11	10	13	11	13	13	13	12	12	15	11	14	14	16	15	14	15	16	18	17	19	17	22	18	21	20	19	20	21	19	21	21	23	25	20	22	20	23	23	22	23	22	23	23	24	22	25	26	24	26	26	28	27	27	26	32	30	30	33	32	34	3	3	0	3	3	5	4	12	3	5	3	2	6	7	5	10	11	11	6	8	9	10	28	10	14	21	10	15	17	3	19	17	20	15	15	16	3	26	21	41	10	14	33	23	2	20	10	3	25	24	47	35	38	31	33	47	40	3	21	54	55	0	0	41	0	0	0	2	56	63	73	67	68	56	0	56	35	3	74	47	0	60	69	62	0	3	84	59	59	79	0	75	91	90	85	56	95	82	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	3	1	1	1	2	3	2	7	1	2	2	3	3	2	1	5	2	4	3	3	3	1	1	2	1	3	1	2	6	6	5	1	1	1	4	1	1	1	9	1	1	1	1	1	1	1	3	4	11	1	3	1	1	1	2	1	7	1	4	5	3	1	2	2	2	2	8	1	5
2500	-517.413537724791809	-524.269025675751209	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.470598146979456	3	1	0	4	3	3	5	6	5	5	4	6	6	7	7	8	8	4	8	9	7	8	10	8	10	8	9	8	9	10	10	9	10	11	12	8	12	11	11	11	11	12	13	14	10	13	15	12	13	15	16	14	14	17	16	17	17	18	17	21	18	21	20	19	20	21	20	21	21	23	23	21	23	21	23	22	24	23	22	22	24	24	24	25	26	26	27	27	29	28	25	28	31	29	31	34	29	33	3	3	0	2	3	2	5	11	3	3	2	2	4	6	8	8	7	5	13	21	12	15	8	6	12	18	21	9	13	21	2	10	12	27	17	3	17	27	32	28	1	21	5	40	10	14	2	25	39	12	52	17	42	42	29	1	12	2	44	64	50	0	0	44	0	0	0	39	57	74	60	55	74	61	0	66	68	2	48	39	0	72	32	73	0	60	74	76	62	91	0	85	79	86	85	83	80	86	1	1	1	2	2	1	1	1	2	2	2	3	1	2	1	1	2	1	1	1	1	1	2	3	2	3	1	1	2	2	4	2	2	1	2	3	1	1	1	2	2	2	4	1	3	2	4	1	1	5	1	2	1	2	5	7	4	8	2	1	1	1	1	2	1	1	1	5	2	2	1	2	1	3	1	1	3	11	4	5	1	2	7	1	1	2	3	5	3	1	1	1	2	2	2	5	4	3
3000	-514.482173465307142	-521.337661416266542	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.488135868464757	2	2	1	3	2	5	6	6	7	5	4	6	5	7	8	9	8	5	8	9	7	9	10	9	7	10	9	8	10	10	8	10	10	10	12	7	12	12	11	12	9	11	13	14	12	14	16	12	10	16	15	15	15	18	14	17	18	19	18	21	19	18	20	20	20	22	22	22	21	23	25	21	21	21	23	22	23	22	24	23	24	24	25	24	26	25	26	25	29	27	25	28	31	30	30	33	32	34	3	3	0	3	3	3	10	6	10	5	2	5	4	2	3	9	3	5	4	8	6	10	19	7	8	21	17	13	11	28	12	11	5	8	25	3	5	28	49	26	3	20	32	26	20	32	5	7	41	43	48	19	24	44	32	52	17	59	44	65	59	0	0	53	0	0	0	5	64	66	61	62	57	61	0	65	72	44	73	59	0	68	43	52	0	70	76	10	65	70	0	85	78	85	77	77	95	86	1	1	1	1	1	2	1	1	1	1	1	2	1	3	3	1	3	2	2	1	1	2	1	2	1	2	1	2	3	2	1	3	3	2	2	3	3	3	1	1	5	1	1	2	1	2	6	2	1	2	2	3	3	2	2	2	6	1	1	1	1	1	1	3	1	1	1	8	1	1	3	2	2	1	1	1	1	4	1	3	1	1	6	5	1	2	1	10	6	2	1	1	5	2	3	5	1	4
3500	-487.337046865297850	-494.192534816257250	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.451768365622784	2	1	0	4	3	3	5	7	5	6	5	6	6	7	7	8	7	8	9	10	7	8	11	9	10	9	10	10	10	10	10	8	11	8	13	9	13	11	12	13	10	10	11	14	11	13	14	12	14	15	15	15	15	18	15	16	17	18	17	22	17	20	21	19	20	22	21	21	21	24	24	20	22	21	24	22	22	24	23	23	25	24	25	23	25	26	26	26	27	28	26	27	29	30	31	33	31	33	2	3	0	2	2	3	1	3	2	1	5	3	6	3	5	14	1	10	12	6	2	12	13	11	14	2	16	10	15	8	8	7	5	8	23	5	38	21	27	27	19	34	18	29	8	21	10	22	8	33	35	40	6	59	43	45	50	21	56	62	48	0	0	55	0	0	0	3	65	73	79	31	72	64	0	65	55	69	65	62	0	66	68	33	0	66	84	20	8	87	0	88	92	86	92	95	85	94	1	1	1	1	1	2	1	4	2	2	1	3	3	2	2	1	2	1	1	4	3	1	3	3	1	4	1	2	2	2	2	1	4	1	1	3	2	2	1	2	1	1	1	3	2	5	3	2	5	2	1	1	6	1	2	2	1	6	1	1	3	1	1	2	1	1	1	11	1	1	1	4	1	1	1	1	3	2	2	1	1	1	3	5	1	2	1	8	7	1	1	1	1	2	1	1	3	1
4000	-553.092004043983366	-559.947491994942766	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.453781212914506	2	2	1	3	3	5	5	7	5	5	5	6	6	8	7	8	7	8	7	10	7	10	10	8	10	6	9	8	10	11	8	9	9	10	12	9	12	11	8	12	9	12	13	12	11	13	14	13	13	16	15	14	15	14	17	17	17	17	18	21	19	20	21	18	21	22	22	21	20	23	24	21	21	22	23	22	24	23	22	23	25	22	24	25	25	26	27	24	30	28	26	27	31	30	32	33	31	33	3	3	0	2	3	3	2	1	5	5	2	3	6	10	5	9	3	5	12	26	6	32	3	8	31	2	14	5	16	16	5	31	5	15	10	5	5	14	10	9	3	5	3	25	24	24	22	15	5	36	23	35	15	27	10	49	38	42	21	35	58	0	0	51	0	0	0	61	53	59	76	64	38	60	0	62	82	73	62	59	0	63	79	71	0	88	82	5	16	63	0	65	87	86	67	68	83	97	1	1	1	1	1	2	2	3	1	1	2	2	1	2	2	2	2	2	1	3	1	1	4	1	1	2	1	2	1	2	3	1	3	2	4	2	4	2	1	5	4	3	7	1	2	2	1	3	2	3	3	1	4	3	6	3	2	2	5	6	1	1	1	1	1	1	1	2	2	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	2	6	10	3	1	2	2	3	4	6	3	1
4500	-555.598105265063055	-562.453593216022455	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.458592630826002	3	1	0	3	2	3	6	4	7	5	4	7	5	7	5	8	8	7	8	10	7	10	10	10	7	9	10	9	9	10	9	9	11	9	13	9	12	9	12	12	10	13	13	14	11	13	15	11	14	16	13	15	15	17	14	16	17	18	17	22	19	21	18	20	21	21	21	22	22	23	24	22	23	20	23	22	23	23	23	23	25	22	25	25	25	25	25	27	29	28	26	27	30	31	31	33	31	33	2	3	0	3	2	3	5	4	8	2	5	5	6	10	2	8	13	5	4	12	11	38	8	5	7	18	2	17	12	3	2	7	25	16	41	15	7	9	23	24	3	7	10	23	5	26	16	3	27	42	15	37	55	18	27	49	47	42	39	34	50	0	0	61	0	0	0	30	36	69	75	52	62	58	0	61	58	66	76	66	0	63	67	70	0	60	73	20	83	57	0	78	91	65	71	91	84	60	1	1	1	1	1	1	2	1	2	3	1	2	1	1	2	2	1	3	3	2	1	1	3	3	1	1	4	1	1	6	3	2	3	1	1	3	4	1	1	1	4	4	4	1	4	2	3	4	2	2	4	1	1	4	2	1	1	2	2	6	2	1	1	1	1	1	1	6	5	1	1	4	1	1	1	2	3	1	1	1	1	2	2	1	1	1	1	9	1	6	1	2	3	5	5	3	2	6
