step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84
1	-5776.115210595610733	-5774.653128511092291	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.280990369329039	0	4	5	4	5	6	7	7	9	9	9	10	10	12	12	12	13	13	14	15	14	16	14	14	15	15	15	16	15	16	17	17	17	17	17	19	18	20	20	20	23	22	22	23	21	23	24	23	25	26	24	24	25	25	25	27	25	25	27	27	26	27	27	26	26	28	27	28	29	29	30	30	31	32	33	34	35	37	37	39	37	41	44	46	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	3	3	4	4	5	5	5	5	5	6	6	6	7	7	7	8	7	8	7	7	8	8	8	8	8	8	9	9	9	9	9	10	9	10	10	10	12	11	11	12	11	12	12	12	13	13	12	12	13	13	13	14	13	13	14	14	13	14	14	13	13	14	14	14	15	15	15	15	16	16	17	17	18	19	19	20	19	21	22	23
500	-2183.244890493817365	-2179.929345351509710	-3.315545142307617	0.000010026407833	0.000067643819426	6.746565724544863	0.160581370830862	0	4	6	3	5	5	7	6	9	9	9	11	10	12	9	11	10	14	15	15	14	16	14	11	14	14	16	16	16	14	18	15	17	18	14	16	15	21	20	17	24	23	22	24	21	24	24	20	24	27	24	24	25	26	26	27	25	25	28	26	26	28	27	27	27	28	26	29	29	28	31	31	31	32	33	33	36	38	38	40	37	42	44	46	0	4	6	1	4	2	2	2	2	6	5	11	8	17	8	17	8	14	25	13	16	16	17	9	24	17	35	23	23	24	23	24	30	35	16	24	30	28	36	0	36	37	48	28	24	9	15	37	32	9	10	7	36	40	36	36	40	24	40	26	40	37	48	40	37	37	40	48	20	32	48	37	48	37	37	36	48	32	48	36	0	48	33	48	1	1	1	2	1	1	2	1	4	2	2	1	2	2	2	1	2	2	1	3	1	2	2	1	2	4	1	1	1	1	2	4	2	2	2	3	1	3	2	1	4	5	1	5	8	12	12	4	6	12	9	12	8	7	5	4	7	10	8	10	9	10	5	8	11	10	4	9	9	9	6	13	5	12	12	12	14	16	12	17	1	18	19	21
1000	-986.197989073583358	-984.512871052251398	-1.685118021331995	0.000009994686046	0.000015583739924	1.559202545508723	0.233615215861995	-1	4	3	4	5	5	6	5	9	9	9	11	9	10	11	13	11	14	15	15	15	17	14	13	16	15	16	16	15	15	16	18	18	18	18	19	15	21	20	17	20	22	23	22	22	24	25	22	25	26	24	25	22	26	24	28	26	23	28	28	26	26	27	26	26	28	27	25	30	30	31	30	32	32	34	35	36	38	37	39	37	42	45	47	0	3	1	3	3	2	6	3	6	7	5	9	8	8	8	17	14	14	24	13	16	16	17	9	24	14	16	23	23	24	23	25	37	26	27	30	24	28	24	0	30	37	42	28	39	40	40	33	58	53	40	40	24	40	37	41	40	24	40	40	40	37	55	40	37	37	61	37	47	41	68	37	66	68	68	41	65	53	68	68	0	68	68	68	1	1	3	1	2	1	1	1	2	2	2	1	2	3	3	1	1	2	2	3	1	2	2	2	2	2	2	2	1	1	1	1	2	2	1	2	2	3	3	1	4	3	1	3	1	3	6	2	1	2	4	7	4	3	4	3	6	8	6	10	6	8	2	5	10	8	1	7	2	7	4	11	4	6	6	10	8	13	8	10	1	17	17	21
1500	-822.729972724249251	-821.019168546477658	-1.710804177771574	0.000010008074348	0.000016226984083	1.621389242186980	0.310547709545842	0	3	5	5	5	5	7	7	8	9	9	10	9	12	13	12	10	14	15	14	14	14	13	11	16	15	14	16	15	16	18	16	17	17	16	19	15	20	20	17	24	22	21	23	21	23	25	23	26	26	25	25	24	25	26	27	25	25	28	27	26	26	27	27	26	26	26	25	29	30	30	30	30	32	33	34	36	38	36	40	38	42	45	47	0	1	1	2	2	2	2	2	6	6	5	5	8	8	8	17	8	14	15	15	16	16	17	8	19	16	16	23	23	24	28	24	37	26	16	30	15	28	32	0	36	37	37	38	39	40	40	37	58	53	40	40	30	40	48	53	40	32	40	40	40	37	43	57	37	43	57	48	47	50	68	48	68	68	74	70	73	70	72	68	0	66	65	74	1	2	2	1	1	1	2	3	2	2	2	2	2	2	3	1	1	1	2	1	1	1	3	1	1	2	2	2	1	3	1	2	2	1	2	1	2	2	2	1	3	3	3	2	1	4	6	4	1	1	5	5	5	4	1	2	5	6	5	8	4	7	3	1	10	2	1	2	2	2	3	5	4	4	1	3	5	7	3	8	1	13	13	12
2000	-740.105829714195352	-738.171493677848048	-1.934336036347310	0.000010053901836	0.000021849793866	2.173265088835645	0.395778829835823	0	2	5	4	5	6	8	7	9	7	9	11	10	13	13	13	11	14	14	15	14	17	14	12	15	15	14	17	16	15	16	16	18	18	18	19	15	20	19	18	22	22	20	22	21	23	24	23	25	27	23	24	25	24	25	26	25	25	26	28	27	27	27	26	27	28	27	26	29	29	30	31	31	32	33	33	35	38	37	38	37	42	44	46	0	1	2	2	2	2	10	3	3	3	5	11	8	17	8	17	13	14	13	15	16	16	15	13	24	27	16	23	15	24	23	24	37	26	27	30	24	28	32	0	36	37	33	38	32	40	40	43	45	53	40	40	36	40	43	53	40	45	51	40	40	48	43	51	37	68	47	43	60	50	68	68	68	68	65	70	74	70	74	68	0	66	74	80	1	1	2	1	2	2	1	1	2	1	2	1	2	2	3	1	1	1	2	1	1	2	1	2	2	1	1	2	1	1	1	2	2	2	2	2	2	2	2	1	2	4	2	2	3	3	4	2	2	1	2	4	2	2	2	1	3	2	1	8	5	1	4	2	10	1	1	4	1	1	3	3	4	3	3	3	2	7	3	8	1	12	8	7
2500	-656.780551952861629	-654.793785488517756	-1.986766464343878	0.000010008490928	0.000023092793281	2.307320199198347	0.479236906004369	1	3	5	4	5	6	8	7	8	10	8	10	10	12	12	12	12	13	15	15	15	16	13	13	15	15	14	15	16	16	18	18	17	17	18	19	15	19	19	20	23	19	21	23	22	23	23	23	24	27	24	24	25	25	24	27	25	26	28	28	27	28	26	26	26	28	27	26	30	29	30	31	32	32	32	35	36	35	36	38	37	42	45	46	0	1	2	2	2	2	3	3	6	6	5	5	8	8	8	8	13	14	24	13	16	16	17	8	24	16	16	23	23	24	23	24	37	26	27	30	24	28	32	0	36	37	42	38	39	40	40	43	45	53	47	47	36	46	48	53	47	49	51	40	54	55	43	51	37	68	47	43	60	50	68	68	72	66	72	70	73	70	74	68	0	68	80	79	1	1	1	1	1	2	2	2	1	2	2	2	2	2	2	3	1	1	1	2	1	1	1	3	1	1	2	1	2	2	4	2	1	2	2	2	1	2	1	1	2	2	2	2	2	2	2	1	1	2	1	1	3	1	1	1	1	2	2	5	2	2	3	1	8	1	2	3	1	1	2	3	1	3	1	2	2	5	3	5	1	9	5	5
3000	-646.693291642060558	-644.921815802837955	-1.771475839222552	0.000009972713955	0.000017639914224	1.768817826657638	0.634608241071668	-1	2	5	5	6	4	6	8	7	10	10	9	11	12	11	13	13	13	14	15	14	16	14	14	16	15	15	15	15	16	16	17	18	17	18	18	17	19	20	21	23	22	22	24	21	23	25	23	23	26	25	24	25	24	25	27	26	25	27	28	27	27	26	27	26	29	27	28	30	30	30	31	32	32	34	33	35	38	36	39	36	42	45	46	0	1	2	6	6	2	2	3	6	7	5	5	8	13	8	13	15	14	13	13	15	16	17	13	24	16	16	23	17	24	15	24	37	26	27	30	19	28	32	0	36	37	37	38	39	40	40	43	45	53	40	46	41	40	43	53	46	49	51	47	54	48	43	51	37	68	46	65	60	50	68	68	72	68	72	70	73	76	72	72	0	79	80	82	1	1	1	1	1	1	2	1	1	2	2	2	1	1	3	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	2	1	1	2	2	1	1	2	2	1	2	2	2	3	1	2	3	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	1	6	1	2	1	1	2	2	3	1	2	2	2	2	3	2	4	1	6	4	2
3500	-559.335292507544750	-557.619218857231317	-1.716073650313425	0.000009974260582	0.000016299506820	1.634156906803226	0.687189496471327	0	4	6	5	6	7	7	6	10	9	10	10	10	12	12	12	11	14	14	16	14	16	13	15	15	16	14	16	15	16	17	18	18	18	17	20	17	19	19	20	24	21	22	23	21	23	24	23	24	26	25	25	25	25	24	26	24	26	27	26	26	25	27	27	27	28	26	27	28	29	30	31	31	32	34	33	35	37	35	39	37	42	44	46	0	1	2	2	2	3	8	1	6	7	5	5	8	17	8	17	13	14	15	15	16	16	17	19	19	27	16	23	23	24	23	24	37	26	27	30	24	28	32	0	36	37	42	38	32	40	40	43	45	53	46	46	36	46	43	53	46	45	51	47	46	43	43	51	55	68	46	55	60	50	68	68	68	68	74	70	73	76	72	79	0	80	82	83	1	2	1	1	1	1	1	3	1	1	2	1	2	1	4	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	2	1	1	1	2	2	1	1	1	1	2	2	1	2	2	2	2	1	2	1	1	1	2	1	2	1	1	2	2	1	1	2	1	1	2	1	1	2	1	2	2	3	2	3	1	2	2	2	3	3	1	1	1	1
4000	-570.668902802417165	-568.680364390963405	-1.988538411453710	0.000011257429962	0.000026025929636	2.311889101136885	0.687282262413426	-1	4	5	5	6	7	8	6	7	9	9	11	10	12	10	10	11	13	12	14	15	16	13	14	15	15	14	16	14	15	17	17	18	18	15	19	17	20	20	20	23	23	22	23	21	23	23	23	25	27	25	24	25	25	25	28	24	24	27	28	27	27	28	26	25	29	26	28	30	29	31	30	31	32	32	33	34	36	36	39	36	41	44	46	0	1	2	2	3	3	2	3	3	2	5	11	8	17	8	6	13	14	15	15	27	16	17	19	19	27	16	23	23	24	23	24	37	26	27	30	30	28	32	0	36	37	37	38	32	40	40	43	45	53	46	40	41	47	48	53	47	45	51	46	46	55	42	51	43	68	47	43	60	50	68	68	72	68	66	70	74	76	74	79	0	79	82	83	1	2	1	1	1	2	1	1	1	3	2	1	2	1	1	1	1	1	1	2	1	3	1	1	2	1	2	1	1	1	2	1	1	2	1	2	1	2	2	1	2	4	2	1	2	2	2	1	2	1	1	2	1	1	1	1	1	1	2	2	2	2	1	1	2	1	1	2	1	1	1	1	1	2	1	2	1	2	2	1	1	2	2	1
4500	-561.046054134230303	-559.307263652044867	-1.738790482185417	0.000013045474727	0.000022037262150	1.689264868559893	0.635961042834027	-1	3	5	5	6	7	6	8	8	9	10	11	9	12	12	12	11	14	13	12	14	16	15	14	15	15	15	17	16	15	17	17	18	17	17	19	16	20	21	21	23	20	21	23	21	23	24	24	25	27	25	25	24	25	24	27	25	23	26	27	26	28	27	26	26	29	27	26	29	29	30	30	32	31	33	35	36	38	37	38	37	39	43	46	0	1	1	2	3	3	3	2	6	7	5	11	8	17	8	17	8	14	13	13	16	16	17	19	19	16	16	15	23	24	23	24	37	26	27	30	30	28	32	0	36	37	37	38	32	40	40	43	58	53	46	46	41	40	43	53	46	45	51	47	54	48	43	46	43	68	47	55	60	50	68	68	72	68	66	70	73	76	72	79	0	79	82	83	1	2	2	2	1	1	1	2	1	2	1	1	1	1	2	1	1	1	2	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	2	1	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	1	1	1	1	1	1	2	3	2	2	1	2	1	1	1	2	2	1	2	2	4	1	1	4	1	1	1	2	2
