step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107
1	-13642.165209638242231	-13640.703127553722879	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.277711229604207	0	2	5	7	9	12	13	14	13	14	15	18	18	16	17	18	18	20	18	18	18	19	19	19	20	19	20	19	21	20	21	20	21	21	21	23	21	23	22	22	21	22	22	23	23	23	25	23	25	23	25	24	23	24	23	24	23	23	23	23	23	24	26	25	25	25	24	25	24	24	24	25	25	25	25	25	26	26	26	25	27	26	28	26	27	27	26	27	27	27	28	27	27	28	27	28	29	30	33	36	37	38	39	40	40	43	44	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4	5	6	7	7	7	7	8	9	9	8	9	9	9	10	9	9	9	10	10	10	10	10	10	10	11	10	11	10	11	11	11	12	11	12	11	11	11	11	11	12	12	12	13	12	13	12	13	12	12	12	12	12	12	12	12	12	12	12	13	13	13	13	12	13	12	12	12	13	13	13	13	13	13	13	13	13	14	13	14	13	14	14	13	14	14	14	14	14	14	14	14	14	15	15	17	18	19	19	20	20	20	22	22
500	-3342.351388452012998	-3339.276813628799573	-3.074574823213492	0.000010046381420	0.000057910353291	5.764299688795189	0.134002032595998	-1	1	5	7	9	9	10	13	13	11	12	15	15	16	16	15	15	19	16	16	18	20	19	17	17	19	20	17	22	18	22	17	22	19	22	24	22	24	22	22	18	23	23	24	24	24	26	22	25	24	25	24	24	24	24	24	24	24	20	24	24	25	27	26	25	26	24	26	25	25	23	26	25	26	26	26	27	27	27	26	28	27	29	27	27	28	27	28	27	28	29	28	27	28	27	29	29	31	34	37	38	38	40	41	41	44	43	0	1	2	3	4	4	6	6	6	6	10	7	11	11	13	7	11	12	7	13	11	14	11	11	16	17	11	12	14	12	19	20	23	16	16	12	7	20	10	25	25	9	32	32	24	18	11	10	25	13	11	7	12	19	16	24	10	16	7	28	28	32	16	9	16	10	10	28	11	41	20	12	16	16	17	12	13	7	16	41	16	25	32	7	16	28	24	12	19	32	59	12	7	12	41	14	24	16	41	25	59	25	0	59	59	59	0	1	1	2	2	1	1	1	2	4	1	1	3	2	2	1	3	2	2	5	1	5	2	4	5	2	2	7	2	5	2	4	1	3	3	6	8	9	8	8	4	1	9	5	5	7	4	12	7	5	9	11	12	7	3	4	4	11	9	8	7	7	7	12	11	9	14	12	7	11	7	5	10	10	11	11	8	10	13	11	7	12	8	12	15	10	7	6	11	10	7	8	13	13	8	5	9	9	16	12	20	13	16	1	17	15	19	1
1000	-2406.138153412309293	-2403.221489847638622	-2.916663564670748	0.000010089242785	0.000052141338487	5.168013060829170	0.209950235929375	1	2	4	7	9	10	11	14	13	11	12	15	16	14	14	16	19	21	15	17	18	19	19	16	17	20	19	16	22	19	19	18	21	20	22	24	22	22	22	22	21	23	22	23	24	24	25	24	26	24	26	25	24	24	23	25	24	23	20	24	22	24	26	25	26	26	25	25	25	24	25	25	24	26	26	25	27	27	27	24	28	27	29	27	28	28	26	28	28	27	29	27	28	29	27	27	30	31	34	37	37	39	40	41	41	44	45	0	1	2	3	4	4	6	6	6	6	10	7	11	11	11	7	11	31	7	11	14	14	15	15	16	27	11	12	14	16	12	20	23	30	16	12	19	20	24	41	25	28	32	32	24	28	33	33	70	44	14	7	34	19	19	24	15	40	25	28	28	32	16	19	19	10	24	28	23	41	20	19	25	12	14	19	24	59	28	59	59	25	32	7	59	28	24	28	12	32	59	28	19	19	59	62	24	25	59	16	59	59	0	73	73	82	0	1	1	1	1	2	2	1	2	2	1	1	3	2	1	1	2	4	2	3	3	2	2	3	1	1	1	5	1	4	2	2	1	2	1	3	7	4	4	5	1	3	6	2	3	6	4	3	2	2	1	9	12	3	3	4	3	10	1	2	5	2	5	6	7	7	11	8	4	6	2	5	6	7	9	9	7	8	6	10	3	8	8	7	15	8	6	4	8	9	4	6	8	11	7	6	2	9	13	9	18	12	14	1	14	13	15	1
1500	-1906.049813371940900	-1903.709472084653498	-2.340341287287458	0.000010038882582	0.000032901805831	3.277437061628524	0.347147921833663	-1	2	5	7	8	12	13	14	14	13	14	15	18	15	15	16	18	20	15	17	17	20	19	16	18	20	20	16	18	20	19	18	21	19	20	23	19	23	22	22	22	21	23	22	22	24	23	24	26	23	25	24	22	24	24	24	24	23	20	22	20	23	26	26	25	26	25	26	23	24	24	25	24	26	26	25	26	26	27	26	28	23	28	27	28	28	26	28	27	27	28	27	28	29	27	28	30	30	34	37	37	39	40	41	41	43	45	0	1	2	3	4	5	6	6	6	6	10	7	11	10	11	12	11	31	7	11	14	14	15	15	16	17	13	19	14	16	28	20	23	16	16	31	19	20	24	25	25	28	32	32	24	61	33	33	70	44	29	16	34	35	37	39	24	40	25	28	28	32	34	18	37	32	24	46	23	41	32	37	59	28	29	37	24	59	61	59	59	25	62	19	59	61	39	61	34	66	59	28	19	72	73	66	39	25	73	82	82	82	0	98	82	98	0	1	2	1	1	1	2	1	1	1	1	1	1	3	1	1	1	2	1	1	2	2	3	3	1	1	2	1	1	3	1	2	1	1	1	2	3	2	3	2	3	2	2	3	2	3	3	1	2	1	1	4	8	2	2	3	1	8	1	1	2	2	4	3	6	5	6	6	1	2	1	3	4	4	10	6	5	7	3	6	4	4	5	2	12	7	6	2	7	6	1	6	8	10	2	3	2	7	12	7	14	10	13	1	8	14	11	1
2000	-1634.118603847583927	-1631.889174254042246	-2.229429593541786	0.000009996469181	0.000029584945247	2.959539484437292	0.326981665551059	0	2	3	7	9	11	13	13	14	13	15	15	18	16	16	18	16	20	18	17	18	19	19	17	17	19	20	16	20	21	18	19	21	20	20	24	20	23	20	22	20	20	22	22	23	23	26	22	25	23	25	24	22	22	23	23	24	24	21	24	21	23	27	25	25	25	24	26	24	22	25	26	24	26	26	25	27	27	26	25	25	23	28	27	27	28	27	28	27	28	29	28	28	29	27	27	30	31	34	36	37	39	38	40	41	44	44	0	1	2	3	4	5	6	6	6	6	10	7	11	11	11	12	11	31	12	11	14	14	15	15	12	11	13	12	14	16	28	20	23	16	16	18	19	20	24	25	25	28	32	32	24	61	33	33	70	44	29	34	34	16	37	39	24	40	41	42	28	32	34	18	37	32	24	46	48	41	50	37	59	28	29	37	39	59	61	82	59	59	62	12	59	61	56	61	34	66	73	61	37	84	82	66	56	25	82	82	82	85	0	98	82	100	0	1	1	1	2	1	2	1	1	2	1	2	1	2	1	1	3	1	1	2	1	1	3	1	1	1	2	1	1	2	2	1	1	1	1	2	2	1	3	2	3	2	2	2	2	4	1	2	1	2	1	3	2	1	2	2	2	5	1	1	3	4	3	4	4	3	5	4	2	1	1	2	4	1	9	5	2	6	3	3	1	4	2	2	9	4	6	2	6	5	2	3	5	7	1	3	1	5	11	7	13	7	10	1	7	14	6	1
2500	-1503.372747356644140	-1500.867708114421248	-2.505039242222840	0.000010197074466	0.000038495412805	3.775142854445735	0.444445482513623	0	2	3	6	10	11	13	14	12	14	15	15	18	17	17	18	18	20	18	18	19	20	18	18	20	19	20	17	21	20	18	20	20	20	20	23	20	23	19	23	21	22	22	22	23	23	24	23	26	24	25	25	22	24	21	25	24	24	22	24	20	25	26	25	26	25	25	24	25	24	25	25	23	26	24	25	27	25	26	26	25	25	28	27	27	28	26	28	27	27	27	28	27	29	28	29	29	31	34	37	36	39	39	40	40	43	45	0	1	2	3	4	5	6	6	6	6	10	7	11	11	11	12	11	31	12	11	14	14	15	15	16	17	17	12	14	16	12	20	23	16	16	18	19	20	24	25	25	28	32	32	24	61	33	33	70	44	29	34	34	35	37	39	39	40	41	42	28	32	34	36	37	43	24	61	48	41	50	37	59	28	29	55	39	59	61	73	73	73	62	37	73	61	56	61	34	66	73	61	55	84	82	66	77	59	82	73	91	91	0	101	91	101	0	1	1	1	1	3	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	2	1	1	1	2	1	3	1	2	1	3	1	1	2	2	2	2	2	1	1	2	1	2	1	3	3	1	1	2	2	3	4	1	3	1	4	2	1	1	1	4	1	9	2	2	6	2	3	1	1	1	1	5	2	5	1	6	5	1	3	6	5	1	3	2	1	7	7	12	6	10	1	4	12	6	1
3000	-1349.484484257547820	-1347.189553476373248	-2.294930781174667	0.000010715387421	0.000033707015982	3.145664702303193	0.487160494515162	-1	3	5	6	9	12	14	14	13	13	14	16	18	15	17	18	17	21	18	18	17	19	19	19	19	20	20	17	21	20	20	20	21	21	22	22	20	23	22	22	21	21	22	23	23	24	26	23	25	24	25	24	23	24	23	24	24	24	22	23	21	24	27	25	25	26	24	26	24	23	25	25	24	26	26	25	25	25	26	26	27	26	29	26	28	27	26	27	28	28	26	28	27	28	27	29	28	29	32	37	37	38	39	40	41	43	43	0	1	2	3	4	5	6	6	6	6	10	7	11	11	11	12	11	31	12	10	14	14	15	15	16	17	17	7	14	16	12	20	23	12	16	18	19	20	24	25	25	28	32	32	24	61	33	33	70	44	29	34	34	35	37	39	39	40	41	42	28	32	34	36	37	43	24	46	48	41	50	55	59	28	51	37	56	59	61	73	73	73	62	37	91	61	77	28	34	66	73	61	76	84	73	66	77	82	98	91	91	98	0	101	91	101	0	1	2	1	1	2	1	2	1	1	1	1	1	2	1	2	1	2	1	1	3	1	1	1	1	1	2	1	2	2	2	2	1	1	3	2	1	1	2	1	2	1	2	1	1	2	2	3	1	2	1	2	2	1	1	2	1	1	1	1	1	1	2	3	2	3	2	3	1	1	2	1	1	1	7	1	3	1	2	2	1	1	1	3	5	1	3	1	5	5	1	2	3	1	1	2	2	2	3	2	9	7	7	1	1	13	5	1
3500	-1187.966233601655858	-1185.659256358509992	-2.306977243145942	0.000011476699411	0.000036500488262	3.180399429842804	0.564035545897793	0	2	4	7	9	12	14	13	13	14	15	16	19	16	17	18	18	21	18	18	18	18	20	19	20	19	20	18	22	20	20	20	22	20	21	23	21	23	22	22	21	21	22	22	22	23	26	23	26	23	25	24	23	24	23	24	23	24	23	23	22	24	25	24	25	25	24	25	25	23	25	25	24	26	25	25	26	27	26	25	28	26	28	25	28	27	27	28	28	27	27	27	27	27	26	26	30	30	33	37	37	39	39	38	40	43	44	0	1	2	3	4	5	6	6	6	8	10	7	11	11	11	12	11	31	12	11	14	14	15	15	16	17	17	12	14	16	19	20	23	16	16	18	19	20	24	25	25	28	32	32	24	61	33	33	70	44	29	34	34	35	37	39	39	40	41	42	28	32	34	36	55	43	45	46	48	41	50	37	59	61	29	55	56	59	61	73	91	73	62	37	73	74	77	79	34	66	73	79	84	84	73	66	77	82	98	82	99	98	0	101	82	104	0	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	2	1	2	1	2	1	2	1	1	1	1	1	3	2	1	1	1	1	2	1	2	2	2	1	1	2	1	1	1	1	2	1	3	1	2	2	2	2	1	1	1	1	1	1	2	3	2	1	1	2	1	1	2	1	1	2	1	3	2	1	1	2	2	1	1	2	2	2	2	1	1	1	4	1	2	1	2	1	1	1	2	3	1	8	2	7	1	1	7	2	1
4000	-1099.915314625155588	-1097.815909001344380	-2.099405623811286	0.000013033449220	0.000033928091060	2.603155196014707	0.712815466077635	0	3	5	7	9	12	13	14	14	13	15	16	18	17	17	19	18	21	18	18	18	19	19	19	20	20	20	20	22	21	19	20	21	22	21	23	21	23	22	21	22	21	22	22	23	24	24	23	25	23	23	25	24	24	23	23	23	23	24	24	23	23	26	26	26	26	25	24	24	24	25	24	25	26	26	26	25	26	25	26	26	26	28	25	27	28	27	28	28	28	26	28	27	28	28	28	29	28	31	37	38	38	38	40	40	44	44	0	1	2	3	4	5	6	6	6	6	10	7	11	11	11	12	11	31	12	11	14	14	15	15	16	17	17	31	14	16	12	20	23	12	16	31	19	20	24	25	25	28	32	32	24	61	33	33	41	44	29	34	34	35	37	39	39	40	41	42	28	32	34	36	55	43	45	61	48	41	50	37	59	61	51	55	56	59	61	73	59	73	62	72	73	74	77	79	63	66	59	79	84	84	85	66	77	82	98	98	100	99	0	101	98	104	0	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	2	1	1	2	2	1	1	1	1	1	1	2	1	3	1	2	1	1	3	2	2	2	2	2	1	1	1	1	1	2	1	1	1	2	1	1	1	2	2	2	1	1	1	1	1	2	2	2	1	2	2	1	1	1	2	1	2	1	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1	1	2	1	2	7	1	5	1	1	7	1	1
4500	-1031.392930622736685	-1029.584875657701332	-1.808054965035346	0.000016052108753	0.000029830444834	1.858350531636090	0.697066053473183	1	3	4	8	9	11	13	14	13	13	15	16	17	16	18	18	18	20	18	19	18	19	20	19	20	19	21	20	21	20	19	20	22	20	20	22	21	23	22	21	21	22	21	23	23	23	25	24	24	24	22	24	23	24	23	24	24	23	23	24	22	23	26	25	24	25	25	25	25	25	25	25	24	24	25	24	25	25	24	26	26	27	27	26	26	27	26	28	27	28	28	26	28	28	27	28	29	29	33	36	38	38	39	40	41	43	42	0	1	2	3	4	5	6	9	6	6	10	7	11	11	11	12	11	31	12	13	14	14	15	15	16	13	17	31	14	16	12	20	23	12	16	18	19	20	24	25	25	28	20	43	24	61	33	33	41	44	29	34	34	35	37	39	39	40	25	42	28	32	34	36	37	32	45	46	48	49	50	37	59	61	29	55	56	59	61	73	73	73	32	72	73	74	77	92	63	66	73	79	84	84	85	66	77	82	98	98	100	98	0	101	101	104	0	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	2	1	2	1	1	1	2	1	2	1	2	2	1	2	2	2	1	1	1	1	1	1	2	1	2	1	2	1	1	2	2	2	1	1	1	1	1	1	2	2	3	2	2	3	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1	1	2	2	2	1	2	1	1	3	1	2	6	1	3	1	1	3	2	1
