step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98
1	-1213.022377766563523	-1219.877865717522809	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.830293832278644	1	0	1	2	2	4	3	5	4	4	5	7	6	7	7	6	7	7	6	7	7	8	9	8	8	8	10	10	8	9	8	10	10	9	9	10	10	11	11	13	10	11	10	11	12	12	12	13	12	13	12	12	13	13	12	14	14	14	14	15	14	15	15	16	15	17	17	16	17	16	16	16	17	19	18	17	19	18	18	20	19	18	19	21	20	19	20	21	23	22	24	22	23	23	24	24	23	24	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	3	2	2	3	4	3	4	4	3	4	4	3	4	4	4	5	4	4	4	5	5	4	5	4	5	5	5	5	5	5	6	6	7	5	6	5	6	6	6	6	7	6	7	6	6	7	7	6	7	7	7	7	8	7	8	8	8	8	9	9	8	9	8	8	8	9	10	9	9	10	9	9	10	10	9	10	11	10	10	10	11	12	11	12	11	12	12	12	12	12	12
500	-674.932556442259056	-681.788044393218456	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.278921327961583	2	1	2	2	2	5	4	5	4	4	5	5	6	8	8	7	7	7	5	6	7	8	9	8	5	8	10	9	8	9	9	10	10	10	8	11	10	10	12	13	11	12	9	11	13	12	11	12	12	12	12	12	14	14	12	14	14	13	13	14	14	15	16	15	16	16	17	16	16	15	16	16	18	19	19	17	20	18	19	21	20	18	19	22	20	19	19	22	23	23	24	22	22	22	25	24	23	24	2	0	2	2	2	2	2	2	5	3	2	2	8	16	8	2	25	25	2	2	2	2	5	2	2	19	22	2	2	2	35	2	1	20	9	16	19	17	28	2	12	24	2	2	34	2	31	29	2	35	2	17	2	48	26	2	40	22	31	2	2	11	2	2	2	57	2	60	56	48	2	2	22	55	40	55	2	2	2	67	2	2	2	33	60	2	61	2	2	65	61	2	2	60	52	76	2	2	1	1	1	1	1	2	1	2	1	1	3	2	1	1	1	2	2	1	3	3	2	3	3	3	2	3	1	4	3	4	1	5	4	3	2	2	2	2	1	7	4	2	4	5	1	7	2	2	4	2	6	2	7	1	2	7	1	2	2	8	5	4	9	5	10	1	9	1	1	2	8	8	6	5	4	3	10	8	8	2	10	8	7	4	2	8	3	10	10	4	5	11	12	6	7	4	12	12
1000	-693.488617007084031	-700.344104958043431	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.260816753399905	2	1	2	3	2	4	4	4	3	4	5	7	6	7	7	6	7	6	6	7	6	7	8	8	7	8	10	11	8	8	8	11	10	9	10	10	9	10	12	13	10	11	11	12	12	13	13	13	12	14	13	13	13	13	12	15	15	14	15	16	15	14	15	16	12	18	18	16	16	17	16	15	17	19	18	17	19	17	18	19	16	19	19	20	21	19	20	22	24	22	23	22	23	24	24	24	23	24	2	0	2	2	2	2	9	2	2	3	9	8	4	5	11	2	2	7	2	2	2	2	2	19	9	2	17	23	14	9	19	2	9	14	37	16	9	2	21	41	31	30	16	2	3	12	14	24	41	46	17	27	31	24	37	25	13	38	53	19	2	44	2	38	9	54	14	14	63	55	2	2	22	55	53	4	2	2	2	76	55	2	2	80	63	2	81	2	2	79	33	2	2	2	44	70	84	81	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	2	1	2	3	2	3	4	2	1	3	1	2	1	3	1	4	4	1	1	2	4	4	5	2	2	2	3	4	5	5	2	3	1	1	5	2	3	3	2	7	4	3	1	6	7	1	8	4	5	2	9	3	1	3	7	6	7	5	2	7	11	9	8	1	4	8	9	1	4	9	2	8	11	2	6	12	12	10	7	4	1	7
1500	-796.156297422670718	-803.011785373630119	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.345712446386132	2	1	2	3	3	3	3	5	5	5	6	8	6	8	8	6	5	6	6	8	8	7	8	8	9	8	9	10	9	10	8	10	8	9	10	10	10	10	11	14	11	10	9	12	13	13	12	13	13	14	12	13	13	10	11	14	15	13	15	15	15	16	13	15	15	18	17	14	17	17	15	16	17	20	18	17	20	19	18	21	19	17	19	21	21	19	20	21	23	22	25	20	22	24	23	24	22	24	2	0	2	2	2	2	2	2	2	6	6	2	3	22	8	2	2	7	2	1	9	2	5	10	9	19	2	10	26	2	2	10	9	4	9	2	26	17	2	41	9	21	2	22	32	13	35	19	31	58	10	22	2	29	2	2	44	30	31	2	2	24	22	47	50	40	56	46	18	57	2	58	39	81	67	1	55	56	61	12	69	2	2	76	55	2	61	31	2	54	88	44	2	2	40	92	77	2	1	1	1	1	1	1	1	2	1	2	2	4	1	1	2	3	2	2	3	3	1	4	2	1	2	1	3	2	1	5	5	4	1	2	4	4	1	2	6	2	3	1	3	4	2	4	1	3	2	1	5	3	6	1	6	6	2	2	3	6	6	3	2	1	1	2	1	1	5	1	7	2	3	1	1	8	6	2	2	7	1	8	11	3	6	9	4	8	10	3	2	4	7	11	3	2	2	11
2000	-595.733969870687361	-602.589457821646761	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.389343538918966	1	0	2	3	2	5	2	5	4	4	6	7	5	8	7	7	7	7	6	6	7	8	10	6	9	7	10	11	9	9	9	10	10	9	8	10	10	11	11	13	10	9	10	12	12	12	13	13	11	13	12	11	13	13	11	14	13	12	14	14	13	15	13	16	15	17	17	16	17	16	14	16	16	19	19	17	18	16	18	19	19	19	20	21	20	20	20	21	23	22	24	22	22	23	25	23	22	24	2	0	2	3	2	2	2	9	1	3	2	13	4	5	24	2	2	6	2	4	2	21	5	2	2	2	17	35	19	22	16	2	2	9	2	24	26	17	14	31	2	3	35	26	38	32	23	25	41	49	38	17	31	55	35	31	39	21	40	29	2	29	19	58	61	56	49	28	50	59	21	61	65	63	67	58	63	2	72	48	2	61	2	53	2	81	63	56	71	82	78	77	2	2	88	86	81	63	1	1	1	1	1	2	1	1	2	1	2	1	1	3	1	4	2	1	2	2	3	1	3	4	4	3	2	2	2	1	1	4	4	3	5	2	1	2	1	2	4	3	1	2	1	1	2	2	1	1	1	2	2	1	2	3	1	2	1	2	6	3	3	1	1	2	4	4	2	1	2	2	1	3	2	2	3	6	1	4	7	5	11	3	8	1	4	3	3	1	3	3	9	10	2	2	2	5
2500	-738.770545865759800	-745.626033816719200	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.403372555866217	2	1	2	2	2	3	3	4	5	5	6	7	6	6	6	5	7	7	5	7	6	8	8	7	8	9	10	9	8	10	9	9	10	9	10	10	10	12	11	12	8	12	9	11	12	12	11	14	13	12	11	13	12	14	12	15	15	12	14	15	14	15	14	16	15	17	17	17	17	17	16	16	17	19	17	18	18	19	18	19	16	18	19	20	21	18	20	20	23	22	24	22	24	23	22	24	23	24	2	0	2	2	2	2	2	1	1	8	2	9	6	5	9	2	21	16	2	1	2	16	2	2	10	25	17	2	16	22	2	8	4	24	5	15	23	27	35	31	2	34	2	2	11	20	35	43	31	21	2	47	41	39	13	53	47	14	53	19	2	59	2	61	61	56	41	56	65	60	2	58	71	77	56	54	55	31	72	70	2	58	58	70	62	60	63	75	83	71	38	74	2	29	83	92	87	86	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	3	1	1	2	2	2	2	3	2	2	1	2	3	2	2	4	3	4	1	5	2	1	1	1	2	4	2	3	4	3	3	1	3	2	3	5	1	2	1	4	1	2	3	1	5	7	1	6	1	1	1	5	1	1	1	8	4	1	1	1	3	4	6	2	2	8	3	5	2	3	2	4	2	2	3	6	3	9	12	1	1	3	3
3000	-583.153212494184686	-590.008700445144086	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.392877667906079	2	1	2	2	2	4	3	5	3	5	5	8	6	8	8	7	7	7	7	6	5	8	7	8	8	8	11	8	8	9	9	10	10	10	8	10	11	10	11	13	10	11	9	12	13	12	12	14	12	14	13	12	13	14	11	15	15	14	15	16	13	15	15	17	16	16	17	16	17	15	16	16	16	17	18	18	18	19	18	21	19	17	19	21	19	19	21	21	24	23	23	21	23	24	24	25	23	24	2	0	2	2	2	2	2	2	3	5	2	2	6	23	13	2	2	7	2	8	2	2	2	2	2	2	2	2	19	21	2	20	6	19	5	2	24	22	28	49	2	32	2	36	29	33	41	24	31	44	17	2	49	52	2	49	33	17	53	55	21	45	26	22	58	56	53	58	54	42	2	61	61	62	59	61	19	31	72	83	29	72	73	79	19	74	63	2	80	83	60	85	68	2	84	77	81	86	1	1	1	1	1	2	2	2	1	1	3	4	1	1	1	3	4	2	2	1	2	3	3	3	4	2	5	2	1	1	4	3	3	2	3	5	2	1	2	1	5	1	5	1	2	1	1	3	2	1	3	3	1	1	3	2	2	3	2	2	4	1	3	3	2	1	2	1	2	2	8	1	1	1	1	3	4	5	1	1	6	1	2	2	5	1	4	7	2	2	4	1	2	12	1	2	2	3
3500	-578.011777455075844	-584.867265406035244	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.450299483647682	2	1	2	2	2	4	3	6	5	5	5	6	4	8	7	5	7	7	6	7	8	7	9	8	9	9	10	10	7	8	9	8	11	9	10	10	10	11	11	12	11	11	10	11	12	12	13	13	11	14	12	13	13	13	13	13	14	14	13	14	13	15	16	15	13	16	17	17	17	16	16	16	16	19	17	17	19	19	19	20	20	18	20	20	20	19	19	21	23	22	25	22	23	23	24	24	23	24	2	0	2	2	2	2	2	2	13	5	2	4	1	5	5	2	2	6	16	2	2	2	10	2	24	14	2	14	2	2	2	8	12	11	2	16	14	21	28	49	2	11	2	2	49	32	39	44	31	3	17	2	40	38	29	41	28	21	31	2	2	39	55	2	30	40	66	28	64	60	2	61	61	60	31	27	55	2	69	64	2	61	71	36	77	55	2	56	58	73	85	87	69	2	71	82	86	97	1	1	1	1	1	1	1	2	1	2	2	2	1	3	3	3	2	1	1	4	3	3	1	4	1	1	5	1	3	4	3	1	3	2	4	2	1	1	1	1	5	3	4	4	1	2	1	1	1	7	4	4	1	1	3	1	2	3	2	5	5	2	2	7	3	1	1	3	1	1	8	1	2	2	4	2	3	7	2	3	7	2	3	3	1	3	5	5	4	2	2	2	3	13	5	3	2	1
4000	-736.802620829623606	-743.658108780583007	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.391224221706388	2	1	2	3	3	3	3	5	4	5	5	7	7	7	7	6	7	7	7	6	7	9	9	9	8	8	11	10	8	10	8	9	10	10	9	9	11	11	11	14	7	11	9	11	10	12	10	14	12	13	10	12	11	12	12	15	13	14	13	16	14	15	16	16	15	17	17	16	17	16	13	17	17	20	17	18	18	18	18	19	17	18	19	21	20	19	20	22	24	22	25	22	22	22	23	24	23	24	2	0	2	3	2	2	2	4	6	7	2	2	16	5	6	2	2	9	5	2	2	5	9	13	2	2	2	2	2	2	2	12	20	11	2	2	43	34	18	41	2	29	12	26	13	20	31	25	53	43	35	17	2	32	29	41	13	35	31	55	45	28	47	21	2	56	56	45	57	57	2	57	65	63	56	63	55	59	58	77	36	58	71	83	60	63	57	67	71	79	93	60	71	2	79	83	48	97	1	1	1	1	1	1	1	1	1	1	2	3	1	3	3	2	3	2	2	3	2	2	3	1	3	3	4	4	3	5	2	1	3	3	4	4	1	1	2	3	2	1	1	2	1	3	1	3	1	1	1	2	4	2	2	5	3	2	3	3	2	3	4	5	7	2	2	2	2	1	7	3	1	2	1	1	3	2	2	1	4	2	3	1	2	2	4	2	7	2	1	2	6	12	3	2	3	1
4500	-577.357653339607737	-584.213141290567137	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.413001175408720	2	1	2	3	3	3	3	5	5	4	3	7	6	4	7	6	8	8	7	8	7	9	10	9	6	8	10	10	8	9	9	10	10	10	9	8	10	10	12	13	9	10	10	10	13	12	11	13	12	13	12	13	12	13	12	14	15	14	15	13	14	16	15	16	16	17	17	15	16	17	17	16	15	19	16	16	19	19	18	21	18	19	19	21	20	20	20	22	23	23	24	23	23	24	25	23	23	24	2	0	2	2	2	2	2	2	6	1	2	3	4	2	10	2	2	16	2	2	2	21	35	25	2	25	2	2	19	2	2	12	2	14	21	16	2	17	28	53	2	14	2	25	34	32	33	37	31	30	2	17	37	33	34	40	46	17	45	24	21	47	60	17	2	2	75	60	57	30	2	58	2	81	56	68	37	56	72	67	28	79	73	59	81	77	19	67	58	83	79	63	2	2	75	53	45	77	1	1	1	1	1	1	1	2	1	1	1	3	1	2	1	2	3	1	3	3	3	1	1	3	2	1	5	4	1	3	4	1	5	3	1	1	5	1	1	1	3	3	3	2	1	1	1	2	2	2	6	4	1	2	1	1	2	3	2	2	3	3	1	3	6	6	1	1	1	3	9	1	5	1	1	1	5	3	1	1	4	1	2	2	1	1	5	4	3	2	3	3	8	12	4	5	5	3
