step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86
1	-623.161951770341716	-632.212795150793113	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.811682506384732	-1	0	5	2	2	4	2	4	2	2	4	6	5	4	3	3	3	4	4	4	5	7	5	5	6	8	5	7	5	9	8	7	6	7	6	6	7	6	7	9	7	8	17	8	9	10	7	11	10	9	9	8	7	8	10	9	9	8	9	8	9	8	11	11	11	9	9	14	12	11	13	12	11	12	12	13	15	17	18	18	16	17	16	21	21	23	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-273.727620416462457	-282.778463796913798	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.951501397796739	-1	0	5	1	2	4	3	5	3	2	4	7	5	4	2	2	4	5	3	4	5	8	6	3	3	7	6	8	5	7	9	4	7	7	7	6	8	6	7	10	4	6	16	9	9	11	7	9	11	9	9	4	7	8	8	8	7	9	6	8	9	7	10	12	10	9	10	10	10	6	14	11	11	13	8	12	16	18	15	17	13	17	16	21	20	23	0	1	7	1	2	5	5	25	15	2	9	3	25	25	2	2	24	52	16	10	24	42	3	10	16	42	25	5	7	25	27	24	41	38	59	6	8	13	42	37	16	32	71	30	56	14	9	55	75	57	42	1	13	8	57	29	5	53	6	53	60	18	45	69	60	35	33	75	37	52	49	55	22	68	6	73	76	77	37	48	34	83	57	80	78	82	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-276.430169184617796	-285.481012565069136	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.982790704123633	-3	1	3	0	1	5	-1	5	1	2	4	7	6	4	3	3	3	5	3	5	5	7	3	3	6	9	5	6	6	8	5	6	6	8	4	6	7	7	6	9	7	6	16	9	7	10	8	11	9	10	9	7	8	8	10	7	10	8	8	8	9	9	10	9	12	10	10	13	12	12	12	13	7	13	11	10	15	10	15	14	17	18	13	13	12	22	0	4	9	7	4	24	1	15	7	5	23	3	24	3	9	5	5	19	9	14	16	36	10	10	35	42	9	27	17	28	5	21	11	56	5	23	8	21	19	73	2	31	84	45	27	49	8	29	56	47	37	8	17	73	60	3	47	36	12	28	59	73	44	15	67	22	44	57	55	26	76	75	27	64	66	38	84	58	51	50	77	51	85	85	57	43	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-258.615312389818826	-267.666155770270166	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992954698710044	-2	0	4	1	3	5	-1	4	3	2	3	6	2	4	4	3	3	5	2	4	5	5	5	4	7	9	5	7	5	9	5	7	7	5	6	6	6	4	7	7	6	7	15	9	9	11	8	12	9	4	10	7	7	8	9	8	9	8	8	6	9	9	11	11	10	7	6	8	10	12	14	12	12	12	11	14	11	15	11	17	12	17	16	18	19	22	0	7	5	7	19	38	1	16	10	2	4	11	4	13	19	4	10	9	2	19	9	3	2	19	6	25	3	8	9	53	4	18	35	4	15	34	15	10	29	8	8	22	57	59	56	51	12	63	40	16	45	31	6	39	37	66	40	39	53	8	42	42	25	58	30	8	50	52	49	64	48	75	51	49	26	72	24	70	51	43	26	78	76	78	80	80	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-260.831005933360814	-269.881849313812154	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992237119508269	-1	1	6	2	3	3	2	5	3	1	5	7	6	3	2	4	3	5	3	4	5	7	6	6	5	8	4	7	6	7	8	7	6	5	5	5	8	5	5	10	4	7	15	4	9	10	8	11	8	9	7	8	6	7	9	9	10	9	7	8	9	7	11	12	12	10	9	14	10	11	13	10	11	12	12	12	15	16	17	18	16	16	16	17	20	20	0	1	16	2	10	2	1	19	7	1	5	24	11	4	10	19	7	19	2	17	15	23	1	20	16	41	4	35	4	11	12	24	41	9	5	16	28	17	44	42	4	53	71	17	47	42	21	50	42	49	6	53	41	24	26	26	18	21	35	38	54	16	2	53	57	58	52	37	36	57	76	26	26	22	67	66	64	70	81	63	68	76	68	77	78	79	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-261.844093103381681	-270.894936483833021	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989184805516605	-1	0	4	3	1	5	3	5	2	2	5	7	6	5	3	3	2	4	4	3	2	6	4	4	6	7	6	5	5	9	7	7	6	7	7	7	8	6	6	8	6	8	17	8	9	10	7	8	10	10	8	9	6	9	11	7	9	8	7	8	10	8	12	10	9	9	9	12	13	8	14	9	11	11	12	11	14	17	16	14	15	18	13	22	18	22	0	1	4	10	1	24	5	5	2	1	20	39	9	10	5	9	1	4	9	21	2	3	10	17	6	53	24	4	17	59	11	16	23	28	23	38	6	16	23	35	23	8	71	11	12	39	18	18	34	40	53	39	14	62	35	29	58	13	33	18	66	59	72	56	56	70	48	60	57	38	55	51	54	59	61	45	76	80	25	49	68	74	66	82	80	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-259.023036894515201	-268.073880274966541	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992783051095690	-1	0	2	3	2	3	0	3	3	3	5	6	5	5	1	4	3	4	4	5	5	7	2	5	6	8	6	8	5	8	8	7	6	7	6	4	8	7	5	9	7	9	15	7	7	8	2	11	11	9	9	7	7	8	9	8	10	9	9	4	8	9	11	11	7	8	10	13	10	11	13	12	11	10	11	13	15	16	14	16	15	18	15	20	19	23	0	1	1	5	2	47	1	47	15	2	16	36	3	6	1	3	3	2	5	5	60	14	2	8	39	65	10	65	7	33	32	6	21	21	18	17	13	14	10	46	33	31	62	19	16	35	15	55	38	54	53	12	24	27	34	36	28	12	46	8	35	65	67	11	20	41	27	67	55	50	11	75	50	31	50	67	76	77	55	79	76	80	73	70	82	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-229.553410802059233	-238.604254182510573	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991180193058499	-1	0	6	1	3	4	2	5	2	3	3	6	5	5	3	1	4	4	4	3	5	6	6	5	6	7	3	7	4	10	8	6	5	8	6	4	8	6	7	8	8	8	16	8	8	10	8	11	9	8	10	9	7	4	8	5	9	8	10	6	10	7	10	11	11	9	9	14	13	12	13	12	10	13	12	14	12	16	19	17	17	16	16	21	22	23	0	1	33	2	16	9	1	7	2	4	7	24	27	15	16	1	7	9	15	4	11	21	8	27	11	33	16	32	7	41	38	36	10	25	36	5	26	54	23	23	3	22	69	3	62	34	60	58	26	21	28	62	35	11	32	11	35	6	40	17	41	12	50	37	57	33	38	74	59	52	39	61	52	46	59	51	63	76	80	83	43	61	71	79	84	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-249.423155291408705	-258.473998671860045	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997710010189031	-1	0	5	2	2	3	2	5	3	3	1	5	5	4	4	1	3	2	5	4	5	5	6	6	6	9	6	7	5	9	8	8	6	8	3	7	7	4	7	7	7	9	18	8	8	11	8	10	10	9	7	7	7	7	9	10	9	8	9	6	9	8	11	5	12	10	10	14	11	11	13	12	9	13	8	14	14	17	15	16	16	18	13	20	21	17	0	1	1	16	16	11	11	15	1	5	1	5	17	7	17	1	11	2	35	6	10	18	21	21	6	36	6	22	35	62	39	19	6	6	16	6	19	4	64	5	21	40	78	54	25	75	39	75	34	39	27	13	8	3	54	26	75	41	39	38	39	13	62	6	42	28	57	71	40	51	69	49	40	67	28	83	74	70	72	68	67	81	30	82	84	81	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-247.484457834143655	-256.535301214594995	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992798375812754	-1	0	4	2	3	4	2	5	2	1	4	5	5	5	3	3	3	4	4	3	6	6	6	5	6	8	5	8	5	8	8	7	7	7	7	6	6	7	6	10	5	9	17	7	9	10	6	9	11	9	9	8	7	7	10	10	10	8	8	7	10	8	8	7	7	7	5	14	11	12	10	13	12	12	13	13	11	16	18	18	14	16	13	22	20	22	0	1	7	2	4	9	1	1	2	1	15	5	3	11	9	4	10	9	17	7	20	16	3	3	19	25	20	44	11	44	39	29	18	23	8	27	27	41	6	42	16	32	78	39	37	64	19	64	51	31	31	60	14	25	54	44	44	47	6	22	63	44	53	21	19	37	4	83	46	77	45	9	40	50	57	45	46	81	43	78	83	72	46	82	80	82	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
