step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	Tinf_115	Tinf_116	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	alpha_115	alpha_116	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114	kappa_115	kappa_116
1	-20557.459857456229656	-20555.997775371710304	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.342314455529527	0	2	2	4	3	4	5	6	6	9	10	10	11	12	15	14	17	17	17	18	18	20	20	19	20	21	22	21	22	23	22	22	23	22	24	23	23	24	24	23	26	24	25	25	26	26	26	28	28	26	26	27	26	27	28	29	29	27	28	29	31	29	28	28	30	29	30	29	30	30	31	31	34	32	31	32	32	32	31	32	34	33	34	33	32	34	34	36	34	36	36	36	35	36	36	36	37	38	36	38	37	39	38	38	38	40	40	41	42	42	43	45	45	44	47	48	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	3	5	5	5	6	6	8	7	9	9	9	9	9	10	10	10	10	11	11	11	11	12	11	11	12	11	12	12	12	12	12	12	13	12	13	13	13	13	13	14	14	13	13	14	13	14	14	15	15	14	14	15	16	15	14	14	15	15	15	15	15	15	16	16	17	16	16	16	16	16	16	16	17	17	17	17	16	17	17	18	17	18	18	18	18	18	18	18	19	19	18	19	19	20	19	19	19	20	20	21	21	21	22	23	23	22	24	24
500	-4341.400707221385346	-4338.063395228976333	-3.337311992409056	0.000010047715017	0.000068724222117	6.839786160662293	0.129373281549867	-2	1	1	4	3	4	4	6	7	7	11	9	11	10	13	14	15	17	14	17	19	20	20	16	18	18	22	20	21	23	23	22	22	19	25	23	24	24	24	23	26	24	26	26	27	27	27	29	29	27	26	28	25	26	28	30	30	28	29	30	32	29	28	28	31	30	30	30	31	30	32	32	35	32	32	33	32	33	32	33	35	34	35	34	33	35	35	36	35	37	37	37	36	37	37	37	38	38	37	39	38	39	39	39	39	41	41	42	42	42	44	46	46	45	46	48	0	1	0	2	3	3	1	4	3	8	10	10	10	12	12	14	15	17	12	17	17	17	19	17	19	19	22	24	24	29	25	19	34	12	20	24	19	30	25	34	19	24	24	38	19	19	25	26	19	24	34	24	40	19	26	34	19	19	19	19	19	19	19	19	19	19	34	26	19	19	19	19	19	19	34	34	34	19	34	0	34	19	19	34	34	19	34	0	34	0	19	19	19	19	34	26	67	19	0	19	34	19	34	34	19	34	34	34	0	34	34	34	63	34	46	34	1	2	1	1	1	2	3	1	2	1	3	1	2	1	2	3	1	1	3	2	3	2	2	1	2	2	1	3	2	2	4	6	3	8	6	4	9	1	5	3	12	4	9	2	10	12	8	9	11	9	6	12	1	11	6	9	15	11	10	14	12	8	10	10	13	14	10	8	14	15	13	14	19	12	12	14	12	10	9	1	10	15	13	15	11	17	16	1	11	1	21	15	19	16	17	15	7	15	1	17	15	17	17	20	18	17	19	17	1	15	23	20	17	22	18	28
1000	-3989.933791339245090	-3986.320988563213632	-3.612802776031505	0.000010096556620	0.000081655228545	8.087433331550804	0.127742770842208	-2	1	0	4	4	4	5	7	6	9	11	11	11	12	14	14	15	17	14	19	18	21	17	16	18	18	23	21	19	21	22	19	21	19	25	24	23	23	21	20	26	25	26	25	27	25	27	25	29	27	26	28	27	28	29	29	29	26	29	30	30	30	25	28	31	30	30	29	30	30	29	32	35	32	31	33	33	33	32	32	34	33	35	33	32	35	35	37	34	37	37	36	36	37	37	37	38	38	36	39	38	39	39	39	38	41	41	42	42	43	44	46	46	44	47	49	0	1	0	1	3	3	1	4	6	8	10	10	10	12	12	14	15	17	12	17	17	20	19	12	23	19	22	24	24	29	25	19	40	26	27	28	19	30	25	26	19	36	29	38	32	19	39	40	26	30	39	24	26	32	63	33	34	26	39	34	39	32	23	26	26	26	26	26	39	34	33	48	19	63	40	26	34	46	48	0	48	26	56	48	26	26	26	0	63	0	26	34	26	34	63	34	71	63	0	63	26	33	26	26	26	23	19	63	0	63	32	46	63	23	46	9	1	1	1	2	2	2	3	2	2	1	1	1	1	1	1	1	1	1	2	2	2	1	2	2	1	2	2	2	1	2	2	4	1	1	1	2	4	1	3	1	10	1	5	1	5	11	4	2	6	4	3	10	4	8	3	7	10	6	6	8	8	6	4	6	12	11	9	7	8	7	5	5	19	7	6	9	9	5	4	1	7	10	5	8	11	12	15	1	5	1	19	13	15	15	12	13	7	11	1	14	13	14	15	17	14	16	16	15	1	13	23	16	15	22	16	26
1500	-3276.621967065061654	-3273.766941453547133	-2.855025611514741	0.000010194245974	0.000050410144081	4.944960540435535	0.183895802744084	0	3	1	3	3	5	4	6	6	7	10	8	11	12	14	15	16	18	14	18	17	20	20	18	19	18	22	20	22	21	22	20	23	23	25	23	23	24	22	20	24	25	25	26	26	23	26	25	28	26	26	28	25	27	28	28	29	27	29	29	32	30	25	29	31	28	27	30	31	31	29	32	35	33	31	32	32	32	30	33	35	33	34	34	33	35	34	37	35	36	36	37	36	37	37	36	37	39	37	38	37	40	39	39	38	41	41	42	42	43	44	45	45	45	47	48	0	1	0	1	3	3	1	4	3	8	10	10	10	12	10	14	15	17	12	17	17	20	19	17	19	19	22	24	24	24	25	19	40	26	27	28	31	30	32	26	19	36	28	38	32	19	39	40	26	38	39	28	26	39	63	48	40	26	47	26	51	32	46	46	19	26	46	26	39	63	56	67	19	63	67	26	63	63	67	0	72	58	71	67	26	26	19	0	63	0	40	26	26	63	63	70	71	63	0	63	41	48	63	66	46	63	46	63	0	63	63	66	46	19	41	4	1	2	1	1	1	3	3	2	2	1	2	1	2	2	6	2	2	1	4	1	1	1	2	1	3	3	1	2	2	1	2	2	1	3	1	2	1	1	2	2	7	1	3	1	3	7	2	3	6	1	3	5	3	3	2	2	6	6	2	6	6	6	2	4	12	10	4	6	5	5	1	5	17	7	2	8	6	4	2	1	2	5	4	6	11	12	15	1	4	1	13	14	13	10	12	4	4	11	1	12	9	15	12	11	8	16	15	14	1	12	15	14	14	18	14	27
2000	-2779.275248306523281	-2776.444336390779881	-2.830911915743269	0.000010197417259	0.000049550690726	4.859141237953715	0.242189359791461	-1	2	1	4	3	4	6	7	5	8	10	10	12	12	14	15	15	18	14	18	18	20	20	20	18	18	21	21	22	23	22	21	23	20	24	23	23	24	23	20	27	24	25	26	25	24	25	29	27	26	25	27	24	27	28	30	28	27	28	29	32	29	25	28	30	29	27	29	30	30	30	32	34	31	30	32	33	31	31	32	35	34	35	33	29	31	35	36	34	36	37	36	36	37	37	35	38	39	36	39	35	40	39	39	38	41	40	42	40	43	44	46	46	45	48	49	0	1	0	2	3	3	2	4	6	8	10	10	10	12	12	14	15	17	12	17	17	20	19	21	19	19	22	24	24	24	25	19	40	26	27	28	31	30	32	26	26	36	36	38	32	34	32	33	34	38	39	42	26	47	63	48	40	26	54	49	51	54	46	49	25	26	40	26	59	63	67	67	26	63	67	58	63	70	67	0	72	68	71	71	26	26	40	0	86	0	26	26	53	70	63	74	84	85	0	63	85	67	85	85	85	63	53	85	0	70	74	74	85	70	73	8	1	2	1	2	1	2	3	2	1	1	1	1	2	1	3	1	1	2	2	2	2	1	3	1	2	2	1	1	1	2	2	4	2	1	2	1	1	1	1	2	3	1	1	1	3	2	2	4	4	1	2	2	3	2	2	1	4	6	1	1	5	1	1	1	7	6	3	6	1	5	2	4	16	6	2	3	5	1	2	1	2	5	4	3	8	8	13	1	2	1	12	12	11	4	7	2	4	9	1	11	3	13	9	6	6	15	10	10	1	9	12	11	11	14	12	33
2500	-2408.873049242982688	-2406.136194156422789	-2.736855086560049	0.000010253353210	0.000046468109586	4.531991499036593	0.293472767229852	-1	3	1	4	4	4	5	6	6	9	10	10	12	12	14	14	16	17	17	18	18	20	20	19	19	18	22	21	21	22	21	23	23	21	25	23	23	24	24	20	26	24	24	26	26	23	25	25	28	26	26	27	24	27	27	29	29	25	28	30	31	30	26	28	29	30	27	28	30	31	28	32	35	33	31	32	32	32	31	30	34	32	34	33	29	31	35	36	33	37	37	36	36	35	37	36	38	39	35	39	37	40	39	39	39	41	40	42	42	42	44	45	46	45	47	48	0	1	0	1	3	3	2	4	6	8	10	10	10	12	12	14	15	17	17	17	17	17	19	21	19	19	22	24	24	29	25	25	40	26	27	29	31	30	32	26	34	36	36	38	32	34	39	40	34	38	39	42	46	47	63	33	48	34	54	49	51	54	46	58	26	55	33	34	59	63	67	67	40	63	67	68	63	85	67	0	72	68	71	71	34	34	48	0	86	0	48	49	85	86	94	74	84	89	0	85	85	67	85	86	85	63	86	86	0	85	86	86	85	86	73	7	1	3	1	2	1	2	1	1	1	2	1	1	1	1	3	1	1	1	1	1	1	2	2	1	1	1	2	2	2	1	1	3	3	2	2	2	2	1	1	2	3	1	1	1	2	1	1	3	4	1	1	2	1	2	1	3	2	2	1	1	4	2	2	2	7	3	2	3	1	3	1	4	14	5	1	2	2	1	2	1	1	2	3	3	5	7	8	1	1	1	10	6	7	2	2	1	3	5	1	9	4	13	7	6	6	13	9	6	1	7	10	11	11	12	11	30
3000	-2340.501878684520307	-2337.614257786638518	-2.887620897881904	0.000010650796258	0.000053916996879	5.062250330450560	0.381604541689221	0	1	2	4	4	3	5	6	7	8	11	10	11	12	14	14	16	17	18	19	18	20	20	19	20	19	21	21	22	23	21	22	23	22	25	24	23	24	24	21	26	25	25	26	26	26	26	28	27	26	26	27	27	28	28	30	29	26	29	29	31	29	25	28	31	29	27	29	31	30	31	31	35	30	31	31	33	31	30	31	34	32	34	32	29	31	35	36	32	36	36	36	35	37	35	36	37	39	36	38	37	40	39	37	39	41	40	41	42	43	43	46	46	45	47	47	0	1	0	2	3	3	1	4	3	8	10	10	10	12	12	14	15	17	17	17	17	17	19	17	19	19	22	24	24	24	25	25	40	26	27	29	31	30	32	26	34	36	36	38	32	34	39	40	26	38	39	42	26	47	63	33	48	34	54	49	51	54	34	58	49	63	33	49	59	63	67	67	40	63	67	68	70	85	67	0	72	68	71	71	63	63	67	0	74	0	67	82	85	86	74	89	87	89	0	85	85	67	85	95	93	85	86	86	0	93	86	86	93	86	49	1	1	1	1	1	1	1	3	1	3	1	1	1	2	1	2	1	1	1	1	2	2	2	2	3	1	1	1	1	2	2	1	1	1	2	2	2	1	1	2	1	2	1	1	1	2	2	1	2	4	1	1	1	4	2	2	4	1	1	1	1	4	1	1	1	2	2	2	1	1	5	2	3	14	3	2	1	2	1	2	1	2	2	2	1	2	4	7	1	1	1	8	2	6	3	3	2	1	5	1	6	5	13	7	2	4	8	8	4	1	4	9	10	8	12	11	27
3500	-2104.428340040760759	-2101.535634169317746	-2.892705871443046	0.000011547331860	0.000058668321846	5.080682061845868	0.482656338668246	0	3	2	4	4	5	5	7	5	9	10	10	11	12	15	14	16	18	17	18	18	20	20	19	20	20	23	21	22	22	22	23	24	22	24	23	24	24	24	22	27	24	24	26	27	24	26	27	28	27	26	26	27	27	29	29	29	24	29	30	31	29	28	28	30	30	27	29	31	30	31	31	35	32	32	33	33	32	32	32	35	33	34	33	29	34	33	36	34	37	37	35	34	35	35	36	37	38	36	38	36	40	39	37	37	41	41	41	43	42	44	46	44	45	46	49	0	1	0	2	3	3	1	4	3	8	10	10	10	12	12	14	15	17	15	17	17	17	19	21	19	19	22	24	24	24	25	25	40	26	27	28	31	30	32	26	26	36	36	38	32	34	39	40	58	38	39	42	46	47	63	48	48	26	54	49	51	54	46	58	49	55	33	58	59	63	67	67	26	63	67	68	70	85	72	0	72	68	84	71	63	74	71	0	74	0	67	82	85	74	74	89	87	89	0	93	85	67	85	95	93	93	104	95	0	93	95	104	93	74	2	4	1	2	1	1	1	2	3	2	1	1	1	1	2	1	2	1	1	1	1	1	2	2	2	1	2	2	2	1	2	2	2	2	1	1	1	1	1	1	1	1	4	1	1	1	2	1	1	3	3	2	1	1	2	1	1	2	2	2	1	1	2	1	2	2	1	1	2	3	1	1	2	3	11	3	2	2	2	2	1	1	2	2	1	2	1	1	1	1	1	1	5	1	4	2	3	2	2	3	1	3	4	9	6	2	2	6	4	4	1	4	8	7	4	8	14	25
4000	-1861.986929393776791	-1859.564261255008432	-2.422668138768338	0.000014202368491	0.000050024445465	3.522260776107804	0.439106549022610	-1	2	2	4	4	4	6	7	6	8	10	10	10	12	14	15	16	18	18	19	18	20	20	19	19	19	22	21	22	23	22	22	22	22	23	22	24	24	24	21	25	24	23	26	26	25	26	26	27	26	27	26	26	27	28	29	29	26	28	30	30	28	27	28	29	29	28	28	31	30	31	32	35	30	31	32	33	33	32	33	34	33	35	33	30	34	35	35	33	35	36	35	34	37	35	34	37	38	36	38	38	40	37	38	37	41	40	41	40	43	44	45	45	45	48	47	0	1	0	1	3	3	2	4	6	8	10	10	10	12	12	14	15	17	17	17	17	20	19	21	19	19	22	24	24	24	25	25	40	26	27	28	31	30	32	26	26	36	36	38	32	34	39	40	34	38	39	42	46	47	63	48	48	26	54	58	51	54	34	58	58	55	48	58	59	63	67	67	48	63	67	68	70	85	67	0	72	68	71	71	63	74	84	0	74	0	67	82	85	86	74	89	87	89	0	93	85	81	85	95	93	93	104	107	0	106	95	108	103	104	4	7	1	1	1	2	1	1	2	2	1	1	1	1	2	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	3	1	1	1	2	2	2	4	3	1	2	1	1	1	1	1	2	3	1	3	1	1	3	1	1	1	1	1	2	2	2	2	8	2	3	2	2	2	1	1	2	3	2	1	2	2	2	1	2	1	5	1	3	2	2	1	1	2	1	2	4	6	4	2	2	5	1	1	1	1	6	3	5	4	19	21
4500	-1796.644150675981791	-1794.418764064660991	-2.225386611320900	0.000018490505305	0.000054513711928	2.948200226547147	0.540660999527280	1	3	2	4	4	5	5	6	7	9	11	11	12	11	14	14	16	17	17	18	18	20	20	19	20	21	23	21	22	23	22	22	24	23	25	22	23	24	24	23	27	24	25	25	26	25	26	27	29	26	26	28	27	27	28	29	29	27	29	28	31	29	27	29	31	29	29	30	30	31	32	31	35	31	32	32	32	33	32	31	35	33	35	34	32	34	35	35	33	35	36	36	34	37	36	34	38	39	37	36	36	39	39	38	38	40	40	42	42	42	44	46	46	45	47	48	0	1	0	2	3	3	2	4	6	8	10	10	10	10	12	14	15	17	17	17	17	17	19	21	19	19	22	24	24	29	25	25	26	26	27	28	31	30	32	26	34	36	36	38	32	26	39	40	58	38	39	42	46	47	63	48	48	46	54	26	51	54	46	58	49	55	48	58	59	63	67	67	48	63	67	68	70	85	67	0	72	68	71	71	70	74	71	0	74	0	81	82	85	86	86	89	87	89	0	93	85	81	100	95	100	93	104	107	0	106	104	108	110	111	7	7	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	1	1	1	1	2	2	1	2	3	2	1	2	1	2	2	2	2	1	1	1	1	1	1	2	2	2	1	1	2	1	2	2	2	1	3	1	1	1	1	2	1	2	3	3	1	1	1	1	1	1	2	1	2	3	1	8	2	1	2	1	1	2	1	3	1	1	1	1	2	2	1	1	1	1	2	1	2	1	1	2	3	1	1	2	2	3	1	1	4	1	1	1	1	5	2	2	1	17	21
