step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97
1	-11577.255561636759012	-11575.793479552239660	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.764865681614413	2	6	5	7	7	8	9	10	8	10	9	10	10	11	10	12	12	12	11	13	13	14	14	15	14	14	14	14	15	14	16	17	15	15	16	16	16	16	15	16	17	16	18	17	17	17	17	17	18	18	18	18	18	18	19	19	19	18	18	20	21	21	20	21	21	22	21	22	23	24	23	26	23	26	24	24	24	25	25	25	26	26	26	25	25	27	27	27	28	29	27	29	29	30	29	32	32	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	4	4	3	4	4	4	4	5	4	5	5	5	5	6	6	6	6	7	6	6	6	6	7	6	7	8	7	7	7	7	7	7	7	7	8	7	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	8	8	9	10	10	9	10	10	10	10	10	11	11	11	12	11	12	11	11	11	12	12	12	12	12	12	12	12	13	13	13	13	14	13	14	14	14	14	15	15
500	-2942.225231409885509	-2938.944418851541286	-3.280812558344171	0.000009994305641	0.000065956325104	6.599390440319928	0.208025972067729	2	7	4	5	6	8	7	9	7	10	10	9	11	10	7	11	11	12	11	13	14	11	11	14	14	14	15	14	16	15	16	17	15	13	16	16	14	17	12	16	18	17	18	17	15	16	17	18	19	17	18	18	18	19	18	18	16	18	19	21	22	22	19	22	20	22	22	23	24	24	24	26	24	27	25	25	25	25	26	25	27	27	27	25	26	28	28	28	29	30	28	30	30	31	29	32	33	0	3	1	3	0	4	4	4	4	4	8	9	0	9	4	7	9	11	12	12	14	15	12	13	7	17	19	8	17	18	21	33	22	39	23	23	16	26	22	21	22	22	34	34	22	23	35	23	32	22	23	15	46	47	39	22	15	23	52	23	23	53	39	34	8	45	35	8	55	39	20	66	34	23	23	39	39	0	39	55	8	5	45	44	66	39	55	39	57	57	57	63	39	39	39	63	65	1	1	1	1	1	2	2	3	2	3	1	1	1	2	2	3	3	1	1	2	2	4	1	2	4	2	3	2	4	2	1	1	3	1	2	2	2	2	1	1	6	4	3	3	2	2	1	3	1	5	7	10	2	1	5	3	8	5	1	9	9	3	6	9	10	6	4	7	5	9	10	2	9	11	12	11	8	1	9	6	11	12	10	6	3	11	8	13	8	11	10	9	11	15	12	10	11
1000	-2299.758530776470252	-2296.738983097831806	-3.019547678638505	0.000009987779287	0.000055455969413	5.552382348547542	0.249449005890628	3	5	4	6	8	9	9	9	9	10	9	10	10	11	7	13	13	11	12	13	12	11	12	13	14	14	14	13	16	15	15	17	15	15	13	17	15	17	12	17	18	15	17	18	18	16	16	17	19	17	19	17	18	19	16	18	16	19	18	20	22	21	20	22	18	22	20	23	23	24	23	27	24	26	25	25	24	25	26	25	27	27	27	26	26	27	27	28	28	30	28	30	30	31	30	33	33	0	3	1	2	0	4	4	4	4	4	4	9	0	9	4	7	9	11	12	12	9	15	12	13	16	17	19	10	17	18	21	33	22	39	23	23	25	26	22	31	22	22	34	57	34	35	35	23	32	22	35	15	46	47	39	22	15	12	52	47	35	53	55	57	24	57	51	65	63	55	35	73	57	67	35	55	55	0	55	63	10	24	55	57	66	55	55	39	66	57	57	55	55	55	55	70	65	1	1	1	1	1	3	2	1	3	2	2	1	1	2	1	2	2	1	1	2	2	2	1	3	1	1	1	1	2	2	1	1	2	2	1	2	1	2	1	1	5	4	2	1	2	1	2	2	1	4	5	8	1	2	2	5	5	6	1	4	8	2	4	4	4	4	1	3	2	5	5	1	6	5	10	9	7	1	6	3	11	10	7	6	2	7	6	10	5	11	8	8	12	12	11	6	11
1500	-1881.390269339075076	-1878.396951114469175	-2.993318224605932	0.000009972307064	0.000054378358051	5.452936587240820	0.369510343650282	2	6	5	6	7	9	8	9	8	10	10	10	11	10	9	11	12	13	12	13	12	11	12	13	13	15	14	15	14	15	14	17	15	15	14	16	17	16	12	16	17	16	18	18	18	18	17	16	18	18	17	17	19	19	16	19	17	18	19	20	21	21	19	20	19	23	21	23	23	25	24	27	23	25	25	25	23	24	25	25	27	27	26	23	25	28	28	26	28	29	28	28	28	31	30	33	33	0	3	1	3	0	4	4	4	4	4	8	9	0	9	4	7	9	11	12	12	9	15	12	13	16	17	19	8	17	18	21	33	22	39	23	23	25	17	22	31	22	22	34	57	34	35	35	23	32	22	35	22	46	47	39	41	39	48	52	51	46	53	55	57	24	57	51	65	63	63	51	66	57	67	51	55	55	0	55	63	5	65	55	57	73	63	55	55	84	57	57	79	63	63	63	88	65	1	1	1	1	1	2	2	2	1	2	1	1	1	1	1	2	3	2	1	2	2	2	1	1	1	1	1	3	1	1	1	1	2	2	1	2	1	2	1	1	4	3	2	1	1	2	1	2	1	4	2	2	1	1	2	1	5	1	1	1	3	1	3	2	3	3	2	3	3	3	5	2	4	1	6	7	4	1	5	3	11	8	6	4	1	6	5	7	3	11	8	1	7	9	8	5	10
2000	-1544.196081503049072	-1541.518910962143536	-2.677170540905590	0.000010043211024	0.000043492461572	4.330533478416497	0.442813764381109	1	7	4	7	7	8	10	10	8	9	9	10	10	11	9	12	11	12	11	13	13	13	14	14	14	14	15	15	15	15	16	17	14	15	15	16	16	15	14	17	17	15	18	17	17	17	17	17	18	16	18	18	19	19	18	19	16	19	19	20	21	21	20	19	18	22	21	23	22	22	23	26	23	26	25	24	23	26	25	26	27	27	25	26	25	27	28	28	28	30	28	29	29	31	29	31	31	0	3	1	3	0	4	4	4	4	4	4	9	0	9	4	7	9	11	12	12	14	15	12	13	16	17	19	10	17	18	21	33	22	39	23	23	25	26	22	31	33	33	34	57	34	35	35	36	32	22	46	44	46	47	39	41	34	48	52	51	51	53	55	57	24	57	51	65	55	55	67	66	57	67	67	55	55	0	55	76	65	65	70	73	73	70	70	83	84	57	64	79	83	55	55	87	24	1	1	2	1	1	1	2	2	1	1	1	1	1	2	1	1	2	1	1	2	1	2	2	2	1	2	3	3	2	2	2	2	1	1	1	2	1	1	1	1	2	1	2	1	1	2	1	1	1	2	1	1	1	1	2	1	1	2	1	1	2	1	1	1	2	3	2	3	2	2	1	2	4	4	4	4	2	1	5	1	8	8	2	1	1	3	4	2	1	10	5	2	2	9	8	2	10
2500	-1471.548065877286945	-1468.706863544007547	-2.841202333279395	0.000010241583643	0.000050139371795	4.895665899202990	0.504519843142447	2	6	4	7	7	9	9	11	8	10	9	10	10	11	9	12	12	12	11	14	14	13	12	15	14	14	14	15	15	14	16	17	15	15	15	16	15	17	14	17	17	16	18	17	17	17	17	17	18	18	18	18	17	18	19	19	16	19	19	20	19	22	20	20	18	22	21	23	22	24	24	25	23	26	24	25	23	26	25	25	26	26	26	24	25	26	27	28	28	30	26	29	30	30	30	33	32	0	3	1	2	0	4	4	4	4	4	4	9	0	9	4	7	9	11	12	12	14	15	12	13	16	17	19	10	17	18	21	22	22	39	23	23	25	26	22	31	22	22	34	57	34	35	35	36	32	22	35	44	35	47	39	41	34	48	52	51	51	53	55	57	24	57	61	65	55	77	67	66	57	75	67	69	55	0	55	70	65	65	70	66	73	70	70	87	84	57	73	86	88	55	79	94	5	1	1	1	1	1	1	2	1	1	2	2	1	1	2	1	1	2	2	1	2	1	2	1	2	1	1	2	3	2	1	1	3	2	1	2	2	1	2	1	1	2	2	1	1	1	2	2	1	1	3	2	1	1	1	2	1	1	2	1	1	1	2	1	2	1	4	2	2	2	1	2	2	2	1	3	2	2	1	3	1	7	8	1	1	1	1	1	1	2	10	2	2	1	8	3	1	10
3000	-1396.287392221082882	-1393.234737272040093	-3.052654949042772	0.000010795513626	0.000061311457377	5.679346023049998	0.447952239249293	2	5	4	6	8	8	9	8	8	10	9	10	11	11	11	13	12	13	11	12	13	13	13	14	14	14	14	13	16	14	15	17	15	15	15	15	16	17	14	17	17	16	17	17	17	17	17	17	18	17	18	18	18	19	19	19	16	19	19	20	19	21	21	19	18	21	22	23	24	24	24	26	23	26	25	25	22	25	24	26	27	26	25	25	25	26	27	27	28	29	28	29	28	30	29	32	31	0	3	1	2	0	4	4	4	4	8	4	9	0	9	10	7	9	11	12	12	14	15	12	13	16	17	19	8	17	18	21	22	22	39	23	23	25	26	22	31	22	22	34	57	34	35	35	36	32	33	35	44	35	47	39	41	34	48	52	51	51	53	55	57	24	57	61	65	55	77	67	66	66	75	67	69	55	0	63	79	65	65	70	66	73	70	83	83	84	64	85	86	88	88	86	94	24	1	1	1	1	1	1	2	1	1	1	2	2	1	2	1	1	2	2	1	1	1	2	1	2	1	1	1	3	3	1	1	3	2	1	1	1	2	2	1	2	2	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	1	1	2	1	2	2	2	2	2	4	1	2	2	1	1	3	1	2	1	2	1	6	6	1	2	1	1	1	2	2	7	2	1	1	3	2	1	8
3500	-1270.928481831851968	-1267.864815787209409	-3.063666044642451	0.000011393521685	0.000065192954176	5.721931811530774	0.682791670176291	2	7	5	7	8	8	9	10	8	10	9	9	10	11	11	13	12	11	11	13	13	13	13	15	14	14	13	15	15	13	15	17	15	15	14	15	16	16	14	16	17	17	18	17	17	16	17	16	18	19	18	18	19	19	18	19	16	19	19	20	20	21	20	20	19	22	22	21	23	23	24	25	24	27	24	25	24	25	25	25	27	26	26	25	25	26	28	27	29	29	27	29	29	29	30	33	32	0	3	1	3	0	4	4	4	4	4	4	9	0	9	10	7	9	11	12	12	14	15	12	13	16	17	19	4	17	18	21	22	22	39	23	23	25	26	22	31	33	22	34	57	34	35	35	36	32	33	35	44	46	47	39	41	34	48	52	51	51	53	55	57	24	64	61	65	55	63	67	73	66	67	67	69	55	0	63	70	68	65	70	66	73	70	83	83	84	84	85	86	88	87	92	94	82	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	2	1	1	2	1	1	2	3	1	1	1	4	2	1	2	3	2	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1	2	2	2	1	2	2	3	1	1	1	2	2	1	2	3	1	2	1	5	6	1	2	1	2	1	1	2	2	1	2	1	1	1	2	5
4000	-1239.979131230620169	-1237.262425953131469	-2.716705277488636	0.000012994900616	0.000058002125202	4.463452773811175	0.724754963900044	3	6	4	7	7	8	9	8	9	10	9	11	11	11	11	11	12	12	12	13	13	13	13	15	14	14	14	14	14	14	15	17	15	15	15	16	15	17	14	17	17	16	18	17	17	17	17	17	18	17	17	18	18	19	17	19	16	18	19	20	20	22	20	21	18	20	22	22	23	22	24	27	23	26	23	25	24	26	25	23	27	26	25	25	25	27	27	27	28	30	27	30	29	29	29	32	32	0	3	1	2	0	4	4	4	4	4	4	9	0	9	10	7	14	11	12	12	14	15	12	13	16	17	19	8	17	18	21	22	22	39	23	23	25	26	22	31	33	33	34	57	34	35	35	36	32	33	35	44	46	47	39	41	34	48	52	51	51	53	55	57	24	57	61	65	55	63	67	84	66	67	67	69	70	0	70	63	68	65	70	66	73	79	83	83	84	84	85	86	88	87	86	94	82	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	3	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	3	2	2	1	2	3	1	1	1	2	3	1	1	1	1	2	2	5	6	2	2	1	1	1	1	2	2	1	2	1	2	1	1	5
4500	-1115.749288613977569	-1113.622812512161317	-2.126476101816321	0.000017188607635	0.000045996353043	2.675978998384040	0.745560504512367	2	6	5	7	7	9	9	11	9	9	9	10	9	11	11	13	12	12	12	14	12	13	14	16	15	14	14	15	16	14	16	16	15	15	15	16	16	16	14	17	17	15	18	17	17	17	17	17	18	19	18	18	18	19	18	19	16	18	19	20	19	19	21	20	20	22	22	22	23	22	24	26	24	25	24	24	23	25	25	24	26	27	26	24	26	27	27	27	28	30	28	29	29	30	30	33	32	0	3	1	2	0	4	4	4	4	4	4	9	0	9	10	7	9	11	12	12	14	15	12	13	16	17	19	8	17	18	21	33	22	39	23	23	25	26	22	31	33	22	34	57	34	35	35	36	32	33	35	44	46	47	39	41	34	48	52	51	51	53	55	57	24	57	61	65	63	63	67	66	66	75	67	69	70	0	70	70	68	68	70	66	66	79	83	83	84	84	85	86	83	87	86	94	24	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	2	1	1	2	1	1	2	3	1	1	1	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	3	2	1	1	1	2	1	1	1	1	1	1	1	2	2	2	3	1	1	1	1	1	2	1	1	2	1	1	1	2	1	2	3	2	1	2	1	1	1	2	3	1	1	2	2	1	2	6
