step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77
1	-2044.585368182369166	-2051.440856133328452	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.685506487312315	1	0	3	4	3	6	5	5	4	5	5	6	6	6	6	5	8	6	7	8	9	9	7	9	10	11	10	9	11	11	11	13	15	13	13	13	15	13	14	14	14	16	16	15	16	16	17	17	15	17	17	19	19	17	17	18	19	18	20	21	20	20	20	20	20	22	21	23	23	22	23	22	22	23	26	25	27	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	3	3	3	2	3	3	3	3	3	3	3	4	3	4	4	5	5	4	5	5	6	5	5	6	6	6	7	8	7	7	7	8	7	7	7	7	8	8	8	8	8	9	9	8	9	9	10	10	9	9	9	10	9	10	11	10	10	10	10	10	11	11	12	12	11	12	11	11	12	13	13	14
500	-614.768982677300528	-621.624470628259928	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.383581928704345	1	0	3	5	3	7	5	6	5	6	5	6	6	6	6	4	8	6	7	8	9	9	8	10	9	12	10	9	10	11	11	13	15	12	12	13	13	13	12	15	14	16	16	12	16	16	17	15	12	18	17	20	19	17	15	18	19	18	20	21	21	21	20	21	20	22	21	23	22	23	23	22	22	23	25	26	27	2	0	1	5	2	12	1	3	5	16	5	11	5	5	5	1	7	7	2	19	16	14	8	13	8	25	20	23	7	8	19	5	13	28	22	25	31	20	28	34	31	18	39	0	19	39	39	14	0	26	26	24	43	41	25	46	44	41	53	21	13	49	49	34	48	31	46	28	47	44	0	26	54	67	59	48	64	1	1	1	1	2	1	2	2	1	2	1	1	1	2	2	1	2	1	4	1	2	2	1	2	2	2	2	1	3	2	1	3	5	2	2	2	1	2	1	2	2	5	2	1	5	2	2	4	1	4	2	6	2	2	3	1	4	4	1	6	7	6	6	6	3	6	3	7	3	8	1	6	2	2	3	6	4
1000	-518.251108400663156	-525.106596351622557	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.395615439541158	1	0	3	5	2	6	4	5	5	4	4	6	7	7	6	4	7	6	7	6	10	8	8	8	11	8	9	9	12	11	10	14	16	13	14	11	14	14	13	14	14	16	16	15	17	17	18	17	13	17	18	19	19	17	16	16	20	18	19	20	19	21	20	21	19	22	21	22	24	22	21	22	21	24	26	26	26	2	0	1	16	2	5	1	3	5	5	5	5	11	8	5	5	7	7	5	9	24	8	8	13	12	6	20	23	7	22	26	19	21	28	30	15	36	20	28	23	31	18	28	0	21	40	28	44	0	6	19	45	28	41	41	39	48	55	56	41	50	49	49	56	48	54	47	43	67	57	0	50	26	53	47	71	74	1	1	2	1	1	3	1	2	2	2	1	2	1	1	3	2	2	2	3	1	2	2	2	1	3	1	2	1	5	1	1	2	4	3	2	3	2	5	2	3	2	5	3	1	4	2	5	1	1	6	6	2	5	2	1	2	1	1	2	3	1	4	6	2	1	1	2	3	3	1	1	3	6	3	3	3	1
1500	-462.557672763766959	-469.413160714726359	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.499334670185246	1	-1	2	4	2	6	4	6	5	4	5	6	6	7	6	5	8	7	8	8	10	8	7	10	10	11	11	10	11	11	12	13	16	13	14	13	16	13	14	15	14	15	17	15	17	14	18	17	14	16	16	20	19	17	16	19	19	18	19	21	21	21	21	21	20	22	22	23	23	23	24	23	22	22	26	26	27	2	0	1	5	2	5	5	3	5	5	5	11	5	8	10	10	7	7	5	9	13	14	3	13	11	25	20	23	18	22	12	19	24	28	30	25	36	27	23	28	26	29	34	0	33	28	43	44	0	41	26	45	28	41	26	28	48	50	34	45	33	49	49	47	57	58	56	59	43	65	0	55	31	47	39	71	74	1	1	1	1	2	2	1	2	1	1	1	1	2	1	1	1	2	1	3	1	2	1	3	2	2	1	2	1	2	2	3	2	3	2	2	2	2	2	3	3	1	2	2	1	1	2	1	2	1	1	4	2	5	2	2	5	1	1	3	1	2	3	6	2	1	2	1	3	3	2	1	4	5	3	4	1	2
2000	-480.265251236116455	-487.120739187075856	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.553040012059210	2	1	3	4	3	6	4	5	5	5	4	5	6	7	6	6	8	6	8	9	9	9	7	10	10	10	11	10	12	11	12	14	14	14	12	13	15	13	15	13	14	16	17	15	16	16	18	17	15	16	18	19	19	15	18	18	19	16	19	22	20	19	21	20	20	23	20	23	21	22	23	22	20	21	24	25	27	2	0	2	2	2	11	1	1	11	11	5	5	5	3	10	10	7	7	11	9	13	3	8	12	6	19	20	23	17	22	26	26	25	23	14	25	11	20	28	28	25	29	23	0	25	23	34	44	0	32	58	45	43	31	50	46	48	31	39	52	45	49	49	43	57	31	46	53	67	65	0	41	31	47	43	71	64	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	2	2	3	1	3	2	1	2	2	2	1	2	2	2	3	2	1	5	2	2	2	2	2	4	1	3	4	2	1	1	1	1	2	1	1	1	1	1	2	2	1	3	2	5	1	1	5	3	2	1	1	1	4	3	1	4	2	3
2500	-438.274345705393500	-445.129833656352901	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.524133132566631	1	0	3	3	3	6	5	6	5	6	5	7	7	6	6	5	8	7	7	8	9	9	8	10	10	12	10	9	10	11	12	13	14	13	12	14	15	13	13	13	14	16	15	15	17	15	15	17	15	17	17	19	19	18	17	18	19	18	21	21	20	19	21	19	21	23	21	23	22	22	21	23	22	24	27	25	28	2	0	1	2	2	5	1	3	5	16	2	5	6	3	16	5	7	7	6	9	12	8	8	13	5	25	20	23	17	14	16	31	31	28	22	25	36	20	28	28	26	29	28	0	25	28	34	44	0	26	26	33	46	55	26	34	48	51	43	52	45	49	49	47	57	50	64	53	56	65	0	31	41	67	59	71	67	1	1	1	1	1	2	2	2	1	1	2	2	1	2	1	1	2	1	1	2	1	2	1	2	4	1	1	1	1	3	3	1	1	2	2	2	1	4	2	2	1	3	3	1	3	3	1	1	1	2	2	3	2	1	2	2	1	1	4	1	1	1	4	2	1	3	1	2	3	1	1	5	3	1	3	2	3
3000	-472.266463322727475	-479.121951273686875	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.542118841918135	1	0	3	4	4	6	5	5	5	6	4	6	6	6	6	5	9	6	8	8	9	9	7	10	9	12	11	10	10	11	11	12	15	13	13	13	16	14	14	14	15	14	16	15	17	16	18	18	16	18	18	19	19	16	18	18	19	18	20	21	20	18	20	20	21	20	22	22	22	23	24	22	23	23	26	26	27	2	0	1	2	2	5	1	3	11	16	1	11	4	3	16	5	7	7	6	9	13	8	3	13	5	11	20	23	18	22	19	31	5	23	30	25	36	9	28	28	31	18	28	0	54	40	43	44	0	31	19	45	39	31	32	46	48	38	23	45	33	49	62	53	57	50	64	43	59	65	0	50	66	67	68	71	74	1	1	1	3	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	2	3	3	4	2	2	2	1	2	1	5	3	2	2	2	5	3	2	1	5	3	1	1	2	1	1	1	2	5	1	2	2	3	1	1	2	5	2	2	1	2	1	1	2	1	3	1	1	1	2	1	1	2	1	2
3500	-476.234810936794418	-483.090298887753818	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.532302971553838	1	0	3	4	3	6	5	5	4	5	5	5	5	6	7	6	8	7	7	9	9	10	7	10	9	11	11	9	10	9	9	13	14	14	13	13	15	14	15	13	14	16	17	14	16	16	17	17	14	18	17	19	20	18	15	18	19	18	20	22	20	19	21	20	21	23	21	24	24	23	23	21	21	23	27	25	27	2	0	1	5	2	12	1	3	5	5	5	5	5	3	4	10	7	7	11	9	5	30	3	13	15	31	20	23	18	14	19	31	35	28	1	19	36	20	28	28	31	17	46	0	33	39	46	44	0	26	25	45	46	26	6	39	48	32	46	52	45	49	62	47	57	50	64	56	53	65	0	51	55	67	53	71	74	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	2	1	2	3	1	2	3	1	2	2	1	2	2	1	2	1	2	5	3	1	2	3	2	2	2	1	1	1	1	1	2	1	4	3	2	2	4	3	2	2	2	2	2	2	2	1	2	1	3	1	2	2	1	1	3	2	1	2	1	2
4000	-472.380205615115358	-479.235693566074758	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.507984765915799	1	0	3	3	2	7	5	4	4	5	4	6	6	6	6	5	8	7	7	7	9	7	7	10	9	11	10	9	10	8	11	13	16	13	13	14	15	13	15	14	14	16	15	15	15	16	18	17	14	18	16	19	18	17	18	17	20	18	21	20	20	19	20	20	20	22	22	24	22	22	24	22	22	23	26	26	26	2	0	1	2	2	15	1	3	2	11	5	5	16	8	11	2	7	7	10	9	13	8	3	13	12	11	20	23	18	8	19	19	24	28	14	25	11	27	23	28	31	29	28	0	26	28	43	44	0	32	31	33	39	32	54	46	48	41	53	52	52	49	62	34	48	50	47	43	47	65	0	50	50	67	68	71	67	1	1	1	1	1	1	2	1	3	1	1	2	1	1	1	3	2	1	1	2	2	1	2	2	1	3	2	2	2	1	2	2	3	2	4	2	8	1	4	2	2	3	4	1	1	3	2	1	1	3	3	1	2	2	1	1	2	2	1	1	1	2	1	4	1	2	3	4	2	1	1	2	2	1	1	1	2
4500	-469.345616400303300	-476.201104351262700	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.530159293624278	1	0	2	4	3	4	5	4	4	5	5	6	7	7	7	4	8	6	7	8	10	9	7	9	9	11	10	9	12	12	10	12	15	13	14	12	16	13	14	15	15	16	16	15	17	15	16	17	15	18	18	19	18	17	16	18	19	18	20	20	21	20	21	19	20	20	21	23	22	22	23	21	22	23	25	25	26	2	0	1	2	2	2	1	1	5	16	16	11	11	8	10	2	18	7	12	9	13	14	8	15	10	31	20	23	7	22	19	31	24	28	22	24	36	27	28	39	26	29	39	0	25	28	46	44	0	31	54	24	28	31	32	34	48	26	43	45	33	49	62	43	57	58	59	46	64	65	0	25	41	64	59	71	64	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	1	2	1	1	1	4	2	1	2	3	2	2	2	2	2	2	1	2	2	1	1	2	2	1	1	1	4	1	5	3	2	2	2	1	2	2	2	3	3	1	1	1	1	1	4	2	1	1	7	3	3	3	1	3
