step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32
5000	-290.087860476524213	-288.529731988113781	-1.558128488410439	0.000015722329454	0.000004085214260	0.259835177210198	0.591010189151099	2	3	4	8	7	6	9	10	10	8	8	10	12	10	13	10	11	11	10	13	13	14	13	15	14	16	19	17	18	20	21	26	0	1	1	6	2	3	3	10	3	2	1	6	10	11	9	11	5	9	10	9	10	13	13	18	23	25	24	20	21	23	20	31	1	1	1	1	2	1	2	1	4	2	2	2	1	1	1	1	2	1	1	2	2	1	1	2	1	1	2	2	2	4	4	3
5500	-274.737193650683196	-273.362679306973916	-1.374514343709301	0.000024686138687	0.000011438262511	0.463347575560313	0.494918727488953	2	3	5	9	7	7	8	10	9	7	9	11	11	11	11	11	10	10	10	12	14	15	13	14	14	16	19	17	17	20	21	26	0	1	1	10	2	1	3	10	6	1	10	10	5	6	6	11	10	10	6	9	8	13	13	18	23	25	24	20	21	23	20	31	1	1	2	1	1	2	1	2	1	1	1	2	2	2	2	1	2	2	1	2	1	2	1	2	1	1	2	3	2	3	4	3
6000	-227.070809004044492	-225.347912820354622	-1.722896183689868	0.000068615019108	0.000013494941578	0.196676205196296	0.584926282235372	1	4	6	7	7	6	8	10	9	8	9	10	11	11	12	11	9	11	11	12	14	16	13	14	14	17	19	17	18	18	22	26	0	1	2	6	2	2	3	5	10	4	3	10	3	11	6	11	5	1	10	12	16	23	13	18	13	25	24	20	21	23	20	31	1	2	1	1	2	1	1	1	1	1	1	1	2	1	3	1	1	5	2	1	2	1	2	1	2	2	2	2	2	3	5	3
6500	-197.540818647024395	-195.184645467797708	-2.356173179226691	0.000133078813219	0.000012998023627	0.097671622647063	0.620427595220500	2	4	5	8	9	7	9	10	9	6	8	9	11	9	12	11	9	12	12	12	14	15	13	13	15	17	19	19	18	19	21	25	0	1	1	10	11	10	3	11	10	2	10	4	7	6	11	11	6	16	6	7	8	23	13	18	23	25	18	20	21	26	28	31	1	1	2	2	1	1	3	1	1	1	2	1	1	1	2	2	1	1	2	1	2	1	1	1	1	1	4	3	2	1	1	2
7000	-198.171333278734920	-195.029599436134475	-3.141733842600432	0.000243377075376	0.000013105334620	0.053847859746039	0.512469870362105	1	4	7	8	9	7	8	9	10	7	8	9	12	10	13	10	9	11	11	13	14	15	13	13	14	16	19	19	17	20	21	25	0	1	2	10	6	1	3	6	10	2	10	10	9	10	11	11	6	6	10	5	8	23	13	18	13	25	24	6	15	23	28	31	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	2	2	3	1	1	1	1	1	3	5	2	2	1	2
7500	-207.673431808996895	-205.226886807398841	-2.446545001598057	0.000242758684407	0.000021924353448	0.090313364080150	0.731433610379569	3	4	6	8	9	7	8	8	9	8	9	10	11	10	12	10	10	11	11	12	14	15	13	15	15	15	19	18	18	20	19	26	0	1	1	6	2	3	3	6	8	3	10	10	5	8	5	11	5	10	6	9	11	13	13	18	23	23	24	20	15	26	28	31	1	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	2	1	2	6	2	1	1	3
8000	-207.453147707795949	-204.776068575730505	-2.677079132065437	0.000250045750502	0.000018746809638	0.074973518247729	0.596184388182480	3	4	6	8	8	6	7	9	9	8	9	10	10	10	12	10	9	11	12	13	14	14	12	14	14	15	19	19	18	19	21	24	0	1	1	1	2	2	1	7	5	7	5	10	5	11	6	11	2	3	8	10	20	23	13	18	23	25	18	11	20	22	28	31	1	1	1	3	3	1	2	2	1	1	1	1	1	1	3	1	2	2	2	2	1	1	1	2	1	1	3	5	2	2	1	1
8500	-195.106037005140450	-192.143165462439413	-2.962871542701044	0.000209471891494	0.000012738092613	0.060810510287241	0.473402297510482	2	4	6	9	8	6	8	9	9	7	9	9	12	10	11	11	11	11	11	12	14	15	13	15	14	15	19	18	17	20	20	27	0	1	1	6	3	1	10	1	7	1	3	10	3	7	10	11	8	10	11	3	9	13	13	18	23	23	24	20	3	13	28	29	1	1	2	1	1	2	1	3	1	2	1	1	2	1	3	1	1	2	1	3	3	2	1	2	1	1	2	2	5	4	1	5
9000	-206.143266251055223	-204.082921067069918	-2.060345183985292	0.000197000626189	0.000025589994459	0.129898036132262	0.839811738118275	2	4	7	9	8	6	8	9	10	9	9	10	11	10	12	11	11	11	11	12	14	14	12	13	14	16	19	17	19	19	21	24	0	1	2	6	2	2	1	5	4	5	3	3	5	11	10	11	7	10	3	5	16	23	13	18	23	23	18	20	15	26	28	31	1	1	1	1	2	1	2	1	1	1	2	2	1	1	1	1	2	1	2	2	1	1	1	2	1	3	3	2	2	1	2	1
9500	-217.945119664248040	-215.982406605233280	-1.962713059014769	0.000204977467066	0.000029634789243	0.144575838835162	0.518641316718707	3	4	5	8	8	6	9	10	8	8	10	10	10	11	12	11	9	10	11	12	14	16	13	13	14	16	19	18	17	19	20	26	0	1	1	1	6	1	5	9	1	2	4	10	10	11	5	11	5	5	7	5	11	13	10	18	23	13	24	20	16	25	20	31	1	1	1	2	1	2	1	1	2	3	1	1	1	1	2	1	1	1	1	2	2	3	3	1	1	2	2	4	2	2	5	3
