step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100
1	-5697.787019897649770	-5696.324937813131328	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.981633437802144	0	2	3	4	5	4	5	4	6	6	6	7	6	10	7	8	8	9	8	8	9	10	10	10	10	9	10	10	13	11	10	11	12	12	10	12	12	11	12	13	12	12	12	11	12	11	11	13	13	13	13	14	13	14	14	13	15	14	16	13	13	16	15	16	14	16	15	16	16	15	16	16	16	17	18	16	20	19	18	18	19	17	17	17	19	19	18	18	20	21	19	19	20	20	22	22	25	26	27	31	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	3	2	3	3	3	4	3	5	4	4	4	5	4	4	5	5	5	5	5	5	5	5	7	6	5	6	6	6	5	6	6	6	6	7	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	8	7	8	7	7	8	8	8	7	8	8	8	8	8	8	8	8	9	9	8	10	10	9	9	10	9	9	9	10	10	9	9	10	11	10	10	10	10	11	11	13	13	14	16
500	-866.510784745203864	-864.748593126014953	-1.762191619188939	0.000010008548851	0.000017476759983	1.746183212291817	0.318647653656162	-3	2	4	4	5	5	3	4	6	5	7	7	6	10	7	7	7	8	8	8	9	9	10	10	10	7	10	10	13	11	8	9	12	12	11	11	13	12	12	12	13	12	12	12	13	12	9	12	13	13	14	14	13	15	14	13	15	15	16	13	12	17	16	16	12	16	14	16	17	13	16	14	16	17	17	15	21	19	19	18	20	18	16	18	20	19	18	19	18	22	20	19	20	17	22	20	25	26	28	31	0	1	7	2	3	3	2	2	2	8	0	7	6	7	10	5	2	10	7	10	17	12	5	12	17	5	21	21	18	21	9	4	26	26	47	18	18	27	12	24	32	26	19	17	17	31	26	5	28	46	43	10	22	26	28	38	33	24	24	32	47	39	48	19	21	9	9	40	60	61	61	17	17	60	25	42	73	46	63	42	2	70	72	83	72	9	42	46	70	70	83	35	26	31	35	94	49	31	94	0	1	3	1	1	1	1	1	1	2	1	1	2	1	4	1	1	2	2	3	2	1	1	2	2	1	1	1	1	2	1	1	2	2	3	2	2	4	1	2	1	3	2	2	2	2	2	1	2	2	1	1	6	2	4	2	1	1	3	4	2	2	2	2	4	1	5	6	3	2	1	2	4	4	2	6	2	3	4	2	2	11	3	1	1	3	8	4	4	3	6	3	5	10	5	5	2	6	10	8	1
1000	-718.886181780638935	-717.105626726836022	-1.780555053802896	0.000009970932188	0.000017857795019	1.790985504995702	0.427024298375265	0	1	4	4	6	5	3	4	6	6	7	8	7	10	8	8	8	9	8	9	8	11	9	11	10	9	11	8	13	12	10	11	10	12	10	11	13	11	12	12	12	10	12	11	13	12	11	13	14	12	14	14	13	14	15	14	15	15	14	12	12	15	15	17	13	17	15	16	17	14	16	15	17	16	18	16	20	19	17	19	20	17	15	17	17	19	18	17	20	20	19	18	20	19	22	22	26	26	28	31	0	1	7	2	3	3	2	2	2	8	0	3	6	7	10	5	9	15	3	10	9	12	12	13	17	5	21	2	18	28	21	17	12	12	26	18	20	21	23	24	17	19	33	28	38	31	35	12	46	31	33	36	22	42	28	9	19	40	24	17	35	48	3	42	38	25	60	58	74	61	70	60	83	60	9	54	73	49	5	54	60	71	41	83	67	60	76	49	70	82	83	64	42	88	71	78	94	27	94	0	1	1	1	1	1	1	1	2	3	1	1	2	1	3	2	1	2	1	2	1	1	2	1	2	1	2	2	4	2	2	1	2	1	2	1	1	3	2	2	1	2	1	1	1	1	1	1	2	1	1	2	3	1	2	3	5	4	2	1	2	2	1	4	3	1	4	2	1	1	1	2	1	2	2	6	1	2	3	6	2	6	1	2	1	1	3	1	2	3	2	1	1	5	1	4	2	5	7	6	1
1500	-610.183360599887465	-608.519221111160959	-1.664139488726504	0.000009981354461	0.000015056161445	1.508428691195804	0.600829396266146	0	2	4	4	5	5	3	3	6	5	6	7	7	10	7	8	8	9	8	9	9	9	11	10	9	9	10	11	13	12	11	11	11	12	10	13	13	11	12	12	12	12	12	11	11	11	12	13	13	13	13	14	13	14	15	13	15	14	16	13	13	15	13	16	13	16	14	16	17	16	17	16	17	16	18	16	17	20	17	19	19	18	15	18	19	17	17	18	20	22	20	18	21	19	23	21	26	27	25	31	0	1	7	2	3	3	2	2	2	8	0	3	6	7	10	3	4	15	12	15	9	3	5	13	17	19	9	21	18	21	17	17	26	33	26	18	20	21	22	24	17	26	26	21	21	27	35	23	46	46	33	36	22	42	28	32	43	40	40	41	35	63	33	42	28	32	41	58	74	61	61	67	83	60	86	42	83	88	63	54	69	61	67	77	67	60	54	49	61	70	77	87	87	49	71	88	94	94	94	0	1	1	1	1	1	1	1	1	2	1	1	2	1	3	1	2	2	2	1	1	2	2	2	2	1	1	3	1	2	2	2	2	1	1	1	2	2	1	2	1	2	1	2	1	1	1	2	1	1	1	1	1	2	1	2	1	1	2	2	1	1	1	1	2	1	2	1	1	1	2	2	1	1	2	1	2	1	2	2	2	2	2	1	1	3	2	2	2	3	3	1	1	2	3	3	2	4	5	2	1
2000	-622.142177215055540	-620.176269407336463	-1.965907807719059	0.000009968734771	0.000022466823697	2.253728704108918	0.647795139755506	0	2	4	4	6	5	3	4	5	7	7	7	7	10	8	8	7	10	7	9	8	11	10	10	10	10	10	10	13	12	10	12	12	12	11	11	11	11	12	14	11	12	11	12	13	12	12	13	14	13	12	14	14	15	15	13	15	12	16	12	13	16	14	16	14	17	14	17	16	16	16	17	16	17	19	16	20	19	19	17	19	18	15	17	19	18	18	18	20	21	20	20	21	20	23	21	25	27	28	30	0	1	7	2	3	3	2	2	2	8	0	3	6	7	10	5	9	10	5	10	9	13	13	6	17	19	21	21	18	21	17	25	43	26	23	18	20	21	22	58	9	26	26	27	38	28	35	5	46	46	43	36	39	42	28	41	33	24	40	41	35	48	23	42	38	56	60	40	60	61	61	67	83	60	67	42	83	88	48	42	69	61	67	83	67	74	64	49	82	70	73	87	87	88	90	78	96	94	97	0	1	1	1	1	1	1	1	1	2	1	1	2	2	3	1	2	1	2	1	1	1	2	2	3	1	2	2	1	2	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	2	2	2	1	1	1	1	1	1	2	2	2	1	2	1	1	2	1	1	2	1	3	2	1	2	1	3	2	2	2	1	2	2	1	1	2	1	2	3	1	2	2	1	2	2	5	3	1
2500	-608.528890464166011	-606.372982338962970	-2.155908125203069	0.000010003335796	0.000027568781349	2.755958803323491	0.650075054435505	0	2	4	4	6	5	3	4	6	6	6	6	7	9	7	8	8	9	8	8	9	10	10	10	10	10	10	10	14	12	10	12	13	12	9	12	13	12	13	14	11	13	11	10	12	12	11	12	13	12	13	13	11	15	13	13	15	11	17	13	13	17	15	16	14	14	15	17	16	16	16	17	17	17	19	16	20	19	17	17	19	17	16	18	20	19	18	18	21	20	20	20	21	20	22	23	24	27	28	29	0	1	7	2	3	3	2	2	4	8	0	3	6	16	10	3	9	15	5	10	9	3	12	6	17	19	21	21	18	27	21	25	26	26	19	18	20	17	53	58	17	26	19	21	21	31	35	12	46	31	26	36	23	42	28	32	33	24	40	41	47	48	23	42	55	21	56	40	60	61	61	67	83	60	74	42	83	49	63	42	69	61	67	83	67	60	76	49	71	70	84	87	87	88	90	88	94	94	97	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	2	2	2	2	1	1	1	2	1	1	1	2	2	1	2	3	1	1	2	2	2	1	1	2	1	2	2	1	1	2	1	1	1	2	1	2	1	1	1	1	2	3	2	1	2	1	2	2	1	2	1	1	2	1	2	2	2	1	2	2	2	1	2	2	3	1	2	3	2	1	1	2	1	1	2	2	3	2	1
3000	-592.441362257958986	-590.509231452184281	-1.932130805774692	0.000010306713110	0.000022341586618	2.167673280387568	0.667672946406669	0	2	4	3	5	5	3	4	6	5	6	7	6	11	7	9	8	10	7	9	8	10	10	10	10	9	11	10	13	10	10	10	10	13	10	12	13	10	12	12	12	12	12	12	12	11	11	14	13	14	14	14	14	14	14	14	13	14	16	13	13	16	15	16	15	15	15	16	16	15	16	16	17	16	18	17	21	19	19	19	19	17	16	18	18	17	18	18	20	20	19	20	20	20	23	20	25	27	27	30	0	1	7	2	3	3	2	2	4	8	0	5	6	23	10	3	9	15	5	15	9	5	19	3	9	12	21	21	18	21	21	17	26	33	26	18	20	21	22	24	9	26	33	27	21	31	35	23	46	31	43	29	22	42	28	25	26	24	58	41	35	63	48	42	55	32	60	58	41	61	61	67	83	60	74	64	73	88	62	64	69	61	67	83	86	60	64	49	71	82	84	87	87	78	90	49	94	94	97	0	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	2	1	3	2	2	2	1	1	1	2	1	1	2	1	2	2	1	1	1	3	2	1	1	2	1	1	2	1	2	1	1	2	2	2	2	2	2	2	1	1	1	1	2	1	2	2	1	1	2	2	1	1	2	1	1	2	1	2	2	2	2	1	2	1	3	1	2	2	2	1	1	2	1	2	3	2	3	1	1
3500	-595.198644595911333	-593.453652399832549	-1.744992196078774	0.000010451545602	0.000017812907590	1.704332379991999	0.697653642025259	0	2	4	4	6	5	3	5	7	7	6	7	6	10	8	9	8	9	8	9	9	10	10	9	10	9	10	11	14	11	10	12	10	12	10	11	12	11	13	12	12	12	12	12	12	11	12	13	14	13	13	13	11	15	15	13	15	14	16	13	14	14	16	16	14	17	14	14	16	15	16	16	16	17	18	17	20	18	16	16	19	17	15	18	19	19	18	18	20	20	20	19	20	21	22	21	25	24	26	29	0	1	7	2	3	3	2	2	2	8	0	3	6	19	10	3	4	10	3	10	17	5	5	13	17	19	21	21	18	21	21	25	26	33	19	18	20	21	53	24	25	26	26	21	27	31	35	22	46	46	33	36	22	42	28	25	62	40	58	41	35	53	48	42	27	56	60	40	60	47	70	67	83	60	67	54	73	49	62	42	69	71	67	83	72	60	54	49	71	82	73	87	87	88	90	78	98	94	97	0	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	2	1	2	2	1	1	1	1	1	3	1	1	2	1	1	1	1	2	1	2	2	1	1	1	2	1	1	1	3	1	1	1	1	1	2	2	2	1	2	1	1	2	2	2	2	2	2	1	1	2	2	1	1	1	2	2	1	2	3	1	2	2	1	1	2	2	2	2	2	2	1	2	1	1	1	1	2	1	1	1	1
4000	-613.445609780941936	-611.981143482631069	-1.464466298310893	0.000011184894694	0.000011258782157	1.006606004340064	0.531623708208309	-1	0	4	3	5	5	3	4	6	6	6	7	6	10	8	8	7	9	7	8	8	9	11	9	9	8	9	10	12	12	9	11	12	12	10	12	11	11	13	13	12	11	12	12	11	12	12	13	13	13	14	14	12	13	15	13	15	14	16	13	13	16	15	17	15	17	15	15	16	14	16	16	17	17	19	16	20	19	19	17	20	16	14	17	18	19	18	17	20	21	19	20	21	20	23	23	25	23	26	31	0	1	7	2	3	3	2	2	2	8	0	3	6	7	10	3	9	10	5	10	9	3	12	6	17	19	21	21	18	25	9	9	26	26	26	18	20	21	22	24	32	26	26	27	27	31	35	23	46	31	33	36	22	33	27	9	43	40	40	17	35	23	48	54	38	56	60	40	41	61	70	67	83	60	74	54	84	88	63	54	69	70	60	83	67	85	76	49	70	71	73	87	87	78	90	78	98	94	97	0	1	1	1	1	1	1	2	2	2	1	1	2	1	3	1	2	1	2	1	1	1	2	2	2	2	1	1	1	2	2	2	2	2	2	1	1	2	2	2	2	1	2	2	2	1	2	1	1	1	2	1	2	2	1	3	4	2	1	3	2	2	3	1	2	2	2	1	1	2	1	2	1	2	3	2	1	1	1	1	1	2	2	1	2	2	1	1	2	3	2	1	2	2	1	1	2	2	1	1	1
4500	-568.287111195303510	-566.534379757727606	-1.752731437575905	0.000012169896272	0.000020970579290	1.723151851187451	0.753012565733391	0	2	4	3	6	5	3	4	4	6	6	8	7	10	7	8	6	9	7	8	9	10	10	10	10	8	10	11	12	11	11	12	11	13	10	13	12	11	13	12	12	12	11	11	13	12	11	14	14	13	13	15	13	14	15	13	15	15	17	14	13	16	16	16	11	15	15	16	17	14	16	16	17	15	19	16	20	19	19	17	19	18	16	17	18	19	18	19	19	20	19	19	20	21	23	23	25	23	27	31	0	1	7	2	3	3	2	2	2	8	0	3	6	12	10	5	9	15	5	10	17	12	3	12	21	19	21	21	18	27	21	9	26	43	26	18	20	27	22	24	25	33	26	21	32	31	35	23	46	31	43	36	22	42	32	25	33	40	40	41	35	23	22	54	21	56	60	58	74	61	70	67	83	60	85	54	83	55	48	54	69	70	67	83	67	60	76	49	70	82	84	87	87	88	90	78	98	94	97	0	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1	1	1	2	1	2	1	1	1	1	1	2	1	1	2	1	2	1	1	2	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	2	2	2	2	2	1	2	3	3	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	2	2	2	1	1	2	3	1	2	2	1	1	1	1	1	2	2	1	1	1	1
