step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22
1	-471.411830229106954	-478.267318180066354	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.712782343633657	3	9	10	10	14	13	15	14	13	15	16	17	18	16	18	17	21	21	22	23	23	23	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4	4	6	5	6	6	5	6	7	7	8	7	8	7	9	9	10	10	10	10
500	-144.830808604299477	-151.686296555258849	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.630739436409258	4	9	11	10	14	13	16	14	13	15	16	18	16	16	18	18	20	20	23	23	23	23	0	1	2	2	3	2	6	6	2	8	6	8	2	6	6	10	9	15	12	17	10	17	1	2	1	1	2	2	1	1	1	1	2	2	2	1	2	2	4	1	4	1	4	2
1000	-131.671120327784990	-138.526608278744362	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.526807827276718	4	8	11	10	13	13	15	15	12	15	16	17	17	16	18	18	20	22	22	22	23	23	0	1	2	2	2	2	4	6	2	6	3	10	6	6	6	12	5	15	12	17	10	17	1	2	1	1	1	2	2	1	2	1	3	1	2	2	2	1	3	2	2	1	4	1
1500	-128.476563927395205	-135.332051878354577	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.491636669769241	3	9	10	10	15	13	15	14	12	16	16	16	17	15	17	17	21	21	22	23	22	23	0	1	2	2	3	9	4	6	3	8	9	8	6	6	6	12	5	15	12	17	10	17	1	2	1	1	3	1	3	1	1	1	2	1	2	1	2	1	3	2	2	1	3	1
2000	-145.518888472389307	-152.374376423348679	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.480478798428521	4	9	10	11	14	14	16	15	14	16	16	18	18	17	18	17	21	21	22	23	21	24	0	1	2	2	3	2	8	3	3	8	9	16	8	5	8	8	11	15	10	17	10	17	1	2	1	2	2	2	1	3	2	1	1	1	2	1	2	1	2	2	3	1	3	2
2500	-136.669872991406265	-143.525360942365637	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.601205963077537	4	8	10	10	15	13	16	14	14	16	16	18	19	15	18	17	21	21	22	23	24	22	0	1	2	2	3	2	4	6	6	8	3	8	14	6	6	10	9	15	12	17	12	17	1	1	1	1	2	2	3	1	1	1	2	2	2	1	2	1	4	2	1	1	4	1
3000	-148.912377814173425	-155.767865765132797	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.572871909361303	3	9	11	10	15	14	15	14	13	15	16	18	19	16	19	16	18	21	23	22	23	22	0	1	4	1	3	3	4	2	3	8	9	16	8	8	8	8	5	15	12	17	8	17	1	4	1	3	2	1	4	3	1	1	2	2	1	1	3	1	2	2	2	2	5	3
3500	-153.406717782014425	-160.262205732973797	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.536869463334997	3	10	11	11	14	14	15	13	13	16	16	17	19	15	19	18	20	21	21	24	23	23	0	1	2	2	3	3	4	2	3	8	9	8	14	2	6	8	5	15	10	3	6	17	1	4	1	1	1	1	2	2	1	1	1	2	2	2	2	2	3	2	2	6	5	2
4000	-144.465934923367456	-151.321422874326828	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.479656152080112	3	9	11	10	14	13	15	14	13	16	16	16	19	16	18	18	21	21	22	22	21	24	0	1	2	2	3	2	4	6	2	6	3	8	15	6	6	12	6	6	12	9	10	17	1	3	1	1	2	2	3	1	2	2	2	1	1	2	3	1	4	5	3	5	2	2
4500	-142.774056244927834	-149.629544195887206	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.670767673026552	2	9	11	10	14	13	15	13	13	14	16	16	18	16	15	18	22	21	23	21	22	24	0	1	2	2	6	2	4	2	3	8	3	8	6	15	2	12	20	15	21	5	10	17	1	3	1	1	1	2	3	2	1	1	3	1	1	1	3	1	1	3	1	3	3	1
5000	-144.321829664614967	-151.177317615574339	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.576998447016996	3	9	10	11	14	12	15	15	13	15	16	14	18	17	18	17	21	20	23	21	22	23	0	1	2	1	2	2	2	6	6	12	2	6	14	6	6	12	11	15	12	11	10	17	1	3	1	3	2	2	3	1	1	1	4	1	1	2	4	1	3	1	4	2	4	1
5500	-152.248341619159532	-159.103829570118904	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.599254615099770	3	8	11	11	14	13	16	15	14	16	17	18	18	16	18	17	22	22	21	23	23	24	0	1	2	2	3	3	4	6	2	6	9	16	14	6	9	10	10	15	12	17	8	17	1	2	1	1	1	1	2	1	2	1	2	1	1	1	2	1	3	3	1	1	3	1
6000	-146.822778073898974	-153.678266024858345	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.472244082284977	2	9	11	10	13	13	15	15	14	14	16	17	19	15	18	17	20	21	22	22	23	23	0	1	2	2	3	3	4	10	3	2	3	10	14	2	8	8	11	15	12	2	8	17	1	3	1	1	1	1	2	1	2	2	2	1	1	3	1	1	2	2	2	4	4	1
6500	-130.851507016960880	-137.706994967920252	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.496307843686873	3	8	10	9	14	13	15	15	13	16	16	17	15	17	19	18	20	21	22	23	23	24	0	1	2	2	3	2	6	5	3	6	5	6	6	6	6	10	5	15	12	17	10	17	1	2	1	1	2	3	1	1	2	2	1	2	1	2	3	2	2	1	3	1	3	2
