step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78
5000	-909.395566164158254	-908.026331535653753	-1.369234628504509	0.000026233333513	0.000017576695817	0.670013813059408	0.457738915635524	1	5	6	8	7	7	10	11	10	9	8	10	13	12	10	13	11	12	13	13	13	13	15	15	15	13	14	16	14	15	15	14	14	16	16	16	18	21	20	19	18	18	20	20	23	23	24	22	23	23	23	24	24	26	24	27	23	25	27	27	26	25	27	28	29	28	29	30	31	31	31	31	34	32	34	33	39	41	0	0	2	2	2	3	4	2	5	4	5	10	8	9	11	8	11	12	15	8	9	17	8	22	29	15	15	17	12	26	22	15	0	19	27	17	32	34	36	32	27	36	32	42	34	43	43	43	44	38	43	49	0	47	46	21	21	43	52	55	0	45	21	58	57	63	21	64	21	66	67	67	69	65	69	63	69	56	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	2	1	3	1	2	1	1	2	3	3	2	1	1	3	1	2	1	2	2	3	2	3	2	1	2	1	3	3	2	1	1	1	2	1	1	2	1	5	3	3	1	2	1	2	5	2	5	1	12	1	15	2	1	1	3	1	2	2	5	7
5500	-655.929126037858737	-654.567918643696203	-1.361207394162538	0.000062689000184	0.000034516559915	0.550599942798874	0.582213421094033	1	5	6	8	7	8	9	11	10	9	9	11	12	11	12	11	12	11	11	13	14	14	14	16	14	13	14	16	15	14	14	15	13	16	17	16	18	20	21	19	19	18	20	20	22	22	25	23	23	22	24	23	24	24	25	27	23	25	26	27	27	26	26	27	27	28	30	29	31	31	31	32	32	34	34	35	40	40	0	0	2	2	2	3	4	7	5	4	5	10	8	4	11	4	11	10	11	8	14	17	16	22	18	19	26	22	12	26	17	15	0	27	32	31	26	34	42	15	34	31	40	42	41	43	46	46	44	34	46	44	0	43	48	57	21	51	49	55	0	45	57	58	63	63	56	64	3	66	65	67	66	67	70	73	69	69	1	1	1	3	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	2	1	2	2	2	1	1	1	3	1	1	2	1	1	1	1	2	2	2	5	2	3	1	1	2	1	1	1	2	3	1	2	1	2	1	2	5	1	1	1	1	2	1	1	1	1	2	1	14	2	1	1	2	2	1	1	5	4
6000	-575.593133290555670	-574.064170572447779	-1.528962718107865	0.000146784108912	0.000040512573082	0.276001083373029	0.521881190694167	0	5	7	7	7	8	9	12	10	10	10	11	11	10	13	13	13	13	12	13	14	12	15	15	16	11	14	15	15	16	14	15	14	17	17	16	18	20	20	20	18	20	21	19	21	22	23	23	23	21	23	24	25	24	26	28	25	26	26	26	25	25	26	28	29	27	29	30	29	31	30	29	33	33	33	35	39	42	0	0	2	2	2	3	4	4	3	7	4	10	7	5	26	13	9	12	26	13	14	9	13	22	12	11	19	17	12	19	22	19	0	19	19	31	26	32	36	37	30	36	34	17	41	43	46	46	44	40	46	44	0	46	47	63	9	47	49	47	0	38	57	58	66	63	63	46	38	66	65	57	63	70	70	66	69	76	1	1	1	1	1	1	1	2	3	1	1	1	1	2	1	1	2	1	1	1	2	1	2	2	2	1	1	2	2	3	1	2	1	2	2	1	3	3	2	1	1	1	2	2	2	1	1	1	3	1	1	3	1	2	1	1	5	2	1	2	1	2	1	1	1	1	2	3	4	2	1	2	3	1	1	4	5	4
6500	-576.839010386769928	-575.374874862074762	-1.464135524695168	0.000209907626082	0.000067761364582	0.322815163255779	0.570406752732021	0	3	6	7	7	7	8	10	10	9	11	9	12	12	13	13	12	13	13	13	13	14	13	15	15	11	14	14	16	14	15	15	15	17	18	16	18	21	20	19	16	18	21	20	21	22	24	22	24	23	24	23	23	25	24	28	25	24	27	26	26	27	26	28	29	28	30	30	30	30	32	28	34	33	35	32	39	41	0	0	2	3	2	3	4	4	5	5	5	7	9	26	14	14	11	12	3	8	11	17	7	17	21	5	15	14	9	15	17	27	0	15	27	11	11	11	24	30	21	17	34	31	41	43	38	41	52	39	41	42	0	38	46	63	29	46	49	51	0	40	57	54	63	63	63	64	66	63	69	57	76	69	74	67	57	57	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	2	3	2	2	2	3	1	1	2	1	1	4	1	2	1	1	2	2	2	2	4	2	2	2	3	2	3	3	1	2	3	1	2	3	2	1	3	1	1	4	1	1	1	1	4	1	1	2	1	2	2	1	3	1	1	1	2	1	1	7	8
7000	-589.531385148126219	-587.851867938505734	-1.679517209620504	0.000289215873490	0.000060747746277	0.210042918958146	0.563175241736721	0	5	6	8	8	7	10	12	11	10	10	10	13	11	13	12	12	13	12	13	13	14	15	15	15	13	15	14	12	15	13	15	14	16	17	16	16	20	21	19	19	20	20	20	22	23	23	22	23	24	24	24	24	24	26	28	25	25	26	26	27	27	26	28	28	28	26	29	30	30	31	30	33	32	34	35	38	41	0	0	2	3	6	3	2	10	10	4	5	4	2	11	17	10	5	2	11	5	9	9	26	28	4	11	13	31	3	29	11	11	0	19	19	22	26	27	36	34	18	22	41	36	29	41	43	38	44	30	43	38	0	43	50	67	42	48	49	45	0	58	25	47	67	67	57	54	66	66	70	57	70	69	74	75	42	50	1	1	1	1	1	1	2	1	1	1	1	1	4	1	1	1	2	4	1	2	1	1	1	1	4	3	1	1	3	2	1	2	1	2	3	1	2	2	2	1	2	5	1	1	5	2	2	1	1	4	2	2	1	1	2	1	2	2	1	2	1	1	5	2	1	1	1	2	1	1	1	2	2	1	1	1	7	7
7500	-609.415170013297711	-607.688687273141113	-1.726482740156598	0.000300119506445	0.000058716970302	0.195645298094313	0.525705714888610	0	5	6	8	7	8	9	11	9	9	10	10	12	11	11	11	13	12	12	12	13	13	14	16	15	14	15	16	16	15	15	15	14	16	17	17	19	20	21	19	19	20	22	19	21	22	23	23	22	22	23	23	25	25	25	26	25	26	27	25	27	27	28	28	28	29	28	30	31	30	30	29	34	32	33	34	39	42	0	0	2	2	2	3	6	2	4	4	9	10	16	7	11	7	15	2	15	16	14	9	3	11	5	19	15	14	32	19	23	11	0	25	30	22	26	34	31	16	30	28	37	24	37	23	40	27	22	35	46	27	0	51	51	57	24	47	49	47	0	41	24	47	56	56	62	55	70	66	65	23	66	69	69	66	72	63	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	4	1	1	1	2	4	4	3	1	4	3	1	1	1	3	1	1	1	2	2	1	2	4	2	2	2	1	1	3	2	3	3	3	1	3	1	1	1	1	3	2	3	1	1	4	8	2	1	1	1	3	1	1	1	6	3	1	1	2	9	6
8000	-594.490169067215675	-592.838533219277451	-1.651635847938236	0.000230708467166	0.000050671564731	0.219634612260057	0.453911417875050	0	5	7	9	7	8	8	12	10	9	10	10	12	8	14	13	11	12	12	12	12	14	13	14	13	13	14	16	16	15	14	15	14	16	18	15	18	20	18	18	18	20	21	20	22	22	25	22	24	21	22	23	24	25	25	27	26	23	26	26	26	27	26	28	29	28	30	30	31	30	31	32	33	34	34	34	37	40	0	0	2	2	2	3	2	4	14	2	14	4	7	5	19	21	7	12	11	7	14	21	4	11	7	2	19	24	12	15	26	11	0	26	24	31	27	39	17	15	29	26	41	29	9	40	48	43	44	41	43	32	0	46	46	45	21	38	42	46	0	47	29	58	66	56	65	54	67	66	67	29	66	73	69	69	57	72	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	1	2	3	1	3	2	2	4	2	1	4	1	1	3	1	2	2	1	2	1	3	2	1	4	2	1	6	3	3	1	2	1	1	5	1	2	2	2	10	2	3	2	1	1	5	3	1	1	1	3	1	1	1	10	3	1	1	2	6	4
8500	-647.639249861159328	-646.034193317738755	-1.605056543420619	0.000341526695010	0.000081232209590	0.237850249414950	0.471869162292884	1	4	6	8	7	8	9	11	10	8	10	10	12	11	13	10	12	12	12	13	13	14	14	14	15	13	13	15	15	15	15	16	15	17	18	16	18	20	21	19	19	19	21	21	21	21	24	22	22	24	23	22	24	24	26	26	25	26	26	27	26	27	28	28	27	29	28	30	31	31	31	32	33	33	33	34	39	40	0	0	2	2	2	5	2	11	10	2	2	5	9	9	11	6	11	11	4	8	7	17	16	17	23	5	11	19	20	5	22	24	0	21	15	15	22	28	40	3	31	17	34	24	32	40	45	42	21	36	42	35	0	46	46	29	42	40	45	51	0	41	65	54	57	67	65	35	66	66	66	56	66	66	66	67	30	72	1	1	1	2	2	1	2	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	3	1	2	1	4	1	1	1	2	3	2	1	2	1	4	2	5	2	2	2	1	2	2	3	4	3	3	1	1	3	7	3	3	3	2	1	5	1	3	1	1	1	5	1	1	1	4	2	2	2	3	14	3
9000	-626.188141212445885	-624.676848152314960	-1.511293060130959	0.000296963440081	0.000085234358039	0.287019701871184	0.598337087414356	0	5	6	9	7	7	9	10	10	10	10	11	12	11	13	11	12	12	12	13	13	12	13	14	16	14	15	14	15	15	14	16	15	16	15	16	18	19	19	19	19	18	21	21	20	22	24	22	23	23	24	24	25	24	25	26	25	25	26	27	26	25	27	27	28	28	29	29	30	29	31	30	33	32	34	34	39	41	0	0	2	2	2	3	2	2	4	2	6	5	8	5	17	8	9	12	9	16	13	9	16	17	14	19	26	22	9	22	22	28	0	29	19	31	32	27	31	27	13	31	40	36	34	29	43	45	11	44	43	46	0	38	43	41	21	43	42	47	0	40	56	55	63	11	63	62	70	63	67	46	74	69	73	73	72	57	1	1	1	2	1	1	2	2	1	2	2	1	2	2	1	1	1	1	1	1	1	1	1	2	3	1	1	1	3	2	1	1	1	1	1	1	1	2	4	2	4	2	1	3	3	3	2	1	6	1	2	1	1	2	2	3	4	2	3	1	1	3	1	1	1	6	1	1	1	1	2	3	1	1	1	1	4	8
9500	-645.656691089404376	-643.799808723438787	-1.856882365965551	0.000368544465945	0.000060461591297	0.164055078515599	0.500356525676052	1	5	6	7	8	7	10	11	11	9	11	10	12	9	14	12	11	12	12	12	13	14	14	15	14	13	15	15	15	15	14	16	14	13	15	15	18	20	21	19	17	21	20	20	21	23	24	22	22	23	22	21	25	24	24	27	25	25	26	27	26	27	27	28	28	28	30	28	29	29	32	32	33	32	34	34	38	41	0	0	2	2	2	3	3	10	2	4	5	4	9	5	14	12	2	3	9	5	8	14	16	9	9	4	18	19	19	21	10	30	0	14	26	9	21	11	28	35	25	34	41	34	26	43	43	41	24	32	40	15	0	43	51	57	31	43	50	50	0	24	40	47	56	38	69	43	65	65	70	57	65	70	74	71	72	62	1	1	1	1	1	1	3	1	2	2	2	2	1	1	3	1	2	3	1	2	1	4	1	2	2	2	2	2	2	1	3	1	1	2	1	2	3	4	3	2	1	3	1	4	4	2	2	3	3	4	1	2	1	2	1	1	5	2	2	1	1	4	3	3	1	5	1	3	1	1	3	4	4	2	1	1	3	5
