step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107
1	-21218.258928701081459	-21224.198125920167513	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.711033152163607	0	0	2	3	3	5	5	7	5	9	9	10	10	10	11	10	13	13	12	13	14	14	14	14	15	15	16	15	16	15	19	17	18	17	17	18	18	19	19	20	20	20	21	20	23	21	21	23	22	25	23	25	24	25	24	25	25	28	27	27	27	28	29	29	29	29	29	29	29	29	33	32	31	30	33	32	35	35	35	38	38	38	40	40	42	43	42	42	43	42	43	46	45	45	45	47	47	49	51	52	52	55	54	59	59	59	61	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	4	3	5	5	5	5	5	6	5	7	7	6	7	7	7	7	7	8	8	8	8	8	8	10	9	9	9	9	9	9	10	10	10	10	10	11	10	12	11	11	12	11	13	12	13	12	13	12	13	13	14	14	14	14	14	15	15	15	15	15	15	15	15	17	16	16	15	17	16	18	18	18	19	19	19	20	20	21	22	21	21	22	21	22	23	23	23	23	24	24	25	26	26	26	28	27	30	30	30	31
500	-3267.500532039493464	-3273.439729258578609	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.151800511033974	-2	0	2	2	3	5	5	7	6	9	7	10	8	10	10	11	13	12	12	13	11	15	14	11	15	13	17	15	16	12	19	17	18	17	17	18	15	20	19	20	20	20	22	21	20	21	21	23	19	24	24	25	25	26	24	25	26	29	27	27	27	28	29	26	29	29	29	30	30	30	33	33	31	30	33	33	36	35	36	39	39	39	41	41	42	44	42	43	43	41	41	47	45	46	46	48	47	49	51	52	53	56	54	59	60	58	62	0	1	2	2	3	5	5	6	6	7	6	6	0	8	8	8	14	13	14	8	11	21	18	2	11	14	17	17	26	14	36	25	29	30	30	11	13	26	30	30	30	30	24	33	13	35	30	24	1	37	24	42	24	0	40	11	37	30	29	46	55	24	55	24	37	41	61	36	37	26	37	37	37	36	24	24	24	24	37	37	45	45	49	45	24	24	0	24	24	0	0	48	64	24	0	64	49	45	49	49	49	64	49	49	64	49	49	1	1	1	1	1	1	1	1	1	2	2	2	1	2	2	1	2	1	1	3	2	2	1	6	5	1	2	1	2	2	1	1	1	2	1	8	3	3	5	3	7	5	10	2	8	2	6	10	13	5	10	3	9	1	3	11	7	13	5	3	2	11	4	15	7	5	1	10	14	16	12	14	10	7	13	13	14	18	15	19	13	10	17	14	18	18	1	25	16	1	1	20	14	22	1	19	21	25	27	23	22	25	26	30	25	23	26
1000	-3288.581362073444780	-3294.520559292529924	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.146646838436650	0	1	2	2	4	3	5	7	6	8	9	11	10	10	11	10	13	13	13	10	12	14	14	11	14	14	17	16	16	15	18	17	19	18	18	18	16	18	20	20	20	20	21	21	23	21	19	24	19	24	23	26	24	25	24	23	25	28	26	27	27	29	29	30	29	30	29	29	26	30	33	32	30	28	33	32	35	36	36	35	38	39	41	41	42	44	41	43	43	42	43	47	45	46	46	48	48	50	52	52	52	56	54	60	60	60	61	0	1	2	2	6	3	5	6	6	7	8	8	0	11	8	8	15	13	15	11	8	21	18	8	14	15	21	22	26	26	25	30	30	26	30	29	18	26	29	34	30	47	24	32	37	40	38	24	8	37	24	47	24	0	41	47	49	42	55	35	32	24	55	24	49	29	46	41	24	41	37	24	49	46	43	49	49	37	49	24	73	49	49	49	49	51	0	24	57	0	0	49	69	49	0	69	49	69	69	49	69	49	69	49	80	80	69	1	1	1	1	1	1	1	2	2	2	1	2	1	1	3	2	1	2	1	1	2	1	1	3	2	2	2	2	1	1	3	2	2	3	2	1	2	2	2	1	3	1	8	2	3	1	1	8	9	6	8	5	6	1	2	2	4	6	1	3	6	11	3	10	6	7	2	6	15	8	12	13	6	3	7	7	9	13	12	15	6	9	14	15	11	13	1	22	10	1	1	17	16	22	1	19	21	24	23	23	21	25	24	28	22	20	27
1500	-2510.220146662222305	-2516.159343881307450	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.169494826675651	-2	0	2	3	3	4	6	6	6	9	10	11	10	9	12	10	14	13	13	13	13	13	11	13	15	15	16	15	17	16	19	15	18	17	17	18	16	20	20	21	20	19	20	19	23	21	21	20	23	24	20	26	23	26	24	25	25	28	28	26	28	29	28	29	29	28	30	30	26	26	33	29	30	29	33	30	35	35	35	37	38	39	40	41	41	42	42	43	44	41	44	47	45	46	45	48	48	50	51	53	53	56	54	59	60	60	61	0	1	2	2	3	5	5	6	6	7	7	14	0	6	8	8	15	23	14	14	11	14	13	23	21	8	21	21	19	14	25	19	26	14	32	32	18	33	36	33	34	29	37	29	37	26	30	18	18	24	37	42	37	0	29	42	43	26	60	29	29	43	60	53	50	30	61	29	23	47	51	24	57	60	50	48	57	48	62	53	64	48	50	57	57	57	0	51	48	0	0	69	69	48	0	69	72	69	69	69	72	69	69	72	72	93	72	1	1	1	1	1	1	2	2	2	2	2	1	1	3	3	2	2	1	2	3	2	3	1	1	1	4	1	1	3	5	2	1	2	2	1	2	2	1	1	1	2	1	2	1	4	3	3	4	4	6	2	4	4	1	4	3	3	7	1	3	6	8	1	2	2	7	1	9	14	3	11	15	3	2	5	6	5	9	4	9	7	11	9	9	8	9	1	20	10	1	1	14	13	19	1	19	18	24	22	20	20	26	18	24	23	15	26
2000	-2482.524491591602327	-2488.463688810687472	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.170519021742772	-1	1	2	3	3	5	5	7	6	9	8	9	9	11	11	10	12	13	13	13	15	15	14	11	14	14	16	16	15	15	19	17	16	17	17	19	18	18	19	21	20	20	21	21	24	21	21	21	23	24	22	26	24	26	24	24	23	28	27	27	27	27	29	30	28	30	30	28	28	29	33	29	31	30	31	32	33	36	36	39	38	39	39	41	41	44	42	41	43	42	43	46	42	46	45	48	48	50	52	53	53	56	55	60	59	60	62	0	1	2	2	3	5	5	6	6	7	6	8	0	8	11	11	12	13	14	8	17	8	13	13	14	8	11	17	14	14	22	11	29	30	29	30	18	30	26	34	36	38	37	33	51	35	26	37	18	51	37	56	23	0	46	47	37	47	26	55	55	43	59	43	51	55	55	32	24	58	51	24	53	46	51	62	53	43	72	64	71	51	76	57	57	65	0	53	64	0	0	72	72	53	0	72	72	69	72	69	72	72	72	72	72	93	72	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	2	2	1	2	2	3	2	2	2	5	3	2	3	2	2	5	1	2	1	2	2	1	2	2	1	1	2	2	2	3	2	2	5	1	2	1	4	1	1	1	3	3	6	1	1	5	1	5	2	3	3	5	11	1	5	13	2	5	3	2	6	8	5	5	3	10	3	8	10	8	1	9	7	1	1	12	9	12	1	18	16	21	21	19	20	24	15	22	22	14	24
2500	-2406.612547169963364	-2412.551744389048508	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.225858280388163	-2	-1	2	4	3	5	5	8	4	10	9	10	10	11	11	11	11	14	13	13	14	13	14	15	14	15	17	16	16	16	19	17	18	17	18	19	17	20	19	21	20	20	18	20	23	22	22	24	22	26	22	26	24	26	24	25	24	29	27	27	27	27	30	29	29	29	29	28	30	28	33	29	32	30	33	32	36	35	34	39	37	38	40	41	42	43	41	42	43	39	43	47	44	46	45	48	48	49	51	53	53	56	55	60	60	59	62	0	1	2	2	3	5	3	6	5	7	5	11	0	8	8	5	8	13	14	15	17	11	13	13	17	25	25	22	26	19	25	26	11	30	19	30	24	32	35	29	35	35	24	39	37	30	33	45	24	53	18	33	43	0	40	47	43	70	40	46	46	43	59	51	51	61	60	61	43	47	53	43	62	60	57	65	71	62	72	69	62	65	64	65	81	57	0	76	65	0	0	72	72	65	0	72	72	69	72	72	72	72	90	90	90	93	72	1	1	2	2	1	1	2	2	1	2	4	1	1	2	2	4	1	2	1	1	2	2	2	2	3	1	2	2	1	2	2	1	5	1	3	1	1	1	1	3	1	1	2	1	3	3	2	1	5	1	2	4	3	1	2	2	2	1	3	2	2	5	2	5	4	1	2	1	8	3	3	10	2	2	6	1	2	5	2	5	4	5	7	6	3	10	1	5	7	1	1	12	9	10	1	16	15	16	18	18	19	24	16	18	20	11	24
3000	-2590.448166890816537	-2596.387364109901682	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.230395926356839	-1	1	2	3	4	5	5	7	6	10	9	10	11	9	11	10	13	13	12	11	14	13	14	14	15	14	17	16	15	15	20	15	19	17	17	17	18	19	18	20	21	21	18	20	22	22	22	24	21	26	22	26	25	26	24	24	23	28	24	28	26	28	29	29	28	30	29	28	30	30	33	29	32	31	32	31	36	35	35	39	36	39	40	41	42	43	42	42	43	39	43	47	45	46	46	46	47	49	51	52	53	56	55	59	60	60	62	0	1	2	2	3	3	5	6	6	7	5	8	0	8	14	6	6	13	11	6	17	20	18	18	22	19	21	17	26	26	25	19	19	26	29	26	24	36	36	35	36	36	24	39	23	19	42	45	37	49	37	47	48	0	46	47	51	56	40	59	55	43	55	51	57	55	55	61	57	52	64	43	65	60	64	62	69	65	72	64	62	76	76	76	64	64	0	76	64	0	0	45	72	81	0	45	72	72	72	72	72	72	90	90	90	98	90	1	1	1	1	1	2	1	1	1	3	3	1	1	1	1	2	3	1	2	2	1	1	1	1	2	2	2	2	1	1	2	1	4	2	1	2	2	1	1	2	2	2	3	1	5	4	1	1	2	2	1	2	1	1	1	2	1	2	2	3	1	5	3	3	2	3	2	1	4	3	2	7	2	2	3	1	4	4	3	4	5	5	4	6	6	8	1	5	8	1	1	13	9	7	1	14	13	13	16	17	18	25	16	18	19	8	20
3500	-2944.912961025225286	-2950.852158244310431	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.270033960811711	-2	1	0	3	4	6	6	8	6	8	9	9	11	9	11	11	13	14	12	13	14	12	13	14	16	15	16	16	16	14	19	17	17	17	18	18	17	19	19	21	21	20	21	21	22	20	21	23	22	26	23	23	25	24	23	25	23	29	26	28	26	28	28	29	29	29	29	28	28	30	31	31	30	30	32	32	35	36	34	38	38	38	40	40	42	44	42	42	43	39	43	45	42	46	45	46	47	49	51	53	53	55	55	60	59	59	62	0	3	1	3	3	3	3	7	5	6	6	6	0	6	8	12	6	13	8	15	8	11	13	13	22	11	17	22	26	14	17	29	30	26	29	26	23	34	30	29	36	30	37	30	24	29	42	43	37	45	49	30	57	0	35	47	43	47	40	59	55	57	55	51	51	55	61	61	43	52	65	65	65	59	57	72	79	65	62	76	76	72	75	76	72	76	0	76	72	0	0	8	7	81	0	17	48	17	69	52	90	6	90	90	93	97	90	1	1	1	1	2	3	4	2	1	2	2	2	1	1	1	1	4	2	2	1	3	1	1	2	2	3	2	2	1	2	2	1	2	2	2	1	2	1	3	4	2	3	2	2	3	2	1	2	3	2	1	4	1	1	3	2	1	4	3	1	3	3	2	3	4	3	2	1	4	5	1	2	1	2	3	1	1	3	4	4	4	5	5	4	7	6	1	4	6	1	1	15	13	3	1	12	10	15	18	16	12	23	14	18	15	7	20
4000	-2996.957719502924647	-3002.896916722009792	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.299906196497758	-1	0	2	2	4	3	6	6	6	9	9	11	11	10	10	9	13	13	13	11	14	15	13	14	14	13	16	16	16	16	18	16	19	18	18	17	17	18	18	20	20	21	22	20	23	20	21	23	21	25	22	24	24	24	23	25	25	28	26	28	27	27	29	27	30	30	29	29	30	29	31	32	30	30	32	31	36	34	36	37	38	39	40	40	41	43	42	43	43	39	43	47	42	44	44	46	46	49	49	53	53	55	55	59	60	57	62	0	1	2	2	6	3	5	6	5	7	5	8	0	16	11	8	8	13	14	8	17	12	13	13	12	11	17	11	26	14	25	11	32	36	29	26	18	26	30	35	36	36	37	38	37	29	36	49	37	49	37	42	43	0	46	47	48	52	55	46	46	51	59	51	43	59	59	55	62	47	73	65	51	59	64	62	75	72	75	76	76	72	76	78	76	81	0	72	64	0	0	12	22	86	0	32	12	60	22	73	96	22	90	93	97	98	90	1	1	1	1	1	1	1	2	1	1	2	4	1	1	1	2	3	1	2	2	1	2	1	2	2	2	1	3	2	3	2	5	2	1	1	2	2	2	1	1	2	2	3	1	3	3	2	1	2	2	3	1	1	1	1	3	1	2	2	6	4	3	2	2	3	2	1	4	3	4	1	1	3	3	2	2	3	1	2	3	4	4	5	4	4	2	1	6	7	1	1	17	14	1	1	13	12	15	21	18	7	20	14	17	11	4	20
4500	-2938.393193222428636	-2944.332390441513780	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.293248088232845	-2	0	2	3	3	5	5	7	5	10	9	10	10	10	12	11	12	13	11	13	15	14	12	14	15	15	17	15	16	14	20	17	18	17	18	18	16	19	19	19	20	21	21	20	23	22	20	24	22	25	20	25	23	25	25	25	25	28	26	27	27	28	30	29	30	30	29	29	29	29	32	32	31	31	31	31	35	35	34	39	39	37	41	40	42	44	41	43	43	42	43	44	42	45	46	48	46	49	52	53	53	55	54	60	59	60	62	0	1	2	2	3	5	5	6	4	7	5	6	0	8	12	11	12	13	8	12	17	17	13	18	17	30	25	22	19	19	25	19	34	29	26	30	18	26	33	32	38	47	37	33	37	40	36	53	51	37	37	42	43	0	46	47	43	47	30	55	40	57	61	48	57	55	59	59	62	52	62	76	57	60	51	64	65	76	75	72	78	76	75	72	81	85	0	72	76	0	0	12	51	81	0	64	61	51	75	12	98	51	93	93	96	96	93	1	1	1	1	1	1	2	1	1	3	3	3	1	1	1	1	1	1	2	1	2	1	1	1	2	1	2	1	2	1	2	3	1	1	2	2	2	2	1	1	1	1	2	2	3	2	2	1	1	4	2	3	1	1	1	2	2	3	5	1	7	2	2	3	1	3	1	1	1	3	2	1	2	2	5	1	3	1	1	3	2	3	5	4	1	2	1	6	5	1	1	14	16	3	1	15	10	18	19	19	3	21	11	14	7	6	19
