step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99
1	-4851.758771203191827	-4850.296689118673385	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.300086571513780	0	2	2	6	6	7	5	6	6	7	7	7	9	9	8	8	11	9	10	10	11	12	10	12	10	11	13	14	13	13	13	14	16	15	14	16	16	15	16	18	19	17	18	18	19	19	19	20	20	21	21	21	20	22	23	22	23	23	22	22	22	22	24	24	24	25	24	24	26	24	26	26	26	26	25	26	27	29	27	28	26	29	28	30	29	29	29	28	31	30	29	30	31	32	32	32	34	35	37	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	4	3	3	3	4	4	4	5	5	4	4	6	5	5	5	6	6	5	6	5	6	7	7	7	7	7	7	8	8	7	8	8	8	8	9	10	9	9	9	10	10	10	10	10	11	11	11	10	11	12	11	12	12	11	11	11	11	12	12	12	13	12	12	13	12	13	13	13	13	13	13	14	15	14	14	13	15	14	15	15	15	15	14	16	15	15	15	16	16	16	16	17	18	19
500	-2422.873030263197052	-2418.907652946218150	-3.965377316978743	0.000009994930654	0.000098741667950	9.879174890471358	0.191999621840263	1	2	2	4	5	4	5	6	4	7	8	7	9	7	8	8	12	9	9	11	11	12	10	13	9	11	13	14	11	13	11	14	14	15	14	14	17	15	17	19	19	16	18	17	19	17	18	21	19	18	21	18	20	22	23	22	23	23	21	22	21	22	24	25	24	23	24	25	26	24	26	26	27	26	25	26	27	29	27	29	26	29	29	31	30	29	30	28	32	31	28	30	30	32	33	33	35	35	37	0	1	1	1	9	2	9	6	2	3	8	5	12	9	7	7	16	9	10	19	12	19	7	12	10	19	26	31	12	18	5	19	20	29	29	16	7	16	35	13	43	18	29	22	29	34	42	36	14	29	45	21	42	44	42	35	7	49	33	42	11	29	39	65	60	38	34	63	62	42	0	40	49	56	0	33	12	13	0	61	23	41	14	52	44	36	14	49	50	52	11	18	14	41	50	18	28	27	28	1	1	1	1	1	1	1	1	1	3	1	1	1	3	2	1	2	4	2	1	2	2	4	2	1	1	1	2	2	3	3	3	1	2	2	2	6	4	1	5	1	3	4	4	4	1	2	4	5	4	2	3	2	4	4	6	11	2	4	4	8	8	3	1	1	2	4	1	2	5	1	3	6	4	1	10	14	11	1	7	9	6	14	9	9	7	14	7	13	9	10	11	13	7	13	17	12	10	15
1000	-1693.318622612719309	-1690.110920615840541	-3.207701996878766	0.000010011043714	0.000063027865166	6.295833577745059	0.319497762742479	1	3	3	6	6	8	4	5	7	7	7	8	10	10	9	9	11	8	10	8	11	12	10	12	10	11	12	14	13	14	14	15	16	15	14	15	16	15	16	17	18	18	17	18	19	18	17	21	20	21	21	22	20	22	24	21	20	24	22	23	22	22	25	25	23	26	24	24	26	23	24	27	26	27	25	26	27	29	26	29	26	28	26	31	30	30	29	28	30	30	30	30	31	32	33	33	34	34	37	0	1	1	1	7	4	2	3	7	2	8	7	15	18	12	5	15	5	20	10	12	20	7	12	8	20	19	25	12	24	4	19	27	21	29	6	10	15	2	29	38	35	29	37	35	43	13	29	14	44	42	57	40	44	56	47	13	57	57	35	56	43	67	56	31	54	57	62	52	47	0	60	62	70	0	44	46	66	0	79	62	68	2	79	54	82	14	81	25	49	77	47	71	90	59	57	75	50	39	1	1	1	2	1	1	1	1	2	2	1	2	1	1	1	2	1	1	1	1	2	2	2	3	3	2	1	2	2	1	5	2	1	3	1	4	4	2	8	3	2	2	2	2	2	1	4	5	5	2	1	1	2	3	1	2	5	2	2	4	1	4	1	1	5	1	3	1	3	4	1	2	2	3	1	5	5	1	1	2	4	2	13	5	7	1	11	1	16	6	2	10	6	1	6	13	8	8	12
1500	-1399.777442923493027	-1397.194123577824939	-2.583319345668015	0.000010066064869	0.000040496746620	4.023096129954954	0.353601030326696	0	3	2	4	6	6	5	6	7	7	8	7	9	9	8	8	11	9	11	9	11	13	10	11	11	12	13	14	13	13	11	14	16	16	14	17	17	14	16	17	20	18	18	18	18	19	19	20	20	21	21	21	19	22	24	22	24	23	23	23	22	19	25	24	21	25	24	22	26	22	25	26	25	27	26	26	25	30	26	29	26	29	25	30	30	29	29	29	31	31	30	30	32	32	33	32	34	34	38	0	1	1	2	7	4	4	4	7	4	8	5	7	9	8	7	13	7	20	10	12	20	5	16	5	20	19	31	18	13	23	26	20	30	12	22	26	26	38	25	43	35	29	22	40	32	42	43	21	9	47	40	42	27	56	47	49	49	49	65	43	39	53	49	40	54	39	46	64	51	0	65	62	70	0	44	49	59	0	83	62	59	31	79	54	59	49	79	39	14	88	70	49	41	83	71	93	64	83	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	2	2	2	2	1	2	1	2	1	2	2	2	1	2	2	1	1	4	2	3	2	2	1	2	3	1	2	3	3	1	2	1	1	4	7	1	3	1	6	1	2	3	1	1	1	2	1	3	2	3	2	4	1	1	1	1	2	2	3	1	5	3	2	1	1	4	3	10	3	6	3	5	1	7	9	1	5	11	5	4	7	1	5	8
2000	-1114.235823976018992	-1111.986777284180562	-2.249046691838457	0.000010154565946	0.000030614013419	3.014802757888637	0.537871012826351	0	1	2	4	6	8	4	6	7	7	7	6	10	9	8	7	11	9	9	10	11	12	10	13	11	11	12	14	13	13	13	15	15	15	14	16	16	14	16	18	20	16	17	18	20	18	19	18	19	20	22	21	21	22	23	21	23	20	22	22	22	22	25	24	25	25	25	24	27	25	27	26	26	27	25	27	27	29	25	28	26	28	26	31	29	30	30	27	31	29	29	31	32	31	33	32	35	35	38	0	1	2	2	7	2	2	4	5	2	8	7	9	16	12	7	16	5	10	19	12	19	16	5	4	20	19	15	21	25	27	22	27	29	29	9	10	30	38	29	21	21	25	37	43	36	42	21	40	46	46	43	45	44	56	47	49	49	41	35	45	42	57	49	60	54	52	51	52	64	0	46	62	70	0	54	67	81	0	83	62	62	3	71	76	83	43	67	83	64	66	74	36	78	83	83	89	92	86	1	1	1	1	1	3	1	2	1	3	1	1	1	1	1	1	1	2	1	1	2	2	1	3	4	1	2	3	1	1	1	2	2	1	1	3	3	1	1	3	4	4	3	1	2	1	2	3	1	1	3	3	1	2	1	1	2	1	2	4	1	4	1	3	1	2	2	1	3	1	1	4	3	1	1	3	1	2	1	1	2	3	17	3	1	3	11	1	2	3	2	2	11	1	4	4	1	2	5
2500	-1155.600712882697053	-1153.267442616830067	-2.333270265866959	0.000010133544388	0.000033002603387	3.256768029402827	0.445971294545972	0	1	2	4	6	7	5	5	6	7	7	7	9	9	8	9	10	10	10	11	11	13	11	11	11	11	14	13	13	14	14	15	16	15	13	16	16	16	17	19	19	17	18	17	19	20	20	21	20	21	21	22	20	20	23	22	23	24	22	22	21	22	23	25	23	26	24	22	25	24	26	27	26	26	25	25	26	30	28	28	27	29	26	30	29	29	28	29	30	29	28	30	32	31	33	32	32	36	38	0	1	1	3	7	8	2	4	7	2	8	7	9	9	11	15	5	9	10	19	9	19	16	1	13	19	20	23	15	24	1	28	27	12	15	30	34	22	33	42	43	35	29	27	42	44	42	43	31	38	41	41	45	44	50	47	49	49	51	40	35	48	52	68	60	54	57	25	47	50	0	34	62	70	0	54	67	59	0	83	73	77	4	83	76	77	49	45	83	49	74	70	83	86	83	83	68	65	93	1	1	1	1	1	1	3	1	1	3	1	1	2	1	1	1	2	2	2	1	3	2	2	3	1	1	2	1	3	1	6	1	1	4	3	1	1	2	1	1	1	2	2	2	1	1	1	2	2	2	1	1	1	2	1	1	1	2	1	1	4	1	1	1	1	3	1	5	2	2	1	7	2	1	1	3	2	2	1	1	1	2	13	2	2	2	6	5	2	5	1	3	5	1	5	4	2	7	4
3000	-840.798408012805226	-838.659666486926540	-2.138741525878676	0.000010150040874	0.000027498558777	2.709206703544003	0.556461369166127	0	2	2	6	6	5	5	6	6	7	8	7	9	9	8	8	11	9	10	11	10	11	10	11	11	12	13	13	13	14	13	14	17	15	15	15	17	16	17	18	20	17	18	19	19	19	19	20	21	20	21	22	19	22	23	23	23	22	22	23	22	22	24	21	24	24	24	22	26	25	26	26	26	26	24	26	27	30	26	27	27	29	25	28	29	29	29	28	29	29	30	29	32	32	32	33	35	36	37	0	1	1	3	7	2	2	6	7	6	8	3	12	5	5	9	15	16	10	19	5	19	9	13	18	20	22	23	18	31	25	19	19	29	29	24	28	29	31	35	36	35	35	33	40	37	40	43	29	45	47	37	42	44	47	47	49	49	50	40	50	29	52	33	40	54	57	51	50	56	0	42	62	70	0	54	67	90	0	83	73	44	25	71	76	69	43	67	83	49	81	70	83	88	83	89	93	95	93	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	3	1	2	1	2	1	3	1	1	1	1	2	2	1	1	2	3	1	1	2	2	1	2	2	2	2	2	2	1	1	1	1	5	1	1	2	1	2	1	3	1	1	1	3	1	4	1	2	3	1	1	1	2	1	1	5	2	1	1	1	2	1	1	1	1	6	5	1	2	1	4	3	1	2	3	2	5	2	3	3	2	2	3
3500	-896.785497616419320	-894.867065348306255	-1.918432268113049	0.000010032339374	0.000021399165117	2.133018463480595	0.486673110143602	0	2	3	4	5	5	3	6	6	6	8	8	9	8	9	7	12	9	8	10	12	13	10	11	11	12	14	14	13	13	14	14	16	15	14	16	17	15	16	18	19	16	19	17	19	19	18	20	21	22	20	21	21	22	24	22	23	23	22	21	21	21	24	24	24	26	23	23	26	25	27	24	26	26	25	27	27	28	27	28	27	27	27	30	30	27	30	29	28	30	30	31	32	33	32	33	35	35	35	0	1	2	7	4	3	2	2	5	6	8	5	16	5	2	5	14	7	10	19	12	19	18	14	13	20	19	21	13	25	29	22	27	29	29	13	22	30	17	35	36	35	35	22	29	33	13	24	43	45	45	42	45	44	47	45	14	49	62	38	28	43	54	43	50	54	49	60	72	61	0	38	62	70	0	66	57	55	0	83	73	67	51	75	76	51	86	74	83	64	89	70	83	70	83	89	93	76	93	1	1	1	1	1	1	1	1	1	1	2	2	2	2	4	1	2	2	1	1	2	3	1	2	1	1	3	1	2	1	1	1	1	1	1	2	2	1	2	2	2	1	3	2	3	1	4	3	1	1	1	2	1	2	3	2	5	1	1	3	3	1	1	2	1	2	1	2	2	1	1	3	3	1	1	1	3	2	1	1	1	2	4	3	2	3	2	1	1	3	1	3	4	5	3	3	2	3	1
4000	-804.602532020867898	-802.130960981215594	-2.471571039652265	0.000011718655852	0.000043024080993	3.671417740711389	0.547266520360744	1	2	2	5	7	8	3	6	6	7	8	8	8	9	7	8	11	10	9	10	10	13	10	11	11	11	13	14	13	14	13	15	14	15	14	16	16	14	16	18	20	18	17	16	18	20	20	20	20	19	22	21	20	23	23	22	23	24	21	22	23	22	24	25	23	25	24	23	26	24	26	26	24	27	24	26	27	29	28	29	27	29	27	29	29	28	29	27	29	31	29	30	32	32	33	32	34	35	37	0	1	1	7	7	8	2	2	7	2	8	9	9	5	4	9	5	16	10	19	12	19	16	14	10	20	19	23	14	15	24	26	20	29	29	26	35	27	18	35	35	35	29	33	12	45	42	35	29	43	47	43	45	44	51	47	49	49	41	59	50	40	59	61	50	54	57	48	70	61	0	42	59	70	0	54	49	88	0	83	73	64	36	75	76	51	58	75	83	87	49	70	89	78	89	89	89	87	96	1	1	1	1	2	1	1	2	1	3	2	1	1	2	1	1	2	1	1	1	1	3	1	1	2	1	2	2	2	4	1	2	2	1	1	3	1	1	3	3	3	2	2	1	4	1	1	2	4	1	1	2	1	4	1	2	2	2	1	1	2	2	2	1	2	1	1	1	1	1	1	4	2	2	1	2	4	1	1	1	2	1	8	2	2	4	2	1	1	1	4	3	1	1	2	2	2	4	2
4500	-802.407889740909695	-800.631681168268415	-1.776208572641242	0.000014734922355	0.000026233598869	1.780368992613821	0.529301984402687	1	2	2	7	7	7	5	6	6	8	7	7	10	10	9	9	11	8	10	11	11	13	11	12	10	12	13	15	13	14	11	15	17	14	13	16	16	16	16	17	19	15	17	19	19	20	20	20	20	22	20	21	21	22	24	23	22	21	22	22	22	21	24	24	25	24	24	24	27	25	25	25	24	27	25	26	27	28	27	29	27	29	28	30	28	30	28	28	30	30	30	30	31	32	33	33	34	35	37	0	1	1	8	9	8	2	2	7	6	8	7	18	9	9	9	16	9	10	19	12	19	9	21	10	19	19	29	21	24	8	26	27	29	21	19	6	31	17	42	43	35	14	33	43	36	43	39	43	49	36	45	45	44	47	37	49	29	53	47	62	43	61	32	40	54	57	37	54	56	0	60	43	70	0	54	46	55	0	83	73	30	50	79	76	72	58	54	83	87	80	70	89	91	89	93	89	96	98	1	1	1	1	1	1	2	1	1	1	1	1	1	3	2	2	1	1	1	1	2	2	4	1	1	1	2	1	1	1	3	1	2	1	1	4	3	2	2	2	2	2	5	1	1	1	2	2	2	1	2	1	1	2	3	4	1	6	1	1	1	2	1	5	4	1	1	4	2	2	1	1	3	2	1	2	5	1	1	1	2	6	4	2	1	2	3	2	1	1	1	2	1	1	1	1	2	1	1
