step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73
1	-1185.822585467797580	-1194.873428848248977	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.648549661832419	-4	1	13	15	10	16	16	27	21	19	18	24	25	30	24	24	29	30	36	33	37	36	39	36	32	41	33	35	34	35	39	39	36	41	39	47	39	34	41	50	45	37	39	43	41	43	42	45	44	46	42	46	40	45	41	49	44	47	44	51	55	50	50	48	63	56	54	52	58	53	53	64	72	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-386.212405430352703	-395.263248810804043	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999978057182234	-1	3	14	11	8	16	14	23	19	19	11	17	22	30	26	17	25	27	34	29	23	38	38	31	31	41	31	34	36	39	34	38	32	39	37	43	41	29	43	52	46	39	36	42	41	44	35	35	46	47	44	38	39	43	33	49	39	46	42	42	51	43	49	36	57	56	46	45	51	50	52	63	69	0	1	5	1	1	5	5	12	3	5	1	5	7	15	10	7	4	13	38	5	6	33	33	8	6	24	15	25	18	25	21	19	21	55	38	32	35	12	57	60	29	18	25	17	43	52	18	25	23	31	52	15	55	15	21	59	31	39	28	42	29	26	47	18	61	42	28	35	60	59	67	71	65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-391.163573934804049	-400.214417315255389	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994834374399130	-6	1	13	14	9	20	17	25	22	17	17	26	22	19	27	26	31	32	29	29	32	33	38	34	30	41	33	30	36	34	40	39	35	40	39	52	40	33	41	46	44	34	27	42	38	46	41	37	39	49	43	40	38	35	40	36	47	45	37	53	46	46	52	52	63	53	48	53	58	55	41	57	76	0	1	2	5	2	10	5	10	10	5	4	11	11	11	9	7	13	13	13	13	43	25	30	16	43	54	12	8	43	20	38	25	9	22	19	45	59	6	54	37	56	20	13	59	18	34	18	11	30	71	18	56	29	19	8	12	47	45	12	41	8	49	35	27	66	41	31	62	51	57	21	46	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-368.744778796962180	-377.795622177413520	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989109505877120	-2	2	6	12	11	16	15	28	8	11	21	23	24	20	19	21	29	31	38	27	37	36	39	25	33	41	25	33	32	33	39	39	35	43	31	47	40	31	39	50	42	36	32	39	34	41	40	44	37	41	40	43	39	45	43	46	45	48	45	52	47	44	52	46	62	52	57	52	54	49	58	61	72	0	1	1	9	2	5	10	7	1	3	6	4	15	10	7	7	14	16	35	14	24	38	18	7	20	29	15	27	20	15	29	43	20	30	20	47	30	27	18	41	44	43	16	29	18	18	20	47	25	30	43	37	30	51	33	42	31	41	49	34	42	19	61	39	66	56	57	37	46	61	66	61	65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-361.131167710938314	-370.182011091389654	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991451188002270	-1	4	6	15	10	18	18	26	19	22	17	23	26	33	17	21	26	32	36	30	37	28	38	38	26	39	32	37	35	35	40	40	35	41	40	46	39	34	34	47	45	36	41	39	38	46	40	42	31	44	36	47	43	45	42	52	38	41	45	43	57	48	43	44	59	53	50	46	60	54	46	67	64	0	1	1	3	2	4	5	9	4	6	3	4	16	8	5	7	16	17	13	15	18	25	33	49	9	20	9	27	8	20	30	30	22	42	21	42	30	10	22	50	57	8	26	14	49	44	14	29	25	19	20	35	39	28	51	52	18	51	48	35	66	24	19	45	36	36	47	55	56	62	21	70	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-378.662582233196929	-387.713425613648269	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997178474001358	-7	1	9	14	5	20	16	25	25	15	19	17	21	26	18	17	32	29	40	34	34	35	41	26	31	41	35	35	30	34	38	40	39	40	37	47	39	30	40	47	42	39	38	44	37	44	42	42	44	43	36	42	41	43	41	40	45	30	41	50	49	51	42	45	62	52	55	46	56	51	47	63	49	0	1	2	5	2	3	3	11	16	3	4	2	16	4	4	4	11	4	20	6	58	18	22	11	13	25	58	38	9	14	29	6	22	21	29	48	14	14	21	31	22	30	25	31	24	48	29	18	37	32	58	17	20	38	21	22	35	9	43	55	57	54	37	35	66	68	26	47	62	48	56	69	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-388.053035052430062	-397.103878432881402	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.986547130034286	0	5	13	14	11	18	18	23	24	20	16	22	25	28	27	24	19	28	35	33	34	26	37	22	31	42	35	34	35	35	40	40	40	35	39	49	36	22	41	52	50	39	40	44	43	45	40	47	34	41	31	37	42	47	41	47	30	50	46	50	48	54	45	48	65	58	58	53	57	54	50	57	63	0	1	2	2	2	5	4	6	10	11	4	3	10	11	17	4	4	17	14	16	51	6	25	10	16	27	18	17	38	57	19	25	23	18	19	43	13	6	52	44	61	49	57	31	35	33	27	18	15	15	22	51	34	52	18	55	7	63	32	39	39	61	33	31	48	45	62	46	68	39	63	63	71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-384.532147235772641	-393.582990616223981	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995360255827420	-4	1	17	14	9	15	16	31	25	20	19	24	22	33	26	21	31	30	39	37	35	29	32	33	32	43	35	28	37	29	41	41	33	43	38	38	38	28	41	45	47	35	34	41	41	41	40	36	31	42	43	45	43	40	34	49	43	46	33	53	50	47	48	51	60	48	53	49	57	57	48	62	57	0	1	5	5	2	1	4	10	10	7	6	7	4	22	7	7	12	10	59	23	15	5	12	8	28	38	18	11	15	3	29	24	12	20	15	14	14	7	8	36	31	12	16	33	27	29	49	18	12	24	43	19	20	21	49	29	47	53	15	31	26	26	40	41	68	51	37	34	66	71	39	62	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-380.251097632671133	-389.301941013122473	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991057078205850	-4	2	14	14	14	9	19	29	18	16	21	23	27	30	26	19	28	28	32	31	37	31	42	39	33	33	27	35	27	35	39	38	32	28	38	40	40	19	31	49	43	36	38	35	39	42	33	41	37	46	43	41	41	37	41	46	45	46	40	46	47	45	48	51	65	53	48	46	57	48	51	61	68	0	1	2	2	6	2	5	15	6	6	4	3	12	7	7	6	15	3	11	18	29	13	49	47	29	18	11	8	15	18	47	47	12	12	27	18	49	10	7	24	43	26	14	17	26	22	17	43	26	51	21	28	26	19	25	43	52	43	47	45	52	19	28	62	69	67	47	28	61	43	63	71	65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-373.088044877821119	-382.138888258272459	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991898141987516	-2	2	14	14	6	3	17	28	21	16	19	26	27	31	26	28	29	27	36	33	36	38	39	33	23	38	24	33	33	33	40	41	37	41	32	44	34	29	36	52	48	32	35	31	40	45	41	47	30	42	36	39	42	36	37	48	42	42	41	48	57	49	48	44	64	58	54	51	55	54	48	56	67	0	1	6	5	1	1	4	9	3	5	10	11	9	15	25	12	25	11	12	16	35	17	42	16	10	42	4	16	16	15	51	29	49	28	9	32	13	9	16	23	50	3	14	3	20	31	19	20	13	44	15	13	19	18	44	23	54	28	29	58	56	50	58	26	72	56	36	46	60	53	26	48	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
