step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68
1	-651.867158187659015	-658.722646138618416	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.623898176834989	-1	0	1	2	4	7	5	6	6	7	9	8	8	11	10	9	10	10	10	11	11	10	11	12	12	12	12	12	12	13	13	13	13	13	13	14	15	16	15	16	16	16	18	17	17	18	18	18	18	20	19	20	20	21	21	21	20	22	21	22	23	23	23	24	24	24	30	31	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	3	4	4	4	5	5	5	6	6	5	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	8	8	9	8	9	9	9	10	9	9	10	10	10	10	11	10	11	11	11	11	11	11	12	11	12	12	12	12	13	13	13	16	16
500	-389.704574603211483	-396.560062554170884	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.321027732478875	-1	0	1	3	4	7	5	6	6	7	9	8	8	11	9	9	9	9	10	11	11	11	11	12	12	13	11	10	13	14	13	14	12	13	10	14	15	17	14	16	16	16	19	18	18	19	18	18	19	20	19	20	20	21	20	21	20	22	20	22	23	21	24	23	21	24	30	31	0	1	1	1	4	8	1	4	5	7	1	4	1	1	10	1	6	4	1	1	8	16	0	16	10	14	11	9	15	28	1	1	1	22	1	24	23	9	33	34	1	36	34	30	32	16	7	14	38	44	35	26	38	33	36	47	39	1	31	52	24	1	65	8	51	0	0	0	1	1	1	2	1	1	3	1	1	1	3	3	5	6	1	5	1	3	4	5	3	1	1	2	3	2	1	2	2	2	8	8	7	1	4	2	2	5	1	2	9	1	3	2	1	8	5	4	1	1	5	3	2	5	4	3	3	12	4	1	6	13	3	7	1	1	1	1
1000	-373.138512996859731	-379.994000947819131	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.356531382772174	-1	0	2	2	4	7	5	5	6	8	9	8	9	12	10	8	11	9	10	10	10	9	12	13	12	12	13	13	11	13	12	14	14	13	13	15	15	15	15	16	16	16	17	15	18	18	16	17	17	19	18	20	19	21	19	21	20	20	21	22	24	23	23	24	25	25	30	30	0	1	1	1	1	5	1	1	8	1	4	4	9	15	1	1	8	1	1	11	8	7	0	17	11	19	13	31	22	6	4	12	4	19	22	24	24	19	8	15	18	27	44	19	34	1	25	44	31	31	47	49	47	48	39	28	36	1	46	54	22	51	51	54	62	0	0	0	1	1	2	2	2	1	3	2	1	4	3	4	2	2	5	4	3	5	5	1	2	3	1	1	2	1	1	1	1	2	7	3	6	1	2	1	1	2	4	3	2	1	1	2	3	8	2	1	2	4	1	3	2	3	2	4	2	11	1	1	7	4	3	1	1	1	1	1
1500	-408.124212647644924	-414.979700598604325	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.487800561025848	-1	1	1	2	4	5	5	7	6	7	8	7	8	11	10	10	9	9	9	10	11	9	12	12	12	12	12	13	10	14	13	14	13	13	13	13	16	16	15	16	16	17	18	18	17	18	16	18	18	20	19	20	19	21	21	21	20	22	21	23	23	23	23	24	23	24	30	32	0	1	1	3	1	1	1	2	5	9	9	7	7	8	1	1	10	8	1	22	10	10	0	15	22	22	21	29	1	14	24	7	16	12	1	16	20	3	17	23	12	47	19	16	47	47	30	37	38	38	41	47	44	53	57	25	23	29	44	46	1	41	56	54	51	0	0	0	1	2	1	1	2	2	3	2	1	1	1	2	2	1	7	3	1	1	3	1	2	1	1	1	2	2	1	1	6	2	1	4	2	3	8	2	3	6	3	1	3	1	4	4	1	1	1	1	1	2	3	3	1	1	1	2	3	7	1	2	9	4	1	2	2	1	1	1
2000	-418.348744207065351	-425.204232158024752	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.447306898215502	-1	0	1	3	3	7	5	6	6	5	9	6	8	11	8	10	9	10	8	11	11	10	11	12	13	12	12	12	13	13	14	14	13	13	14	15	15	17	15	17	16	14	17	16	17	18	19	19	17	19	19	21	21	22	22	21	19	22	21	22	23	23	24	24	24	23	30	31	0	1	1	3	1	7	1	5	10	1	1	3	2	13	4	6	13	10	1	11	17	4	0	16	21	17	1	8	3	14	1	11	16	14	24	16	33	19	17	44	35	29	10	31	37	31	16	41	1	34	17	39	29	38	40	47	36	56	50	28	26	31	52	59	51	0	0	0	1	1	1	1	2	1	3	1	1	3	4	2	4	2	2	2	1	3	5	1	1	4	1	1	1	1	5	2	5	1	5	2	1	1	1	2	1	3	3	1	1	1	6	1	1	2	5	2	9	4	5	2	3	2	2	1	2	1	1	5	4	3	2	1	2	1	1	1
2500	-379.751325158470934	-386.606813109430334	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.523329745344001	0	1	1	3	4	7	5	6	7	7	10	8	9	12	9	9	11	9	10	11	9	9	12	11	12	12	11	12	9	12	13	13	12	14	13	14	15	17	15	16	17	15	16	16	16	19	17	18	19	21	19	20	21	21	21	21	20	20	22	22	23	24	23	24	23	24	30	32	0	1	1	1	1	4	3	5	8	7	12	10	9	21	4	5	13	4	5	21	7	10	0	9	4	22	10	4	8	24	24	17	19	32	22	19	15	43	26	31	30	13	26	19	39	43	20	41	1	44	41	48	49	49	40	51	42	26	54	58	51	24	41	54	48	0	0	0	1	1	1	3	1	3	2	1	1	1	1	1	1	2	2	2	1	2	3	1	2	1	1	2	4	1	2	3	1	1	1	1	1	1	2	2	2	1	1	1	2	2	2	3	1	2	3	1	7	2	1	1	1	1	3	1	2	5	1	1	2	9	3	1	4	1	1	1
3000	-369.436933629486020	-376.292421580445421	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.548580063758277	-1	1	0	3	4	8	5	7	6	6	9	8	9	12	10	9	9	11	11	11	11	11	10	12	13	12	11	10	13	14	13	13	14	14	13	11	14	16	16	15	16	16	19	18	17	19	16	18	15	20	20	19	18	22	20	21	21	21	21	22	23	23	23	21	22	25	28	31	0	1	1	1	1	8	4	4	5	1	4	8	10	15	4	4	7	12	8	13	4	4	0	21	10	11	12	1	17	6	36	24	4	28	21	16	27	31	37	35	30	33	38	38	18	22	20	39	16	44	37	45	37	50	43	37	46	42	43	56	51	40	53	31	51	0	0	0	1	1	1	2	2	1	1	2	1	2	3	1	2	1	3	4	2	1	2	1	3	3	1	1	3	1	1	5	2	3	2	1	5	2	1	1	1	2	1	1	1	2	2	1	3	3	2	1	3	1	2	1	2	1	1	2	1	3	1	1	1	6	2	3	1	1	1	1
3500	-436.697971348369151	-443.553459299328551	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.431117175077434	-3	0	0	2	4	8	5	6	6	8	9	8	7	11	11	10	10	9	10	11	11	10	11	12	13	13	12	12	11	12	13	12	12	14	13	14	15	15	14	17	16	16	18	17	16	19	18	18	19	19	18	21	18	22	22	21	20	23	22	23	23	24	22	23	24	23	30	31	0	1	1	3	1	8	3	3	5	9	8	8	3	12	7	1	2	1	8	11	7	9	0	10	21	18	11	8	4	11	1	13	1	29	9	30	33	19	12	34	35	17	37	38	33	31	28	41	44	43	17	41	21	31	37	48	37	51	50	57	51	45	41	18	26	0	0	0	1	2	2	1	4	1	2	2	1	1	1	1	3	2	4	6	4	7	1	1	2	2	1	2	1	2	3	4	3	1	5	2	8	1	3	1	2	1	4	2	1	4	1	1	2	5	3	1	1	1	4	3	5	3	4	1	3	3	2	1	3	3	3	4	5	1	1	1
4000	-400.283927122371608	-407.139415073331008	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.390662732726037	-1	1	1	3	3	8	5	7	6	6	8	8	8	11	10	9	10	9	10	9	10	11	12	11	12	12	12	12	12	12	14	12	13	13	12	14	16	15	14	15	16	15	16	16	18	17	18	19	18	18	19	20	20	22	21	21	18	23	21	22	23	24	23	24	24	23	29	32	0	1	1	3	1	9	3	7	1	2	9	7	8	9	8	1	1	9	1	10	11	12	0	18	21	15	9	8	21	15	9	9	9	14	22	16	36	33	25	20	24	15	17	38	30	26	33	46	31	17	24	38	45	52	37	37	25	41	31	38	48	61	9	59	1	0	0	0	1	2	2	1	2	1	2	1	4	3	1	2	1	2	2	6	6	2	6	1	1	1	1	1	2	1	3	2	1	1	5	2	5	1	1	2	1	1	1	3	3	2	4	1	3	5	2	1	2	3	6	3	1	1	2	4	4	3	2	4	2	1	8	2	10	1	1	1
4500	-420.720895868720618	-427.576383819680018	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.514278394431682	0	1	1	3	2	7	6	6	6	8	10	8	9	11	8	8	10	11	9	12	10	11	11	12	12	13	13	10	10	14	13	13	13	12	12	14	13	15	16	17	15	16	16	18	18	18	18	19	19	19	20	21	21	20	21	21	20	22	22	22	23	23	23	23	22	22	30	30	0	1	1	5	1	5	1	3	2	8	7	7	15	12	1	1	7	10	5	12	1	11	0	7	12	13	15	16	8	14	17	7	1	19	12	16	20	19	37	22	35	36	16	16	42	42	28	39	38	43	41	50	18	19	48	48	42	24	54	57	55	65	30	42	38	0	0	0	1	1	1	1	1	3	3	1	4	1	2	1	1	2	4	5	2	1	4	2	3	1	1	3	1	2	3	1	2	2	2	3	6	1	2	2	1	3	2	3	2	1	4	6	1	1	3	1	2	1	3	1	4	4	1	1	2	4	1	1	1	1	4	3	3	1	1	1
