step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10
1	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.894336347287038	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.558645442889154	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
1000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.354308471132007	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
1500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.354755254436753	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
2000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.366507282512477	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
2500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.371370614176403	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
3000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.230589359173471	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
3500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.357166794615572	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
4000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.224036657485128	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
4500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.263448058936877	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
5000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.329598526858362	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
5500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.456838074524404	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
6000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.440837900047056	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
6500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.323990125401635	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
7000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.398700178471756	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
7500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.202510121742874	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
8000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.382657540954131	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
8500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.341466359937715	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
9000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.336581221219756	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
9500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.362235800799506	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
10000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.323085470682549	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
10500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.343152688702051	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
11000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.268729294281034	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
11500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.365977722827697	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
12000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.298639523013931	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
12500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.273884380705606	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
13000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.398267640335255	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
13500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.414423507931367	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
14000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.296226956552256	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
14500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.379776279587611	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
15000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.504785617434232	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
15500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.330359190794235	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
16000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.305443834689203	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
16500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.282907458863298	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
17000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.327795726433895	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
17500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.289023202635821	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
18000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.336052566838728	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
18500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.316820525731129	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
19000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.392152384578399	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
19500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.285003017233636	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
20000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.287507288312718	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
20500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.301654102519581	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
21000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.409307800952065	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
21500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.343573346531305	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
22000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.458101986982653	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
22500	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.312449296868319	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
23000	-nan	-nan	-nan	0.000000000000000	0.000000000000000	1.000000000000000	0.178359662240794	-1	2	2	2	3	5	7	6	6	8	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	4	4	4	5
