step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66
1	-5593.767980185752094	-5592.305898101233652	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.041066758201749	1	0	2	1	2	2	2	3	4	4	4	4	5	4	4	4	7	7	5	6	6	7	8	6	7	8	7	9	11	9	11	9	9	9	11	10	10	10	12	12	13	13	12	12	12	13	13	13	13	13	13	14	14	16	15	16	16	17	17	18	17	18	20	20	22	24	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	3	2	2	2	4	4	3	3	3	4	4	3	4	4	4	5	6	5	6	5	5	5	6	5	5	5	6	6	7	7	6	6	6	7	7	7	7	7	7	7	7	8	8	8	8	9	9	9	9	9	10	10	11	12
500	-1125.862837675975697	-1123.112534788743460	-2.750302887232350	0.000009999469672	0.000045777915557	4.578034341843665	0.085924676530221	0	-2	2	1	1	-1	2	2	4	4	3	3	5	4	5	5	7	4	2	7	4	8	5	3	4	8	7	9	11	10	12	8	6	10	8	9	10	10	12	12	10	13	13	13	12	13	13	13	11	12	13	14	15	17	16	16	16	18	18	19	18	19	20	19	23	24	6	0	1	0	1	2	1	2	2	1	5	5	7	5	21	12	8	5	5	13	7	17	18	19	11	14	21	24	18	23	24	21	25	25	24	23	35	18	33	25	25	28	23	18	24	35	36	37	33	37	41	41	18	33	44	48	40	41	41	33	52	41	41	41	64	41	1	1	1	1	1	1	2	2	3	2	1	1	3	1	1	1	1	2	1	1	1	1	1	1	1	3	1	4	5	2	4	2	1	2	2	2	1	2	5	7	5	3	5	6	6	4	1	3	4	1	2	3	9	6	1	2	2	6	7	8	3	5	7	5	3	9
1000	-862.197799611335313	-859.395867668889650	-2.801931942445635	0.000010020139650	0.000047666428423	4.757062285478624	0.359847929645249	1	-1	2	1	2	0	3	3	4	3	4	4	5	5	5	5	5	4	5	7	4	7	8	6	5	9	6	8	11	9	10	9	6	9	11	11	10	9	13	13	10	12	13	13	13	14	14	13	12	13	12	15	14	17	16	16	15	17	17	17	18	19	21	20	23	25	6	0	1	0	1	2	1	2	2	1	5	5	7	5	21	12	8	5	11	13	7	17	18	19	5	14	21	24	11	23	24	27	25	25	28	30	28	18	33	33	25	35	36	18	31	35	36	37	33	37	41	41	18	33	53	48	40	41	41	57	41	61	59	59	64	59	1	1	1	1	1	1	1	2	2	2	2	1	2	2	1	1	1	2	1	1	1	1	2	1	2	2	1	1	3	1	2	2	1	2	2	1	1	2	4	5	2	1	1	6	2	2	1	2	2	2	1	3	8	8	1	2	1	5	5	1	4	1	2	1	2	6
1500	-747.477583795842747	-745.098266263262531	-2.379317532580215	0.000009914053133	0.000033632214605	3.392377885522412	0.596261032414676	1	-1	3	0	2	0	2	3	5	5	4	3	4	5	5	4	7	6	4	7	4	8	8	6	8	9	7	9	11	9	11	10	10	10	10	10	11	9	13	13	12	12	12	13	12	13	13	13	11	14	13	14	14	17	15	17	16	18	16	18	17	18	19	19	22	24	6	0	1	0	1	2	1	2	2	1	5	5	7	11	21	12	8	11	5	13	7	17	18	19	11	14	21	24	18	23	24	27	25	25	28	30	28	18	33	33	34	35	36	38	31	35	36	37	33	37	41	41	38	49	53	48	40	51	52	57	52	59	62	62	64	65	1	1	2	1	1	1	1	2	3	2	2	1	1	1	1	1	3	1	2	2	1	1	1	1	2	2	2	2	2	1	2	1	1	1	1	1	1	2	2	2	1	1	2	4	1	1	2	1	1	1	1	1	2	6	1	2	2	4	1	1	2	1	1	1	1	1
2000	-700.142696032855270	-697.293888970275930	-2.848807062579348	0.000009954092946	0.000049001531486	4.922752053119914	0.789716173756840	1	-1	2	2	2	0	3	3	5	4	4	4	5	4	5	5	6	7	5	6	4	8	8	7	8	8	7	9	9	10	11	9	10	10	11	11	11	10	12	13	12	13	13	13	12	13	14	14	12	13	14	14	12	17	16	16	15	16	17	18	18	18	20	20	22	24	6	0	1	0	1	2	1	2	8	3	5	5	7	5	21	12	8	5	11	13	7	17	18	19	11	14	21	19	18	23	24	27	25	25	28	30	28	18	33	49	34	35	36	38	31	35	36	37	33	37	41	41	38	40	44	48	49	51	52	57	59	59	62	62	64	65	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	2	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	3	1	1	2	1	1	1	1	2	2	2	2	1	2	1	1	2	1	1	1	2	1	1
2500	-695.968011368174757	-693.385061031639680	-2.582950336535129	0.000010199363318	0.000041020915560	4.021909435027900	0.710341994708538	1	-1	3	2	2	0	2	3	4	4	5	4	5	4	5	5	6	7	4	6	4	7	9	6	6	8	8	9	11	10	11	9	9	10	10	11	10	8	12	13	11	13	12	12	12	12	12	14	11	12	12	15	14	17	15	16	16	17	16	18	17	18	21	19	22	25	6	0	1	0	1	2	1	2	2	1	5	5	7	5	21	12	8	11	5	13	7	17	18	19	5	14	21	24	18	23	24	27	25	25	28	30	28	18	33	49	34	35	36	38	31	35	36	37	33	37	41	41	44	49	44	48	40	51	52	57	59	59	62	62	64	65	1	1	2	1	1	1	1	2	2	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	1	1	2	1	2	1	2	2	1	1	1	1	2	2	1	1	1	3	1	1	1	3	1	1	1	2	1	3	1	1	1	2	1	2	1	1	2	1	2	1
3000	-697.167051250212239	-694.910523858628380	-2.256527391583855	0.000010449149520	0.000031723448397	3.035983774154989	0.802074026484730	0	-2	1	2	2	-1	1	3	2	4	4	3	4	5	5	5	4	6	5	6	4	7	8	7	7	7	7	9	12	9	8	9	9	9	11	11	11	11	11	13	13	13	12	12	11	14	13	13	11	12	14	15	14	16	16	16	15	16	16	18	18	18	19	20	22	24	6	0	1	0	1	2	1	2	2	3	5	5	7	11	21	12	8	11	11	13	7	17	18	19	5	14	21	24	18	23	24	27	25	25	28	30	28	18	33	49	34	35	36	38	31	35	36	37	33	37	41	41	44	40	53	48	49	51	52	57	59	59	62	62	64	65	1	1	1	1	1	1	1	3	2	1	2	1	3	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	3	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1
3500	-681.096837868529519	-678.649338652794768	-2.447499215734701	0.000010769037995	0.000038743161291	3.597643662094210	0.716916311436599	1	-1	3	1	3	0	2	3	4	4	4	4	5	5	5	5	7	7	5	7	4	8	8	6	7	8	8	9	11	10	10	10	10	10	11	11	11	9	12	13	12	14	13	12	12	13	13	13	12	14	14	14	15	16	14	16	14	18	16	18	17	18	21	20	22	25	6	0	1	0	1	2	1	2	2	1	5	5	7	5	21	12	8	5	5	13	7	17	18	19	11	14	21	24	18	23	24	27	25	25	28	30	28	18	33	49	34	35	36	38	31	35	36	37	33	37	41	41	44	40	44	48	40	51	52	57	59	59	62	62	64	65	1	1	1	1	1	1	1	2	3	2	1	1	1	1	1	1	3	2	1	1	2	1	1	1	2	1	2	1	3	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	2	3	1	1	1	2	1	2	1	1	1	1	1	1
4000	-658.020472330615235	-655.725494418006406	-2.294977912608782	0.000011875196129	0.000037356995448	3.145800291659011	0.703161448157055	1	-1	2	2	2	0	3	3	4	4	4	4	5	5	4	5	6	6	6	7	6	7	8	7	6	8	8	9	11	9	9	9	9	8	12	10	10	11	12	13	12	13	12	13	12	14	13	13	12	13	13	14	15	17	14	17	16	18	15	18	17	17	20	20	22	25	6	0	1	0	1	2	1	2	2	1	5	5	7	11	7	12	8	11	5	13	15	17	18	19	11	14	21	19	18	23	24	27	25	25	28	30	28	18	33	49	34	35	36	38	31	35	36	37	33	37	41	41	44	49	38	48	49	51	52	57	59	59	62	62	64	65	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	3	1	1	1	1	1	2	1	1	2	2	1	1	1	2	1	2	1	1	3	2	1	2	1	1	1	2	1	2	2	1	2	1	1	2	2	2	2	2	2	1	2	1	1	1	2	1	2
4500	-621.788367908109535	-619.419799437916595	-2.368568470192986	0.000014749067064	0.000049564342439	3.360506954367442	0.829524727631558	1	-1	2	2	2	0	2	3	5	4	4	3	4	4	4	4	5	6	5	6	6	7	8	7	7	8	7	9	8	9	10	9	10	9	11	11	10	10	11	13	12	12	12	13	12	13	13	13	11	14	13	14	12	15	15	17	16	17	16	19	17	18	21	20	22	24	6	0	1	0	1	2	1	2	8	1	5	5	7	5	7	12	8	5	5	13	15	17	18	19	5	14	21	24	18	23	24	27	25	25	28	30	28	29	33	49	34	35	36	38	31	35	36	37	33	37	41	41	38	49	44	48	49	51	52	57	59	61	62	62	64	65	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	2	1	1	1	2	1	2	2	2	1	1	1	1	1	1	1	1
