step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96
1	-3728.026577052334233	-3726.564494967815335	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.122487290684299	-1	2	3	3	5	6	6	8	7	9	9	8	9	10	10	10	11	10	12	11	12	12	13	14	13	13	14	13	13	13	14	13	13	13	14	15	13	15	13	14	13	17	15	16	15	15	15	14	16	15	15	16	16	16	15	16	16	16	17	18	18	16	17	17	18	20	17	18	17	18	21	18	20	20	20	19	21	21	22	22	23	22	24	24	25	24	26	24	25	25	26	27	27	28	28	29	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	4	4	5	4	5	5	5	5	6	6	6	6	6	7	6	7	7	7	8	7	7	8	7	7	7	8	7	7	7	8	8	7	8	7	8	7	9	8	9	8	8	8	8	9	8	8	9	9	9	8	9	9	9	9	10	10	9	9	9	10	11	9	10	9	10	11	10	11	11	11	10	11	11	12	12	12	12	13	13	13	13	14	13	13	13	14	14	14	15	15	15
500	-1589.263841153262547	-1586.312239738081644	-2.951601415181015	0.000009987868130	0.000052904039173	5.296829962420261	0.190350395744966	-1	2	3	3	5	6	6	6	5	7	8	8	8	8	8	11	10	7	12	11	10	11	13	12	13	14	11	14	11	13	14	13	14	12	14	16	10	14	13	14	14	18	15	16	13	16	16	14	16	16	15	16	17	17	16	16	16	13	18	17	18	17	18	17	19	21	17	19	18	19	22	19	20	20	19	20	21	20	23	22	23	23	24	25	26	24	26	25	25	25	27	28	27	29	28	28	0	0	1	1	1	4	3	3	3	7	7	7	8	9	9	10	12	4	11	12	14	14	29	14	16	27	18	22	15	13	17	18	11	20	9	14	15	15	27	32	58	29	24	25	10	29	15	18	17	21	21	14	22	37	18	40	41	18	37	9	46	21	18	10	35	14	22	29	37	27	42	38	37	29	45	18	68	27	9	9	37	10	58	58	37	37	15	10	58	58	58	58	18	58	58	6	1	1	2	2	2	2	2	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	3	1	2	2	2	1	3	2	3	4	1	6	6	2	4	2	1	1	4	1	2	3	2	3	5	5	4	4	5	5	4	6	2	1	6	5	9	2	6	5	7	2	11	3	5	5	5	2	3	6	5	4	8	1	5	12	10	9	11	7	10	10	9	13	13	9	7	8	11	12	6	9	13
1000	-1328.634910293580560	-1325.933455390978224	-2.701454902602421	0.000009948025422	0.000043890055908	4.411936444278814	0.293256532060024	-1	1	3	3	5	7	5	7	6	8	9	7	9	9	10	11	11	8	11	12	13	10	14	14	12	13	12	13	13	13	15	12	13	14	13	15	11	16	10	15	14	16	16	13	16	15	15	15	17	15	14	16	16	14	14	16	17	13	17	19	18	15	17	18	19	19	18	18	16	18	21	19	21	21	19	19	22	20	23	23	24	22	25	25	26	23	26	24	26	22	26	27	27	26	28	30	0	0	1	1	3	4	3	3	3	7	7	7	8	9	9	10	12	4	7	12	14	14	29	9	10	39	18	22	15	13	12	18	19	20	14	22	9	29	18	27	58	15	14	25	25	29	23	41	34	35	35	50	22	37	18	40	48	18	37	15	42	14	4	44	51	14	36	54	37	32	42	29	54	59	44	27	73	58	54	37	37	44	58	18	37	54	37	44	58	58	58	18	27	58	58	58	1	1	3	3	1	2	1	2	2	1	1	1	1	2	3	2	2	4	3	3	2	1	1	6	2	2	2	2	2	2	5	2	1	2	2	2	2	2	1	2	1	4	4	1	2	1	1	1	3	2	1	1	4	2	3	1	1	4	4	7	1	4	9	5	2	5	2	3	4	4	3	4	4	3	4	3	1	3	4	7	7	5	7	9	9	5	9	6	9	5	7	11	9	6	8	9
1500	-1295.594507276368631	-1292.606245063571123	-2.988262212797529	0.000010115921994	0.000054968732640	5.433882613077154	0.364720783453657	0	1	2	4	5	7	6	7	8	8	9	8	9	10	10	11	11	9	12	12	11	12	10	14	13	14	14	13	12	13	15	12	13	13	14	14	13	15	12	14	14	17	15	13	15	16	14	15	17	13	12	17	17	14	15	15	17	17	18	19	18	16	18	18	17	21	17	18	18	18	22	18	20	20	19	17	21	22	21	23	23	21	23	22	25	25	25	25	25	26	27	27	26	29	29	29	0	0	1	1	1	3	3	5	7	7	12	3	8	9	9	10	12	4	11	12	14	14	9	14	16	39	32	22	23	13	17	18	11	20	14	22	29	47	18	18	4	23	35	16	25	29	37	41	34	14	21	21	36	37	39	40	41	32	42	46	42	50	4	44	51	52	36	54	54	56	60	42	54	59	44	56	68	6	54	54	77	44	32	4	54	68	69	75	4	84	27	18	63	84	83	32	1	1	2	2	2	2	2	2	1	1	1	3	1	1	2	2	2	2	2	2	1	1	2	2	1	2	2	1	1	3	2	2	2	1	3	1	1	1	1	2	7	4	1	1	1	2	1	1	3	2	1	3	2	1	1	1	2	3	1	1	1	2	7	4	2	1	2	2	3	2	2	1	3	1	3	2	1	7	3	5	1	3	8	9	8	4	4	4	9	1	8	11	6	5	5	11
2000	-1085.908125287074427	-1083.551809053567467	-2.356316233506944	0.000010229220022	0.000034005398225	3.324339309427409	0.371665081674931	-1	2	2	3	5	6	5	7	8	7	9	8	10	10	9	10	9	9	12	11	12	12	12	15	12	14	14	14	14	13	14	13	13	13	14	14	14	16	13	14	12	16	14	15	15	15	15	15	16	14	15	16	16	16	15	16	17	16	17	19	19	16	18	18	19	20	18	18	17	19	21	19	19	20	20	19	20	20	21	21	23	22	22	22	25	24	26	24	24	24	27	28	28	28	28	30	0	0	1	1	3	4	3	3	7	7	7	7	8	9	9	10	12	4	11	17	14	14	15	14	16	39	18	22	23	13	17	18	11	20	21	22	23	47	18	18	18	23	14	25	25	23	23	41	34	21	35	21	36	37	39	40	41	18	42	42	42	24	18	44	51	52	36	54	46	56	60	42	54	42	44	56	68	18	54	54	77	75	78	18	79	77	80	82	4	84	58	4	78	90	78	78	1	1	2	2	1	2	1	3	1	1	1	2	2	1	1	2	1	4	2	1	1	2	1	3	1	1	4	1	1	1	2	2	2	1	1	1	1	1	3	3	2	2	2	3	2	2	2	2	2	1	1	2	2	1	1	1	2	4	1	2	2	1	6	3	2	2	2	2	2	2	1	2	2	2	3	2	1	9	2	3	2	1	1	6	3	2	3	2	9	1	5	16	4	3	5	9
2500	-999.046693425820763	-996.930398447178959	-2.116294978641750	0.000010472152825	0.000027735582019	2.648508141886175	0.471164751187870	-2	1	2	3	6	6	5	8	6	7	8	9	9	10	9	9	11	9	12	11	12	12	13	14	13	12	12	13	11	12	13	13	11	13	15	15	14	15	13	14	13	15	16	15	15	15	15	14	16	13	14	15	17	16	15	16	16	17	17	17	18	17	18	18	18	20	18	18	17	19	21	19	21	20	20	19	21	20	19	23	23	23	23	23	25	24	27	24	25	24	26	28	27	28	29	30	0	0	1	1	3	4	4	5	7	7	7	7	5	9	9	10	12	4	11	12	14	9	29	14	16	18	18	22	15	13	20	27	11	20	50	22	15	23	26	27	18	23	14	25	25	29	15	41	34	21	21	21	36	37	26	40	41	18	42	42	42	14	57	44	51	52	36	54	54	56	60	60	54	59	44	56	68	4	54	73	77	64	78	58	73	77	85	82	3	78	78	5	90	90	78	58	1	1	2	2	2	1	1	1	1	1	2	2	2	2	2	1	1	3	2	2	1	3	1	2	2	2	1	1	1	2	1	1	2	1	2	1	3	1	1	1	2	1	3	1	1	2	4	1	2	1	1	2	2	1	1	1	2	4	1	1	1	2	1	2	2	2	2	1	1	2	2	1	3	2	3	2	2	8	2	2	2	2	1	3	2	2	1	1	11	2	3	16	2	2	7	9
3000	-996.145576329792561	-994.192018732545193	-1.953557597247342	0.000010830216367	0.000024066486819	2.222161220350233	0.471488812527366	0	2	4	2	5	6	6	7	7	7	9	7	9	10	10	11	11	10	13	12	11	12	14	14	13	14	15	14	13	13	14	13	13	14	14	13	13	16	12	14	11	15	15	15	15	14	15	13	17	15	15	17	17	15	15	15	17	15	18	17	19	17	16	16	18	20	16	17	16	19	21	19	20	21	21	20	21	21	22	22	22	21	25	23	25	25	27	23	26	26	26	27	28	29	28	29	0	0	1	1	1	5	3	3	7	5	7	7	8	9	9	10	12	5	11	17	14	15	37	14	10	18	18	22	9	13	17	18	11	20	21	22	9	47	18	18	18	37	24	25	25	29	37	41	34	21	21	21	36	37	26	40	63	32	42	42	42	50	41	44	51	50	36	54	37	56	60	60	54	59	64	56	68	18	54	73	77	64	78	18	73	81	80	75	4	78	84	3	92	92	18	18	1	1	2	1	3	1	2	1	1	1	2	1	1	2	2	2	2	2	3	1	1	1	1	2	3	3	2	1	3	2	2	3	2	1	2	1	3	1	1	2	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	2	1	3	1	3	1	1	2	2	2	2	2	2	1	2	2	3	2	2	8	3	1	1	2	2	7	3	2	2	1	16	3	1	15	1	1	10	9
3500	-1007.038913473783168	-1004.622797871486227	-2.416115602296949	0.000011774375656	0.000041239620510	3.502488940114167	0.461812763826555	0	3	2	4	6	7	5	8	7	9	9	7	10	9	10	11	11	8	12	12	12	11	12	14	13	14	13	13	13	12	14	12	13	14	14	15	14	15	11	12	13	15	15	15	14	16	14	15	16	16	15	16	17	15	15	14	17	17	16	18	19	15	16	18	17	18	17	19	18	18	21	19	19	18	20	18	22	21	23	23	23	22	25	24	24	25	26	21	26	25	25	26	28	28	29	30	0	0	1	1	3	1	3	3	7	7	7	7	8	9	14	10	12	4	11	12	14	14	15	21	16	39	18	22	15	13	20	18	11	17	15	22	23	47	18	18	18	23	14	25	25	29	23	41	34	21	21	21	36	23	26	40	63	32	42	42	42	35	41	44	51	35	36	54	54	40	60	60	69	42	44	56	68	18	73	73	77	75	78	32	80	77	79	64	18	84	84	18	92	92	32	18	1	1	1	2	2	3	2	3	2	2	2	1	2	1	1	1	2	2	2	3	2	1	1	1	2	2	2	2	1	1	1	2	2	2	2	2	1	1	1	2	2	2	2	1	1	2	2	1	2	2	1	2	2	2	1	1	1	2	1	2	3	1	2	2	2	2	1	2	2	4	2	1	1	2	3	3	1	5	2	2	1	1	1	5	1	2	3	1	14	1	1	11	1	1	8	14
4000	-969.694510740016199	-967.545322523194841	-2.149188216821399	0.000012363486194	0.000033846564864	2.737623056560234	0.523647689333463	0	2	2	4	4	6	5	8	8	8	8	7	10	10	10	11	11	7	11	10	12	12	12	13	13	14	14	14	12	13	15	12	13	12	14	14	14	14	11	14	10	15	15	15	16	14	15	14	17	14	16	16	17	14	15	15	15	16	18	18	17	16	14	17	19	21	18	19	18	18	20	19	20	20	20	19	21	21	22	22	24	21	25	23	24	24	26	24	26	23	26	26	26	27	29	30	0	0	1	1	3	4	3	5	7	7	7	7	3	9	9	10	12	4	11	12	14	14	9	14	16	39	18	22	9	13	17	18	11	17	21	22	23	29	18	32	18	46	14	25	25	29	38	41	34	21	35	35	36	29	39	40	63	27	42	42	42	35	41	44	51	35	36	54	54	56	60	60	69	42	64	40	68	27	73	73	77	75	78	27	80	77	80	75	27	27	84	39	90	92	27	4	1	1	1	3	1	1	2	2	1	2	2	1	3	1	1	2	2	1	2	2	1	1	2	2	1	2	5	1	2	1	3	2	2	1	2	1	1	1	2	1	1	1	2	1	2	1	1	2	2	2	1	1	2	1	1	1	1	2	1	1	2	2	2	2	2	3	2	2	3	2	1	1	1	3	2	3	1	5	1	2	2	1	2	4	1	2	2	2	11	3	1	15	2	1	6	9
4500	-907.011234877937795	-905.139212255078405	-1.872022622859335	0.000014579184685	0.000029400320452	2.016595652516590	0.457334943193707	-1	2	3	1	5	6	6	8	7	9	9	9	9	10	10	10	8	10	12	11	12	11	12	14	13	13	13	13	12	13	13	14	14	14	14	14	14	14	14	14	13	16	16	16	15	15	15	15	16	14	15	15	17	16	16	15	16	16	17	18	18	17	17	18	18	19	17	18	18	18	20	19	19	19	20	19	21	19	21	22	21	22	24	24	26	25	27	25	25	25	27	27	27	28	29	28	0	0	1	1	3	4	5	5	7	7	7	17	8	9	9	10	7	4	11	12	14	14	15	14	10	18	18	22	15	13	12	27	11	20	21	22	23	23	18	18	6	23	24	25	25	29	29	41	34	21	21	21	36	37	26	40	41	39	42	42	42	52	41	44	51	52	36	54	37	56	60	60	54	59	64	56	68	18	73	73	68	64	78	18	80	81	80	82	18	39	89	4	90	92	39	18	1	1	1	1	1	3	1	2	1	1	1	1	1	2	2	1	1	4	2	1	1	1	1	2	3	2	2	1	1	2	3	1	3	2	2	1	1	1	3	2	6	2	1	2	1	2	2	2	1	2	1	2	2	1	2	1	2	1	1	2	1	2	2	1	2	2	2	2	2	2	1	1	2	1	2	2	2	3	2	1	2	2	2	6	3	3	2	2	9	4	1	16	1	1	7	7
