step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68
1	-1753.405846519522584	-1751.943764435003686	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.773219510021205	-1	0	1	2	4	7	5	6	6	7	9	8	8	11	10	9	10	10	10	11	11	10	11	12	12	12	12	12	12	13	13	13	13	13	13	14	15	16	15	16	16	16	18	17	17	18	18	18	18	20	19	20	20	21	21	21	20	22	21	22	23	23	23	24	24	24	30	31	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	3	4	4	4	5	5	5	6	6	5	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	8	8	9	8	9	9	9	10	9	9	10	10	10	10	11	10	11	11	11	11	11	11	12	11	12	12	12	12	13	13	13	16	16
500	-632.933273420566366	-629.730517843639973	-3.202755576926361	0.000010012330909	0.000062833364906	6.275598107627118	0.457389621876053	-1	1	0	3	5	6	6	5	7	8	9	8	8	11	11	8	10	10	10	11	12	10	10	12	13	13	12	12	13	12	13	14	14	14	13	13	15	16	14	17	15	17	18	17	16	18	19	19	18	20	18	20	18	21	20	21	21	23	19	23	24	23	23	24	24	23	29	31	0	1	1	2	4	4	4	3	7	7	13	4	7	11	12	8	13	10	9	11	13	13	16	10	22	11	19	5	23	7	20	21	23	21	13	12	18	30	28	41	31	36	29	11	20	23	33	27	38	18	41	53	25	47	38	50	0	41	24	39	45	49	57	56	58	0	24	5	1	1	1	1	1	2	2	3	1	1	1	2	2	1	2	1	1	1	2	1	2	1	1	2	1	2	1	4	1	2	1	1	2	2	2	2	2	2	1	2	1	2	2	4	1	4	3	3	1	5	2	1	2	1	1	1	1	4	4	5	4	3	1	1	1	1	9	14
1000	-538.378296940543805	-535.461006839656534	-2.917290100887222	0.000009963640299	0.000051515087303	5.170307815203992	0.484361410200009	-1	1	1	3	4	8	5	7	6	6	9	5	8	10	10	10	9	8	10	11	10	10	12	13	10	12	12	12	13	10	14	13	12	13	13	14	15	15	15	17	16	16	17	17	18	19	17	18	16	21	19	20	20	20	21	21	20	21	22	23	23	23	23	24	25	24	28	29	0	1	1	3	3	9	4	12	5	5	9	3	7	13	9	9	2	10	6	11	7	10	30	26	7	22	13	4	23	9	26	15	16	5	28	29	15	8	34	29	15	36	15	36	21	38	26	41	16	48	41	44	43	40	45	15	0	41	45	56	54	51	56	57	66	0	24	45	1	1	2	1	2	1	1	2	1	2	2	2	1	1	2	2	4	1	2	2	3	2	2	1	2	1	2	4	1	2	1	2	1	2	1	1	2	5	1	2	3	1	3	2	5	3	3	1	3	1	2	1	2	2	2	7	1	3	4	1	1	2	1	2	1	1	5	3
1500	-565.591939675728213	-562.571813500981534	-3.020126174746721	0.000010013247366	0.000055619453507	5.554586986112403	0.454727412603580	-1	0	1	2	5	8	5	6	6	7	9	7	8	11	10	9	9	10	10	11	10	10	11	12	13	12	11	12	13	14	13	12	13	12	13	14	15	16	14	16	17	16	18	18	16	19	18	16	19	20	19	20	19	21	19	21	20	21	21	23	24	23	23	24	24	24	30	30	0	1	1	2	1	9	4	3	7	9	13	5	7	11	12	12	12	10	17	11	13	8	11	4	27	22	13	8	27	22	17	5	26	8	20	19	39	24	19	39	40	24	31	38	34	23	30	33	9	43	41	24	15	43	10	5	0	41	24	56	50	57	46	60	60	0	64	56	1	1	1	1	2	1	2	3	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	4	2	1	1	4	1	4	2	4	1	3	1	2	1	2	2	1	1	2	3	1	2	4	1	2	9	1	1	4	4	1	6	8	1	2	5	1	2	2	2	1	1	1	4	2
2000	-535.163387336094502	-532.439247238817302	-2.724140097277155	0.000010249819978	0.000046008154572	4.488679281098881	0.535676147499141	-1	0	2	2	5	7	5	6	7	8	8	7	8	12	11	9	10	11	10	12	10	10	11	12	12	12	12	11	11	13	13	13	13	12	13	14	15	16	15	15	17	17	17	17	17	18	18	18	18	19	19	18	20	21	21	21	21	22	22	23	24	23	23	23	25	24	29	31	0	1	1	1	3	3	3	1	5	7	9	8	7	29	11	3	12	10	8	17	7	11	10	16	21	11	9	17	16	8	28	25	8	19	18	17	24	34	20	27	40	23	24	24	22	42	37	42	4	29	41	26	52	51	50	23	0	41	9	56	45	55	55	58	62	0	9	67	1	1	2	1	1	2	2	3	1	1	1	1	1	1	1	3	1	2	1	1	3	1	1	1	2	2	3	1	1	3	1	1	2	1	1	2	1	2	2	2	1	3	2	3	3	1	2	1	6	4	1	3	1	1	1	4	1	2	11	1	3	1	1	1	1	1	6	1
2500	-544.983588260000374	-542.098058872395654	-2.885529387604769	0.000010369709153	0.000052415558177	5.054679683196226	0.479554628759504	-1	1	1	3	5	7	6	6	7	8	8	7	8	12	11	8	10	10	10	10	10	10	12	13	13	10	11	12	13	11	13	13	13	14	14	14	15	15	15	17	17	16	19	17	18	19	18	19	18	20	19	19	19	21	21	20	21	22	22	21	23	24	23	24	24	23	30	31	0	1	1	3	3	8	4	4	4	4	5	8	7	21	19	9	10	10	8	3	7	10	12	19	15	16	13	21	22	19	30	13	16	12	32	15	23	34	12	24	29	36	39	30	37	30	33	39	33	49	41	47	29	47	53	22	0	41	5	56	44	56	50	47	52	0	61	67	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	4	2	1	2	2	1	1	1	2	3	1	1	3	3	3	1	2	1	1	4	2	2	1	4	4	2	6	3	3	3	1	1	1	2	1	1	6	1	3	8	1	4	2	1	3	2	1	4	1
3000	-517.838393898543245	-514.776473128878933	-3.061920769664286	0.000010918377221	0.000062400380767	5.715169892200661	0.550339995645271	0	1	1	3	5	6	6	6	5	8	9	7	8	12	11	8	10	10	9	11	8	10	11	12	11	12	12	12	12	13	13	13	14	14	14	13	15	16	16	17	16	17	19	16	18	18	19	17	19	19	19	17	20	22	22	22	21	22	21	23	23	23	22	24	24	24	30	31	0	1	1	1	4	4	5	3	2	7	7	5	7	25	16	5	12	19	13	11	7	12	17	19	19	17	21	9	18	19	25	25	12	17	18	4	31	34	20	5	24	36	26	15	34	44	33	37	38	40	41	31	39	45	40	37	0	41	52	56	43	37	50	61	56	0	62	67	1	1	1	2	1	2	1	2	2	1	2	1	1	1	2	1	2	1	1	1	1	2	1	2	1	1	2	3	1	2	1	1	2	2	1	4	1	1	2	6	3	4	4	2	2	1	2	1	2	1	2	1	2	2	2	4	1	3	4	1	2	2	2	1	1	1	3	1
3500	-524.198830640499409	-521.512434241921028	-2.686396398578325	0.000011070014127	0.000048280409139	4.361368340111491	0.630171861230917	-1	1	1	3	4	8	6	6	7	8	9	8	8	11	10	8	10	11	11	11	10	10	12	12	12	13	12	13	12	14	13	12	14	12	13	15	15	16	15	16	15	17	19	17	16	18	17	18	17	19	18	19	20	21	20	21	21	23	20	23	22	24	22	25	24	25	30	32	0	1	1	3	2	9	4	4	7	7	9	5	9	11	13	9	16	10	8	11	7	16	14	21	7	22	13	9	22	17	14	5	29	22	19	9	15	35	15	41	25	36	9	26	33	26	33	40	29	46	41	49	40	55	33	44	0	61	15	56	46	45	50	65	60	0	63	67	1	2	1	1	2	1	2	1	1	1	1	2	1	1	1	1	1	1	2	2	3	1	1	1	3	1	2	2	1	2	1	3	1	1	1	4	2	2	2	1	2	2	6	1	1	4	1	1	2	1	1	1	2	1	2	2	1	1	3	1	1	4	1	1	1	1	3	1
4000	-510.140720631797990	-507.391780998342597	-2.748939633455399	0.000011671966071	0.000053380053717	4.573355798972919	0.491135604718370	-2	0	2	2	4	7	6	6	7	8	8	8	8	11	10	9	10	10	11	11	11	11	10	12	12	12	12	12	12	13	13	14	12	14	13	14	15	16	15	17	16	15	18	18	17	17	17	19	16	20	19	21	19	21	22	21	19	22	21	22	23	24	21	24	25	25	31	32	0	1	2	2	4	5	5	2	3	5	7	8	7	17	11	12	16	10	16	11	13	13	10	21	13	15	10	9	15	14	8	27	5	16	14	9	25	34	21	41	31	36	16	39	42	34	33	38	14	35	41	48	45	42	54	39	0	41	35	56	34	50	50	58	50	0	45	67	1	1	1	1	1	2	1	2	2	2	1	2	1	1	1	1	1	1	1	2	2	1	1	1	2	1	2	2	2	2	4	2	2	3	2	4	2	1	2	1	2	1	5	1	2	1	1	2	3	3	1	1	1	4	1	3	1	3	6	1	3	2	1	1	2	1	11	1
4500	-551.676977147089929	-549.174001770433051	-2.502975376656931	0.000013164242543	0.000049612177546	3.768707343733558	0.500824983063634	-1	1	1	3	5	7	5	6	5	7	9	9	9	11	10	10	11	10	10	10	11	10	11	12	9	12	9	12	11	13	14	14	14	13	12	15	15	17	15	17	16	16	19	17	17	17	17	19	18	20	19	21	20	21	21	22	20	22	21	22	23	23	22	25	24	23	30	32	0	1	1	2	2	9	3	9	3	7	5	5	7	20	12	8	12	10	8	27	27	8	13	17	7	19	10	12	19	16	35	23	24	12	21	15	30	29	22	41	25	36	44	28	34	29	33	29	15	51	41	51	46	31	37	19	0	41	17	44	48	54	46	55	43	0	15	67	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	2	1	2	2	1	1	1	1	1	2	1	1	1	1	3	1	2	1	3	1	3	1	2	2	1	4	1	1	2	2	3	1	4	5	1	2	1	1	4	4	8	1	3	6	2	2	1	3	3	2	1	10	1
