step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41
1	-2309.841104454731521	-2308.379022370212624	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.047091165914154	0	3	3	2	3	6	4	7	6	7	7	8	9	9	9	11	10	11	12	12	14	13	13	14	13	15	16	15	17	15	16	17	17	17	19	18	18	19	21	20	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	3	2	4	3	4	4	4	5	5	5	6	5	6	6	6	7	7	7	7	7	8	8	8	9	8	8	9	9	9	10	9	9	10	11	10	11
500	-330.366007215290608	-327.763314959918262	-2.602692255372327	0.000010007782041	0.000040888175828	4.085638122564804	0.089223881244324	0	3	2	2	3	6	5	6	6	8	7	8	10	7	10	11	11	11	11	12	14	14	13	14	11	14	15	15	16	15	15	17	17	17	19	17	18	20	21	20	21	0	3	1	1	1	1	5	7	0	11	8	9	9	9	12	11	0	14	14	11	11	14	19	20	8	20	16	24	11	25	25	23	25	10	25	29	30	11	14	23	36	1	1	1	1	2	2	1	1	1	1	1	1	2	1	2	2	1	2	2	3	5	5	1	1	3	1	2	1	6	3	3	2	2	4	4	1	2	6	8	4	3
1000	-255.117317754983247	-252.524281791925915	-2.593035963057328	0.000010035890404	0.000040689567864	4.054405361921150	0.481420428753571	1	3	4	2	4	7	5	8	6	7	8	8	9	8	9	11	10	12	12	12	11	14	11	14	12	14	14	16	17	14	16	16	17	17	19	18	17	19	21	21	21	0	1	2	1	1	3	5	10	0	7	10	9	9	9	12	10	0	14	14	10	11	18	14	20	21	20	21	24	24	25	30	14	30	25	27	29	31	25	14	19	36	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	2	2	2	1	1	2	1	1	1	2	1	2	2	1	5	2	3	2	1	1	4	7	4	2
1500	-228.476841439334549	-226.454116434054356	-2.022725005280192	0.000010062643077	0.000024155896664	2.400551870910368	0.789407124079282	1	2	3	3	3	6	4	8	7	5	7	8	9	9	10	11	10	12	12	13	12	14	14	14	14	15	16	14	18	16	17	17	16	17	19	19	18	18	20	19	21	0	1	2	1	1	3	5	11	0	7	10	9	9	9	12	11	0	14	14	8	11	18	18	20	21	20	21	20	24	25	25	23	25	27	30	29	31	33	19	23	36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	3	2	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	4	2	2
2000	-242.899693829271797	-241.307046593987877	-1.592647235283927	0.000010139229173	0.000013531793862	1.334597890250529	0.684599748331786	1	3	2	3	3	5	4	7	6	6	7	8	9	8	10	10	11	11	12	12	14	13	13	14	13	16	16	16	17	14	16	17	15	18	17	19	18	20	21	19	21	0	1	1	3	1	2	5	10	0	7	10	9	9	9	12	11	0	14	14	11	25	18	19	20	11	20	21	20	20	25	25	23	25	27	25	29	31	33	14	23	36	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	1	3	1	1	1	1	3	2	2	3	2	1	1	2	1	1	2	1	1	3	4	2	2
2500	-231.652472270186706	-229.473263398581878	-2.179208871604819	0.000010171321837	0.000028681951428	2.819884365797201	0.770400985774564	1	4	2	3	2	6	4	7	6	6	8	8	10	9	10	11	10	11	12	12	13	12	14	14	14	14	17	15	14	15	16	16	18	17	19	18	19	19	20	19	20	0	3	1	1	1	2	5	10	0	7	10	9	9	9	12	8	0	14	18	16	16	14	19	20	21	20	21	24	20	25	25	23	27	21	30	29	31	33	19	32	36	1	1	1	1	1	1	1	1	1	1	2	1	2	3	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	3	2	2
3000	-244.200355914411404	-241.995926107609733	-2.204429806801657	0.000010457027512	0.000030217624225	2.889695392881206	0.693153599141347	1	3	3	2	3	6	4	8	6	6	7	8	8	9	9	11	10	11	13	11	12	14	13	13	13	14	17	15	17	15	14	17	17	17	19	19	18	19	19	21	21	0	1	1	1	1	1	5	11	0	7	10	9	9	9	12	8	0	14	18	10	10	19	14	20	21	16	21	24	24	25	25	18	30	30	30	29	31	33	19	32	36	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	2	3	1	2	1	1	1	2	2	2	2	1	2	2	1	2	1	2	1	3	2	2
3500	-240.305310457304671	-238.490419135492573	-1.814891321812101	0.000010321403089	0.000019354217199	1.875153700771575	0.629131980107753	0	2	1	3	2	4	4	7	7	6	7	9	10	9	10	11	11	11	11	12	14	13	13	14	13	15	17	15	17	15	16	17	17	18	19	19	19	18	20	19	21	0	1	1	3	3	2	5	7	0	7	10	9	9	9	12	8	0	14	14	10	16	19	18	20	16	20	21	20	24	25	30	23	30	21	30	29	31	30	23	23	36	1	1	1	1	1	1	1	2	1	2	1	1	2	2	1	2	1	1	1	2	1	1	1	1	2	2	2	2	2	2	1	2	1	2	2	1	1	2	3	2	2
4000	-225.269277822493649	-222.968884525743988	-2.300393296749669	0.000010002042068	0.000031620411916	3.161395613108437	0.749454994179517	0	3	2	2	3	5	5	6	6	7	7	8	8	9	9	11	10	11	11	12	12	13	14	14	13	16	17	16	17	15	16	17	16	16	20	19	19	19	21	20	22	0	1	1	1	1	3	5	7	0	8	8	9	9	9	12	10	0	14	14	16	16	19	18	20	21	20	21	24	24	25	25	18	25	21	38	29	31	30	23	32	36	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	2	1	2	1	1	2	2	2	1	1	2	2	3	2	1
4500	-223.898399317758901	-221.540289351756797	-2.358109966002109	0.000010075247903	0.000033546783636	3.329623643973978	0.767765781015159	0	3	1	2	3	5	4	7	7	8	6	9	9	9	10	12	10	11	13	11	14	14	13	14	14	14	16	15	17	16	16	16	16	17	19	19	19	19	22	20	22	0	3	1	3	3	2	5	11	0	11	7	9	9	9	12	10	0	14	18	10	16	14	14	20	16	20	21	20	24	25	25	23	25	21	25	29	31	33	32	32	36	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	2	2	2	2	1	1	2	2	1	1	2	1	1	2	1	1	2	2	2	2
