step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80
1	-598.574010450205606	-607.624853830657003	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.493651930092233	4	2	3	2	3	4	5	6	5	8	7	6	7	7	8	9	7	9	7	7	8	7	9	7	7	8	9	9	10	15	17	14	10	15	10	10	12	13	10	13	12	10	12	11	14	10	13	12	14	14	11	14	15	12	11	11	13	11	13	13	13	14	14	13	13	14	13	18	16	13	16	15	17	17	15	19	17	20	17	19	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-241.722857433603508	-250.773700814054848	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999229276215255	4	3	3	2	3	4	6	6	4	7	8	6	5	6	8	9	7	9	6	7	7	6	8	8	8	9	10	9	8	13	16	13	11	16	10	10	11	13	9	13	12	10	8	10	12	11	13	11	13	14	7	6	15	12	11	12	10	9	13	14	13	10	13	14	11	11	13	18	16	12	17	16	10	17	15	19	18	19	16	18	2	4	4	0	4	5	9	6	4	19	8	13	2	6	9	17	19	17	2	14	19	1	21	20	12	19	51	25	52	44	59	57	42	53	29	10	39	57	1	66	66	24	20	10	16	62	55	43	37	38	22	6	59	26	21	37	25	2	15	28	16	24	37	45	73	29	51	74	64	42	31	53	15	54	61	69	69	34	47	64	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-250.377153048945104	-259.427996429396444	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.987996777299269	4	2	3	1	4	5	4	7	5	8	5	6	7	7	9	10	8	9	8	8	7	6	8	7	6	7	6	9	7	12	18	14	9	14	10	8	11	11	10	14	12	10	12	12	13	9	13	12	12	14	12	13	12	13	8	10	13	10	9	11	14	15	11	10	12	14	14	18	13	10	17	15	17	16	16	18	16	20	13	19	4	4	4	0	4	7	2	22	3	13	2	6	1	12	29	19	6	21	5	29	25	6	22	27	1	3	9	27	3	33	72	38	25	30	6	29	58	21	8	41	39	20	70	18	23	55	30	60	2	44	18	37	64	41	21	15	30	29	14	20	43	43	64	46	70	46	69	37	44	10	52	69	72	66	50	40	72	66	44	31	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-255.003500094861920	-264.054343475313260	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996878233307579	3	3	4	2	4	5	5	7	6	4	6	6	7	4	9	10	7	10	5	8	9	8	8	7	7	8	7	10	10	15	16	15	11	16	10	10	12	13	10	9	12	10	9	10	14	10	14	12	15	14	8	14	15	12	10	9	14	11	9	14	14	10	11	13	13	7	12	19	13	13	13	15	10	12	15	18	15	21	16	15	4	4	4	0	2	2	4	12	6	1	10	14	6	2	17	25	10	24	4	27	13	27	9	10	19	27	19	19	26	61	30	67	28	45	9	26	21	73	43	24	16	25	25	20	71	20	42	51	70	38	7	69	37	42	9	17	41	43	20	58	54	22	46	40	48	7	20	59	42	73	55	71	9	22	50	75	47	68	47	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-236.061152269487849	-245.111995649939189	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.988526733021839	3	3	4	1	4	4	5	7	6	8	8	6	6	6	9	9	8	10	7	8	8	8	7	6	8	6	9	7	10	14	16	13	10	12	9	10	11	11	7	14	12	10	7	11	14	10	13	12	13	14	9	14	14	12	11	11	13	11	13	12	14	14	12	14	13	15	12	15	16	14	16	16	9	17	15	19	17	13	12	18	4	4	2	0	4	1	6	14	4	13	13	7	6	1	20	17	24	16	9	13	24	9	14	5	14	1	39	26	21	41	66	38	8	36	9	28	36	35	13	59	16	35	3	73	48	19	56	33	79	41	39	67	60	46	16	29	41	23	44	25	36	59	21	79	9	38	44	30	50	60	34	47	22	60	30	80	72	46	29	40	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-219.898428731942346	-228.949272112393686	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997891105076672	5	3	3	1	3	4	5	6	4	8	8	6	7	5	8	9	7	8	7	7	9	8	9	8	8	6	10	10	11	13	17	13	11	15	10	11	11	12	11	14	9	9	12	11	15	10	13	11	13	14	11	15	16	12	11	10	14	12	13	13	11	12	14	12	13	12	13	18	15	11	16	16	18	18	15	18	17	20	18	19	9	4	4	0	4	5	2	9	4	17	13	9	12	5	8	11	7	3	12	12	10	1	11	13	14	7	22	18	56	23	51	37	11	38	24	35	19	28	17	54	12	18	55	23	32	18	61	23	15	61	15	57	60	23	28	25	66	51	27	61	56	61	49	36	38	33	55	72	32	56	62	75	77	34	61	53	39	45	50	31	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-238.854644631411958	-247.905488011863298	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989928676787139	4	3	3	2	4	5	6	7	5	9	7	6	5	7	7	9	6	9	7	6	7	8	9	7	8	8	10	7	9	14	18	14	11	12	10	8	12	11	10	13	12	11	13	9	13	10	8	12	14	14	12	11	15	12	12	10	9	10	13	12	11	14	13	13	11	13	11	17	13	14	15	15	17	16	13	18	12	19	17	18	4	4	4	0	2	3	13	1	2	19	5	3	3	9	12	22	1	36	4	2	12	17	8	1	7	24	36	12	9	63	59	65	26	57	8	14	16	39	21	61	23	22	39	20	65	36	20	35	59	66	16	57	62	22	46	10	22	10	33	67	21	51	44	61	16	51	44	64	55	77	38	46	70	27	33	74	39	76	75	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-262.852068243115241	-271.902911623566581	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990834809841237	4	2	3	1	4	3	6	7	6	8	2	7	5	6	8	10	6	9	7	4	8	6	4	8	8	9	7	9	11	12	18	13	10	12	9	10	13	13	11	12	13	8	10	10	13	10	13	13	11	14	9	11	16	13	12	10	14	9	14	13	14	14	14	11	11	12	10	15	12	13	15	11	16	14	14	13	17	20	17	15	4	4	4	0	11	2	1	5	6	14	4	22	20	23	7	15	5	15	14	2	27	6	11	9	23	10	7	21	46	33	47	65	24	6	21	26	40	64	35	58	49	27	7	58	69	26	39	58	43	42	25	51	63	72	72	27	66	12	52	72	43	28	45	43	42	22	15	76	29	40	59	24	63	35	69	55	76	60	66	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-261.802492908589045	-270.853336289040385	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996088327180739	5	3	4	-1	4	4	5	6	6	7	6	6	6	7	8	9	7	9	6	7	9	8	8	6	8	8	10	10	10	16	15	12	10	16	10	11	12	12	8	13	13	7	8	8	15	11	14	12	15	14	8	11	16	12	11	12	14	10	8	9	14	15	14	14	13	14	11	12	16	12	17	16	18	14	16	19	11	20	15	18	5	4	2	0	2	2	6	1	5	9	3	2	6	5	42	26	12	1	6	9	23	12	9	6	13	14	26	42	14	66	47	20	9	64	12	1	23	14	20	15	52	1	20	6	55	24	27	52	66	33	11	51	74	15	33	33	41	23	10	12	58	65	40	55	25	77	14	46	66	46	52	79	54	36	61	55	28	79	66	75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-225.704848919732171	-234.755692300183512	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.986575145694742	4	2	3	1	4	4	6	6	5	9	7	6	8	8	9	10	6	9	7	7	9	5	10	7	6	6	7	9	10	14	18	14	11	13	8	11	12	11	8	14	12	11	12	11	12	10	12	13	15	14	11	13	16	13	10	12	14	11	14	11	12	15	14	13	14	13	10	18	14	13	16	15	17	17	15	20	12	17	16	18	2	4	4	0	4	2	9	5	1	11	25	9	7	8	3	11	6	20	25	17	24	2	25	9	1	6	8	12	25	44	74	61	28	23	8	46	33	7	24	77	46	55	38	18	27	15	23	55	36	42	18	38	59	51	20	67	56	10	64	19	60	32	45	42	16	45	18	72	41	29	62	60	50	49	50	74	15	70	59	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5000	-233.640554487224989	-242.691397867676329	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999200968654019	5	3	4	2	3	5	6	7	5	7	8	7	7	8	9	8	8	10	8	8	6	6	9	7	7	9	9	10	9	14	14	12	10	12	10	9	12	11	6	13	12	11	11	11	12	11	13	11	14	15	12	14	15	10	11	11	12	12	11	13	13	14	10	11	10	14	14	18	16	13	16	16	17	17	12	20	14	20	16	18	3	4	5	0	4	5	9	7	2	6	21	9	6	9	14	12	6	14	7	9	1	2	17	6	9	17	19	20	24	48	19	28	27	23	17	8	38	26	1	37	28	15	19	29	44	14	65	65	37	75	28	75	67	7	18	12	28	17	23	34	32	29	29	65	19	57	42	71	30	27	63	57	70	50	15	80	63	74	62	26	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5500	-258.905754943578245	-267.956598324029585	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.984813252837596	3	2	4	1	3	3	5	7	5	6	8	6	5	6	9	8	6	9	7	7	8	5	9	8	8	8	8	10	8	9	14	13	11	15	10	11	13	11	11	11	12	9	11	10	15	10	11	11	15	13	11	12	14	10	9	12	13	12	14	13	10	13	14	14	10	9	14	17	11	11	16	13	17	18	13	19	17	17	12	19	2	4	1	0	4	4	5	7	1	1	3	2	1	6	16	19	3	24	14	9	14	5	26	10	22	12	13	14	12	29	32	24	11	28	30	35	56	35	27	44	44	29	24	23	59	42	11	26	64	56	11	51	66	8	21	38	28	11	50	43	55	18	48	69	10	14	23	62	11	66	45	23	45	49	47	43	32	32	65	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6000	-242.459703878485982	-251.510547258937322	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.976331372581403	4	2	2	0	3	5	6	6	5	9	7	4	5	6	8	9	5	10	8	7	9	8	9	7	7	8	8	9	10	11	16	15	10	16	10	11	12	12	10	7	11	10	12	11	10	10	12	11	14	14	11	15	15	12	9	10	14	10	10	13	13	13	15	10	12	13	12	17	13	12	16	15	17	15	14	18	15	17	18	16	4	4	4	0	3	5	17	9	2	15	6	2	12	6	13	25	1	40	11	7	14	17	17	17	3	14	40	7	11	19	72	18	26	61	22	58	28	58	16	9	35	8	23	28	11	10	64	19	60	44	55	43	59	51	26	26	60	10	15	48	30	56	61	23	16	42	45	74	55	17	66	38	74	69	61	72	70	34	72	54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6500	-259.911653201128843	-268.962496581580183	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.907103117504447	5	3	4	2	3	4	6	7	5	8	6	4	8	6	9	8	7	7	8	5	9	6	10	8	8	9	9	7	10	16	15	10	8	15	9	9	9	14	11	10	12	11	12	10	15	7	13	11	15	15	12	15	12	11	10	11	14	11	13	12	13	10	14	11	9	14	11	19	15	13	12	15	17	15	15	17	10	21	17	20	4	4	4	0	4	4	9	20	3	46	2	2	18	3	17	5	3	9	7	3	18	3	21	9	14	7	28	11	46	57	41	6	11	47	11	18	28	23	77	46	23	36	24	15	43	2	56	65	39	70	16	54	16	10	28	12	56	62	67	64	32	16	62	16	18	54	36	30	59	53	37	61	38	55	26	50	36	76	52	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7000	-230.290866288504105	-239.341709668955446	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999407848261904	4	3	4	1	4	4	5	7	5	8	3	4	6	6	8	8	7	9	8	6	9	8	8	7	8	9	10	10	10	16	16	15	11	14	10	9	6	12	10	10	12	10	12	12	13	5	13	12	15	15	12	15	15	13	11	11	14	11	13	14	10	9	13	14	11	15	11	17	16	12	15	13	18	17	15	19	18	21	17	19	11	4	2	0	11	2	6	9	3	12	4	4	1	3	46	14	20	15	14	5	24	3	14	7	46	8	23	15	24	57	47	34	18	38	17	25	5	62	7	19	61	62	18	56	56	5	56	40	59	70	67	43	60	26	62	21	40	28	33	48	10	11	51	58	42	43	36	69	51	62	65	61	74	53	57	56	30	76	52	79	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
