step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29
5000	-169.957555104221115	-168.399140604041065	-1.558414500180042	0.000013095587270	0.000016371664086	1.250166468160549	0.696586667679812	-2	0	2	2	2	5	5	5	6	7	9	11	14	16	20	19	21	24	22	22	23	25	25	25	24	28	28	30	30	0	1	1	2	2	3	5	3	0	8	10	8	12	13	14	14	16	19	14	15	15	21	25	25	19	23	24	24	24	1	1	1	1	1	1	2	2	1	1	1	2	1	1	2	2	1	1	2	1	2	1	1	1	1	2	1	2	2
5500	-167.583453977243892	-166.063191707344998	-1.520262269898893	0.000014446598175	0.000016673247691	1.154129677348232	0.627705026154272	-1	1	3	2	4	6	5	5	5	7	10	12	13	16	19	20	21	21	22	23	23	24	25	25	26	27	27	29	30	0	1	1	2	2	3	5	1	0	8	10	11	12	13	14	15	16	15	16	17	14	21	21	21	21	23	24	24	28	1	1	2	1	1	1	1	3	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	2	1	1	1	3	1
6000	-137.370835325381023	-135.752151155658254	-1.618684169722766	0.000020614422172	0.000028822252820	1.398159627244598	0.795125072696409	0	1	2	2	3	5	6	5	6	7	9	11	13	15	19	21	21	24	22	23	24	26	26	27	26	28	27	29	31	0	1	1	2	2	3	5	1	0	8	10	11	12	13	14	15	15	19	16	17	19	21	21	25	21	23	21	24	28	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1
6500	-147.345104291265869	-145.979736624889568	-1.365367666376307	0.000029974263726	0.000015161901732	0.505830664285825	0.706854479519450	-1	0	2	2	4	7	5	7	5	8	10	12	15	16	20	21	22	23	22	23	23	25	26	27	26	29	27	29	30	0	1	1	2	2	1	5	3	0	8	10	11	12	13	14	14	15	15	14	16	16	21	21	25	21	23	25	24	28	1	1	1	1	2	3	1	2	1	1	2	2	2	1	2	2	1	1	2	1	1	1	2	1	1	1	1	1	1
7000	-159.807472590107693	-158.311041416207672	-1.496431173900027	0.000065861580883	0.000019571934715	0.297167703124234	0.552767038627847	-1	0	3	1	2	5	6	5	6	7	9	12	14	15	19	18	21	23	21	22	23	26	27	26	26	28	28	31	30	0	1	1	2	2	3	5	3	0	8	8	8	12	12	14	14	15	15	15	17	19	21	25	19	21	23	18	25	24	1	1	2	1	1	1	2	1	1	1	1	4	1	2	2	2	2	2	2	1	1	2	1	2	2	1	3	2	2
7500	-142.663939561524842	-140.988520950871873	-1.675418610652974	0.000064007245473	0.000013531102437	0.211399542922085	0.755665972076703	-2	0	2	1	2	3	5	6	6	7	9	12	15	16	21	21	21	23	21	24	23	25	27	25	25	29	27	29	30	0	1	2	2	2	3	5	6	0	8	8	10	12	13	14	14	14	17	14	15	17	21	25	21	21	23	24	23	28	1	1	1	1	1	1	2	1	1	1	2	2	1	1	3	3	2	1	2	2	1	1	1	1	1	1	1	1	1
8000	-160.054396376879168	-158.441138203143765	-1.613258173735399	0.000090302051761	0.000021168162831	0.234415081590608	0.448426177746295	-1	0	2	1	1	7	6	5	6	7	10	11	14	15	20	22	21	23	22	23	23	24	25	25	27	28	27	31	28	0	1	1	2	2	2	2	3	0	8	10	11	12	13	14	14	14	15	15	17	17	21	21	21	21	23	24	29	24	1	1	2	1	1	4	4	1	1	1	2	1	1	1	2	3	4	3	1	1	1	1	1	1	2	1	1	2	1
8500	-146.818074715548221	-145.319287563906983	-1.498787151641239	0.000108654300896	0.000032107252301	0.295499138426782	0.835067566697166	-1	0	2	1	2	5	5	6	7	7	10	11	13	16	20	21	22	22	22	24	23	25	26	27	27	28	27	30	31	0	1	1	2	2	3	5	3	0	8	8	8	12	13	14	14	15	15	14	19	16	21	21	16	21	23	22	25	28	1	1	1	1	1	2	1	1	1	1	2	2	1	1	2	2	1	1	2	1	1	1	1	3	2	2	1	1	1
9000	-153.932966275180320	-152.011695783080086	-1.921270492100236	0.000082208689686	0.000012470522207	0.151693479788874	0.675582549397373	-2	0	3	2	3	7	6	5	7	7	8	12	14	16	19	21	20	22	22	23	23	25	27	25	27	28	28	29	30	0	1	1	2	2	3	5	3	0	8	10	11	12	13	14	14	14	16	14	15	16	21	20	21	21	23	22	23	28	1	1	2	1	2	2	1	1	1	1	1	2	1	1	2	2	2	1	3	3	1	1	3	2	2	1	2	1	1
9500	-140.171730949152305	-138.612255890689113	-1.559475058463190	0.000074576439928	0.000019325816545	0.259141044596993	0.747742512336155	0	1	2	2	3	4	5	6	6	5	9	12	14	16	20	22	21	24	22	24	23	26	26	26	26	28	28	29	31	0	1	1	2	2	3	5	3	0	6	10	11	12	13	14	14	15	16	14	16	19	19	21	21	21	23	25	24	28	1	1	2	1	1	1	1	2	1	1	2	1	1	1	2	2	1	1	2	1	1	1	1	1	2	1	1	1	1
10000	-144.642109259028587	-142.534741356941993	-2.107367902086597	0.000116926738701	0.000014463904384	0.123700571354703	0.850455115489909	-2	0	2	2	2	7	5	6	7	8	9	13	15	15	19	21	21	23	22	23	23	25	26	26	25	28	28	30	29	0	1	1	2	2	3	4	3	0	6	8	10	12	12	14	15	15	14	16	16	17	21	25	25	21	23	22	27	24	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	3	1	1	1	1	1	1	1	1	2	1	1
10500	-156.543273980356162	-155.037560474460264	-1.505713505895884	0.000078806757123	0.000022911258851	0.290727085937675	0.631564856735319	-1	0	2	2	3	6	5	6	4	7	10	12	14	16	19	20	22	24	23	23	22	24	26	27	25	29	27	29	31	0	1	1	2	3	3	5	1	0	6	10	11	12	13	14	13	16	17	15	17	15	21	22	22	21	21	25	25	28	1	1	2	1	1	1	1	3	1	1	2	1	1	1	1	3	1	1	3	1	2	2	1	2	2	3	1	2	1
11000	-165.369041640844870	-163.956634381551311	-1.412407259293561	0.000071750167858	0.000027363974324	0.381378540854494	0.513386081882441	-2	0	3	1	2	7	5	4	6	7	9	12	14	15	21	22	22	23	20	23	24	25	25	26	26	28	28	31	29	0	1	1	2	2	3	5	1	0	3	10	11	12	13	14	13	19	15	14	19	19	15	21	22	21	22	24	22	22	1	1	1	1	1	2	2	3	1	2	1	1	1	1	2	3	1	1	3	1	2	3	1	1	1	2	1	2	2
11500	-140.111687088913783	-138.644111291710232	-1.467575797203559	0.000063478771186	0.000020300525949	0.319800235094263	0.703018030066401	-1	0	2	1	2	6	6	5	6	7	9	11	14	16	20	22	22	24	20	23	23	25	27	26	25	29	27	30	30	0	1	1	2	2	2	5	3	0	6	10	11	12	13	14	15	19	16	14	15	19	21	25	21	21	23	21	24	24	1	1	1	1	1	3	2	2	1	1	1	2	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	2
12000	-155.975434090057803	-154.404565973351112	-1.570868116706689	0.000085397914616	0.000021642513515	0.253431405347782	0.679442371051414	-1	0	2	1	4	5	6	6	5	7	9	12	14	16	18	19	20	23	23	21	23	25	26	25	27	29	25	28	30	0	1	1	2	2	3	5	3	0	8	10	11	12	13	13	14	15	17	14	17	15	21	19	19	21	25	21	24	28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	1	2	1	2	1	1	2	1
12500	-152.182769938858002	-150.607138612086317	-1.575631326771685	0.000055317844032	0.000013891796667	0.251126863493530	0.630262182401096	-1	0	3	1	4	5	6	5	6	7	8	10	12	16	19	21	20	22	23	24	23	25	26	26	24	29	27	30	31	0	1	1	2	3	3	5	3	0	8	8	8	12	13	14	15	14	16	15	17	17	21	21	25	19	23	21	24	28	1	1	2	1	1	1	1	1	1	1	1	2	1	2	2	2	2	1	1	2	2	1	1	1	1	1	2	2	1
13000	-174.332370952033699	-172.705999295282140	-1.626371656751554	0.000100001573072	0.000022913957030	0.229135965828944	0.568246194401149	-1	0	3	1	3	5	6	5	6	8	10	12	14	16	18	21	20	23	23	21	23	25	27	27	25	29	26	30	31	0	1	1	2	2	3	5	3	0	3	6	8	10	12	13	14	13	15	13	14	17	21	25	25	21	19	25	25	25	1	1	3	1	1	1	2	1	1	2	2	3	2	2	2	2	3	2	4	2	1	1	1	1	1	3	1	3	3
13500	-147.990177439542634	-146.616515086534605	-1.373662353008018	0.000064491188288	0.000030077947614	0.466388485196102	0.856855938285807	-1	0	2	1	3	7	5	6	6	7	9	12	14	16	19	20	21	23	23	24	23	25	26	26	26	28	27	29	31	0	1	1	2	2	3	5	3	0	8	10	10	12	13	14	14	15	15	15	19	15	21	22	19	19	23	25	25	28	1	1	1	1	2	2	1	3	1	1	1	3	2	1	1	2	1	2	2	1	1	1	1	2	2	1	1	1	1
14000	-164.379893760477501	-162.829504909559802	-1.550388850917704	0.000097399112933	0.000025704463461	0.263908599239748	0.703126067160386	-3	-1	3	2	3	7	5	6	6	7	8	12	14	16	20	20	20	23	22	23	22	26	25	26	26	28	27	31	28	0	1	1	2	2	3	3	3	0	3	10	10	12	13	14	14	14	15	16	17	16	21	21	21	21	25	24	29	25	1	1	2	1	2	1	1	2	1	2	1	2	2	1	2	2	2	1	1	1	1	2	2	2	1	1	1	2	2
14500	-144.056218145845406	-142.316679248073910	-1.739538897771501	0.000078975369414	0.000015161617993	0.191979070255528	0.660659575301964	-1	0	2	1	3	5	5	5	6	7	8	12	14	15	20	21	21	24	22	23	22	24	26	25	26	28	28	27	30	0	1	1	2	2	3	5	3	0	8	8	11	12	13	14	14	14	19	17	17	15	21	21	22	21	23	23	24	25	1	1	1	1	1	2	1	1	1	1	2	3	1	1	2	3	2	1	1	2	1	1	2	1	2	1	1	1	2
15000	-146.983211501167318	-145.575370145736827	-1.407841355430483	0.000065056644336	0.000025266459448	0.388376309695691	0.722056323056106	-1	0	2	1	2	4	6	6	5	7	9	11	13	16	20	21	22	23	22	24	23	24	26	27	25	28	28	30	29	0	1	1	2	2	3	5	6	0	8	10	11	12	13	14	15	16	15	15	17	16	21	19	23	21	23	15	29	24	1	1	1	1	2	1	2	1	1	1	1	1	1	2	2	1	1	2	2	1	1	1	2	1	1	1	3	1	1
15500	-155.483809271997245	-153.965643048435226	-1.518166223562022	0.000091414696056	0.000025834608116	0.282608915528193	0.654349231401610	-1	1	1	2	3	6	5	5	6	7	8	11	14	16	21	18	22	22	22	24	23	25	26	26	26	28	28	29	30	0	1	1	2	2	3	5	3	0	8	10	10	12	13	14	13	14	15	16	15	19	21	16	21	21	23	25	24	28	1	1	1	1	1	4	1	2	1	1	1	2	2	1	3	2	3	1	2	1	1	2	4	1	2	1	1	1	1
16000	-149.229184171649820	-147.836376400506424	-1.392807771143383	0.000068050580137	0.000028265547066	0.415360853788538	0.647676988593347	-2	-1	2	1	2	7	5	5	6	7	9	11	12	15	19	21	21	24	22	23	23	24	26	25	27	28	27	29	30	0	1	4	2	2	8	5	3	0	8	8	11	12	13	14	15	15	16	13	17	16	15	19	21	21	25	24	25	28	1	1	1	1	2	1	1	1	1	1	2	1	1	2	2	1	1	2	5	1	1	2	2	1	2	1	1	1	1
16500	-162.312009679410522	-160.851153363450067	-1.460856315960444	0.000077176283100	0.000025141188490	0.325763142247041	0.673844997839922	-1	0	1	1	2	6	5	4	6	8	7	12	14	15	20	22	21	24	22	23	24	23	26	26	26	28	28	30	28	0	1	1	1	2	8	5	1	0	8	2	11	11	13	14	15	15	16	15	17	16	15	22	21	19	25	22	23	24	1	1	1	1	1	1	2	2	1	2	2	2	3	1	2	2	1	1	1	1	1	2	2	1	2	1	2	2	1
17000	-169.633109388777768	-167.831444233160397	-1.801665155617369	0.000060062234430	0.000010582141109	0.176186270941945	0.706006734194747	-1	0	1	1	2	6	6	6	6	7	8	11	14	16	20	19	20	23	22	22	23	25	27	27	26	29	27	30	30	0	1	1	2	2	3	5	3	0	8	8	8	11	12	13	14	14	14	16	16	15	18	25	21	21	24	25	24	25	1	1	1	1	1	2	2	3	1	1	2	2	3	3	3	1	2	3	2	2	1	1	1	2	2	1	1	2	2
17500	-140.154591665977165	-138.648044235434782	-1.506547430542382	0.000100754106024	0.000029235360168	0.290165446568708	0.834557737320491	-2	0	3	2	4	5	5	6	6	8	10	12	14	16	20	21	21	23	21	23	23	25	26	27	25	28	26	29	30	0	1	4	2	4	3	5	6	0	8	8	11	12	13	14	14	15	14	14	17	19	21	25	21	18	23	21	24	28	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	2	1	3	2	1	2	1	1	2	1	1	1	1	1
18000	-150.343700992908708	-148.804911938995104	-1.538789053913604	0.000092097541376	0.000024893748508	0.270297644605992	0.734124504896379	-1	0	2	1	2	4	3	6	5	7	8	11	14	16	21	20	21	22	22	23	24	26	27	26	27	28	27	31	29	0	1	4	2	2	3	5	6	0	8	8	10	12	13	14	14	14	14	14	17	16	21	18	21	21	23	22	29	25	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	2	2	3	3	1	1	2	2	1	1	1	1	1	1
18500	-144.247395506084899	-142.798267465163150	-1.449128040921762	0.000065307737725	0.000022006217287	0.336961867820522	0.851904136262918	-1	1	2	2	3	6	5	6	7	8	10	12	13	15	19	21	21	21	22	24	23	24	27	27	25	29	28	30	30	0	1	1	2	2	3	5	1	0	6	10	11	8	13	14	14	15	15	16	17	16	21	21	25	21	23	24	24	24	1	1	2	1	1	1	1	2	1	1	1	1	3	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1
19000	-125.126523623961901	-123.538206505451058	-1.588317118510841	0.000073243720538	0.000017960037564	0.245209247042077	0.863964100175993	-2	1	1	2	3	6	5	6	6	8	9	12	14	16	20	21	22	24	22	24	23	25	26	25	27	28	27	29	30	0	1	1	2	2	3	5	3	0	6	10	11	12	13	14	14	15	19	15	17	19	21	21	21	21	23	24	25	28	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
19500	-152.759236132814834	-151.143029403668265	-1.616206729146565	0.000079239985242	0.000018479221957	0.233205772321150	0.682324589566615	-1	1	1	2	2	7	6	6	4	7	9	13	15	16	19	20	21	23	21	22	22	25	25	25	26	27	27	29	30	0	1	1	2	2	3	5	3	0	3	6	6	12	13	14	14	15	19	15	17	16	21	21	21	21	23	24	21	28	1	1	1	1	1	3	2	3	1	2	1	3	1	1	2	2	1	1	1	1	1	1	1	2	2	1	1	3	1
20000	-152.963679052504318	-151.534919907168501	-1.428759145335823	0.000054719421060	0.000019667917735	0.359432123983164	0.590998782665610	0	1	2	2	3	4	5	5	7	7	7	12	14	16	20	21	22	24	22	23	23	25	25	27	26	29	27	31	30	0	1	1	2	2	3	5	1	0	8	6	10	12	13	14	14	15	16	16	16	16	21	21	16	21	23	18	24	24	1	1	1	1	1	1	1	3	1	2	2	3	1	1	2	3	1	2	1	1	1	1	1	2	2	2	1	2	2
20500	-148.806378749692215	-146.750604546374319	-2.055774203317895	0.000077086596255	0.000010061965470	0.130528080868412	0.596793103086825	0	1	2	2	3	6	5	7	7	7	9	13	15	16	20	21	22	24	22	23	24	25	26	26	27	28	28	31	30	0	1	1	1	2	3	5	3	0	6	10	11	12	12	14	14	14	19	13	14	19	16	21	21	21	23	24	29	24	1	1	2	1	1	2	1	3	1	1	1	2	1	2	2	3	3	1	3	3	1	2	1	1	1	1	1	1	2
21000	-155.000262391999343	-153.568908388656638	-1.431354003342703	0.000109416098798	0.000038986307346	0.356312350508893	0.794322110964398	-1	0	2	2	2	6	4	6	6	8	10	12	14	16	21	19	20	23	23	23	23	25	27	26	27	29	26	31	30	0	1	2	2	2	1	5	3	0	6	10	11	12	12	13	14	16	16	16	15	16	18	24	22	22	23	21	29	25	1	1	1	1	1	3	2	2	1	1	1	1	1	2	5	1	1	2	2	1	2	1	1	1	1	1	1	1	1
21500	-154.209014301141252	-152.642620308904981	-1.566393992236259	0.000076099500629	0.000019454044332	0.255639579382802	0.766096978659699	-1	0	2	2	3	6	6	6	6	7	10	12	14	15	19	18	21	23	22	23	24	26	26	26	27	28	28	31	30	0	1	1	2	2	1	5	3	0	8	10	11	12	13	14	14	16	19	14	15	16	21	21	21	21	23	24	24	24	1	1	1	1	2	3	2	1	1	1	2	1	2	1	2	2	2	1	2	2	2	1	1	1	1	1	2	3	2
22000	-165.124642520026441	-163.517366853372494	-1.607275666653960	0.000073305275052	0.000017366768649	0.236910217404056	0.693945285485073	-2	1	3	2	3	6	5	4	6	7	10	11	14	16	20	20	21	22	22	24	21	25	26	24	27	27	26	30	31	0	1	4	2	2	5	3	3	0	8	10	10	12	13	13	14	15	16	14	19	16	21	21	21	21	23	19	27	28	1	1	1	1	1	2	1	1	1	1	2	2	2	1	3	2	1	1	2	1	1	2	2	2	4	1	2	2	1
22500	-157.922357023800117	-156.034046604186244	-1.888310419613877	0.000095310855618	0.000015040629439	0.157806047817786	0.641626457981294	-1	0	3	2	3	6	6	7	7	8	9	11	14	15	21	20	22	21	20	23	24	24	26	27	26	27	27	30	28	0	1	1	2	2	4	5	6	0	8	8	10	12	13	14	14	19	16	14	19	15	19	22	25	21	23	21	29	21	1	1	2	1	2	2	2	1	1	1	1	1	2	1	3	3	1	1	2	2	2	2	1	1	2	1	2	1	2
23000	-160.308483509312850	-158.832575943502945	-1.475907565809903	0.000066790573454	0.000020892417827	0.312804887680248	0.608450661637954	-1	0	2	1	4	4	5	6	7	7	9	12	14	16	20	22	22	24	23	23	22	24	26	26	25	28	27	30	31	0	1	1	2	2	4	5	6	0	6	8	10	12	13	13	14	15	15	14	15	14	21	21	21	19	21	25	27	28	1	1	1	1	2	1	1	2	1	2	2	2	1	1	2	3	1	2	3	1	4	1	2	2	1	3	1	1	1
23500	-144.832367518791699	-143.277365058902120	-1.555002459889568	0.000097020556378	0.000025367288150	0.261463024925450	0.727954935353036	-1	0	3	2	2	5	4	6	7	7	9	12	13	16	20	21	21	23	23	22	24	25	26	26	26	28	27	30	28	0	1	2	1	2	3	5	3	0	8	6	10	12	13	14	14	14	16	17	15	19	21	22	21	21	23	22	25	24	1	1	1	1	1	1	1	1	1	1	1	3	1	2	2	2	2	1	2	1	1	1	1	1	1	1	1	2	1
24000	-142.095103608695297	-140.344838729271856	-1.750264879423432	0.000064782184996	0.000012248011755	0.189064505244737	0.682442734548030	-1	0	2	1	4	4	6	5	7	7	9	11	13	16	19	21	21	23	21	23	23	26	25	27	26	28	28	29	31	0	1	4	2	2	3	5	6	0	8	10	11	12	13	14	14	15	19	14	17	16	21	21	21	21	23	22	24	28	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	2	1	2	2	2	2	2	1
24500	-165.471627656935880	-164.103447372812468	-1.368180284123398	0.000073120090586	0.000035804274412	0.489663977775079	0.603497964079408	-1	0	3	1	2	6	6	6	5	7	9	11	11	16	20	21	22	24	22	23	22	25	25	25	26	28	27	30	31	0	1	1	2	2	3	5	3	0	8	6	11	10	13	14	13	15	21	15	16	15	21	15	21	21	23	21	27	28	1	1	2	1	1	2	2	2	1	1	2	2	2	2	2	5	1	1	1	1	1	1	3	1	2	2	2	2	1
25000	-172.621189515219157	-170.582030141829421	-2.039159373389733	0.000115262929126	0.000015314068437	0.132862044655489	0.594832485667556	-1	0	3	1	4	7	4	5	6	6	9	12	14	16	20	20	21	22	21	23	22	25	27	25	24	28	27	30	29	0	1	1	2	2	8	2	2	0	3	6	10	10	13	14	14	16	16	14	19	19	16	24	20	15	25	19	29	27	1	1	2	1	2	1	2	3	1	2	1	3	3	1	2	2	1	1	2	1	1	2	1	1	2	1	2	1	1
