step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89
1	-2548.688398067544767	-2555.543886018504054	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.139689661297235	-1	2	3	1	3	5	4	6	7	6	7	9	10	10	12	12	11	12	13	12	13	13	14	14	14	15	16	16	15	16	15	17	17	16	16	17	19	19	19	21	20	20	20	19	20	21	22	22	21	22	22	24	24	24	26	27	25	28	27	25	26	27	27	27	27	27	27	28	29	30	31	29	31	34	32	34	34	35	36	37	36	38	38	38	40	42	42	43	44	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	3	3	4	4	4	4	5	6	6	7	7	6	7	7	7	7	7	8	8	8	8	9	9	8	9	8	9	9	9	9	9	10	10	10	11	11	11	11	10	11	11	12	12	11	12	12	13	13	13	14	14	13	15	14	13	14	14	14	14	14	14	14	15	15	16	16	15	16	18	17	18	18	18	19	19	19	20	20	20	21	22	22	22	23
500	-1086.288777768730824	-1093.144265719690111	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.134617992513043	-1	3	1	1	3	5	4	7	6	5	8	9	10	9	12	12	10	11	14	12	13	13	14	14	14	14	17	13	15	15	13	18	18	17	16	18	20	19	19	21	17	19	19	19	18	22	20	23	21	23	22	24	24	24	27	26	25	28	26	25	26	28	28	27	28	26	27	27	26	29	32	29	32	34	33	35	34	36	37	37	36	38	38	37	40	42	43	44	45	0	4	1	1	4	1	1	6	10	4	6	10	11	6	18	7	8	14	14	11	14	12	20	18	18	7	23	14	16	22	14	17	20	22	16	30	45	18	24	9	21	26	13	16	18	9	17	28	32	26	12	7	49	42	37	17	42	50	17	10	36	44	26	36	28	16	47	16	44	47	7	41	44	28	70	41	47	28	47	28	28	21	41	11	41	28	72	41	40	1	2	2	1	2	3	3	1	1	2	2	2	1	3	1	5	2	1	3	3	3	2	1	2	1	4	2	3	1	1	3	4	4	3	3	1	1	4	3	10	2	2	6	5	3	9	5	7	1	5	8	9	1	3	4	6	4	2	7	14	5	5	6	7	7	8	3	7	4	6	21	9	9	13	3	14	7	14	14	11	15	11	18	19	17	18	13	17	17
1000	-881.591601301370247	-888.447089252329647	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.217006280885851	0	2	3	2	4	4	4	5	5	6	7	9	10	10	12	11	11	12	12	13	12	12	15	14	14	15	16	17	15	16	15	18	17	17	15	16	19	20	20	22	17	21	21	19	20	21	23	22	21	21	23	24	24	24	25	28	25	26	28	25	27	28	27	28	27	26	28	28	29	27	31	29	31	35	33	35	34	36	36	38	36	39	39	38	41	43	43	44	45	0	1	1	1	2	1	4	6	1	7	8	4	6	11	11	10	11	13	11	11	11	10	14	11	21	22	11	21	22	26	11	24	11	26	16	16	13	32	27	12	15	36	24	36	11	26	32	41	41	36	35	9	49	26	13	49	50	54	49	35	46	61	51	44	53	35	65	40	51	21	9	28	40	27	72	45	49	21	55	70	21	70	13	21	21	27	70	33	74	1	1	2	1	1	2	1	1	4	2	1	6	3	2	2	3	2	2	3	2	3	3	3	3	1	1	6	2	2	1	3	2	5	1	2	3	4	1	1	7	3	3	4	1	6	3	3	3	3	2	3	12	1	5	7	3	2	1	3	5	3	1	2	6	2	5	1	4	4	8	19	5	5	11	2	8	8	13	7	8	11	7	17	20	18	18	10	18	6
1500	-745.117358838096720	-751.972846789056121	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.253565416063989	-1	2	2	1	3	5	4	6	6	6	7	9	10	9	13	13	11	12	12	12	13	13	14	14	15	14	17	17	16	17	15	17	18	16	15	18	19	19	18	21	19	20	21	20	20	21	22	22	20	22	22	24	23	24	26	25	26	28	27	25	27	26	26	26	24	28	26	28	30	31	32	29	31	34	31	34	34	36	37	38	37	39	39	39	40	43	43	43	42	0	1	4	1	4	1	5	6	7	6	8	10	11	11	18	12	11	13	11	11	14	10	6	18	13	10	19	23	12	10	23	20	24	26	22	35	24	13	24	36	21	36	32	36	25	35	13	41	20	35	36	46	41	44	18	48	51	34	48	44	52	46	52	54	41	52	49	60	62	72	26	53	63	65	72	49	41	49	75	65	65	77	41	19	72	49	76	49	81	1	1	1	1	1	4	1	1	1	1	1	2	2	1	1	2	2	1	3	3	2	4	4	1	3	4	3	1	3	7	1	3	3	2	1	2	4	4	2	2	4	1	3	1	4	3	6	2	5	4	2	2	2	2	9	2	2	6	2	2	2	2	1	2	3	2	5	1	2	1	11	3	3	8	1	8	5	12	4	8	7	3	9	22	9	20	6	13	3
2000	-679.794363416706460	-686.649851367665860	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.310148177873815	-1	1	3	1	4	6	5	7	7	6	8	10	10	10	11	12	12	13	14	12	14	12	14	14	13	15	17	15	15	15	16	18	16	16	16	17	20	19	18	22	19	19	18	19	20	22	23	21	21	23	22	24	23	24	25	27	26	29	27	26	27	28	28	25	24	27	27	28	30	27	32	26	32	35	30	34	33	36	37	38	37	36	39	39	41	43	42	44	44	0	1	4	1	1	5	3	3	3	5	8	10	11	11	13	7	11	13	13	11	14	12	20	13	17	22	31	21	10	22	24	24	24	22	9	30	39	43	33	44	21	35	33	36	39	30	20	41	21	36	36	46	41	44	33	53	44	44	49	54	52	60	52	44	49	52	65	52	63	65	35	65	52	70	70	70	75	70	77	75	65	76	75	24	75	65	81	77	87	1	1	1	1	2	1	1	2	2	1	1	2	1	1	1	5	2	1	3	2	2	1	2	2	1	2	1	1	5	2	1	2	1	1	4	1	1	1	1	2	2	1	1	1	1	4	6	1	3	3	3	2	1	2	5	2	4	4	3	2	2	1	2	2	2	2	2	3	1	2	8	1	4	6	2	5	2	6	3	5	6	1	6	20	9	15	2	8	1
2500	-606.516767701023696	-613.372255651983096	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.343039650661708	0	3	3	1	4	6	4	5	7	6	7	9	11	10	12	11	11	12	14	13	13	12	15	14	13	14	17	17	15	16	15	16	17	16	14	17	20	18	18	21	21	20	20	18	19	21	22	23	22	22	22	24	24	25	25	28	25	27	27	25	26	28	27	27	27	28	27	28	30	31	31	29	31	35	31	35	34	33	36	37	37	38	39	38	40	43	42	43	45	0	4	1	1	1	8	4	3	1	7	8	10	8	11	11	7	11	14	20	17	14	12	20	18	13	12	23	21	12	35	13	19	25	26	16	16	45	19	13	42	28	36	15	16	14	36	37	39	21	44	26	51	41	46	45	41	51	40	48	46	44	52	52	60	49	63	49	52	62	72	63	56	66	65	65	49	75	65	75	77	75	77	80	13	65	49	83	82	86	1	1	1	1	1	1	2	1	4	1	1	2	3	2	3	3	2	1	1	1	1	2	1	1	1	2	1	3	3	1	2	1	2	1	1	3	1	2	4	1	2	2	3	3	5	2	1	2	5	2	4	1	2	2	3	4	2	3	2	2	4	2	2	1	3	1	2	3	1	1	2	1	2	3	2	6	2	3	3	1	4	2	2	20	8	12	2	2	1
3000	-576.357729775942744	-583.213217726902144	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.504273134570689	-1	2	2	1	2	6	4	5	5	6	7	9	11	10	12	13	10	12	13	13	14	13	13	14	14	15	16	17	15	17	14	18	18	17	17	16	18	20	19	21	18	20	20	19	20	21	23	23	22	23	22	25	23	23	26	27	25	26	27	26	27	28	26	27	27	27	27	29	29	30	31	29	28	35	30	33	34	34	34	37	37	37	38	38	39	42	42	43	44	0	1	4	1	4	8	1	5	7	7	8	7	11	11	11	12	11	17	18	18	15	10	15	18	18	22	31	21	12	16	15	20	25	29	36	26	25	24	25	35	21	26	25	16	32	36	39	39	15	42	35	44	41	40	45	53	54	54	53	54	63	36	51	58	49	63	49	63	63	65	63	67	66	67	67	75	76	72	76	79	77	76	79	41	76	75	82	82	87	1	1	1	1	1	1	2	2	1	1	1	2	3	1	2	2	1	1	1	1	1	4	1	2	1	2	1	2	2	2	1	2	2	1	1	1	2	3	3	2	2	2	3	4	1	2	3	3	6	1	3	3	2	1	3	2	2	2	2	2	1	7	2	1	2	1	2	1	2	2	2	1	1	6	2	2	1	3	1	2	2	1	2	13	2	7	2	4	2
3500	-532.783779297537990	-539.639267248497390	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.480431931061627	0	2	4	2	2	5	4	6	7	7	8	9	10	10	13	13	10	12	13	12	14	12	14	13	14	14	16	16	16	16	14	17	17	16	15	17	20	17	20	20	20	20	20	19	20	21	21	23	20	23	23	25	25	24	26	26	25	29	27	25	23	27	26	27	28	28	27	27	28	31	32	29	30	35	32	35	34	36	36	37	35	38	39	38	40	43	42	43	44	0	1	5	1	1	5	5	6	7	7	8	10	8	11	18	22	11	17	18	13	14	12	15	11	19	16	31	14	12	12	13	25	25	26	16	35	20	20	18	36	28	36	15	35	20	40	24	45	28	35	46	61	49	44	32	28	54	60	48	54	44	61	61	57	67	68	56	54	52	65	68	67	66	70	72	75	75	59	77	79	75	76	80	41	82	79	82	87	87	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	1	3	1	1	1	3	2	4	3	2	1	1	1	2	5	2	3	2	2	2	4	2	5	1	5	2	2	4	1	1	3	2	5	6	1	2	2	1	2	2	2	1	1	1	1	2	2	2	3	1	1	2	1	2	2	5	1	1	2	2	2	10	1	4	2	1	1
4000	-506.420279732515382	-513.275767683474783	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.671255909567816	-1	3	3	2	3	4	5	6	7	5	7	9	10	10	13	12	9	13	14	11	13	13	15	13	15	14	16	15	16	17	14	15	18	16	17	16	19	19	18	21	19	20	21	19	20	21	22	22	21	22	23	23	25	21	26	27	25	28	26	25	26	27	26	27	28	28	27	27	28	31	31	29	32	35	31	33	33	34	36	36	36	38	38	39	40	42	41	44	45	0	4	1	1	1	4	5	6	7	5	6	10	8	11	11	12	11	20	18	11	14	16	15	14	18	22	23	14	22	26	14	13	25	16	36	26	33	25	18	30	28	35	33	35	39	44	33	41	13	36	44	40	48	44	47	48	54	60	41	54	52	61	60	46	41	61	49	61	63	67	62	56	66	75	67	75	75	67	76	76	77	80	76	79	79	83	76	85	87	1	1	1	2	2	1	1	1	1	1	2	2	2	2	3	1	1	1	1	2	1	1	1	2	1	1	1	2	1	2	2	2	2	1	1	1	1	2	2	3	2	1	2	1	1	1	2	2	5	2	2	2	3	1	2	3	2	2	3	2	2	1	1	3	4	2	2	1	1	2	2	1	2	2	2	1	1	3	2	2	2	1	3	2	2	2	3	2	2
4500	-494.276447604465318	-501.131935555424718	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.644806061996772	-1	3	3	1	2	5	4	4	8	6	6	9	9	10	12	11	11	11	14	12	13	14	13	14	14	15	17	15	16	16	15	16	18	16	17	18	19	19	19	22	20	21	19	19	20	21	22	23	22	22	23	24	24	24	27	27	25	28	27	25	26	27	27	27	28	26	27	29	29	31	30	28	32	33	31	33	35	33	37	36	37	38	38	39	40	42	42	43	45	0	1	5	1	4	8	3	5	4	7	8	10	11	11	17	12	13	11	20	18	17	16	11	20	20	12	31	21	16	16	23	25	25	22	26	35	33	19	23	36	28	35	15	36	33	44	45	49	41	35	44	36	49	46	47	53	54	54	49	54	51	52	61	60	41	52	41	63	63	72	63	59	71	75	67	75	75	72	76	76	77	81	76	83	79	83	80	83	88	1	2	1	1	1	1	1	1	3	2	2	2	2	1	1	1	1	2	2	1	1	2	2	1	1	3	2	1	2	2	1	1	2	1	1	1	1	2	3	1	3	2	3	1	2	1	2	1	1	3	2	2	1	2	2	2	1	2	3	1	1	1	1	1	3	1	4	1	1	2	2	1	1	1	2	1	2	3	2	2	2	1	2	1	2	2	3	3	2
