step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79
1	-757.769375879275458	-756.307293794756561	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.668936934388758	0	2	1	2	4	4	5	5	6	6	5	6	5	6	6	5	6	6	8	7	8	7	7	7	8	10	9	9	9	9	9	11	11	10	11	13	12	11	15	13	13	13	15	14	14	14	15	15	16	17	17	16	17	17	19	19	21	20	20	20	22	22	23	22	23	22	25	24	23	24	24	23	27	25	26	27	26	28	32	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	5	5	5	5	5	5	6	6	5	6	7	6	6	8	7	7	7	8	7	7	7	8	8	8	9	9	8	9	9	10	10	11	10	10	10	11	11	12	11	12	11	13	12	12	12	12	12	14	13	13	14	13	14	16
500	-320.608621268459444	-319.146539183940547	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.461137799815141	-1	3	2	1	4	4	6	5	5	6	5	5	5	7	7	5	6	7	8	8	9	7	6	7	9	11	10	9	8	10	9	11	11	10	11	13	12	11	16	12	14	12	15	15	14	13	14	15	16	16	17	16	18	17	19	19	20	19	21	21	22	22	23	23	23	23	24	24	22	24	24	21	27	24	26	25	26	27	31	0	1	1	1	3	3	4	4	2	13	2	1	3	6	17	2	13	13	22	12	17	9	8	3	18	22	5	23	14	19	17	30	19	5	18	30	34	29	35	22	35	25	21	34	33	25	35	46	2	21	40	35	34	39	52	36	41	51	58	56	55	18	58	58	69	60	27	17	58	11	54	55	61	48	65	47	61	61	78	1	2	1	1	1	1	3	2	1	1	1	2	2	2	1	2	1	1	1	2	2	1	1	2	1	2	3	1	1	1	2	1	1	3	2	1	1	2	3	2	2	2	2	2	1	2	2	1	6	3	2	2	4	1	1	3	3	1	1	1	1	7	1	3	1	1	6	9	1	8	4	1	3	5	2	4	2	3	3
1000	-251.548234276458174	-250.086152191939306	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.790546077857335	0	1	2	3	4	4	5	4	6	6	6	7	5	5	7	4	7	7	9	8	8	8	7	6	9	11	8	8	10	9	9	11	12	10	12	13	13	10	14	10	12	12	15	14	14	15	15	15	16	17	17	16	17	18	19	20	21	19	20	20	19	22	21	21	23	23	25	24	23	23	25	24	27	25	26	27	26	29	32	0	1	1	1	3	3	3	3	7	7	4	2	4	6	14	3	13	8	17	6	10	17	10	6	15	40	5	24	21	9	5	40	32	30	20	33	41	9	37	20	38	40	41	32	33	45	36	37	44	49	47	41	49	26	51	39	58	46	44	55	45	56	61	58	62	50	69	63	59	53	65	64	77	63	71	67	72	73	78	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	3	1	2	2	1	3	1	1	1	1	2	1	2	2	3	1	1	1	2	1	1	1	1	1
1500	-227.377739157787005	-225.915657073268136	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.852328495199786	0	3	2	1	3	4	5	5	4	7	5	6	5	7	5	6	6	6	8	7	7	7	7	8	8	10	7	9	9	10	9	12	12	9	11	13	12	11	15	13	13	13	16	15	13	14	15	14	16	14	17	17	18	18	19	19	19	20	19	21	21	22	23	21	21	21	26	24	24	22	24	23	26	24	25	27	26	28	30	0	4	4	1	4	2	4	5	1	9	2	15	2	13	6	15	7	6	14	16	8	17	7	18	16	19	11	20	23	20	12	31	28	13	29	38	29	19	42	32	26	38	36	36	38	33	46	37	48	26	47	39	52	48	53	43	53	49	51	52	57	59	61	57	59	55	71	66	62	61	70	65	70	70	63	57	68	67	62	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1	3
2000	-168.703148329888961	-167.241066245370092	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.998955999573566	0	2	2	3	4	5	6	6	6	5	5	6	3	7	5	4	7	6	8	7	7	7	6	7	7	10	10	9	9	9	10	11	11	9	12	13	12	12	15	13	13	13	15	14	15	15	13	15	16	18	18	16	17	17	19	19	21	20	20	20	23	22	23	21	23	22	25	25	24	24	25	22	27	24	26	28	26	29	32	0	1	1	3	2	16	11	16	16	3	4	6	3	10	13	4	7	5	21	23	8	10	16	6	11	29	34	17	14	20	28	29	29	20	26	26	31	26	41	32	35	38	33	37	42	47	31	44	44	48	46	48	48	45	53	54	59	51	56	51	62	59	66	56	55	59	61	61	63	62	69	60	69	63	67	75	71	73	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-208.622474166442856	-207.160392081923987	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.891095490901960	-1	3	1	2	4	5	4	5	7	7	5	4	6	6	6	5	6	6	8	7	9	8	7	6	8	10	10	8	8	8	9	9	11	11	12	13	12	12	14	13	13	12	16	14	14	14	15	15	16	18	18	16	17	17	20	18	20	20	19	20	22	23	24	22	21	22	26	23	22	24	24	23	27	24	26	27	26	27	32	0	1	1	3	4	2	4	7	6	17	2	2	12	6	12	2	5	16	11	7	25	15	8	7	23	21	22	18	11	17	9	30	31	21	32	34	27	27	27	26	26	31	44	42	38	37	40	41	40	54	47	41	43	47	50	41	50	59	50	53	60	55	66	65	60	55	62	61	57	68	62	57	70	61	70	63	72	66	78	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
3000	-222.731222182924938	-221.269140098406069	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.834414344450093	0	1	1	3	4	4	6	5	6	6	6	7	5	6	7	5	6	6	8	6	8	7	7	7	9	11	9	9	9	10	9	12	11	11	12	13	13	12	13	14	14	14	15	14	14	14	15	16	16	17	18	16	16	17	20	19	21	21	19	20	22	23	22	22	22	22	25	24	23	24	24	23	27	25	26	27	26	28	32	0	1	1	1	3	3	6	2	4	5	5	9	4	5	18	3	5	5	20	2	8	13	8	7	24	10	13	19	15	14	17	30	21	27	34	26	28	31	34	32	33	30	39	32	28	33	46	44	39	40	53	43	34	42	56	48	56	60	40	51	60	58	55	51	53	58	55	65	55	63	61	60	61	72	72	67	72	67	78	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2
3500	-182.930706854340912	-181.468624769822043	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.958726046849367	0	2	1	3	4	4	5	5	7	6	6	7	4	5	6	5	7	5	9	7	8	7	5	7	8	10	9	9	9	9	10	11	12	9	10	13	11	11	14	13	13	12	14	14	14	14	15	15	16	17	15	16	17	17	18	19	22	20	20	21	20	22	24	22	22	22	25	24	23	24	24	23	26	25	26	27	27	28	32	0	1	1	2	4	2	4	2	7	7	13	18	4	4	5	4	23	5	20	10	10	18	5	16	15	22	11	13	9	24	19	28	27	21	19	37	29	26	41	37	37	35	37	36	33	31	41	39	40	48	45	43	48	52	49	53	61	56	56	52	55	58	61	58	58	61	70	65	61	62	57	60	68	69	71	75	63	77	77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-195.074920111587090	-193.612838027068221	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.944468314615969	0	3	2	3	4	4	5	6	7	6	5	7	4	7	6	5	7	7	9	8	7	7	7	7	9	10	9	9	9	9	10	11	11	10	11	13	13	12	15	14	13	13	14	15	14	14	14	15	16	17	17	16	17	17	20	19	21	19	20	19	22	22	21	21	22	22	26	23	23	24	25	23	27	25	26	26	25	28	30	0	3	1	1	3	3	3	6	16	13	2	15	3	7	16	6	3	16	12	17	15	10	11	10	23	20	23	17	23	9	14	27	27	28	31	30	34	21	40	41	35	33	35	33	38	32	42	42	47	48	39	36	39	44	56	51	56	53	60	49	55	57	59	60	56	55	69	55	59	61	66	66	71	70	69	70	69	73	73	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-186.850193925958365	-185.388111841439496	-1.462082084518882	0.000000000000000	0.000000000000000	1.000000000000000	0.999715410812064	-1	2	1	3	5	5	6	6	6	6	6	6	5	7	7	5	4	3	9	7	8	7	7	5	9	9	10	9	8	9	9	11	11	10	11	13	12	11	13	13	13	13	15	14	14	14	15	14	16	17	17	17	17	18	19	20	20	20	21	21	22	23	24	22	23	23	24	22	23	23	24	23	26	25	25	25	27	28	31	0	3	1	2	18	18	5	17	17	5	16	16	2	6	6	4	2	2	12	5	8	13	16	18	29	23	19	11	5	14	10	34	25	29	30	32	19	19	38	33	37	28	37	32	35	39	40	35	46	43	45	47	39	52	54	54	52	54	53	55	58	59	61	57	60	68	61	56	60	60	61	57	63	70	61	68	76	74	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
