step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52
5000	-295.299412433101452	-293.878922245161164	-1.420490187940288	0.000014411025261	0.000012645112579	0.877460995982306	0.605587719689719	1	0	3	3	3	3	4	5	6	3	6	5	4	6	9	10	9	8	11	12	12	9	11	11	16	14	15	15	13	13	14	15	15	16	15	15	17	18	20	19	20	21	22	22	21	25	23	25	31	33	33	34	2	0	1	2	2	2	4	13	5	2	6	4	4	5	18	9	9	8	22	15	16	18	22	0	27	21	23	23	24	24	19	29	24	26	24	30	26	36	33	37	37	38	40	0	41	41	45	43	48	49	48	50	1	1	1	2	2	2	1	1	1	1	1	2	1	1	1	3	1	2	2	2	1	1	1	1	1	1	1	2	1	2	2	1	2	1	2	1	1	2	2	1	2	2	2	1	1	2	1	2	3	1	4	1
5500	-309.390008349332675	-308.028701087932859	-1.361307261399801	0.000015765741039	0.000009335964174	0.592167799191537	0.500373886859770	1	0	2	2	3	2	5	4	6	3	5	6	6	5	9	9	11	7	11	12	12	8	12	11	14	12	14	14	13	13	14	14	14	15	15	16	18	18	20	19	20	21	21	21	22	24	23	25	31	33	34	35	2	0	1	2	2	2	5	4	5	2	6	7	8	6	18	9	14	8	22	15	16	18	22	0	23	16	22	19	24	24	23	30	24	26	24	33	26	36	30	37	40	38	40	0	41	40	40	37	48	49	48	50	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	2	2	2	1	2	2	1	2	1	1	1	4	2	1	2	1	1	2	2	2	1	3	1	3	1	1	2	2	1	1	2	2	3	3	1	4	2
6000	-300.278678888426214	-298.913909792751042	-1.364769095675197	0.000018381611705	0.000011702124552	0.636621246273617	0.622579037602588	0	-1	2	2	1	4	3	4	6	3	5	5	6	7	9	10	10	7	11	12	10	8	12	11	15	12	12	14	13	13	14	14	15	15	16	15	16	19	20	20	21	22	22	22	22	23	23	24	31	33	30	35	2	0	1	5	2	5	5	5	11	2	2	7	8	11	18	13	9	8	22	15	13	18	22	0	27	21	22	22	24	24	19	29	24	26	30	30	26	36	35	37	40	38	40	0	40	43	40	40	48	49	48	50	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	2	2	2	2	2	2	1	2	1	1	1	2	3	1	2	2	1	2	1	2	1	2	2	2	2	1	1	2	1	1	1	2	2	3	2	2	2
6500	-300.585706917163577	-299.220601941427674	-1.365104975735900	0.000027441573887	0.000017551043559	0.639578605469554	0.565943855018693	0	-1	1	3	3	2	5	5	4	4	5	6	6	7	9	10	12	8	11	11	12	9	11	9	15	13	14	14	12	12	13	16	15	15	13	15	17	18	20	19	20	21	22	21	22	24	23	25	31	32	34	34	2	0	1	2	2	2	6	4	2	6	5	4	9	11	18	13	9	8	22	15	16	8	22	0	23	21	19	22	24	24	22	33	24	26	24	35	26	36	35	37	40	38	41	0	37	40	41	43	48	49	49	50	1	1	1	3	1	2	1	2	2	2	1	1	1	1	1	2	3	1	1	1	1	3	1	1	2	1	2	3	1	2	1	1	3	1	2	1	3	1	2	1	1	2	2	1	2	2	2	2	3	1	2	2
7000	-281.212872341127138	-279.772191990152351	-1.440680350974763	0.000073357105977	0.000025363566890	0.345754737087774	0.655721071778414	1	-1	3	2	3	4	5	6	5	4	5	6	7	5	7	10	11	11	10	13	10	9	12	11	16	13	15	14	14	13	14	16	15	16	15	15	16	18	19	20	20	21	22	22	23	24	22	24	29	33	33	34	2	0	1	2	1	4	4	5	5	4	5	7	8	5	11	8	8	15	22	18	8	15	19	0	18	16	23	23	30	24	22	30	24	26	24	30	26	36	30	37	37	38	37	0	43	37	37	47	48	49	49	50	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	2	2	2	1	1	1	2	1	1	2	1	2	1	1	2	3	2	2	2	2	1	1	2	2	2	2	2	2	1	1	4	3	1	2	2	2	1
7500	-278.034942030712045	-276.360131711493864	-1.674810319218194	0.000069987087718	0.000014809434714	0.211602385475405	0.600553922210983	1	-1	3	2	4	3	4	5	7	3	5	6	6	6	8	10	12	10	10	13	11	9	11	11	15	13	13	15	14	13	14	16	15	14	16	15	17	18	20	19	20	21	23	21	23	23	24	25	31	33	32	34	2	0	1	2	2	4	6	6	14	2	4	7	8	4	14	13	9	15	22	18	16	15	22	0	27	21	22	23	30	24	23	30	24	26	24	24	21	36	35	37	40	38	41	0	40	40	41	46	47	51	48	51	1	1	1	2	2	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	2	2	2	1	2	2	2	2	1	3	2	3	2	2	1	1	2	2	1	2	2	2	1	3	1	4	1
8000	-269.773957673300629	-268.247831497165635	-1.526126176134980	0.000074121436521	0.000020583603280	0.277701084145521	0.602389378814188	1	0	3	2	2	3	5	5	6	3	5	5	6	6	7	10	10	9	11	13	11	9	12	11	15	12	14	14	13	12	14	15	16	15	15	16	17	18	20	18	19	20	22	20	23	25	23	25	31	32	33	34	2	0	1	2	2	2	5	2	4	5	5	4	11	5	14	13	14	15	22	18	13	15	19	0	23	21	19	23	24	24	22	29	29	26	24	29	26	36	35	37	40	38	40	0	40	47	40	43	48	49	47	50	1	1	1	1	1	1	2	2	2	1	1	2	1	2	1	1	2	1	1	2	2	1	1	1	1	1	1	1	2	1	2	1	1	2	2	1	3	1	3	1	1	1	2	1	3	2	3	1	3	1	5	1
8500	-276.375502874431447	-274.833453502960310	-1.542049371471147	0.000071673427993	0.000019241864302	0.268465801639418	0.623312427279211	1	0	2	2	4	2	4	6	6	3	5	6	7	7	8	10	11	11	11	12	12	9	11	11	13	13	14	13	13	13	12	15	14	15	15	16	17	19	19	19	19	21	22	21	21	24	22	24	31	33	33	34	2	0	1	2	4	2	4	5	11	2	4	7	11	5	14	13	11	15	22	15	16	15	22	0	19	13	22	22	24	24	22	30	30	26	33	30	34	36	24	37	37	38	40	0	40	47	37	47	48	49	48	50	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	2	1	2	1	1	2	1	2	3	3	1	1	2	1	1	1	1	1	2	1	1	4	2	1	2	1	1	1	1	2	1	3	1	4	1
9000	-279.731044332170370	-277.765431806285278	-1.965612525885113	0.000104043547997	0.000014992634742	0.144099610507508	0.656846017105852	1	0	3	2	4	3	5	5	7	4	5	6	7	6	8	9	11	10	9	12	10	11	12	11	15	13	13	13	13	13	13	14	14	15	15	15	17	18	20	19	20	22	23	22	22	25	23	24	30	32	34	34	2	0	1	2	4	4	6	6	14	4	6	7	8	5	9	13	14	8	15	15	13	19	19	0	27	21	22	19	24	24	19	30	24	21	24	29	26	36	35	37	34	36	40	0	41	43	40	47	46	49	49	50	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	2	1	2	2	1	2	2	2	1	2	2	2	1	2	3	2	1	1	1	2	1	3	1	3	2
9500	-283.385112479792724	-281.959058599307525	-1.426053880485185	0.000045006084409	0.000016327250079	0.362778728564332	0.696367576010780	1	0	3	2	3	3	5	5	5	4	4	4	6	6	9	9	10	10	9	12	11	10	11	9	15	13	13	14	13	12	14	16	15	13	15	14	18	18	20	20	21	21	23	21	22	24	24	23	30	33	32	34	2	0	1	2	2	1	5	6	5	2	4	6	8	11	13	8	9	15	6	18	6	19	19	0	27	21	22	23	24	24	27	35	30	21	29	30	26	36	35	37	40	38	37	0	37	45	41	40	48	49	49	49	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2	3	1	2	1	4	1	1	1	1	1	2	2	2	2	1	1	1	1	1	2	2	2	2	1	1	2	2	1	2	1	1	2	3	2	1	2
