step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52
10000	-308.816844640884995	-307.287757088990418	-1.529087551894585	0.000056012146302	0.000015455254360	0.275926836954429	0.625273941080090	1	-1	2	2	2	4	6	5	7	3	5	5	6	7	7	10	10	10	10	12	11	9	12	10	14	14	14	13	13	12	14	15	14	16	15	16	17	18	20	19	18	20	21	20	21	23	22	24	30	31	33	32	2	0	1	2	2	4	4	10	11	2	6	10	8	11	13	13	10	13	22	15	6	15	19	0	22	21	23	19	30	24	22	29	30	26	24	35	26	33	33	41	26	38	34	0	37	40	41	47	43	47	48	48	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	4	2	1	2	3	2	1	1	2	2	1	2	1	1	2	1	1	2	3	1	2	2	3	1	2	1	2	1	2	2	2	1	4	3	4	3
10500	-289.352411039981575	-287.714067561451600	-1.638343478529972	0.000087830389620	0.000019720514117	0.224529507410004	0.590254986938419	0	-1	3	2	3	2	5	5	7	3	5	5	6	7	9	11	9	10	10	12	10	9	12	10	15	13	13	14	13	12	15	15	13	15	16	15	18	18	19	19	21	21	22	21	23	25	23	24	31	30	34	34	2	0	1	2	6	2	5	5	10	2	5	3	8	7	9	13	9	15	22	18	13	9	22	0	19	9	22	19	24	24	28	29	24	21	24	33	34	36	35	37	40	38	40	0	41	47	37	37	47	48	50	50	1	1	2	1	1	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	3	3	2	2	1	1	1	1	2	3	3	1	2	2	2	1	1	2	1	1	1	1	3	4	4	3	1	2
11000	-292.244591226954242	-290.776707835827210	-1.467883391127019	0.000065388301410	0.000020893812659	0.319534415306156	0.638051679850898	1	0	2	1	2	3	6	5	6	3	4	5	6	7	7	10	12	8	11	13	12	11	12	10	16	13	14	14	12	13	13	15	16	15	15	15	17	18	20	19	20	21	22	22	22	24	24	24	30	33	34	35	2	0	1	2	2	4	12	5	1	2	4	4	8	6	11	9	14	15	18	18	16	15	19	0	28	21	19	23	24	24	22	30	24	26	24	30	26	33	33	26	26	38	37	0	41	43	45	43	48	48	50	49	1	1	1	1	1	1	1	1	3	2	1	2	1	2	1	2	3	1	1	2	1	2	1	1	1	1	2	1	1	2	2	1	3	1	2	2	2	1	2	5	4	1	3	1	1	1	1	1	4	3	1	2
11500	-275.910892138096926	-274.169789360805225	-1.741102777291683	0.000085021635146	0.000016285790124	0.191548775743719	0.724811455669049	0	-1	2	3	1	2	4	4	7	3	5	6	7	4	9	10	9	11	11	10	12	9	11	11	14	13	14	15	13	13	14	15	15	16	15	15	17	18	20	19	20	22	23	22	23	25	24	25	31	32	33	35	2	0	1	5	2	2	6	5	6	5	4	7	8	4	13	13	9	20	22	15	13	13	22	0	23	16	19	19	24	24	19	29	30	21	24	30	34	36	35	37	37	38	37	0	40	45	43	43	48	48	49	51	1	1	1	1	1	1	1	2	3	1	1	1	2	1	1	2	2	1	1	1	2	1	1	1	2	2	2	2	1	1	2	1	1	2	2	1	1	1	3	2	2	1	2	1	2	1	1	1	2	3	1	1
12000	-280.330447589164351	-278.853804545095898	-1.476643044068435	0.000066622745900	0.000020800085821	0.312206972858818	0.683110548440563	1	0	2	1	2	2	3	3	6	3	6	4	7	6	8	9	11	10	11	9	11	10	11	9	15	13	14	14	12	13	14	15	15	15	12	14	17	18	21	19	21	21	22	20	22	24	22	23	31	33	33	35	2	0	1	2	4	2	4	6	4	5	5	7	8	5	8	8	9	20	22	15	16	15	22	0	31	21	22	19	24	24	22	29	24	26	24	35	26	36	35	37	37	38	40	0	40	47	40	37	46	49	49	50	1	1	1	1	1	1	1	1	2	1	2	1	2	2	2	2	2	1	1	1	2	1	1	1	1	1	2	2	2	2	2	1	2	1	1	1	2	2	4	1	2	1	2	1	1	2	2	2	3	1	1	1
12500	-281.251167645389899	-279.649923776474509	-1.601243868915407	0.000039901047887	0.000009555668623	0.239484152157998	0.590494409583119	1	0	3	2	2	2	3	4	6	4	6	5	6	6	7	8	11	10	10	11	11	9	11	9	15	13	14	14	14	12	15	15	15	16	15	16	16	18	20	19	20	21	23	20	22	24	23	24	31	34	34	33	2	0	1	2	2	2	5	5	5	2	4	7	8	4	13	11	9	15	22	15	4	15	19	0	23	21	19	19	30	24	27	29	24	26	24	35	26	36	35	37	37	38	34	0	41	41	34	47	47	52	49	49	1	1	1	1	1	1	1	1	3	1	2	1	1	2	1	1	1	2	1	2	4	1	1	1	2	1	2	2	1	2	1	1	3	2	3	1	2	1	3	2	2	1	3	1	1	2	3	1	3	1	1	1
13000	-277.398261004789958	-275.711693611224177	-1.686567393565761	0.000081032108236	0.000016834390564	0.207749630732332	0.781246201638025	1	0	2	2	4	2	4	3	6	4	5	5	6	6	7	9	10	9	9	9	11	10	10	11	14	13	13	14	13	12	15	15	16	15	15	15	17	18	19	19	20	20	22	20	22	25	22	25	31	34	32	35	2	0	1	2	6	2	2	4	7	2	3	10	8	5	8	13	14	15	15	15	16	19	13	0	23	21	19	27	30	24	25	29	35	26	24	30	34	36	33	37	37	38	41	0	40	45	37	47	48	49	49	50	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	1	1	1	2	2	2	2	3	1	1	1
13500	-288.583748324283022	-287.206727720641538	-1.377020603641466	0.000060296846454	0.000027436096783	0.455017109448880	0.593543472195390	0	-1	2	2	3	4	5	6	7	4	4	6	7	5	7	8	12	8	8	12	11	10	10	10	16	12	14	14	12	13	15	15	15	15	14	16	17	18	20	20	21	21	22	22	22	24	23	24	32	31	34	33	2	0	1	2	2	4	5	4	11	2	5	7	14	11	4	14	16	15	15	18	16	19	19	0	28	16	22	22	24	24	19	30	24	26	24	30	34	36	33	37	37	38	37	0	37	43	43	41	48	48	49	50	1	1	1	2	2	1	1	2	2	2	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	2	2	2	1	2	3	1	2	2	2	1	1	1	2	2	3	2	2	1	2	1	1	1	4	2	1	1
14000	-301.228050101670817	-299.826031003019693	-1.402019098651107	0.000063085901267	0.000025109251401	0.398016845233478	0.517935326018485	1	0	2	1	2	3	5	5	7	3	4	5	5	6	8	11	11	10	10	12	11	9	12	12	14	13	14	14	14	13	14	16	16	15	16	16	17	18	20	20	19	21	22	21	22	25	23	24	31	34	33	34	2	0	1	2	2	2	11	5	4	4	2	4	4	11	8	8	9	15	7	15	6	15	19	0	19	21	22	19	24	24	22	29	30	26	30	24	26	36	35	37	26	38	40	0	41	45	40	41	46	41	49	49	1	1	1	1	1	2	1	2	3	1	2	1	2	1	1	3	2	2	2	1	3	1	1	1	2	2	3	2	1	1	3	1	1	1	2	2	2	1	2	2	3	2	1	1	2	2	2	3	3	8	1	1
14500	-294.269399590865703	-292.549821565741865	-1.719578025123837	0.000081594120284	0.000016126212407	0.197639393019493	0.499324292710759	0	-1	2	2	4	3	4	5	7	4	5	6	7	6	9	11	11	11	8	12	11	10	12	11	15	13	14	14	13	12	13	14	15	15	15	16	17	18	19	20	20	20	22	22	23	23	24	25	32	33	34	34	2	0	1	2	4	4	6	5	5	4	2	7	8	6	8	13	9	11	13	16	13	19	19	0	28	21	22	19	24	24	19	30	24	26	24	33	26	36	35	26	34	38	41	0	41	41	41	47	47	48	50	49	1	1	1	2	1	1	1	1	1	1	2	2	1	2	2	2	3	2	1	1	2	2	2	1	1	1	2	2	1	1	3	1	2	1	2	1	2	1	2	4	2	1	1	1	2	2	3	1	4	3	1	1
15000	-288.038904167663986	-286.226724404074616	-1.812179763589380	0.000081067247371	0.000014085564893	0.173751611781796	0.550520342646115	0	-1	2	2	4	4	5	5	6	3	4	6	5	6	8	10	12	11	9	12	12	11	12	11	16	14	14	15	13	12	14	15	16	16	16	14	16	18	21	19	20	21	22	21	23	25	23	24	31	33	33	34	2	0	1	2	4	10	10	11	5	2	2	7	5	2	13	13	16	15	15	11	16	19	19	0	23	16	22	22	24	24	23	29	29	26	24	30	26	36	33	26	37	38	41	0	37	43	37	37	43	26	49	49	1	1	1	1	1	1	1	1	1	2	3	1	1	3	2	2	1	1	1	4	1	1	2	1	2	2	2	2	1	1	1	1	2	1	2	1	1	2	2	3	2	1	1	1	4	1	4	4	4	10	1	2
15500	-283.349142951544763	-281.869102002942327	-1.480040948602437	0.000090892655862	0.000028129778013	0.309483508284533	0.752429476352636	1	0	2	2	4	2	4	6	6	3	4	5	5	6	7	9	10	10	9	12	11	11	11	11	14	13	13	13	13	12	15	16	16	14	15	15	17	18	19	19	21	22	22	20	23	24	23	25	31	31	34	33	2	0	1	2	6	2	6	13	5	6	6	7	11	2	8	9	13	15	15	15	16	19	19	0	23	21	19	23	30	24	28	29	24	26	24	30	26	35	32	37	40	38	40	0	43	47	40	41	48	43	49	49	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	1	2	1	2	1	2	1	1	2	1	2	1	1	1	1	1	2	1	2	1	2	2	2	1	2	2	2	1	1	1	2	2	2	4	1	1
16000	-277.824735423149207	-276.241542656398792	-1.583192766750405	0.000071706776552	0.000017751896411	0.247562326254716	0.709432625460007	1	0	2	2	2	2	5	4	7	3	6	5	6	5	6	10	12	9	10	12	10	8	12	10	15	13	14	13	13	12	14	14	16	15	15	16	17	19	19	19	20	22	21	21	21	24	22	24	31	32	33	35	2	0	1	2	2	2	5	2	14	5	5	6	8	4	8	13	9	15	22	18	13	15	19	0	28	21	23	19	24	24	20	29	35	26	30	35	34	36	33	37	37	38	40	0	40	47	40	47	46	49	49	50	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	3	2	1	1	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	3	1	1	2	1	1	1	2	1	2	1	4	1	1	2
16500	-279.801793833274246	-278.333332178783053	-1.468461654491185	0.000050910877297	0.000016242418597	0.319036313256648	0.708781990400127	1	0	2	2	2	3	3	5	6	3	5	5	7	6	8	10	10	9	11	12	11	10	11	10	16	13	14	12	13	13	14	15	14	15	13	15	17	17	17	20	21	21	22	22	23	24	24	25	30	32	33	35	2	0	1	2	2	2	2	4	6	2	5	5	4	5	13	8	14	15	22	18	16	18	22	0	27	21	23	19	24	24	23	29	24	26	24	33	26	36	33	26	37	38	41	0	41	40	37	47	41	49	49	50	1	1	1	1	1	1	1	2	2	1	1	2	3	2	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	3	1	2	3	2	2	1	1	1	2	3	1	4	1	1	2
17000	-288.140007972034027	-286.596283805204223	-1.543724166829785	0.000070125477778	0.000018761089449	0.267535994670452	0.614684420508587	1	0	3	1	2	4	4	5	5	3	5	5	6	5	7	10	8	10	8	11	10	11	11	11	15	13	14	14	14	13	14	16	16	15	15	15	17	18	20	19	20	20	22	22	23	25	23	25	31	32	33	34	2	0	1	2	2	5	2	5	4	5	4	7	8	6	13	8	14	15	15	15	13	19	19	0	27	21	19	19	30	24	22	29	30	26	24	30	26	33	35	26	37	38	41	0	37	47	41	47	43	49	49	50	1	1	1	1	1	1	3	1	2	1	2	1	1	1	1	2	2	2	1	1	2	2	2	1	1	3	2	3	1	2	2	1	1	1	2	1	2	2	2	3	1	1	1	1	2	1	2	1	3	1	1	2
17500	-292.710234260333266	-291.330484712191037	-1.379749548142234	0.000064386902413	0.000028768188322	0.446801868762139	0.629357656265168	0	-1	3	3	2	2	6	5	6	4	5	6	6	5	6	10	12	10	9	12	11	11	11	10	16	13	15	14	13	12	15	15	15	15	14	15	16	18	19	19	21	21	22	21	23	24	23	24	31	34	34	35	2	0	1	2	2	2	4	5	11	5	2	6	5	2	4	13	16	15	15	15	16	19	19	0	28	21	22	23	24	24	23	29	30	21	24	24	34	33	36	37	40	38	41	0	41	40	43	43	46	49	49	50	1	1	1	2	1	2	1	2	1	1	2	2	2	2	1	2	1	2	2	3	1	1	1	1	1	1	2	2	2	1	2	1	2	2	2	2	1	3	2	1	2	1	1	1	1	3	1	1	2	2	1	1
18000	-290.892588326736131	-289.454709007817996	-1.437879318918145	0.000071198969800	0.000024835957320	0.348824672459906	0.658602674771920	1	0	2	2	3	2	4	5	5	3	6	6	7	6	7	10	11	11	9	12	9	10	11	10	15	13	14	14	14	13	14	16	16	15	15	16	16	17	20	19	21	21	22	20	23	23	23	25	30	33	34	35	2	0	1	2	6	2	5	4	4	6	9	8	6	1	4	13	15	16	15	18	13	19	19	0	22	21	19	23	24	24	22	35	30	26	24	35	26	36	33	37	40	36	40	0	41	41	40	47	48	48	49	49	1	1	1	1	1	1	1	2	1	1	1	1	3	2	3	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	2	1	2	1	1	1	2	2	2	2	2	1	1	1	3	1	2	4	2	2
18500	-308.482473583583101	-306.907011507877712	-1.575462075705376	0.000050299012269	0.000012635511856	0.251207951927206	0.599636835602114	1	-1	0	2	3	4	6	5	6	3	4	6	6	5	7	10	11	11	11	12	11	8	12	11	14	14	14	13	13	13	14	15	15	15	16	16	17	18	21	19	21	21	22	21	23	25	22	23	31	32	32	34	3	0	2	2	2	2	6	5	14	4	2	11	5	4	13	8	9	15	22	18	13	15	22	0	22	16	28	22	24	24	28	29	30	26	24	29	26	36	35	37	37	36	37	0	40	40	41	41	48	43	49	48	1	1	1	1	2	2	1	1	1	1	2	1	2	1	1	2	2	2	2	1	2	1	2	1	3	2	1	3	1	1	1	1	1	1	3	3	2	1	2	2	3	2	3	1	3	2	1	1	5	5	1	3
19000	-300.913449194761824	-299.390477211515304	-1.522971983246508	0.000072604702110	0.000020301810283	0.279621149776953	0.590935745946993	1	-2	0	2	2	4	5	5	6	1	5	6	6	7	7	10	11	11	10	12	10	9	12	11	12	13	15	14	14	13	15	15	16	15	15	15	18	17	21	20	21	21	22	21	22	24	20	24	31	33	33	35	3	0	2	2	2	4	5	4	8	2	6	7	8	11	4	8	14	5	22	22	8	15	22	0	18	21	22	22	24	24	28	30	24	26	24	30	26	36	33	26	40	38	37	0	41	43	26	47	48	49	49	50	1	1	1	3	2	1	1	2	1	1	1	1	1	1	2	3	3	5	1	1	2	1	2	1	1	2	2	2	2	2	1	1	2	1	2	1	2	1	2	3	1	2	2	1	1	1	3	2	3	1	1	2
19500	-282.304717926931858	-280.943701129418287	-1.361016797513565	0.000048092156772	0.000026751579838	0.556256604692412	0.680233550304542	1	-1	0	2	4	3	4	5	4	4	4	6	4	7	8	9	11	10	10	13	11	9	12	11	13	13	12	14	13	12	14	15	16	16	16	15	18	19	20	19	19	22	22	20	23	25	23	25	31	33	33	35	3	0	2	2	4	4	4	13	6	4	4	7	6	5	9	8	5	15	22	18	16	15	22	0	19	21	19	19	30	24	23	29	30	26	24	30	26	36	33	34	37	38	41	0	37	43	41	47	48	49	49	50	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	3	2	1	2	2	1	2	1	1	1	2	2	1	1	1	1	2	2	2	1	2	2	2	2	1	1	1	1	2	2	2	1	3	1	1	2
20000	-273.064028707018508	-271.613708470192762	-1.450320236825768	0.000052928822120	0.000017772070326	0.335773017684977	0.679142663735721	1	-1	0	2	2	3	6	5	6	3	4	5	7	6	8	9	11	11	9	12	11	10	11	10	16	13	14	15	12	11	15	15	15	16	16	16	18	18	20	19	19	21	21	22	22	25	22	25	31	34	34	34	3	0	2	2	2	2	6	6	5	4	5	4	8	4	8	8	14	15	15	15	16	19	19	0	31	21	22	23	30	24	22	29	30	26	30	33	34	36	35	37	37	38	41	0	37	40	41	45	48	49	49	49	1	1	1	1	2	2	1	1	2	1	1	1	1	2	2	2	2	1	1	2	1	1	1	1	1	1	2	2	1	1	2	2	2	1	3	1	1	1	2	1	1	2	1	1	2	3	2	2	3	1	2	2
20500	-308.096088555462529	-306.719081516651272	-1.377007038811244	0.000049736754300	0.000022633207330	0.455059998359588	0.613720708437109	1	-1	0	1	4	3	4	5	5	3	5	5	7	6	9	10	10	10	9	12	11	10	11	11	12	13	13	14	13	13	15	15	16	15	15	16	17	17	20	18	20	22	22	21	22	24	23	24	31	34	33	33	3	0	2	2	4	4	4	7	2	4	4	10	14	4	9	13	9	15	8	18	9	19	22	0	22	21	14	23	24	24	19	29	24	26	24	30	34	36	33	34	40	38	41	0	37	43	37	43	48	52	49	49	1	1	1	1	1	1	2	1	2	1	2	2	1	4	2	2	2	1	2	1	4	1	1	1	1	1	3	2	2	2	4	1	2	1	2	1	1	1	2	2	2	2	2	1	3	2	3	1	3	1	1	1
21000	-300.220721698065574	-298.595429136530186	-1.625292561535401	0.000073331458973	0.000016834036154	0.229560905922042	0.590751560468818	1	-1	0	2	1	2	5	6	6	3	6	4	6	5	8	8	11	9	8	12	11	10	12	11	15	14	14	14	13	12	14	14	15	15	16	16	17	17	21	20	19	20	23	19	22	24	23	24	31	33	33	35	3	0	2	2	2	2	4	4	3	5	2	4	6	5	13	7	4	16	13	15	16	19	22	0	28	21	22	22	24	24	23	29	24	26	30	33	26	30	35	37	37	38	37	0	40	41	41	47	48	49	49	50	1	1	1	1	1	2	2	2	2	1	2	1	3	2	1	2	4	1	2	2	1	1	1	1	1	2	2	3	1	1	1	1	2	1	2	1	1	2	2	2	1	1	4	1	1	2	2	1	4	1	1	1
21500	-303.423116086667676	-301.772419804928688	-1.650696281739001	0.000049461886068	0.000010880298532	0.219973385510632	0.656869652928901	1	-1	0	1	3	3	6	5	7	4	4	5	7	4	5	10	11	10	9	12	11	10	11	10	13	13	14	15	13	12	14	15	15	14	16	15	16	18	20	19	21	22	22	20	22	24	22	24	31	33	34	35	3	0	2	2	4	2	11	5	14	5	6	2	14	2	6	9	2	15	15	15	16	19	22	0	19	21	22	22	24	24	25	30	24	26	24	30	26	36	35	37	37	38	40	0	37	47	40	45	48	49	49	49	1	1	1	1	1	2	1	1	1	1	1	2	2	2	1	1	6	2	2	4	1	1	1	1	2	1	2	3	1	2	1	1	2	1	2	1	2	1	1	2	3	2	2	1	3	2	2	1	4	1	1	2
22000	-289.745089422491617	-288.384134273266966	-1.360955149224630	0.000042824499815	0.000024883899913	0.581066913113500	0.700992877735319	1	-1	0	2	2	4	6	5	6	4	6	4	6	7	7	10	11	10	11	13	11	11	9	11	16	13	14	14	13	13	13	16	15	15	15	16	16	18	20	20	20	20	21	20	23	24	21	24	31	34	33	35	3	0	2	2	2	2	5	6	4	5	6	4	8	11	5	13	4	23	23	18	16	23	8	0	27	21	22	22	24	24	19	33	24	26	24	33	26	36	33	37	37	38	40	0	41	40	37	47	43	49	49	49	1	1	1	2	2	2	1	1	1	1	1	1	1	1	2	2	4	1	1	2	1	1	2	1	1	1	2	2	1	1	1	1	3	1	2	1	1	1	2	2	2	1	1	1	2	1	2	2	4	1	1	2
22500	-286.440384082904245	-284.909709292270577	-1.530674790633686	0.000075190969844	0.000020676533897	0.274986929142332	0.692675356686110	1	-1	0	3	3	4	5	6	6	4	6	6	7	5	8	9	11	9	10	11	11	11	12	11	15	13	14	14	13	13	14	16	15	16	15	15	18	17	21	18	21	21	22	21	22	23	24	23	30	32	32	34	3	0	2	2	2	5	5	6	5	4	4	6	8	4	8	8	9	8	15	19	8	18	19	0	23	21	23	22	24	24	23	29	30	26	24	30	26	35	35	26	37	38	41	0	37	41	41	40	43	49	49	50	1	1	1	2	1	1	1	1	1	1	2	1	1	1	2	2	3	2	2	1	2	1	1	1	1	2	1	2	1	1	2	1	2	1	2	1	2	1	3	2	1	2	1	1	2	1	1	2	3	1	1	1
23000	-274.165774194714970	-272.619108758791015	-1.546665435923944	0.000063948516304	0.000017005254903	0.265921023440495	0.779418112411920	1	-1	0	1	3	3	4	6	7	3	5	6	5	5	8	10	10	9	10	12	12	11	12	10	16	13	14	14	11	13	14	16	15	16	13	15	17	18	21	19	20	20	21	21	23	23	23	24	31	33	34	35	3	0	2	2	4	4	10	13	14	4	6	7	6	5	13	11	11	15	18	15	16	19	19	0	27	21	19	19	24	24	23	35	30	26	24	30	26	36	33	37	40	38	40	0	41	40	37	43	48	49	49	50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	1	1	2	1	1	2	1	1	1	2	2	1	2	1	2	1	1	2	1	2	2	2	1	1	2	2	1	2	2	3	1	3	1	1	1
23500	-275.431855108286129	-274.052236016472364	-1.379619091813751	0.000062422190852	0.000027913783870	0.447177253615067	0.758584188166307	1	-1	0	1	3	1	5	5	6	3	5	5	7	6	8	9	8	10	9	12	11	10	11	11	16	13	14	14	13	12	15	16	16	16	16	16	17	18	20	19	21	20	22	22	23	24	23	24	30	34	32	33	3	0	2	2	6	2	5	6	11	6	5	5	8	11	8	8	14	15	15	15	13	19	19	0	28	21	23	23	24	24	23	29	24	26	24	29	26	36	35	37	37	38	37	0	41	40	26	43	48	52	49	49	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	2	1	1	1	1	1	1	2	2	1	2	1	2	2	2	1	2	1	2	2	2	1	2	1	1	2	5	1	3	1	1	1
24000	-273.029641874564390	-271.633506999992392	-1.396134874572002	0.000063864154910	0.000026104608411	0.408752115291246	0.661425962142058	1	-2	0	2	3	2	4	4	7	4	5	6	6	5	8	11	12	10	11	13	11	10	11	11	14	14	13	14	13	13	14	15	15	16	15	15	17	19	20	20	20	21	22	22	22	25	23	23	31	33	33	35	3	0	2	2	6	1	5	6	14	4	5	7	8	5	5	13	9	15	22	15	5	15	22	0	23	21	22	19	24	24	27	30	24	26	30	24	26	36	33	34	37	38	41	0	41	43	43	43	48	49	49	50	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	3	3	1	1	1	2	1	2	2	1	2	1	1	2	1	2	1	1	2	3	2	1	2	1	1	1	1	1	1	3	1	1	1
24500	-275.560584471300615	-274.024686783191783	-1.535897688108813	0.000065916586558	0.000017925809214	0.271946867244090	0.734158882821270	1	-2	0	2	3	4	5	5	6	4	4	3	6	6	7	10	11	10	10	12	11	9	11	11	16	13	14	14	14	12	15	15	15	16	15	16	17	18	21	20	20	21	21	22	22	24	23	25	31	34	33	35	3	0	2	2	4	5	12	6	5	4	2	4	8	6	11	13	6	15	22	15	16	15	19	0	28	21	19	23	30	24	22	29	30	26	24	24	26	36	33	37	37	38	37	0	40	41	37	47	48	49	49	50	1	1	1	2	1	1	1	1	1	2	2	1	1	1	2	2	3	2	1	2	1	2	1	1	1	1	2	2	2	1	2	1	2	2	2	2	1	1	2	2	2	2	2	1	1	2	3	1	3	1	1	1
25000	-276.549908089815858	-275.125094206506390	-1.424813883309455	0.000058315104956	0.000021246903166	0.364346479046654	0.733149272820799	1	-1	0	1	3	3	4	4	7	3	6	6	6	5	8	9	12	10	10	12	10	9	11	11	15	13	13	13	12	13	15	16	14	14	16	15	17	18	18	19	21	21	23	21	23	25	23	24	31	33	33	34	3	0	2	2	4	4	4	4	14	4	14	14	8	6	13	13	11	15	22	15	16	9	19	0	27	21	22	23	24	24	27	30	24	26	33	33	26	36	35	37	40	38	41	0	41	43	40	43	48	49	49	50	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	3	1	1	2	1	2	1	1	2	2	2	2	1	2	1	2	1	1	1	1	2	2	1	1	2	2	2	1	1	1	2	1	3	1	1	1
25500	-290.395599139484659	-288.954977403267151	-1.440621736217517	0.000053482329903	0.000018495160223	0.345818146966565	0.661628020573299	1	-1	0	1	3	3	4	6	6	3	6	6	6	6	7	10	11	10	11	13	11	9	11	11	16	14	14	13	12	13	15	16	15	15	14	16	17	19	20	19	20	21	21	20	22	25	22	23	30	32	34	34	3	0	2	2	2	2	6	10	4	2	6	7	5	6	8	13	11	15	22	18	9	15	22	0	31	21	22	22	24	24	27	29	24	26	24	30	26	36	29	37	26	38	41	0	40	47	43	41	47	49	49	50	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	3	2	1	2	3	1	1	1	1	2	3	2	1	2	1	2	2	1	2	2	2	1	4	1	3	1	1	1	1	1	1	1	5	1	2	2
26000	-292.041141629898107	-290.662624783604883	-1.378516846293199	0.000071804882621	0.000032342030555	0.450415478373303	0.718896276457401	1	-1	0	1	3	2	6	5	6	3	5	6	6	5	7	9	9	10	11	11	11	11	12	11	15	14	14	14	13	12	15	15	15	15	16	15	18	17	21	19	21	20	23	20	22	24	24	25	30	33	32	34	3	0	2	2	4	2	5	5	4	4	5	6	8	5	12	8	9	15	9	15	11	18	18	0	22	21	19	22	24	24	27	29	30	26	30	24	34	36	33	26	37	38	37	0	40	41	43	43	43	49	49	50	1	1	1	2	1	2	2	1	3	1	1	2	1	1	1	2	2	2	2	2	3	1	1	1	1	2	1	2	1	1	1	1	2	1	2	1	1	1	3	2	2	2	2	1	2	2	1	1	2	1	1	1
26500	-300.670528939157180	-298.901900714697604	-1.768628224459552	0.000073153580956	0.000013479691671	0.184265643524861	0.605720552045976	1	-1	0	2	3	3	4	4	5	3	5	5	7	6	6	9	11	10	8	13	10	10	11	10	15	12	12	14	12	12	15	16	14	15	15	15	17	18	20	18	20	21	23	21	20	25	23	25	31	34	33	32	3	0	2	2	3	4	10	4	6	2	4	7	8	5	4	8	11	16	8	18	8	19	19	0	28	21	22	27	24	24	23	33	24	26	30	30	34	36	33	26	37	38	37	0	37	43	37	37	43	52	49	49	1	1	1	2	1	1	1	1	1	2	1	1	2	2	2	2	3	1	2	1	2	1	2	1	1	1	1	1	1	1	2	1	2	2	2	2	1	1	2	3	2	2	2	1	2	1	2	4	3	2	2	1
