step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26
1	-1164.649665502271546	-1171.505153453230832	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.165698548028062	0	6	7	9	9	9	10	12	11	13	13	15	16	17	18	20	21	21	21	22	26	24	24	25	26	28	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4	5	5	5	5	6	6	7	7	8	8	9	9	10	11	11	11	11	13	12	12	13	13	14
500	-285.185695446940656	-292.041183397900056	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.156096288388690	1	5	7	9	7	7	9	12	12	14	13	15	16	17	19	21	22	21	22	22	27	23	23	26	27	29	0	1	2	3	2	0	6	4	5	2	7	7	4	6	5	13	8	2	12	15	8	2	2	2	14	6	1	2	1	1	1	1	2	2	3	4	2	3	3	5	5	3	5	8	4	2	10	11	9	9	6	14
1000	-239.600785007937674	-246.456272958897046	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.157290250632615	1	7	6	9	10	8	10	13	11	12	14	14	16	17	15	20	20	21	21	22	26	25	24	25	26	29	0	3	1	3	2	0	6	4	2	4	7	6	5	11	3	15	13	16	12	13	16	18	15	4	19	12	1	1	3	3	1	1	1	2	3	1	2	4	3	1	4	4	2	1	4	5	4	2	6	7	2	6
1500	-204.380746063298631	-211.236234014258002	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.194987923103554	1	7	6	9	10	9	11	13	12	13	12	15	16	16	18	21	21	22	21	23	26	24	24	26	26	28	0	3	1	3	2	0	6	5	2	4	7	6	4	12	5	13	15	15	6	16	16	15	15	15	19	19	1	1	1	2	2	1	2	2	3	2	1	4	4	1	5	2	2	3	6	1	2	3	3	4	3	4
2000	-189.050951678221253	-195.906439629180625	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.278187007517074	0	7	6	10	9	9	10	12	12	13	11	14	17	17	18	20	21	21	20	21	27	24	24	26	26	29	0	3	1	5	2	0	6	4	2	3	7	6	8	12	9	15	15	15	12	15	15	18	15	15	19	19	1	1	3	1	1	1	1	1	3	3	1	2	2	1	5	1	1	2	3	1	4	2	4	3	3	4
2500	-195.263357780989651	-202.118845731949023	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.378779260536465	1	7	6	7	9	9	11	12	11	10	14	14	16	17	18	20	21	21	22	22	26	25	23	25	27	28	0	3	1	3	2	0	6	4	5	3	7	6	3	12	5	15	5	15	6	16	20	18	15	15	19	19	1	1	2	1	1	1	1	3	1	2	2	3	4	2	6	1	6	1	5	1	2	2	3	3	2	3
3000	-195.094316981705987	-201.949804932665359	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.454986008294147	1	6	5	8	10	10	11	11	11	13	13	15	17	18	19	20	21	22	21	23	26	24	24	25	26	27	0	3	1	3	2	0	6	4	2	5	7	6	8	12	13	13	9	15	12	16	16	18	15	15	19	25	1	1	3	1	2	1	1	2	3	2	1	2	3	3	1	2	6	1	2	2	3	1	2	3	2	1
3500	-199.429338545469960	-206.284826496429332	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.685733913374304	0	6	8	9	10	9	10	11	11	12	13	15	16	17	18	20	21	22	22	21	25	24	22	25	27	29	0	1	2	3	3	0	6	4	3	3	7	6	4	12	13	2	13	16	12	13	20	18	16	16	19	19	1	3	2	1	1	1	1	1	1	2	1	3	3	2	1	7	2	1	3	3	2	1	1	2	2	2
4000	-200.958910747976944	-207.814398698936316	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.495448019241502	1	5	7	9	9	10	11	13	12	13	13	15	16	18	18	21	20	20	20	22	26	24	24	25	26	28	0	1	2	2	3	0	6	4	2	4	7	7	4	12	5	5	2	15	12	15	20	18	15	15	19	25	1	2	1	2	2	1	1	2	4	3	1	2	3	2	5	4	5	1	2	2	2	3	3	3	2	1
4500	-196.364478043477817	-203.219965994437189	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.472804591960635	1	7	8	9	10	9	11	13	10	12	14	15	17	17	17	19	22	21	21	23	26	25	23	25	26	29	0	1	2	3	2	0	6	2	2	4	7	6	8	12	2	2	16	15	12	15	20	18	16	23	19	25	1	3	1	1	2	1	1	2	1	2	1	3	2	1	4	5	2	2	3	2	1	3	2	1	2	2
