step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81
1	-15195.440706228524505	-15193.978624144005153	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.956720223976096	0	1	4	6	12	21	22	24	23	25	25	27	28	28	28	28	29	29	29	29	30	29	30	29	30	30	31	32	30	31	33	34	31	31	31	32	31	32	33	32	33	34	35	34	34	34	34	35	36	36	37	35	37	36	35	36	36	36	37	38	38	39	37	37	37	38	39	40	42	41	40	42	42	45	44	45	45	45	49	47	50	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	6	11	11	12	12	13	13	14	14	14	14	14	15	15	15	15	15	15	15	15	15	15	16	16	15	16	17	17	16	16	16	16	16	16	17	16	17	17	18	17	17	17	17	18	18	18	19	18	19	18	18	18	18	18	19	19	19	20	19	19	19	19	20	20	21	21	20	21	21	23	22	23	23	23	25	24	25
500	-2174.342428479603768	-2171.254211033597585	-3.088217446006128	0.000010049287687	0.000058462086345	5.817535348258818	0.173312971450194	0	2	3	7	12	15	21	16	15	17	25	27	29	28	28	20	29	30	29	29	31	29	31	28	30	31	32	33	31	32	34	34	30	32	32	33	31	33	33	33	33	35	34	34	35	35	35	35	35	37	38	36	38	37	36	35	37	37	37	39	38	40	38	37	38	39	40	41	42	41	41	43	43	46	44	45	46	45	49	48	51	0	1	2	3	0	0	0	6	5	8	9	11	10	9	9	10	10	11	10	10	9	9	9	10	16	9	10	10	10	9	9	10	9	9	9	9	10	8	9	16	10	10	9	9	16	10	10	9	8	10	16	10	10	10	10	16	10	10	9	10	10	10	10	8	10	10	10	10	10	10	10	10	10	10	10	10	6	10	10	10	16	1	1	1	2	1	1	1	1	2	1	7	1	5	7	6	2	9	5	6	10	10	7	11	6	7	12	8	10	9	11	15	11	9	12	13	12	10	11	14	8	11	17	14	15	10	12	14	14	15	17	13	14	18	17	17	9	13	10	16	17	17	17	13	16	14	17	18	17	19	12	20	16	21	20	22	19	24	20	18	23	23
1000	-1590.254756668980235	-1587.799385657657922	-2.455371011322202	0.000010053704152	0.000036411429253	3.621692930476733	0.116505778387561	0	2	2	5	13	15	22	16	15	17	25	28	25	28	29	20	29	28	21	29	30	29	31	28	30	27	30	30	22	32	34	33	31	31	31	31	32	30	33	31	33	35	35	34	34	34	35	35	37	37	37	36	38	37	36	36	34	37	37	39	38	40	37	38	38	38	40	40	42	41	39	43	43	46	45	46	45	46	50	48	50	0	1	1	3	0	0	0	6	4	8	9	26	10	9	9	10	16	9	10	16	9	9	9	19	13	9	19	20	19	9	9	19	9	9	9	9	19	29	9	19	29	10	9	9	29	16	19	9	16	19	29	16	29	19	19	19	40	16	9	19	16	19	10	29	29	10	10	16	16	37	8	19	19	16	19	19	10	10	57	16	57	1	1	1	2	1	1	1	1	5	1	4	1	4	6	7	2	5	6	2	4	7	8	7	3	2	7	4	1	1	9	11	6	10	7	7	9	5	4	10	5	4	16	10	14	4	9	9	12	10	12	8	9	13	14	9	8	3	10	14	14	13	15	15	11	14	13	17	14	14	7	17	14	16	15	18	19	20	18	13	18	13
1500	-1204.159452043382998	-1201.842355488140811	-2.317096555242288	0.000010181538649	0.000032679690830	3.209700611817417	0.189378836508237	0	2	4	6	12	18	22	19	15	20	24	23	27	20	28	29	27	28	21	29	31	30	30	29	31	31	31	32	22	31	34	35	32	32	31	33	31	24	34	24	33	33	35	35	35	35	34	36	36	37	34	33	37	37	36	36	37	37	38	38	39	40	38	36	38	39	40	40	43	40	41	43	42	46	45	45	44	46	48	47	51	0	1	2	3	0	0	0	6	3	8	9	14	10	9	12	10	10	14	10	13	11	9	14	10	20	9	19	17	19	14	14	42	9	14	14	9	40	29	14	19	38	13	31	9	41	29	40	14	40	42	38	38	38	38	38	47	37	37	14	19	19	38	29	38	29	40	40	17	40	37	19	40	40	40	40	40	19	40	37	40	70	1	1	1	2	1	1	1	1	3	1	4	2	4	2	2	4	5	4	1	1	5	10	5	3	1	8	5	2	1	7	10	1	13	7	4	9	3	2	8	2	4	4	1	10	2	8	5	12	6	4	6	3	9	11	7	1	2	4	10	10	11	12	16	7	13	9	12	7	16	5	14	14	12	12	16	18	18	15	10	16	5
2000	-990.224440473888308	-988.485287830579750	-1.739152643308556	0.000010295106057	0.000017400216481	1.690144461305571	0.196937793564098	0	2	4	7	12	18	22	20	18	21	25	28	28	22	29	27	29	28	22	29	31	30	30	28	31	31	31	32	23	31	33	34	30	30	31	33	30	24	33	24	32	33	34	33	34	34	33	35	34	35	37	36	38	36	34	35	36	36	37	38	38	39	37	37	36	38	39	41	43	41	40	41	42	46	45	46	46	46	50	48	49	0	1	1	3	0	0	0	6	3	8	9	11	10	9	12	10	10	14	10	16	33	9	14	19	20	9	19	20	19	18	14	42	9	14	14	9	40	29	14	19	38	27	14	9	41	38	37	14	40	42	41	45	38	38	38	47	37	47	18	24	42	38	38	38	38	40	40	50	40	71	40	40	40	40	40	40	40	40	71	40	57	1	1	2	1	1	1	1	1	7	1	4	2	3	3	1	2	4	5	1	1	1	8	4	2	2	6	4	1	1	3	7	1	8	4	4	9	2	1	7	1	5	1	6	8	1	6	2	7	5	1	5	2	9	9	6	1	3	2	5	4	3	10	12	7	9	7	11	4	13	1	11	13	11	13	16	17	17	15	5	15	6
2500	-854.605435312398185	-852.988943046601662	-1.616492265796513	0.000010426475385	0.000014522245358	1.392824019764740	0.234174753176105	0	1	3	6	13	22	22	24	23	23	25	27	27	24	28	26	29	28	29	29	29	29	29	30	31	31	31	31	25	31	33	34	31	32	31	32	25	26	34	24	33	33	35	35	34	35	34	35	36	36	38	36	37	36	35	36	35	37	38	38	38	39	37	37	37	38	40	40	42	41	39	43	42	45	45	46	45	44	48	47	49	0	1	2	3	0	0	0	6	2	6	9	9	10	9	12	10	16	14	16	16	11	12	18	19	20	12	19	20	10	18	23	42	9	18	18	15	40	29	18	10	38	16	23	9	41	38	37	34	37	42	55	55	38	38	38	47	37	56	30	50	50	38	38	38	38	37	37	50	37	49	40	40	37	47	37	37	40	37	71	37	78	1	1	1	1	1	1	1	1	10	1	1	2	2	1	1	2	2	3	2	2	4	1	1	1	1	3	1	1	1	3	3	1	5	2	2	2	1	1	4	1	3	3	2	8	1	5	5	2	5	1	2	1	7	6	6	1	4	1	4	2	1	9	11	6	7	7	7	2	9	2	8	10	9	7	12	12	16	12	5	15	4
3000	-747.087027450469236	-745.180438317596440	-1.906589132872782	0.000010531299925	0.000022149084599	2.103167202215905	0.331007713966694	0	2	4	6	12	21	22	23	23	25	25	27	28	28	29	28	30	29	28	29	31	30	31	30	31	30	31	32	27	32	32	35	32	31	30	33	28	28	34	27	34	34	35	35	35	32	33	35	37	36	38	36	37	37	36	37	36	35	36	38	38	40	37	37	36	39	40	41	43	41	39	43	43	45	44	45	46	45	48	47	50	0	1	1	3	0	0	0	6	5	8	9	11	10	12	12	10	16	14	10	10	11	9	18	19	20	9	19	20	10	23	18	42	9	18	18	26	40	29	31	10	38	27	35	12	46	38	37	34	40	42	63	46	46	38	41	58	40	47	31	32	50	45	38	38	38	47	37	60	56	71	40	58	37	72	37	40	40	40	73	40	80	1	1	2	1	1	1	1	1	5	1	1	1	1	1	1	2	1	1	1	2	2	4	1	1	1	3	2	1	1	1	2	1	5	1	1	2	1	1	1	1	3	2	3	7	2	2	3	3	5	1	1	2	2	6	1	1	6	2	2	2	2	4	9	6	4	4	7	1	3	1	6	5	8	1	10	10	13	9	3	11	1
3500	-641.368847595568241	-639.624989693110024	-1.743857902458218	0.000010980324712	0.000018683853584	1.701575688679471	0.441467274707491	0	2	5	6	10	21	21	23	23	25	25	27	27	28	28	28	29	29	26	29	29	27	30	30	31	31	31	32	29	30	33	35	31	31	32	32	32	31	33	31	33	34	35	35	35	34	34	36	36	35	37	36	37	36	34	36	36	36	36	38	39	39	38	38	38	38	39	40	42	42	40	42	42	44	44	45	44	43	49	47	50	0	1	2	3	0	0	0	6	5	8	9	9	10	9	12	10	16	14	10	13	9	9	18	19	20	12	19	16	19	18	18	42	11	18	18	15	40	29	18	16	38	24	31	26	38	38	40	34	37	42	52	38	45	55	38	47	47	40	31	50	50	51	38	52	38	58	57	60	47	57	27	47	57	69	37	40	40	71	76	37	80	1	1	1	1	1	1	1	1	5	1	1	2	1	2	1	2	1	1	1	1	3	2	1	2	1	3	2	2	1	1	2	1	3	1	3	2	1	2	2	2	1	2	1	2	2	2	2	2	2	1	1	2	1	1	2	1	1	3	2	2	2	1	6	1	5	2	1	1	3	3	5	3	2	1	7	8	7	2	2	7	1
4000	-569.407625154387006	-567.728644006525883	-1.678981147861166	0.000011532928366	0.000017810888740	1.544350938029107	0.608477844340540	-1	2	3	6	12	21	22	24	23	25	25	25	28	26	28	28	29	28	29	28	30	29	30	29	31	31	32	32	30	32	33	34	30	31	32	32	32	31	32	31	33	33	35	35	33	34	35	35	35	36	37	35	37	36	36	36	36	36	38	38	39	39	38	38	38	38	38	41	43	40	41	42	42	45	43	46	45	45	48	48	50	0	1	1	3	0	0	0	6	5	8	9	9	10	12	12	10	13	14	16	10	9	12	18	13	13	15	24	20	13	23	23	42	9	23	23	12	40	29	18	19	38	13	31	36	38	38	40	34	40	42	45	45	52	52	38	40	40	47	43	50	50	51	52	54	55	47	57	50	72	57	57	66	57	72	56	73	67	71	76	73	80	1	1	2	2	1	1	1	1	5	1	1	1	2	1	2	1	1	1	1	2	3	2	1	1	2	2	2	2	1	1	1	1	4	1	1	4	1	1	2	1	2	2	2	1	1	2	2	2	2	1	2	1	1	1	2	2	3	1	1	1	1	1	2	2	1	1	2	2	1	2	2	2	2	1	2	2	3	2	1	4	1
4500	-466.911051215303246	-465.352973940838581	-1.558077274464663	0.000011385681502	0.000014224451522	1.249328072227947	0.660315306751586	-1	1	4	6	12	21	22	24	24	25	25	26	28	28	28	28	30	29	28	29	29	29	31	30	30	31	31	32	30	32	32	35	31	32	32	32	32	31	33	30	32	33	35	35	33	34	34	34	36	35	36	35	36	35	35	36	36	37	38	38	38	38	37	37	37	38	39	40	42	41	41	40	42	45	44	45	46	45	49	48	50	0	1	2	3	0	0	0	6	7	8	9	11	10	12	12	10	16	12	10	10	9	15	18	19	20	15	19	16	19	18	23	42	21	18	18	26	40	29	18	19	38	27	31	36	38	38	40	34	37	42	52	45	45	45	38	40	40	47	43	50	50	51	38	54	55	47	57	60	72	57	67	58	71	72	69	73	73	73	76	77	80	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	2	2	3	1	1	1	1	2	2	3	1	1	1	1	1	2	2	1	1	1	2	1	1	1	2	2	1	2	2	1	2	1	1	2	2	1	1	3	2	2	2	2	1	1	2	2	1	2	2	1	1	2	1	2	1	2	2	2	2	2	3	1	1
