step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82
1	-1069.055876396509120	-1078.106719776960517	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.312770806766230	6	21	8	20	19	20	21	20	28	22	30	27	26	25	27	27	23	32	24	34	37	24	37	28	33	34	32	29	30	28	29	37	39	31	34	35	41	36	36	41	32	31	36	35	34	56	43	45	37	38	40	42	46	38	44	49	44	49	41	48	42	44	41	46	53	41	43	45	49	49	48	54	48	52	52	52	62	58	51	62	51	72	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-459.559667763559673	-468.610511144011014	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.711868179786937	5	20	10	19	18	21	14	18	28	16	28	22	26	19	25	20	15	30	25	35	28	22	39	24	34	21	31	27	24	25	30	38	30	27	29	30	45	34	37	42	35	30	28	37	32	55	37	40	40	35	31	45	46	37	43	49	47	47	35	48	42	41	41	44	56	33	38	39	41	34	44	51	50	55	45	50	60	52	52	60	48	61	0	17	1	3	3	14	3	3	4	3	10	3	22	1	14	10	3	29	2	15	22	3	66	2	45	8	43	16	4	6	4	25	22	6	14	13	40	30	2	50	19	34	22	7	34	76	43	27	25	18	15	59	50	13	23	48	48	23	31	68	42	33	25	11	37	36	20	66	68	21	38	49	71	71	69	40	57	55	56	78	69	65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-422.575535686624391	-431.626379067075732	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999613664992793	5	22	10	19	20	16	19	17	25	22	25	25	18	19	29	27	17	27	26	32	38	20	36	24	32	29	30	33	26	27	31	30	39	28	35	28	39	38	35	42	29	31	35	33	36	51	43	46	38	40	42	43	47	40	43	53	35	49	43	44	33	43	43	46	45	43	45	39	42	47	51	49	50	49	52	52	49	54	51	61	49	75	0	5	1	1	6	3	6	3	10	8	4	2	3	1	9	22	1	14	8	12	39	6	5	4	26	2	4	30	7	22	2	19	31	24	19	8	44	27	19	44	24	2	31	29	42	33	37	49	18	25	39	39	52	20	23	53	29	39	38	40	34	11	23	23	69	49	68	28	25	67	23	21	21	64	65	72	49	67	37	60	59	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-423.259193437161855	-432.310036817613195	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989200485513432	6	15	11	23	10	18	19	18	30	21	24	16	25	27	29	29	16	34	25	33	29	25	41	28	32	37	27	24	25	30	27	31	36	27	31	34	45	36	35	39	29	33	30	29	34	55	41	45	36	34	37	38	48	39	43	46	39	48	42	46	41	44	44	47	55	43	38	39	47	51	45	52	43	46	54	37	64	59	48	53	54	60	0	1	1	6	1	3	2	12	14	8	17	5	7	4	3	4	1	11	8	15	19	6	76	29	13	27	13	17	17	29	28	31	9	19	14	43	51	25	35	21	11	29	22	7	24	64	45	51	20	35	35	25	67	32	76	23	19	54	29	59	26	57	50	63	72	33	20	49	68	53	51	73	76	68	74	35	65	75	14	40	53	48	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-422.256909345300471	-431.307752725751811	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999295713213509	3	19	5	19	19	21	25	16	28	20	30	28	23	29	31	25	24	32	23	34	41	24	33	30	31	21	30	30	16	30	30	38	40	32	34	35	38	36	32	37	29	29	37	25	33	56	45	47	24	38	34	45	40	42	42	46	34	47	42	47	42	43	39	49	48	39	32	44	48	53	47	53	49	52	44	54	62	55	51	59	53	62	0	8	1	3	29	8	10	3	17	29	16	22	2	19	9	13	2	28	2	10	15	8	49	19	8	8	5	22	1	17	13	35	34	13	16	16	35	15	31	30	22	7	15	5	13	50	33	61	10	18	9	38	67	50	43	53	13	21	57	20	63	43	18	21	20	23	24	40	55	48	63	62	55	58	39	71	46	69	52	73	50	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-420.539382936379923	-429.590226316831263	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.986813373385313	7	22	10	21	17	13	18	22	32	14	30	29	20	19	30	28	26	26	26	36	39	23	35	23	26	26	26	31	27	31	28	33	36	29	33	32	42	37	38	42	32	26	34	28	29	59	38	44	35	36	41	42	47	35	44	48	41	51	38	48	45	42	36	38	44	45	44	48	38	51	47	55	50	48	54	49	63	58	52	56	50	74	0	6	1	5	6	1	3	13	12	3	13	22	6	1	2	22	7	2	8	30	28	14	9	14	8	14	7	31	4	42	8	12	30	2	19	15	47	28	43	44	34	24	26	24	27	79	15	39	11	24	23	43	21	26	21	12	38	66	32	43	15	50	41	26	69	44	69	33	50	71	59	58	64	47	56	21	68	37	67	73	57	77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-441.068514290603844	-450.119357671055184	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995089974669390	2	26	6	22	16	23	14	20	28	24	30	30	19	29	29	27	23	27	25	33	36	25	38	29	33	37	32	31	33	19	27	36	37	31	30	37	30	33	37	39	35	33	36	39	32	55	41	49	32	36	42	42	30	36	37	49	43	48	39	38	43	35	38	45	56	36	41	45	41	52	52	47	49	39	52	48	58	55	49	50	50	63	0	10	1	5	7	7	3	7	6	5	22	5	7	4	10	10	7	5	5	18	11	8	9	30	8	12	12	31	35	7	5	53	16	18	8	29	2	37	29	29	20	8	35	28	9	73	15	29	15	8	32	24	16	10	27	53	54	47	20	17	47	37	9	67	79	53	54	49	42	61	51	74	52	62	47	11	81	58	59	47	74	48	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-430.479075503234071	-439.529918883685411	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.961543274617935	7	13	9	19	13	22	20	23	32	17	31	31	25	21	27	28	26	34	25	33	31	26	35	22	30	29	26	32	28	26	30	31	35	23	36	33	40	38	36	36	28	24	40	36	34	59	42	29	34	39	39	43	42	37	38	47	45	45	36	44	41	44	44	42	47	42	45	43	45	50	38	39	47	55	52	52	61	51	49	59	51	58	0	1	1	2	3	10	3	7	13	2	8	27	14	5	8	8	10	13	4	2	22	8	29	4	13	8	24	41	6	10	19	13	21	4	31	29	17	15	27	16	22	7	45	6	19	74	54	7	30	28	29	44	33	8	41	71	36	25	49	20	55	37	38	59	59	50	38	45	44	69	18	23	39	58	57	56	62	63	68	78	62	52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-426.412658232139620	-435.463501612590960	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.974197757498015	6	11	10	18	15	22	19	21	27	24	31	30	17	18	29	30	22	29	27	33	41	28	33	28	30	35	27	28	22	30	24	36	42	22	26	36	39	33	32	43	25	32	33	38	38	52	39	45	31	29	42	36	46	41	37	50	38	47	41	46	42	33	43	47	54	43	44	43	51	46	36	46	48	49	52	42	61	60	50	65	52	70	0	1	1	3	3	5	5	2	34	8	27	29	2	5	34	34	2	17	8	16	52	13	28	41	41	31	8	31	14	41	1	11	18	2	14	11	36	8	35	71	4	18	41	15	15	63	31	44	24	6	43	8	47	32	20	33	27	33	52	44	62	29	23	66	74	32	71	23	23	45	24	37	66	66	66	12	74	53	60	78	56	80	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-417.872450296499210	-426.923293676950550	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989980781489311	4	13	13	21	19	21	23	17	30	24	31	24	30	16	26	27	23	28	24	36	29	22	34	31	30	35	26	30	28	29	26	37	39	31	34	36	30	37	37	36	34	34	33	37	35	46	41	41	38	41	37	40	45	40	42	53	45	48	40	47	40	46	43	45	57	39	40	47	42	44	41	53	35	51	45	54	57	57	45	52	48	60	0	1	1	8	3	14	8	2	16	6	10	5	27	2	5	17	8	8	8	30	8	5	31	15	10	16	7	15	7	10	3	41	37	19	17	31	29	37	35	42	12	28	13	15	11	45	20	29	25	34	16	32	20	26	32	81	73	53	35	61	26	23	41	38	58	28	24	61	41	39	20	60	31	61	38	81	80	58	67	60	71	56	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
