step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20
1	-300.672941258925448	-307.528429209884848	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.643629955848196	2	2	4	5	6	7	7	7	8	8	9	9	9	11	10	11	12	14	12	15	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	3	3	4	4	4	5	4	5	5	6	5	7
500	-87.103436241875940	-93.958924192835312	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.749872680881697	1	2	4	5	6	8	7	7	9	8	10	9	8	11	10	12	12	15	12	15	0	1	2	3	3	8	3	4	13	5	8	13	7	10	12	8	8	16	0	17	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	2	2	1	2
1000	-76.820166034528327	-83.675653985487699	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.795461640213411	1	2	4	5	6	7	6	8	8	8	9	8	9	11	11	11	13	14	12	16	0	1	2	3	3	4	3	6	7	7	8	7	7	9	12	8	16	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1
1500	-91.662461767793303	-98.517949718752675	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.693925218635793	2	3	4	5	6	6	8	7	5	9	9	10	10	12	11	11	13	13	12	15	0	1	2	3	3	4	9	6	3	9	8	9	7	10	10	8	16	16	0	17	1	1	1	1	1	1	2	1	1	2	2	2	1	2	1	3	1	1	1	1
2000	-84.129860134750075	-90.985348085709447	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.738205397000020	1	3	4	6	6	7	6	8	8	7	10	9	10	10	11	12	12	15	12	16	0	1	2	3	3	4	3	6	7	7	8	7	9	10	12	8	8	6	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	4	1	2
2500	-79.814561445069231	-86.670049396028602	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.827149695884430	1	2	4	5	6	7	7	8	8	8	10	9	10	10	10	12	12	13	11	13	0	1	2	3	3	4	5	6	7	7	8	9	7	10	12	8	8	8	0	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1
3000	-77.896562880838488	-84.752050831797860	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.884541400707390	0	1	4	5	6	7	6	8	8	9	9	8	10	11	10	11	12	12	12	15	0	1	2	3	3	4	3	6	7	7	8	7	9	10	12	8	8	8	0	17	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1
3500	-79.266420277674243	-86.121908228633615	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.891053845316876	1	2	4	5	6	7	6	8	7	9	9	8	9	12	10	12	12	13	11	14	0	1	2	3	3	4	3	6	7	7	8	7	9	10	12	8	8	8	0	17	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1
4000	-87.145651289692310	-94.001139240651682	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.796169278187781	2	3	4	5	7	8	6	7	8	9	10	9	8	11	10	11	11	14	12	15	0	1	2	3	3	8	3	4	7	9	8	9	7	10	13	8	8	17	0	17	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	2	1	1	2
4500	-78.510097269066350	-85.365585220025721	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.857935919624496	1	2	4	5	5	7	6	8	9	8	10	8	10	11	9	11	12	13	11	14	0	1	2	3	3	4	3	6	7	7	8	7	9	7	12	8	16	16	0	17	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1
