step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23
11000	-230.901262724208834	-229.309386054827996	-1.591876669380846	0.000137814489266	0.000033572062159	0.243603283936593	0.305392517983687	0	13	13	13	15	16	17	16	16	16	16	20	21	19	21	21	27	30	29	28	35	43	44	0	1	1	1	4	2	11	4	5	4	4	6	7	7	6	2	4	17	2	2	2	18	18	1	9	7	6	1	2	1	1	1	3	2	3	2	1	2	2	9	2	9	6	9	6	6
11500	-225.216328769057725	-223.429767869052711	-1.786560900005020	0.000216450593926	0.000038917014459	0.179796293248786	0.227084697632076	0	14	13	13	15	16	17	16	17	16	16	19	21	20	21	21	27	30	29	30	35	43	45	0	1	1	1	4	2	5	5	5	3	4	6	7	10	3	2	3	4	4	3	4	18	18	1	6	6	6	1	1	1	1	1	1	2	2	1	1	5	2	7	6	9	10	9	5	8
12000	-229.254749565224643	-227.669659765662345	-1.585089799562285	0.000177144340065	0.000043698933567	0.246685463113518	0.263359864036112	0	12	13	13	15	16	16	17	17	15	17	19	20	20	21	22	28	29	29	29	36	43	46	0	1	1	1	3	2	3	5	5	3	7	6	11	11	6	2	3	4	4	3	2	20	20	1	7	6	7	1	2	2	1	1	2	1	2	2	2	2	4	8	7	9	9	13	6	10
12500	-227.545870244750944	-225.774765123988630	-1.771105120762310	0.000184668807022	0.000033911833058	0.183635956741281	0.201028713173534	0	12	14	13	15	15	18	16	16	16	17	19	21	18	22	22	27	31	29	28	36	43	46	0	1	1	1	2	4	11	2	2	2	2	6	5	10	6	3	3	3	2	4	4	17	17	1	6	7	7	2	1	1	3	3	1	2	2	4	1	3	4	6	10	10	7	9	5	9
13000	-218.960046364165635	-217.269852653045746	-1.690193711119893	0.000168117802908	0.000034731353759	0.206589386480177	0.301312781772006	0	13	12	13	15	15	16	16	17	17	18	20	21	20	21	22	27	30	29	30	34	44	46	0	1	1	1	3	4	5	2	5	3	7	6	10	2	6	4	10	14	14	4	2	18	20	1	6	8	8	2	1	1	2	1	4	2	2	2	4	2	4	4	6	4	8	12	6	8
13500	-230.830846928650686	-229.310531774753713	-1.520315153896987	0.000309289557256	0.000086991840389	0.281263425640491	0.231438664791406	0	13	13	10	14	15	17	16	17	15	18	19	22	21	22	21	27	30	30	31	35	44	44	0	4	1	1	1	4	10	2	2	2	10	5	7	10	12	3	14	3	3	5	4	14	14	1	2	5	4	6	2	2	2	2	1	1	2	2	3	1	4	3	7	9	9	15	11	10
14000	-240.053428034562756	-238.328273717420643	-1.725154317142105	0.000151603412614	0.000029718197231	0.196025912074446	0.239250613451870	0	13	13	13	15	16	18	17	16	16	16	18	22	19	22	21	26	31	26	31	34	43	43	0	1	1	1	1	2	11	5	4	5	4	6	11	4	6	3	14	5	2	2	5	19	17	1	8	7	6	7	2	1	1	1	1	2	2	4	2	5	3	2	7	7	7	11	8	7
14500	-249.895147416708198	-248.212426576783059	-1.682720839925149	0.000192980960496	0.000040331979706	0.208994605491889	0.228596858679999	1	13	12	13	16	16	17	17	16	15	15	19	21	21	21	21	26	31	28	31	35	43	43	0	1	1	1	1	3	11	3	10	3	2	6	11	8	12	5	3	2	2	2	3	17	20	1	5	6	7	8	4	2	4	1	2	1	1	2	3	1	3	8	12	9	9	10	7	5
15000	-216.872906270706324	-215.166575115566360	-1.706331155139962	0.000267233513001	0.000053868405230	0.201578030485115	0.207915249547514	0	12	13	13	15	16	17	17	15	16	17	18	21	21	21	21	27	30	29	30	35	43	45	0	1	1	1	1	5	9	1	4	3	2	8	10	10	5	5	14	2	13	5	14	19	17	1	5	5	5	8	1	1	9	2	2	2	1	3	3	3	3	3	11	4	7	9	8	9
15500	-223.488980644982206	-221.621904410228296	-1.867076234753902	0.000170844382238	0.000027673412823	0.161980232889767	0.236034417661362	1	13	13	12	14	15	16	16	17	16	18	19	21	21	21	20	28	30	29	31	35	44	45	0	1	1	1	1	5	2	1	7	2	8	6	11	10	6	4	14	3	17	5	5	17	17	1	6	7	5	6	1	2	7	1	1	1	2	2	3	3	4	4	8	1	8	12	8	6
16000	-226.665746559398514	-225.128303536390263	-1.537443023008241	0.000197390469097	0.000053505151515	0.271062487258814	0.286575168296840	0	13	14	13	15	16	18	15	16	16	17	19	20	20	20	20	27	30	28	29	34	43	46	0	1	1	1	1	2	11	1	8	3	5	6	7	10	6	8	8	5	8	2	8	8	20	1	8	6	7	5	2	1	7	1	1	1	2	1	2	2	2	6	8	6	7	8	12	8
16500	-227.799509045384440	-225.993104038043612	-1.806405007340818	0.000203851446795	0.000035690516457	0.175081006382038	0.234683625973258	1	13	12	13	15	16	18	15	17	17	17	19	21	20	20	21	27	30	29	30	35	43	44	0	1	1	1	1	5	11	1	8	4	2	6	11	10	6	5	5	3	5	2	10	17	4	1	6	4	7	7	1	1	8	1	3	2	2	2	2	2	2	5	8	8	9	8	8	15
17000	-225.363930718099823	-223.736629185300671	-1.627301532799152	0.000256280657430	0.000058629610102	0.228771108556294	0.196233466992953	1	14	14	12	14	16	16	16	17	15	17	19	18	20	20	21	26	30	28	30	34	44	43	0	1	1	1	1	5	10	1	10	4	7	4	11	10	6	2	14	17	17	2	4	17	2	1	7	6	6	7	1	1	8	1	1	1	4	1	2	1	3	2	2	2	8	12	9	12
17500	-229.731923372301253	-228.265541861410014	-1.466381510891233	0.000189831162812	0.000060905066838	0.320838085463030	0.233756678585338	1	12	12	13	13	16	17	17	17	15	16	19	22	19	21	21	28	31	30	31	35	43	45	0	1	1	1	1	5	2	1	11	3	3	6	14	10	6	8	14	14	14	8	8	19	17	1	5	6	7	6	2	3	9	1	2	2	2	2	2	2	2	5	6	6	7	10	7	8
18000	-230.372573358719677	-228.750820873185688	-1.621752485533995	0.000262513482857	0.000060631864784	0.230966669308984	0.148905154685553	1	13	13	13	15	16	18	14	16	16	16	19	20	20	21	21	27	30	30	30	36	44	45	0	1	1	1	1	3	11	1	1	8	4	2	8	10	3	5	9	14	5	4	2	9	9	1	7	5	4	7	1	1	6	6	1	1	3	4	2	2	3	6	4	8	8	12	13	14
18500	-234.423844124467706	-232.907458895953113	-1.516385228514595	0.000204966945580	0.000058156487679	0.283735933687589	0.146812714610838	0	12	14	13	15	16	17	17	17	15	18	19	21	21	22	21	27	30	29	31	35	44	45	0	1	1	1	1	4	10	1	1	2	7	4	7	10	6	5	9	4	3	5	9	4	5	1	7	7	9	6	2	1	11	8	1	1	3	3	3	2	4	5	9	8	9	10	14	16
19000	-246.734223779093668	-244.918077886844827	-1.816145892248829	0.000218837591568	0.000037825925713	0.172849305466333	0.178838621304574	1	12	14	14	15	14	16	16	16	17	16	19	21	20	22	21	26	29	30	30	35	43	44	0	1	1	1	1	2	3	1	1	4	2	6	1	3	12	5	3	10	3	8	13	2	8	1	7	6	5	9	1	2	9	10	2	2	2	7	3	2	2	7	6	9	8	7	15	12
