step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92
1	-590.761927129281844	-589.299845044762947	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.359450665526924	0	1	0	2	1	3	5	5	5	6	8	8	7	9	10	9	9	10	11	11	11	11	11	10	11	12	12	12	13	12	11	13	14	13	13	14	14	15	13	13	14	16	14	15	15	15	15	15	15	15	15	18	16	17	17	18	18	18	16	17	16	17	16	18	19	19	17	19	20	19	19	21	18	18	20	20	20	20	21	22	22	21	22	24	24	25	25	25	25	28	29	30	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	3	4	4	4	5	5	5	5	5	6	6	6	6	6	5	6	6	6	6	7	6	6	7	7	7	7	7	7	8	7	7	7	8	7	8	8	8	8	8	8	8	8	9	8	9	9	9	9	9	8	9	8	9	8	9	10	10	9	10	10	10	10	11	9	9	10	10	10	10	11	11	11	11	11	12	12	13	13	13	13	14	15	15
500	-619.413894795687838	-618.004287034151048	-1.409607761536836	0.000010004629151	0.000003857937635	0.385615256388584	0.176707294353259	0	2	1	2	2	2	5	5	5	6	8	8	8	9	8	9	7	10	10	11	10	12	11	10	10	12	11	13	14	9	11	13	14	13	11	13	12	16	10	12	15	14	13	16	15	15	15	15	15	15	15	18	16	18	17	18	18	16	16	18	13	15	15	18	18	18	18	20	20	20	19	21	18	19	17	20	17	19	22	22	21	19	21	24	24	26	25	25	24	29	30	28	0	1	1	1	1	1	1	5	1	1	1	1	6	1	1	12	7	1	15	1	1	1	1	1	1	1	9	18	27	7	1	30	37	1	1	1	1	1	1	19	30	13	1	15	1	26	16	1	23	1	1	21	1	1	1	1	17	1	1	1	1	1	1	1	1	1	2	1	44	1	29	26	55	30	1	1	1	1	1	1	68	1	1	78	23	46	1	1	33	32	1	69	1	2	1	1	1	1	4	2	2	3	5	6	3	4	4	1	1	4	1	6	5	6	6	4	5	6	3	2	1	3	5	2	1	6	5	7	6	8	4	1	3	2	6	6	9	1	3	7	2	8	9	4	8	12	8	10	6	9	8	8	4	4	8	8	12	9	9	9	3	10	3	5	1	5	8	11	5	12	11	13	1	6	12	3	8	4	11	8	4	7	14	5
1000	-582.783193058648067	-581.370670027594770	-1.412523031053286	0.000010035300319	0.000003825525045	0.381206832173884	0.196430711257045	0	2	1	1	2	3	6	5	5	5	8	7	8	9	9	10	8	11	9	10	11	11	11	11	10	12	12	13	14	12	11	13	14	13	13	13	14	14	14	13	15	16	14	16	14	16	15	14	16	15	15	19	16	18	18	17	19	17	16	16	17	16	17	19	19	20	16	18	20	20	18	22	18	18	21	20	19	19	21	22	23	19	22	24	24	24	23	25	25	28	28	29	0	1	1	1	1	1	1	2	1	1	1	1	7	1	1	1	1	1	8	1	15	1	12	13	1	12	14	23	19	12	1	27	30	1	1	1	16	1	12	22	16	38	1	28	1	35	25	1	48	1	1	16	30	1	1	1	37	1	1	1	62	25	1	1	1	1	29	1	26	1	36	67	40	30	1	1	62	1	1	1	39	1	1	70	2	17	1	80	66	78	1	24	1	1	1	1	1	1	3	1	2	2	4	4	1	4	3	5	4	5	2	4	1	6	2	1	4	2	1	1	3	3	4	1	1	6	5	8	1	7	3	1	2	1	8	1	7	1	3	4	1	7	8	5	3	10	8	8	3	10	11	6	1	2	10	12	11	9	1	7	4	10	3	4	2	4	10	10	1	10	9	11	4	8	12	3	10	8	11	2	3	5	14	9
1500	-654.276148037777148	-652.894446361430596	-1.381701676346559	0.000009999802444	0.000004413589108	0.441367630287861	0.203369164245367	0	1	1	2	2	1	3	6	3	7	8	8	8	10	10	9	10	9	11	11	10	11	11	10	12	11	13	11	12	12	11	13	13	14	13	15	14	14	13	12	12	17	13	15	16	16	16	15	14	16	14	18	16	17	14	18	18	18	16	17	15	18	17	18	20	18	17	20	20	18	20	21	19	17	20	20	20	20	22	22	22	21	22	25	24	23	25	25	26	29	29	30	0	1	1	1	1	1	1	9	1	1	1	7	2	10	1	12	1	1	2	1	11	1	1	16	24	12	6	12	9	12	1	13	12	1	26	1	24	1	1	13	1	28	1	40	1	34	37	27	6	1	1	50	18	1	1	1	48	1	1	1	39	39	1	1	1	1	10	1	57	1	34	53	37	16	1	1	52	1	1	1	64	1	1	72	15	47	1	66	86	87	1	55	1	1	1	1	1	1	2	1	1	5	5	2	4	3	7	1	6	5	5	5	1	6	5	1	2	2	5	2	4	2	6	2	2	7	1	8	3	7	5	2	5	4	6	2	7	1	2	1	8	7	9	1	3	10	7	8	1	9	9	7	1	2	10	10	11	8	5	9	1	9	4	3	3	2	11	9	1	10	11	11	2	10	10	2	7	3	12	4	2	3	15	6
2000	-735.609228227554240	-734.247110211904896	-1.362118015649366	0.000010038105142	0.000005368220370	0.534784234103464	0.222980058693058	0	2	1	3	2	3	3	5	4	6	8	8	6	9	11	7	8	8	11	11	12	10	10	9	12	12	13	11	11	12	12	13	14	12	13	14	15	15	13	14	14	15	13	16	14	16	14	16	15	14	14	18	15	18	17	19	17	17	16	17	15	17	15	18	19	19	17	18	21	19	18	21	18	19	19	20	21	20	21	22	23	20	23	23	23	26	24	25	25	27	27	30	0	1	1	1	1	1	1	3	1	1	9	1	2	8	1	1	1	1	17	1	1	1	12	8	24	1	34	18	8	8	1	9	34	1	34	1	16	1	1	16	8	28	1	34	1	34	27	45	21	31	1	50	30	1	1	1	36	1	1	1	39	1	1	1	1	1	7	1	38	1	13	15	34	12	1	1	62	1	1	30	46	1	74	75	64	36	1	80	21	87	1	86	1	1	1	2	1	2	2	3	2	2	2	4	2	3	7	4	2	4	1	5	6	6	1	2	2	5	1	2	5	3	5	4	2	7	1	8	4	7	6	5	3	2	5	3	8	2	1	1	1	2	6	2	2	10	9	7	2	7	7	7	1	4	6	10	11	8	7	10	4	6	6	6	3	6	11	11	3	10	11	6	4	10	2	2	3	5	13	2	5	2	13	3
2500	-638.358714975557973	-636.873816442312091	-1.484898533245878	0.000010002471545	0.000010622707904	1.062008310245551	0.252449618036599	0	1	1	2	2	4	3	6	6	6	8	5	6	9	10	8	9	10	12	10	11	11	10	11	11	12	12	12	14	12	11	13	14	12	14	13	14	15	13	13	12	14	14	15	13	15	14	14	16	15	15	18	15	17	17	17	19	17	17	17	16	16	16	18	20	20	18	20	20	19	19	22	18	17	20	20	20	20	21	22	22	21	23	23	24	26	24	25	24	28	30	30	0	1	1	1	1	1	1	3	1	6	1	1	3	1	1	12	7	12	18	1	1	1	16	7	1	1	11	23	34	25	1	28	24	1	26	1	28	1	1	13	25	27	36	26	1	34	40	1	46	36	36	23	27	1	1	1	49	1	26	25	39	1	1	1	1	1	43	1	22	1	3	76	24	33	1	1	62	1	1	76	76	1	66	35	72	53	1	80	52	87	22	84	1	1	1	1	1	2	2	2	3	1	4	2	3	5	5	2	4	2	1	6	4	6	1	3	7	5	2	1	1	1	6	1	2	7	1	6	1	6	8	2	1	2	1	1	6	3	1	5	1	1	1	4	1	10	8	8	1	8	2	4	2	6	8	10	9	8	2	10	5	9	10	1	4	1	11	10	2	10	11	1	2	8	2	3	1	6	13	2	4	2	10	3
3000	-664.757594162591545	-663.305440249745743	-1.452153912845760	0.000009983402930	0.000009704933570	0.972106769376575	0.237845312004907	0	2	1	2	2	4	5	4	6	6	9	7	8	9	9	9	10	10	11	12	11	10	11	11	9	11	12	12	13	11	11	13	13	13	12	14	14	14	13	14	13	16	13	15	14	15	15	15	15	15	16	19	13	17	17	17	18	17	17	15	16	18	16	18	18	19	18	19	21	20	19	21	18	18	20	20	20	20	21	23	22	20	23	24	22	24	25	22	25	28	29	31	0	1	1	1	1	1	1	3	6	1	9	1	10	1	1	12	1	25	13	14	15	1	18	16	1	1	1	18	7	16	1	14	1	1	26	1	16	1	27	15	1	11	31	39	1	1	43	27	3	43	36	3	1	36	1	1	22	1	1	1	39	25	1	1	1	27	54	1	30	1	62	37	42	53	1	30	62	1	1	76	46	1	60	66	49	34	1	78	58	82	73	75	1	1	1	1	1	2	2	1	1	3	1	4	1	5	3	1	5	1	1	1	1	5	1	1	5	7	6	1	3	1	3	2	5	6	1	8	1	7	1	2	5	3	1	1	7	6	1	1	6	1	1	10	6	3	8	9	5	7	7	7	2	6	8	10	9	5	1	9	5	9	1	3	2	4	10	7	1	10	12	2	3	9	6	2	4	5	12	1	4	4	5	6
3500	-737.961453664978876	-735.771937167196256	-2.189516497782619	0.000010489211454	0.000001195556516	0.113979637154537	0.266684494123006	0	2	1	1	1	3	6	5	6	5	8	8	5	8	10	9	9	10	12	12	10	12	12	11	11	10	12	12	14	13	11	13	14	12	13	13	14	15	12	12	15	15	14	15	15	16	16	12	14	15	15	18	17	18	18	18	19	18	16	16	17	17	14	19	18	19	17	19	20	19	20	20	17	18	19	20	21	20	21	22	22	22	22	24	24	26	26	24	24	29	27	30	0	1	1	1	1	1	2	5	1	1	1	7	1	1	1	12	1	8	5	10	1	13	12	16	7	1	3	18	15	17	1	21	1	26	34	1	25	8	12	7	1	19	26	17	1	31	40	1	7	31	36	17	30	43	1	1	65	1	1	1	39	1	1	1	38	53	41	1	8	61	70	18	8	17	1	1	70	1	1	76	38	49	74	48	32	82	1	76	83	91	87	61	1	1	1	1	1	2	2	2	3	2	3	1	2	5	5	1	5	2	5	3	6	4	2	2	3	5	4	1	3	2	5	2	6	1	1	6	1	6	1	2	9	1	2	3	8	3	2	5	5	2	1	5	2	2	10	6	1	9	7	7	3	6	6	9	2	1	1	8	7	2	1	5	5	4	10	8	1	11	13	2	3	6	2	8	6	2	13	2	1	1	1	6
4000	-629.635317229816224	-628.210683158167285	-1.424634071648939	0.000010908261298	0.000003976886347	0.364575640314253	0.320285571071936	0	2	1	1	2	3	5	5	5	5	8	8	8	9	10	9	9	10	11	11	9	11	12	10	10	12	11	11	13	10	11	13	14	13	12	11	15	15	13	14	15	15	14	14	14	14	15	14	15	15	15	17	15	17	17	17	18	18	16	18	16	18	17	18	19	19	17	18	20	19	19	22	19	19	20	21	20	20	20	19	22	22	19	23	24	24	26	25	26	29	27	30	0	1	1	1	3	1	1	6	6	1	9	7	8	1	11	7	8	1	16	14	1	18	28	1	12	1	16	25	1	16	1	30	25	35	19	1	24	16	19	29	1	45	36	3	1	26	34	1	18	36	36	42	39	36	1	1	11	29	46	1	39	1	36	1	38	53	51	1	14	61	62	42	54	30	1	1	62	1	1	53	79	74	29	39	57	63	1	76	67	91	87	77	1	1	1	1	1	2	3	1	1	2	2	1	2	4	1	3	2	5	1	1	4	1	1	3	1	5	1	1	6	1	6	1	3	1	1	5	3	3	1	1	6	1	1	6	8	1	1	7	3	2	2	1	1	3	8	8	6	3	2	7	2	8	4	10	1	2	1	5	6	2	1	5	1	4	10	11	1	11	10	1	1	2	3	5	2	4	12	2	3	1	1	5
4500	-563.315363872185003	-561.940137405399241	-1.375226466785719	0.000011354952697	0.000005233411490	0.460892407863685	0.271453402918838	0	1	1	2	2	3	5	6	5	6	7	9	8	8	10	9	8	9	11	11	11	11	12	10	11	12	10	11	13	11	12	13	15	14	13	15	13	13	12	13	15	15	14	16	15	15	16	13	15	16	16	18	16	17	17	19	17	18	17	14	13	16	16	17	19	19	18	19	19	20	19	21	19	18	20	21	20	20	22	21	23	20	22	24	25	26	25	25	25	29	28	30	0	1	1	1	1	1	2	6	1	1	1	1	10	1	1	7	1	1	16	8	1	1	28	1	16	12	11	18	22	24	1	30	25	26	26	1	24	1	1	24	30	37	31	60	1	26	29	1	15	36	36	53	12	36	1	1	19	46	46	1	39	61	34	1	38	53	37	60	26	61	41	59	45	1	1	1	24	1	1	53	75	74	78	75	51	55	1	76	67	91	78	78	1	1	1	2	1	2	2	1	2	3	3	4	1	4	5	2	4	5	1	4	7	5	1	6	1	2	1	1	1	1	6	1	2	2	1	10	2	6	4	2	2	1	1	1	9	2	2	7	3	1	1	1	3	1	9	10	4	2	1	7	1	2	1	8	3	1	2	2	3	4	2	1	3	7	9	10	4	11	10	3	2	1	1	2	6	4	11	2	3	1	4	5
